Verkiezing;;Gemeenteraad Lelystad 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lelystad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige Scholengemeenschap De Rietlanden;Bethelkerk;School Laetare;Wijkcentrum Zuiderzee;Atolplaza;Kerkcentrum Ontmoetingskerk;Gymzaal Voorhof;Waterschap Zuiderzeeland;Buurtvereniging Het Palet;Buurtcentrum De Brink (2);Gymzaal Wold;Sportzaal Horst;Buurtcentrum De Brink (1);Gymzaal Voorstraat (1);Gymzaal Voorstraat (2);Leonardo Hotel Lelystad City Center;Kerkcentrum Het Anker;Voormalige Dokter Herman Bekiusschool;Wijkcentrum De Dukdalf;Gymzaal Punter;Theater Posa;Gymzaal Kindcentrum Warande;Woonzorgcentrum Hanzeborg;Kerkcentrum 't Lichtschip;School De Toermalijn;Kerkcentrum Petruskerk;School De Tjalk;School De Schakel;Gymzaal Lelystad-Haven (1);Erfgoedpark Batavialand;Gymzaal Landstrekenwijk (1);Aeres VMBO Lelystad;Gymzaal De Borg;Stadhuis Lelystad;Kerkcentrum Lichtbron;School De Meander;Gymzaal Lelystad-Haven (2);Gymzaal Schouw Noord;Gymzaal Landstrekenwijk (2);Drive-through Wigstraat;Gymzaal Kindcentrum Warande (2);Hof van Lelystad;Stadhuis - maandag;Gymzaal Landstrekenwijk (1) - maandag;Wijkcentrum Zuiderzee - maandag;Voormalige Dokter Herman Bekiusschool - maandag;Gymzaal Voorstraat (1) - maandag;Gymzaal Lelystad-Haven (1) - maandag;Wijkcentrum de Dukdalf - maandag;Gymzaal Voorhof - maandag;Stadhuis - dinsdag;Gymzaal Landstrekenwijk (1) - dinsdag;Wijkcentrum Zuiderzee - dinsdag;Voormalige Dokter Herman Bekiusschool - dinsdag;Gymzaal Voorstraat (1) - dinsdag;Gymzaal Lelystad-Haven (1) - dinsdag;Wijkcentrum de Dukdalf - dinsdag;Gymzaal Voorhof - dinsdag
;;15;Meijering, A.M.;5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Zantingh, D.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
;;17;de Jager, W.;41;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;2;3;0;1;1;4;0;0;1;0;1;0;2;3;1;2;1;0;3;0;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;18;Bos, A.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kuijpers, L.;23;0;0;0;0;2;1;4;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;2;3;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;20;den Os, P.E.;24;1;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;1;1;0;1;0;0;0;3;1;3;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;1;1;0
;;21;Fackeldey, J.A.;51;0;0;1;0;0;5;3;0;1;0;0;3;0;0;1;2;0;0;2;1;1;0;0;4;3;2;2;1;0;0;0;2;0;3;4;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;2;0;0;1;1;0;2;0
;;22;van Gelder, J.;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;23;van Rijnsoever, F.M.;12;0;1;0;0;1;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Pels, P.T.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;25;van de Beek, J.;11;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6;ChristenUnie;;;1962;32;51;38;27;20;68;65;32;67;32;56;49;33;29;32;17;65;31;50;20;40;35;41;81;43;33;28;30;20;24;29;38;35;52;107;50;23;21;38;9;34;24;34;19;8;20;19;3;13;16;33;19;21;25;31;6;18;28
;;1;Schraa, H.;608;8;29;9;7;4;29;32;9;23;5;18;10;10;5;4;5;27;12;13;5;11;9;24;21;12;8;8;15;6;4;7;12;9;13;28;12;12;8;14;2;6;5;14;8;1;9;0;1;6;5;15;6;7;7;7;1;5;6
;;2;Messelink-Dijkstra, A.;258;7;3;3;2;1;7;13;2;8;6;4;8;4;1;1;3;13;4;7;2;7;1;4;10;7;5;2;3;4;5;4;3;2;8;13;12;4;4;5;4;4;9;4;3;1;4;3;1;1;3;2;0;2;2;3;2;4;4
;;3;Frankema, P.J.;128;0;3;3;1;0;4;3;3;4;4;5;2;3;0;0;1;5;0;1;2;3;0;0;6;3;4;0;1;1;1;8;8;2;1;10;6;0;1;9;0;2;1;0;0;1;2;0;0;2;1;4;1;0;2;2;0;1;1
;;4;Volmer, F.J.C.;168;1;1;0;0;0;2;0;2;7;3;1;4;2;1;1;2;3;0;2;0;2;19;1;6;2;2;8;1;4;0;1;2;1;4;26;4;1;3;4;0;14;1;3;7;0;0;7;0;0;0;2;5;0;0;1;0;0;5
;;5;Agata-Rommy, J.M.;106;2;0;16;2;7;6;1;2;1;5;0;1;2;4;3;4;0;4;4;3;3;0;0;0;3;1;0;2;0;0;1;1;3;7;1;0;1;2;0;0;0;1;5;0;0;0;0;0;1;0;2;0;1;2;0;2;0;0
;;6;Kooistra, K.R.;63;0;3;2;0;0;3;0;0;0;5;4;5;3;0;0;0;1;3;4;0;0;0;2;6;1;2;2;2;0;0;0;0;0;1;2;1;1;1;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0
;;7;de Roon, L.;76;0;2;0;3;1;1;1;0;5;0;4;1;2;1;8;0;1;1;1;1;5;0;1;3;1;1;1;1;0;1;0;2;0;0;8;4;0;1;2;0;0;0;1;0;0;2;1;0;0;0;0;0;2;3;1;0;0;2
;;8;Libretto-Blom, A.M.;7;1;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Heerde, J.P.;18;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0
;;10;van Wees-Burleson, A.R.;18;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;11;van der Bijl, H.P.;16;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;1;3;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;12;Ooms, A.J.;60;0;0;2;3;0;1;1;5;2;1;2;6;0;0;2;0;1;0;5;0;0;1;2;5;0;2;2;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;2;0;0;3;1
;;13;Hijmissen-van der Molen, J.H.;52;0;2;0;1;0;0;4;3;0;0;3;3;0;0;0;0;4;0;0;0;1;1;0;7;0;0;0;0;1;1;1;5;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;1;0;1;1
;;14;Thuis, J.;111;1;1;0;3;4;6;5;2;7;1;4;3;3;3;1;0;0;2;5;3;0;0;1;1;6;0;0;0;1;4;4;0;6;3;3;3;1;0;0;2;2;2;0;0;2;0;0;0;2;4;1;3;0;1;1;1;0;3
;;15;van Renselaar, H.;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;16;Brinkman, D.;19;2;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;17;Koanting, D.E.;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Pikkert-van Hulst, J.;24;0;0;0;0;0;0;1;0;0;0;1;2;1;0;2;0;3;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;2;0;0;0;1
;;19;Ruisbroek-den Breejen, A.H.;13;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;van Gaalen-de Beer, C.M.;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Slings-Joosse, F.T.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;22;van Veluwen, C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Visser, L.R.;15;1;0;1;0;0;0;0;0;3;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Allison-Veerkamp, J.D.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Moussa, R.;24;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;4;0;0;1;2;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0
;;26;Vonkeman, J.;15;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0
;;27;Izijk-Nicolaas, P.M.;33;0;1;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;1;2;0;3;3;0;3;1;2;0;0;0;0;1;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
;;28;Ezechiels, R.J.I.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Brouwer, R.;8;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;30;Woertel, J.;11;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;31;Hofstra, H.J.;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;32;Bakker, H.A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1
;;33;Rebel-Boeve, G.D.;34;0;4;0;0;0;4;0;0;2;0;3;0;0;0;0;0;1;0;0;0;0;1;3;1;0;4;0;0;0;0;0;2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0
;;34;Okma, B.D.;23;0;1;0;0;2;0;0;0;1;0;3;1;0;5;0;0;0;0;2;0;0;0;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
7;GROENLINKS;;;2059;18;16;38;19;25;37;76;32;84;28;44;34;21;49;56;23;59;54;26;22;48;32;44;59;43;31;56;30;42;53;27;34;42;52;50;50;37;45;29;4;39;22;36;22;7;37;32;19;14;24;43;39;13;40;49;14;19;21
;;1;de Reus, S.M.;964;11;5;21;6;9;17;34;16;34;11;19;19;13;33;34;9;29;22;15;13;24;12;18;19;27;10;28;13;20;23;11;16;22;26;23;31;18;23;12;2;19;10;12;13;5;16;14;10;7;12;16;11;7;15;27;7;10;5
;;2;Brouwer-Vink, I.;599;4;6;9;9;10;13;24;8;33;9;14;10;3;12;13;11;18;15;7;2;9;5;15;20;9;13;12;6;11;16;12;12;12;10;16;11;9;9;10;0;3;7;15;7;1;7;11;6;5;9;13;17;4;10;14;5;5;13
;;3;Boertjens, G.J.;98;2;2;2;1;3;0;2;1;2;1;3;0;2;0;0;2;1;2;0;3;5;8;3;6;0;2;0;1;3;2;0;0;0;4;2;0;4;1;1;0;7;1;1;0;0;5;0;0;1;1;3;3;0;3;1;1;0;0
;;4;Nijland-Beltman, R.J.;78;0;0;1;1;0;1;3;2;2;1;2;1;0;1;3;0;0;3;1;1;1;1;2;9;2;3;3;2;2;4;0;1;2;3;0;0;1;1;0;0;2;1;1;0;0;1;1;2;0;0;3;3;0;1;0;0;2;1
;;5;Hulscher, G.A.;16;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0
;;6;Theunissen, A.;26;0;1;1;1;0;0;1;0;2;1;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;1;1;0;0;3;0;0;1;1;0;0;0;1;0;0;1;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
;;7;van den Berg, E.T.;48;0;0;0;0;0;1;2;1;3;0;0;1;0;1;1;0;2;1;0;0;2;1;0;0;0;1;2;2;1;0;1;2;2;0;2;0;3;3;2;0;1;0;0;0;0;0;2;0;0;2;0;1;0;4;1;0;0;0
;;8;Slabbekoorn, J.;14;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;1;1;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Huisman, J.J.;24;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;5;3;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;2;0;0;0;1;0;0;0
;;10;van Rijn, M.;32;0;0;1;0;0;1;0;2;0;0;4;1;0;0;1;0;2;2;0;0;0;1;0;3;1;0;0;0;1;1;0;0;0;0;1;1;0;1;2;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0
;;11;Smits, J.S.;45;0;0;2;0;1;1;3;0;0;1;0;0;0;0;0;0;1;0;0;3;0;1;1;1;2;0;1;0;2;1;3;0;0;3;1;1;1;2;1;0;1;1;1;1;0;0;0;0;0;0;2;3;0;3;0;0;0;0
;;12;Gaus, S.J.C.;28;0;0;0;0;0;1;2;0;4;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;1;1;1;0;0;3;0;0;3;0;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
;;13;Kingma, B.T.;13;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;Smelik, C.W.;13;1;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Kruis, S.;61;0;1;0;1;1;1;3;0;3;0;0;2;1;1;1;0;3;0;0;0;5;0;4;0;0;0;3;2;1;1;0;0;1;1;0;3;0;1;1;1;0;2;2;1;1;1;2;1;0;0;2;0;0;1;3;1;0;2
8;JongLelystad;;;2406;14;21;55;55;78;48;40;27;44;51;50;60;48;49;72;24;58;51;31;39;78;50;77;69;55;51;80;39;36;35;73;40;65;73;76;33;44;71;54;9;55;20;43;19;6;8;17;12;10;10;49;36;18;11;33;11;15;10
;;1;Aktan, M.;949;8;7;28;16;37;21;8;12;22;14;19;22;22;17;30;15;11;18;7;15;33;20;34;26;20;23;34;18;14;12;31;17;19;25;30;12;17;35;20;3;24;5;18;8;2;4;6;8;5;4;20;17;6;1;15;4;6;4
;;2;Aktan, M.;877;1;8;17;25;29;20;24;8;14;15;21;24;18;16;21;6;32;22;15;12;28;20;30;19;21;19;25;10;13;10;29;12;30;21;22;13;17;24;22;5;20;9;12;7;2;3;6;3;5;4;20;11;5;8;13;5;5;1
;;3;Koorndijk, R. P. M.;338;2;3;7;8;4;5;5;4;5;18;3;7;5;6;12;2;14;7;6;8;12;9;9;11;8;5;13;6;3;8;6;7;7;13;15;5;5;6;6;0;8;4;6;2;2;1;2;1;0;1;5;4;5;2;2;2;3;3
;;4;Korkmaz, B.;55;2;1;1;3;4;0;0;1;0;1;1;2;1;0;3;0;0;0;0;0;2;0;4;3;2;1;1;0;0;0;2;0;1;2;2;1;0;1;1;1;0;1;3;0;0;0;2;0;0;0;2;1;0;0;1;0;1;0
;;5;Kwakman-Visser, K. A.;159;1;2;1;1;3;2;3;2;3;2;5;4;2;9;4;0;1;4;2;3;3;0;0;10;4;2;6;4;5;4;4;4;7;10;7;2;4;3;4;0;2;1;4;2;0;0;1;0;0;1;2;3;2;0;2;0;0;2
;;6;Mohout, O.;28;0;0;1;2;1;0;0;0;0;1;1;1;0;1;2;1;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;0;1;2;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;CDA;;;1090;11;32;15;14;12;28;34;17;39;17;22;15;11;7;12;17;53;25;10;12;20;13;23;38;19;39;17;20;17;31;25;21;18;25;47;36;3;19;13;3;20;15;20;8;10;17;7;3;5;17;32;9;9;22;8;9;11;18
;;1;Hijmissen, J.W.;599;4;27;7;4;8;11;21;12;19;7;15;10;3;2;4;8;25;16;6;6;12;8;12;21;7;27;9;11;4;11;14;13;10;12;23;20;1;15;11;1;13;5;13;6;5;11;5;1;2;9;15;3;5;19;7;3;9;11
;;2;van Dongen, T.L.M.;37;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;2;0;1;2;1;4;0;1;0;1;0;1;2;5;0;2;1;0;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0
;;3;Graanoogst, J.J.;57;0;0;1;5;1;2;0;1;1;2;2;0;0;1;3;2;1;1;0;1;0;1;1;2;0;1;2;1;4;1;0;5;1;0;1;2;0;0;0;0;1;0;1;0;4;0;0;0;0;0;3;1;1;0;0;0;0;0
;;4;Nijhuis-Ovinge, H.H.;125;0;1;1;2;3;3;6;2;7;2;1;2;0;2;2;2;7;1;4;1;2;0;4;0;4;4;1;1;3;9;3;3;2;1;7;3;0;0;2;0;4;3;2;1;0;3;0;0;0;1;6;2;0;0;0;2;0;3
;;5;Bussink, D.W.;67;3;0;1;0;0;6;1;0;3;1;1;0;1;1;2;1;10;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;2;9;6;0;0;0;0;0;2;2;0;1;1;0;0;2;2;1;0;1;1;0;0;0;1
;;6;Schraa-Teppema, A.;41;0;0;0;0;0;3;1;0;0;1;0;1;1;0;0;2;3;2;0;1;0;0;1;2;1;0;0;2;0;0;3;0;2;4;2;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0
;;7;Andreoli, T.F.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Luinstra, K.S.A.;23;2;1;4;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;3;1;0;0;0;0;0;0
;;9;van der Wekken, A.;16;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0
;;10;Riemersma, J.;23;0;0;0;0;0;0;0;0;4;3;1;2;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;11;van der Waal, M.A.E.;16;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;Broer, P.H.;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;13;Hijmissen, W.;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;14;Spriensma, R.;22;0;1;0;2;0;0;1;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;3;1;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1
;;15;Ovinge, J.;13;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;16;Greiner, A.L.;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;17;Hofstra, M.A.;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0
;;18;Appelman, J.N.J.;15;1;0;1;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;1;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;D66;;;1633;8;19;26;12;37;27;41;24;55;15;25;30;27;26;19;15;73;46;20;24;48;39;25;37;34;26;28;31;31;27;27;36;37;49;81;56;24;24;31;8;51;26;21;16;9;20;15;7;11;9;38;26;10;38;28;9;12;19
;;1;de Wilde, S.H.;818;3;9;13;3;13;14;22;13;27;8;14;13;15;17;11;6;40;19;11;11;27;19;14;22;12;17;8;20;17;7;13;21;19;26;34;27;7;8;18;4;33;18;11;7;5;10;6;6;4;7;21;10;6;19;11;6;8;8
;;2;Smit, H.;416;4;7;8;4;5;3;6;8;9;1;3;9;7;5;4;4;22;14;7;7;8;10;8;12;14;5;10;4;10;11;8;6;8;12;26;18;9;9;11;2;10;5;5;4;2;6;3;0;3;0;5;9;1;11;6;1;2;5
;;3;Meijer, J.G.;56;0;0;0;0;0;0;3;1;0;1;0;2;0;0;0;0;6;5;0;0;1;1;1;0;1;0;0;0;1;0;0;2;2;3;7;5;1;0;1;0;1;0;0;3;0;0;1;0;0;0;3;1;0;0;2;0;0;1
;;4;van Hoegee, S.R.;16;1;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;5;Scholten, M.;6;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;6;Papma, M.E.G.;89;0;0;0;0;0;1;4;1;9;0;3;2;2;0;1;1;2;0;1;0;1;2;0;1;6;0;5;1;1;3;3;4;1;0;5;4;1;0;0;0;2;1;1;0;0;0;2;0;2;0;2;2;3;3;3;1;1;1
