Verkiezing;;Gemeenteraad Dronten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dronten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Meerpaal;De Meerpaal;Kantine Sportvereniging Reaal;Sportzaal De Beurs;Sportzaal De Beurs;Sportzaal De Beurs;Remise brandweerkazerne;Kerkcentrum De Ark;Ontmoetingskerk;Sportzaal De Landing;Sportzaal De Landing;Clubhuis Golfresidentie;Sportzaal De Stal;Sportzaal De Stal;Kerkcentrum De Voorhof;Kerkcentrum De Voorhof;Mimar Sinan Moskee;Dorpshuis De Steiger;Dorpshuis De Steiger;Kerkcentrum De Hoeksteen;De Meerpaal open op 14-03-2022;De Meerpaal open op 15-03-2022;Kerkcentrum De Voorhof open op 14-03-2022;Kerkcentrum De Voorhof open op 15-03-2022;Dorpshuis De Steiger open op 14-03-2022;Dorpshuis De Steiger open op 15-03-2022;Gemeentewerf Drive-in open op 14-03-2022;Gemeentewerf Drive-in open op 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;8251 EX;8251 EX;8253 BA;8253 EA;8253 EA;8253 EA;8251 KP;8251 CV;8251 LD;8251 TJ;8251 TJ;8251 NS;8252 GW;8252 GW;8256 BK;8256 BK;8256 BX;8255 DM;8255 DM;8255 AA;8251 EX;8251 EX;8256 BK;8256 BK;8255 DM;8255 DM;8253 PW;8253 PW
;;4;Zuurendonk, B.P.;67;2;0;5;7;1;11;3;2;3;3;4;4;4;0;2;2;0;2;2;3;2;4;0;0;0;0;0;1
;;5;Sjoers, E.N.;122;2;6;7;6;7;6;7;10;14;0;1;9;5;9;2;1;0;2;0;4;13;5;0;0;0;3;1;2
;;6;Vulink, T.J.G.;36;1;1;0;0;0;3;1;3;1;1;1;2;2;8;1;1;0;2;0;1;2;2;0;1;0;0;0;2
;;7;Haarhuis - Veldman, S.;220;11;10;10;8;19;13;5;9;5;7;3;29;11;7;11;8;0;4;6;8;10;7;0;5;1;3;8;2
;;8;Kramer, L.;43;0;1;0;1;0;4;1;0;0;2;0;0;0;0;11;8;7;0;0;0;0;4;0;4;0;0;0;0
;;9;Schuiling, L.A.;13;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;4;0;0;0;0;0;1
;;10;Vrakking, R.;43;0;1;2;6;8;3;0;0;1;3;4;2;1;3;0;2;0;0;2;1;0;2;0;0;0;0;0;2
;;11;Stek, G.A.;13;0;0;4;0;0;3;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;12;Rienstra, R.A.;9;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0
;;13;de Leeuw, G.O.C.;37;2;3;2;0;4;6;0;1;0;4;1;0;1;1;0;3;1;0;1;0;3;1;0;1;0;0;2;0
;;14;Gach, P.S.A.;19;1;1;3;0;0;0;3;0;0;0;0;0;1;4;2;0;0;0;0;0;1;2;0;0;0;1;0;0
;;15;de Maaijer, R.;9;0;0;0;0;1;0;1;1;0;0;0;0;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;16;Kodde, J.L.;58;1;0;2;2;5;5;1;1;1;4;4;6;1;2;2;5;0;1;3;3;1;2;0;2;0;2;1;1
2;CDA;;;3589;126;117;169;147;168;150;169;168;180;144;154;99;165;168;114;182;76;144;145;192;135;185;28;83;41;91;18;31
;;1;Lap, S.J.;1314;48;41;77;68;63;60;61;87;72;68;64;41;72;73;37;57;24;23;31;20;63;78;14;41;2;14;7;8
;;2;Wever, W.A.;715;17;15;19;20;29;24;5;16;16;11;21;11;19;13;7;14;5;100;79;119;20;35;4;12;27;51;2;4
;;3;Ekkel, E.D.;149;10;3;13;10;8;9;11;8;9;5;5;4;7;5;1;4;1;0;2;4;7;11;3;1;0;1;2;5
;;4;Yazir, R.;210;8;13;4;12;14;4;40;2;27;15;8;2;4;8;2;1;18;2;4;0;4;11;0;0;0;2;3;2
;;5;Dorenbos-Boonman, C.J.M.;347;11;21;21;8;20;18;31;17;18;14;19;14;17;26;12;22;5;2;2;0;14;23;0;6;0;1;2;3
;;6;Rook, A.;98;6;1;3;5;3;2;5;7;6;9;6;7;12;9;0;0;0;0;0;0;6;6;0;0;0;0;1;4
;;7;van Eijken, H.F.;64;1;0;1;4;1;2;0;4;0;2;4;2;1;1;0;0;0;2;3;22;0;3;0;2;4;5;0;0
;;8;de Craen, J.P.;22;0;1;0;1;1;3;0;0;0;0;0;0;1;0;5;4;2;0;1;0;0;1;0;0;0;2;0;0
;;9;Haasjes, H.;39;2;1;4;4;4;2;0;3;4;1;1;1;3;4;0;2;0;0;0;0;1;1;0;0;0;0;1;0
;;10;Hof, M.P.;30;0;1;0;0;2;1;0;1;1;0;0;0;1;1;0;0;0;3;6;4;0;0;0;0;2;6;0;1
;;11;van der Star, M.L.;43;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;17;4;0;0;0;0;0;3;5;0;0;0;0
;;12;Kempenaar, A.;73;3;5;5;6;6;1;3;2;3;4;4;2;10;4;0;4;0;1;2;0;3;4;0;0;0;1;0;0
;;13;Vulperhorst, E.M.;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0;0
;;14;van Woerden, C.;68;2;4;5;0;1;6;3;1;5;0;2;1;5;6;6;5;0;1;3;1;4;3;2;1;0;0;0;1
;;15;van Tilburg, G.J.;105;1;3;1;1;1;2;0;3;2;1;4;4;1;2;19;31;13;0;1;3;0;1;1;8;1;0;0;1
;;16;Immink, J.W.;57;3;2;5;0;3;1;1;2;4;3;2;0;3;4;5;7;2;0;0;2;1;2;0;5;0;0;0;0
;;17;Maris, A.;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;Wolters-Rougoor, J.;30;0;2;2;2;1;2;2;0;3;3;7;0;2;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0
;;19;Bosvelt, J.C.;21;4;0;0;2;0;2;0;5;1;0;1;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0
;;20;Leenders-de Visser, A.;54;0;1;3;3;2;5;0;3;3;1;0;3;2;2;1;2;0;3;5;5;3;1;0;0;2;3;0;1
;;21;Zomerman, F.E.G.;12;2;0;0;0;0;1;1;1;2;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;22;Luijkx, W.A.J.;16;1;1;0;0;1;0;2;0;0;1;2;2;0;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Zwijnenburg, P.;18;0;1;0;0;0;0;2;2;0;2;2;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;1
;;24;Visser, G.;12;5;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;25;Kapteijn, W.;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;5;1;0;0;0;0;0;1;1;0;0;0;0
;;26;Tietema, K.;49;0;0;3;0;6;4;0;1;2;1;0;3;3;2;0;1;1;4;4;9;0;0;0;0;2;3;0;0
;;27;de Graaf, J.;19;1;1;0;1;2;1;2;0;1;0;0;1;2;2;0;0;0;0;0;1;4;0;0;0;0;0;0;0
3;Leefbaar Dronten;;;3409;91;95;202;123;149;144;189;116;141;150;141;127;148;144;128;189;97;125;129;162;109;186;35;75;63;92;27;32
;;1;Ammerlaan, J.N.;1241;24;38;68;29;43;51;60;35;35;46;41;39;36;45;28;46;30;98;92;128;22;46;6;23;55;66;3;8
;;2;Sijtsma-van Nieuwkerk, C.H.;987;22;27;71;48;57;55;67;45;55;67;50;35;61;50;20;26;18;13;12;18;41;71;5;13;5;12;12;11
;;3;van Bergen, P.;311;8;12;18;10;8;11;23;12;13;14;15;18;16;25;6;8;8;3;11;4;21;27;1;4;2;5;4;4
;;4;Bongers, J.F.;40;2;3;3;4;2;2;3;0;0;1;5;1;2;0;0;0;0;2;1;0;4;2;0;0;1;2;0;0
;;5;Idzinga, A.J.;95;4;4;6;4;7;4;4;3;10;2;2;5;7;8;3;4;0;2;1;0;2;6;0;0;0;1;6;0
;;6;van der Harst, M.;290;4;2;2;3;6;2;6;2;0;2;3;5;3;2;57;87;35;2;1;2;2;6;22;31;0;3;0;0
;;7;Prasad, P.;15;0;1;1;5;0;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0
;;8;Bentum, P.A.;141;13;4;14;7;4;1;7;5;3;6;5;20;10;6;4;6;2;4;3;1;2;8;0;0;0;1;0;5
;;9;Schlossarek, R.H.;37;0;2;4;0;0;2;0;4;1;2;5;1;4;2;0;1;0;0;0;0;3;4;1;0;0;1;0;0
;;10;Plomp, S.;50;3;0;0;2;6;4;6;1;0;5;4;1;1;2;3;0;0;0;3;1;4;3;0;0;0;1;0;0
;;11;Keimpema-Mussies, Y.;32;3;1;2;2;2;2;3;0;3;3;3;0;0;0;2;0;1;0;0;3;0;0;0;0;0;0;2;0
;;12;Plomp, K.;49;1;1;2;3;5;4;5;2;7;2;4;1;2;1;1;0;0;0;2;0;2;3;0;0;0;0;0;1
;;13;Sijtsma, I.;121;7;0;11;6;9;6;3;5;14;0;4;1;6;3;4;10;2;1;3;5;5;9;0;4;0;0;0;3
4;ChristenUnie;;;1820;54;55;121;80;89;82;101;106;116;88;104;43;103;117;54;86;40;27;32;29;58;106;17;34;14;18;21;25
;;1;Paalman-Dijkenga, I.M.;854;23;19;56;34;32;41;54;46;55;34;51;25;49;44;32;59;24;9;11;11;38;47;10;19;7;9;9;6
;;2;Hotting-Niewold, F.M.;188;7;8;7;12;21;7;10;7;12;11;8;6;11;21;4;2;0;3;3;2;3;15;0;2;2;0;3;1
;;3;de Groot, H.R.;206;8;9;22;15;10;4;6;11;23;17;15;4;12;12;1;5;0;0;7;0;5;9;3;2;0;1;1;4
;;4;Degenhardt, L.W.J.;50;1;5;3;2;2;0;4;6;4;1;2;4;0;5;0;1;0;0;0;0;1;4;0;0;1;0;1;3
;;5;Medema, J.R.;55;3;1;7;0;3;4;3;0;1;2;1;2;10;5;0;0;0;0;1;0;2;2;0;0;1;2;4;1
;;6;Fischer-Horn, L.B.;17;0;0;3;0;0;0;6;1;0;0;0;0;2;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0
;;7;Kotterink-van den Boomgaard, G.J.;54;0;1;2;1;2;2;3;7;3;4;7;0;4;8;1;1;0;2;2;1;0;0;0;0;0;0;0;3
;;8;van de Kolk, K.;34;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;9;6;10;0;0;0;1;2;2;0;0
;;9;Tempelman-Pruijssen, J.J.;25;0;1;3;1;1;1;1;5;0;1;2;0;1;0;0;0;3;0;0;2;0;1;0;1;0;0;0;1
;;10;den Harder, J.B.;40;0;2;0;0;1;0;1;2;0;0;0;1;0;0;10;7;6;0;0;0;0;1;2;6;0;0;0;1
;;11;Oosterveld, J.;20;2;1;3;0;0;1;0;0;2;1;2;0;1;1;0;0;4;1;0;0;0;1;0;0;0;0;0;0
;;12;de Graaf, S.;22;1;0;1;3;0;0;3;1;2;1;0;0;1;2;1;1;0;0;0;0;2;2;0;0;0;0;1;0
;;13;de Jager-Pierik, G.;8;0;0;0;3;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Westrik, J.D.;14;1;0;0;0;0;4;0;2;1;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;0
;;15;Elzinga-Haaksema, G.;4;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;Schipper, W.J.A.;13;0;0;0;0;1;0;1;3;2;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;17;de Vries, J.;23;1;0;0;0;2;3;0;1;0;1;1;0;0;0;1;1;0;2;2;2;2;1;0;0;0;3;0;0
;;18;Zijlstra, H.J.;10;0;1;0;0;1;1;0;0;1;2;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0
;;19;de Leeuw, S.D.M.;20;0;0;2;0;1;1;1;3;1;3;1;0;0;3;1;0;0;0;0;0;0;3;0;0;0;0;0;0
;;20;Swierts, R.G.;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;2;2;0;0;0;0
;;21;Bouwknegt, A.J.;11;0;0;0;3;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;22;Gulink-Spoelstra, H.;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;de Roo-Berends, F.W.;32;2;3;2;0;0;4;3;2;1;0;4;1;0;2;1;2;0;0;0;0;0;3;0;1;0;0;0;1
