Verkiezing;;Gemeenteraad Noordoostpolder 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Noordoostpolder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis, Harmen Visserplein 1;Gymzaal De Zeevaarder, Skagerrak 3;Gymzaal De Erven Oost, Espelerlaan 71;Spothal Bosbadhal, Boslaan 28;MFC Nieuw Jeruzalemkerk, Cornelis Dirkszplein 10;Brandweerkazerne Emmeloord, Nijverheidstraat 34 Emmeloord;Buurthuis Revelsant, Pallasstraat 65 A;"""Gereformeerde Kerk""""Pro Rege"",	Revelsant 86";Buurth.Espelervaart, Atlantischestr. 18;Buurthuis de Brulboei, Markenstraat 1;Gymlokaal Pampuspad,	Pampuspad 47;Mobiele Unit Buurthuis De Erven, nabij Amstelland 2 Emmeloord;Buurthuis De Erven,Amstelland 2;Mobiele Unit Emmelhage, nabij Poiesz, Jeanne d'Arclaan 185 Emmeloord;Poldertoren Emmeloord, de Deel 25 Emmeloord;Mobiel stembureau met beperkte toegang, diverse locaties NOP;Gymzaal Luttelgeest, Sportstraat 28;PKN Kerk Marknesse, Sluis 1;Sporthal De Triangel, Maanhuizenlaan 10;Gymzaal Kraggenburg, Noordermeent 4A Kraggenburg;Sporthal Evert van Benthem 1, E.P. Seidelstraat 2;Sporthal Evert van Benthem 2, E.P. Seidelstraat 2;MFC Het Rietveld, Ring 19 Nagele;RK Parochiezaal Tollebeek, Vossenburcht 17;Gymzaal Espel, Noorderrand 36 Espel;Sporthal Toernooihal, Toernooilaan 9 Creil;Gymzaal de Kwartslag, Venelaan 3;Gymlokaal Bant, Noordakker 1;Gemeentehuis NOP, Harmen Visserplein 1;Gymlokaal Pampuspad, Pampuspad 47 Emmeloord;Sporthal Bosbadhal, Boslaan 28 Emmeloord;Sporthal Toernooihal, Toernooilaan 9 Creil;Sporthal De Triangel 1, Maanhuizenlaan 10 Marknesse;Gemeentehuis NOP, Harmen Visserplein 1 Emmeloord;Gymlokaal Pampuspad, Pampuspad 47 Emmeloord;Sporthal Bosbadhal, Boslaan 28 Emmeloord;Sporthal Evert van Benthem 1, E.P. Seidelstraat 2 Ens;RK Parochiezaal, Vossenburcht 17 Tollebeek
;;1;Lammers, L.H.M.;1219;60;33;44;32;49;13;50;28;83;60;18;26;62;46;33;3;31;37;19;28;31;25;47;22;23;30;34;25;42;18;24;7;6;59;16;21;26;8
;;2;Aling, B.J.;232;7;5;8;19;5;2;9;1;11;14;7;4;10;18;4;3;1;4;4;3;6;3;7;2;16;3;8;5;4;1;7;0;0;18;1;8;1;3
;;3;Werkman, S.;424;13;9;14;15;19;6;16;10;32;25;6;10;24;17;20;0;8;7;4;7;10;7;8;8;12;8;12;17;10;5;11;3;2;20;6;17;3;3
;;4;Wiedijk, H.M.;77;3;7;0;1;5;1;4;2;14;3;0;1;1;2;4;0;1;0;0;1;3;1;3;2;2;2;2;1;3;1;0;0;0;3;2;1;0;1
;;5;Borgijink, A.B.M.;56;3;2;2;2;4;1;2;2;3;5;2;5;1;2;0;0;2;1;2;0;1;1;0;0;4;0;0;0;3;1;2;0;0;2;1;0;0;0
;;6;Molenaar - Pausma, T.A.;136;5;1;1;0;3;0;2;2;3;0;2;0;1;0;3;0;2;48;21;5;1;3;3;1;1;2;3;4;3;0;1;0;10;3;0;2;0;0
;;7;Geluk, L.J.;94;6;2;1;1;2;1;2;2;0;4;0;3;2;1;1;0;1;2;1;2;3;8;34;0;2;3;5;1;2;0;1;0;0;1;0;0;0;0
;;8;van Vilsteren, R.J.M.;97;0;1;3;0;3;0;1;2;2;2;0;1;7;2;0;1;3;5;2;40;2;4;1;1;1;0;3;1;0;1;0;0;1;1;1;0;5;0
;;9;Bosman, S.;79;8;1;3;4;0;3;1;1;8;5;0;5;4;6;6;0;2;1;2;1;1;1;0;0;3;0;0;0;0;0;0;0;0;5;2;6;0;0
;;10;Tank, M.B.J.M.;34;2;0;0;0;2;0;2;2;2;3;1;2;2;1;4;0;0;0;1;0;0;0;3;1;0;4;0;0;0;0;1;0;0;1;0;0;0;0
;;11;Blauw, P.N.;92;6;5;1;1;5;0;5;2;11;6;2;5;5;1;2;2;2;0;0;0;0;1;3;2;0;0;5;6;6;2;2;0;0;3;1;0;0;0
;;12;Dekker, C.J.;50;2;2;0;0;3;0;6;1;6;1;0;0;1;2;2;1;2;0;0;1;4;1;2;5;0;1;3;2;1;0;0;0;0;0;0;0;1;0
6;Partij van de Arbeid (P.v.d.A.);;;1480;65;49;33;46;72;11;94;66;110;64;21;31;55;26;44;6;41;82;57;60;17;18;34;19;15;23;26;34;51;15;26;3;15;64;34;33;11;9
;;1;Mulder-Top, L.;1024;40;30;21;30;37;8;63;42;69;44;18;20;26;11;33;1;39;77;51;57;14;13;20;12;6;14;21;13;38;12;17;3;12;52;22;26;10;2
;;2;van der Linde, H.;100;7;9;5;3;8;0;5;4;9;6;1;4;3;6;4;0;0;0;0;0;0;1;1;3;0;1;0;5;3;1;3;0;0;5;3;0;0;0
;;3;van der Bend, M.P.I.;33;1;1;0;3;1;1;2;1;6;2;0;0;2;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;2;0;1;0;0;2;2;0;0;0
;;4;Marinussen-van Oostrom, J.G.M.;31;0;0;3;2;3;0;1;0;1;2;0;0;2;1;0;1;1;1;0;0;0;2;2;0;0;0;1;3;1;0;0;0;1;0;1;2;0;0
;;5;van der Velde, R.;69;5;4;0;2;5;0;3;7;6;2;1;1;4;5;1;2;0;0;3;0;0;0;1;0;2;2;2;0;3;0;1;0;2;0;0;1;1;3
;;6;van Amersfoort, R.;22;3;2;0;0;2;0;1;2;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;3;0;0;0
;;7;de Bruijn, T.J.;30;1;1;0;1;4;1;1;3;6;1;1;1;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0
;;8;Top, H.A.T.;34;1;0;2;1;2;0;2;5;5;2;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;2;0;0;0;3;2;0;0
;;9;Sersansie-Roksnoer, J.E.;17;0;0;0;0;0;0;1;0;2;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;5;0;1;3;0;0;0;0;0;0;0;0;0;1
;;10;van Dusschoten, W.;30;2;1;1;2;2;0;4;0;3;1;0;2;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;2;1;1;1;0;0;2;0;0;0;0
;;11;Visser, J.;13;1;1;0;1;4;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;Stolwijk, R.J.M.;15;0;0;0;0;2;0;2;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3
;;13;Visser, F.;16;3;0;1;0;0;0;1;0;0;0;0;3;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0
;;14;van den Hurk, J.M.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;de Graaf, R.J.;5;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;16;Andringa, I.B.;18;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;8;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;17;Faber-Slootheer, J.;21;0;0;0;0;2;0;5;1;1;1;0;0;2;0;0;2;0;2;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
7;GROENLINKS;;;1388;72;28;42;34;37;10;56;44;102;71;18;25;64;51;58;3;29;46;46;65;28;40;68;18;13;26;41;22;40;13;17;8;19;52;20;25;27;10
;;1;Hekkenberg, H.M.;620;27;9;20;11;13;4;20;21;40;35;9;12;37;20;30;2;14;25;30;47;8;19;34;7;6;12;8;11;15;5;7;6;13;10;7;8;14;4
;;2;Schrijver-Brouwer, S.J.;338;16;5;10;9;6;2;13;4;20;13;2;2;9;13;12;0;10;15;7;11;13;10;18;4;4;8;31;8;15;1;4;0;4;16;3;9;7;4
;;3;van Galen, A.H.;151;7;8;4;8;6;1;14;7;22;4;6;3;9;6;7;0;1;2;2;3;2;2;4;2;0;0;0;1;4;3;2;1;0;3;2;3;0;2
;;4;van Vilsteren-van der Kleij, A.J.;81;6;0;3;3;2;1;3;4;6;4;0;0;3;9;4;0;1;1;4;1;1;0;6;0;2;0;2;0;0;0;2;0;2;7;0;2;2;0
;;5;de Kroes, E.C.;41;6;2;3;2;0;1;4;1;2;4;1;2;2;0;3;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;1;3;0;0;0
;;6;Bouma, M.;25;5;0;0;0;0;0;0;0;4;0;0;0;0;2;1;0;0;0;1;1;0;1;1;0;1;4;0;0;1;0;0;1;0;1;1;0;0;0
;;7;Koldewijn, J.J.;24;2;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;8;1;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0
;;8;Nooitgedagt, L.;8;0;0;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Elbers, O.K.D.;12;0;0;0;0;0;0;1;2;0;1;0;2;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;10;Aalbersberg, C.;88;3;4;1;0;7;1;1;5;5;10;0;4;2;0;1;1;2;2;1;2;0;0;1;4;0;1;0;1;3;4;1;0;0;13;4;2;2;0
8;D66;;;1049;42;14;43;66;31;11;30;22;90;38;13;21;61;35;37;6;24;30;26;26;18;17;42;9;10;43;27;63;32;14;17;7;3;40;9;17;10;5
;;1;van Wegen, M.W.;555;22;9;28;28;19;5;9;9;45;20;6;13;35;12;19;1;14;16;13;8;1;3;25;1;7;30;19;63;18;9;9;3;3;23;4;5;1;0
;;2;Kemperman, D.;266;11;2;8;12;5;3;12;9;26;9;5;4;9;15;9;1;5;8;11;11;5;3;11;5;3;12;7;0;8;3;6;4;0;9;4;6;3;2
;;3;de Boer, J.A.E.;24;1;1;0;4;0;0;1;0;2;1;0;0;6;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;4;Gebbink, D.A.G.;42;4;0;3;14;1;0;3;1;4;0;1;0;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0
;;5;Pals, E.;30;0;0;2;2;2;1;0;0;6;3;0;0;1;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;5;0;1
;;6;Weerden, J.J.J.;25;3;0;1;1;0;0;1;1;1;1;0;1;2;1;2;0;0;0;0;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;0;0;1;1
;;7;Kuper, H.;72;0;1;1;3;4;0;3;2;3;0;1;1;5;0;2;4;5;0;1;3;11;11;2;0;0;0;0;0;1;0;0;0;0;2;0;0;5;1
;;8;Gerritzen, I.M.T.;16;0;1;0;1;0;0;0;0;1;2;0;0;1;1;0;0;0;2;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Breukel, R.M.A.;5;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Vermeulen, P.M.S.;14;1;0;0;1;0;1;1;0;2;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
9;JEZUS LEEFT;;;340;15;10;3;6;5;2;4;14;18;14;1;4;19;12;15;0;3;14;7;6;8;6;17;60;19;6;17;11;2;0;4;0;2;6;0;6;0;4
;;1;Weerstand, S.J.;340;15;10;3;6;5;2;4;14;18;14;1;4;19;12;15;0;3;14;7;6;8;6;17;60;19;6;17;11;2;0;4;0;2;6;0;6;0;4
