Verkiezing;;Gemeenteraad Arnhem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Arnhem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Arnhem;Rozet;Loopvis;Buurtcentrum 't Huuske;Koepelgevangenis Arnhem;SIZA (het Dorp);Sionkerk - P.G. Filadelfia;Nederlands Watermuseum;Wijkcentrum De Bakermat;Plantsoen naast gymzaal Bauer;Gymzaal Witsen;Siza;SBO De Klaproos;Rode Kruisgebouw;Rijn IJssel (Vaksch Wageningen);Jan Ligthartschool;De Nieuwe Hommel;MFC Klarendal;Plaatsmaken;Dansschool Yasalsa;Nivon-De Wasserij;Jozef Sartoschool;Prot. Gemeente Nieuwe Kerk (vh. Opstandingskerk);Sportcentrum Valkenhuizen;MFC De  Wetering;Korfbalvereniging Oost-Arnhem;Woonzorgcentrum Vreedenhoff (Ingang Velperweg);De Parkschool;Kantine AV & AC Eendracht;Kantine HAN;Buurthuis De Overkant;MFC Presikhaven;Bethlehemkerk - C3 Rivers Church;Woonzorgcentrum Waalstaete;Wijkcentrum Symfonie;Plantsoen naast Kerkgebouw Gereformeerde Gemeente;Musis Sacrum;Bizar-Bazar in voormalige Lutherse kerk;Buurtcentrum De Lommerd;Stadskantoor;MFC De Spil;Kantine v.v. MASV;MFC De Malburcht;Kantine v.v. Arnhemia;Gymzaal Eimers/ Basisschool Mozaïek;Basisschool Het Mozaïek (gymzaal Fluitekruidstr.);Salvatorkerk;Kerkgebouw Apostolisch Genootschap Arnhem;Wijkaccommodatie Vredenburcht;SWOA De Petersborg;Jongerencentrum De Madser;Rijn IJssel Kronenburgsingel;Dorpshuis Ons Gebouw Elden;Wijkcentrum Elderveld;SWOA De Gaanderij;Wooncentrum Jan Hovingflat;Kerkgenootschap Leger des Heils;Brede School de Laar West;Sport-&Ontmoetingscentr De Laar-West;Basisschool De Laarhorst;Wijkcentrum Boerderij De Kroon;Basisschool De Lingelaar;Gemeenschapsruimte Rijkershof;Sportcentrum Rijkerswoerd;Boerderijcafé De Hooijmaat;Woongemeenschap Bloemenburcht;EBS De Rank;MFC De Salamander;MFC De Omnibus;Kantine v.v. Arnhemse Boys;MFC De Omnibus;Station, ontvangsthal Arnhem CS;Stembureau Trolleybus;Stadhuis Arnhem (maandag);SIZA (het Dorp) (maandag);Rode Kruisgebouw (maandag);Inloophuis Sint Marten (maandag);Sportcentrum Valkenhuizen (maandag);Bethlehemkerk - C3 Rivers Church (maandag);Kantine v.v. MASV (maandag);Salvatorkerk (maandag);Sport-&Ontmoetingscentr De Laar-West (maandag);Sportcentrum Rijkerswoerd (maandag);Kantine v.v. Arnhemse Boys (maandag);Stadhuis Arnhem (dinsdag);SIZA ( het Dorp ) (dinsdag);Rode Kruisgebouw (dinsdag);Sportcentrum Valkenhuizen (dinsdag);Bethlehemkerk - C3 River Church (dinsdag);Kantine v.v. MASV (dinsdag);Salvatorkerk (dinsdag);Sport-&Ontmoetingscentr De Laar-West (dinsdag);Sportcentrum Rijkerswoerd (dinsdag);Kantine v.v. Arnhemse Boys (dinsdag)
;;11;Steigenga, P.L.;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;Soumpholphakdy, S.;52;1;1;0;0;2;0;1;1;4;1;1;0;0;3;1;2;0;0;0;0;2;2;0;0;0;0;0;2;0;1;0;0;1;3;0;3;0;1;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;2;0
;;13;Kempink, B.;34;2;0;0;0;2;1;0;0;0;0;0;2;0;0;2;2;1;2;2;0;2;0;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;14;Dikker, R.F.;19;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0
;;15;van der Lubbe, S.R.;8;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;van Iperen, P.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Donk, T.;21;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Bragt, M.C.E.;60;2;1;0;0;0;0;1;1;0;2;0;1;0;0;2;1;1;1;1;0;2;1;3;1;0;2;0;1;1;1;0;1;0;2;0;1;1;1;2;0;2;0;0;1;0;0;0;0;0;0;1;0;1;2;0;0;0;1;0;0;3;0;0;1;0;2;0;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;2;0
;;19;Kanis, A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;van der Schalk, B.F.;76;1;1;1;0;1;0;0;1;5;2;4;0;1;2;1;1;2;0;0;2;1;0;2;3;0;0;1;0;0;0;0;1;3;0;0;1;0;1;2;0;0;0;1;4;0;0;1;2;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;2;0;2;1;1;0;0;0;0;1;0;1;0;0;1;0;0;6;1;1;0;1;0;0;3;0;0
;;21;van den Berg, A.M.D.;8;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Rebergen, S.E.;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Rietman, P.M.;23;1;3;1;0;0;0;0;1;0;0;0;0;0;0;1;2;0;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Hamersveld, Y.;40;0;1;0;0;0;0;0;2;1;0;1;4;0;2;1;0;0;0;1;0;2;1;0;0;1;2;1;0;0;1;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;25;Chin, N.M.H.;25;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;2;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;4;0;0
;;26;Vierdag, W.A.;36;1;0;0;0;1;0;0;5;1;1;9;0;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0
;;27;Louppen, M.J.;50;1;1;0;0;1;0;0;2;0;1;1;3;0;0;0;1;2;2;1;0;0;1;0;0;1;2;2;1;0;0;0;0;0;0;0;4;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;2;1;0;0;3;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0
4;Partij van de Arbeid (P.v.d.A.);;;4582;64;55;32;45;94;25;34;83;93;43;61;27;37;72;71;37;68;56;56;53;51;63;96;50;75;85;62;87;50;29;22;57;20;60;43;72;44;28;109;26;34;40;73;44;50;29;78;63;54;30;69;18;54;108;53;42;46;30;67;26;44;68;48;22;71;79;47;43;44;33;37;57;27;39;27;35;19;33;21;12;24;37;40;25;84;36;30;45;33;15;41;80;26;17
;;1;Visser, G.;2004;22;24;14;19;38;10;15;35;32;20;26;11;18;30;35;15;24;23;27;20;20;23;44;25;38;41;18;43;25;15;13;25;7;33;18;32;12;13;33;9;13;17;28;18;22;17;32;25;23;14;34;8;21;63;18;25;30;15;29;10;21;32;23;11;32;37;16;23;21;17;14;25;8;11;8;18;6;17;9;7;9;13;19;11;33;19;15;19;15;8;19;42;10;9
;;2;Aït Chrif, E.Y.;273;8;1;1;1;5;2;3;8;4;2;1;1;2;1;3;3;8;1;3;1;3;3;6;2;1;3;1;1;3;2;0;5;2;5;4;3;1;1;4;1;7;10;15;9;4;5;16;0;4;7;5;0;3;0;3;1;1;0;1;0;3;0;6;2;0;4;7;2;1;1;3;3;4;3;3;0;1;4;1;1;4;2;0;1;4;1;1;3;1;1;2;2;0;1
;;3;van Munster, M.J.A.;1066;11;6;4;15;19;5;7;21;33;15;28;9;8;24;22;9;12;19;11;7;17;15;31;7;11;37;28;19;4;8;4;13;2;9;7;11;10;7;24;4;11;5;11;3;11;2;12;21;14;0;11;1;22;21;12;7;4;7;14;8;9;24;6;4;18;13;9;9;10;10;12;6;6;9;12;13;8;10;7;4;3;11;7;7;13;6;9;10;6;4;9;19;9;4
;;4;Kriens, M.;81;0;0;0;4;11;0;3;9;4;1;0;0;1;2;1;0;0;0;1;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;3;0;0;2;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;4;1;0;2;2;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;2;0;0;0;0;2;0;0;0;2;3;0;0;2;0;0;3;0;0
;;5;Groenendijk, S.B.;87;1;2;0;0;1;1;1;0;1;1;1;3;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;3;6;0;0;1;3;0;3;2;1;1;2;3;0;0;4;1;1;0;1;0;2;1;0;0;0;0;3;0;3;2;2;0;0;0;1;0;0;3;2;3;0;0;1;0;0;2;0;1;0;0;0;0;0;0;1;1;3;0;0;0;3;0;0;0;1;0
;;6;de Vries, M.L.;271;4;7;2;2;7;3;3;1;12;1;3;0;2;3;0;4;5;0;1;1;1;3;5;3;7;0;5;6;2;2;0;1;0;6;1;4;6;0;8;2;1;1;4;3;7;1;4;6;4;2;8;2;0;7;6;3;4;2;5;3;5;6;4;1;5;0;8;1;0;0;0;6;2;3;2;0;0;1;1;0;2;5;3;3;4;1;2;2;1;0;4;2;0;1
;;7;Brouwer, R.;59;0;1;0;0;4;0;1;0;0;0;0;1;0;2;3;0;9;1;1;2;0;1;0;0;3;0;0;0;0;0;0;0;3;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;3;1;0;0;1;1;0;0;0;1;1;0;3;0;1;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0
;;8;Bouma, V.L.;49;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;5;2;2;6;1;0;1;0;2;1;0;0;0;0;1;0;0;1;1;0;1;0;0;3;0;0;0;1;1;2;0;0;1;0;0;2;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;9;Yildiz, A.Y.;315;10;5;7;2;5;2;0;6;3;1;0;0;1;2;2;4;6;8;3;10;3;8;0;5;7;2;2;7;8;0;4;7;2;3;4;5;4;0;13;3;1;2;6;9;2;2;4;5;2;1;6;4;1;5;4;1;1;1;3;2;2;3;4;2;4;16;0;4;6;2;0;7;2;1;1;0;0;1;3;0;0;0;4;2;4;3;0;7;2;1;3;2;2;1
;;10;van Empel, M.R.;34;5;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;5;1;0;0;0;0;0;0;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;4;0;1;0;0;0;0;1;0;0
;;11;Nguyen, H.L.;55;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;1;1;0;0;1;0;2;0;0;0;2;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0;1;2;0;0;2;0;0;0;1;0;0;0;0;0;0;0;6;1;3;0;2;0;1;1;0;2;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;1;0;3;2;0
;;12;Arntz, D.N.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;1;0;0
;;13;Koerntjes, E.A.;67;2;1;1;1;1;0;0;0;1;0;1;0;0;0;3;1;0;1;0;2;0;1;0;1;0;0;2;1;0;0;0;0;0;1;0;1;0;0;2;2;1;0;2;0;0;0;5;1;0;0;2;0;0;2;0;1;0;0;1;0;2;0;1;0;1;3;0;0;1;1;2;0;0;2;0;0;0;0;0;0;1;1;0;0;4;1;0;0;0;0;4;1;1;0
;;14;Heijdemann, M.I.S.;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Sluiter, F.;49;1;2;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;2;1;4;0;2;1;2;2;0;0;1;0;0;0;0;0;0;1;2;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;2;1;0
;;16;de Vries, M.A.;62;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;2;1;1;0;0;0;0;1;4;2;0;3;0;0;0;0;0;0;0;0;3;0;1;1;3;2;0;0;3;0;0;2;0;0;2;1;1;0;1;0;0;0;0;1;2;2;2;0;0;2;0;0;0;0;0;0;0;5;0;0;0;1;0;0;2;0;0
;;17;van Vught, P.J.;22;0;0;0;0;1;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;Dubbelman, R.J.;63;0;4;1;0;0;0;0;2;1;1;0;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;3;3;4;4;11;0;0;0;0;0;1;1;1;0;0;0;0;0;2;3;1;0;0;0;2;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
5;SP (Socialistische Partij);;;3843;42;53;21;24;60;26;29;19;24;13;9;23;29;41;26;26;39;67;76;54;35;42;79;70;83;33;31;92;35;14;51;47;33;53;47;45;31;29;49;31;60;24;90;44;78;63;55;48;29;41;74;30;52;78;63;64;45;30;63;29;55;76;42;22;45;64;29;37;34;14;44;34;21;36;19;30;11;31;19;13;44;33;30;13;64;14;22;48;21;22;58;53;38;16
;;1;Elfrink, G. E.;1914;22;25;9;10;19;13;8;9;11;4;6;12;13;22;10;3;19;28;26;20;16;18;34;36;41;11;20;53;18;5;21;28;19;32;16;22;13;15;16;13;24;10;41;28;44;36;38;19;16;19;46;14;30;40;39;35;30;15;33;16;26;46;22;12;21;36;14;20;20;5;16;12;10;18;7;14;3;15;15;9;31;15;21;6;32;7;12;27;14;10;28;29;22;10
;;2;Dobbe, S. E. M;1266;8;19;6;6;30;10;14;6;7;7;2;7;13;14;12;13;9;23;41;28;15;14;24;20;24;12;7;28;3;6;23;10;13;14;19;14;13;4;24;11;22;11;26;11;24;18;9;23;6;17;19;13;11;27;11;26;6;11;23;9;20;23;17;8;13;20;9;13;6;4;23;12;10;13;11;10;4;2;3;2;12;14;5;6;22;3;8;10;4;4;20;20;14;5
;;3;Roelen, N.;82;1;3;0;0;1;1;1;0;1;0;0;0;1;2;0;1;1;0;1;0;0;1;8;1;1;2;1;2;0;0;0;0;1;1;0;1;1;1;0;1;2;0;3;1;1;0;1;0;0;0;2;1;2;0;0;1;1;0;0;1;3;0;0;0;1;4;2;1;0;0;2;2;0;2;0;1;0;1;0;1;0;0;0;1;0;1;0;5;1;0;0;1;1;0
;;4;van der Velden, R.H.A;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;2;0;1;1;3;0;1;0;0;1;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0
;;5;van Leeuwen, F.L.;27;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0
;;6;Lunter, P.G.M.;161;0;1;0;1;2;1;0;3;3;2;0;1;0;2;0;2;2;3;0;1;1;4;8;5;6;4;2;3;8;3;2;1;0;1;2;4;2;1;1;3;1;1;4;0;3;0;0;1;1;3;1;0;4;1;3;0;0;1;0;0;2;2;1;2;2;0;0;1;1;1;2;2;1;1;1;4;3;10;0;0;0;1;0;0;1;1;1;5;1;3;2;1;0;0
;;7;van Geffen, L.L.A.;63;2;1;0;3;0;1;0;0;1;0;0;1;0;0;2;1;2;2;3;2;0;1;1;1;1;1;1;0;2;0;1;2;0;0;0;2;1;1;2;0;0;0;4;3;0;0;2;2;1;0;0;0;0;1;2;0;0;0;0;0;2;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;8;Remesar, M.J.A.;60;4;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;1;1;1;3;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;1;1;3;0;2;0;1;1;0;0;1;2;1;2;1;0;4;1;1;2;0;1;0;0;0;2;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0
;;9;Baars, R.;30;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;4;0;0;1;0;1;0;1;0;0;0;4;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4;0;1;0;0
;;10;Çetintaş, A.;64;2;0;0;1;0;0;6;0;0;0;0;0;0;0;1;0;2;4;0;1;0;0;1;1;0;0;0;2;0;0;3;3;0;2;5;0;0;1;1;0;2;0;0;0;2;4;1;0;1;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0;4;0;0;1;3;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
;;11;Wijnhoud, E.A.;54;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;1;0;3;1;2;0;2;1;0;1;1;0;1;1;2;0;0;1;0;0;0;2;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;3;0;0;1;0;0;2;0;1;1;0;1;0;2;0;1;0;1;0;1;0;0;0;2;0;0;1;1;1;1;0;0;0;0;0;0
;;12;Pieterse, M.C.;6;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Verbeten, W.H.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Alberts, M.;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Gerritsen, D.J.;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Courbois, P.A.O.;66;2;2;0;2;8;0;0;0;0;0;1;0;1;0;1;1;0;1;3;2;2;2;0;0;3;1;0;0;2;0;0;2;0;0;1;0;0;4;1;1;3;0;1;0;1;0;1;0;3;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;1;2;0;0;0
6;Arnhem Centraal;;;6465;144;118;27;65;130;24;43;68;98;58;57;64;51;65;95;51;67;58;50;70;76;85;95;40;48;67;65;74;52;51;17;50;41;79;43;51;60;41;68;40;37;45;69;75;44;39;35;114;62;53;61;31;175;193;105;121;116;91;123;49;102;149;62;72;113;149;78;152;136;113;112;53;45;67;15;29;15;14;14;14;19;73;64;30;112;43;59;47;31;19;44;93;70;73
;;1;Roelofs, B.A.J.;3410;56;50;16;48;68;18;33;36;66;36;40;35;41;48;62;29;32;32;20;32;46;46;57;23;23;42;39;38;26;26;9;24;26;46;26;24;23;23;33;22;18;29;43;37;24;24;12;56;26;21;27;16;92;101;55;53;70;47;57;25;57;77;35;35;52;74;38;73;65;54;46;23;22;28;13;22;10;9;8;7;9;46;32;12;52;24;41;26;11;9;25;52;37;33
;;2;van der Laak, A.D.M.;212;2;2;0;3;1;0;1;1;1;0;0;2;2;0;1;0;1;0;3;5;2;3;1;4;7;2;0;6;4;1;1;3;0;0;0;1;1;1;2;0;2;0;1;3;1;0;2;3;2;3;2;2;6;12;2;8;5;4;2;4;7;16;3;0;4;2;3;5;7;1;1;1;3;0;0;0;0;0;1;0;2;3;5;1;2;0;5;2;2;1;1;2;3;1
;;3;Manders, L.R.;1348;18;19;3;4;24;2;2;12;11;6;10;14;7;12;14;10;13;11;10;20;13;18;20;8;11;10;15;16;7;11;5;11;8;17;12;9;20;5;13;1;11;6;11;15;13;5;13;28;22;11;21;10;51;49;25;19;24;17;35;14;20;28;9;20;27;42;22;41;28;25;27;13;7;5;1;4;2;3;3;6;5;11;21;6;17;10;10;9;15;4;6;21;14;14
;;4;Kraaijenbrink, A.J.W.;272;19;14;2;0;5;0;0;1;0;2;1;1;0;2;1;3;3;0;10;1;3;3;2;0;1;5;0;2;4;0;0;1;3;2;0;2;2;1;1;3;2;0;3;1;2;1;3;6;1;5;2;0;7;11;8;13;3;5;6;2;1;3;4;4;6;6;3;2;7;3;3;1;1;17;0;1;0;0;0;0;1;1;1;0;11;1;0;0;0;3;2;1;3;5
