Verkiezing;;Gemeenteraad Wageningen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wageningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0289;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Hotel de Wereld;Wijkcentrum Huis van de Nude;Vakschool Rijn IJssel;Gereformeerde Kerk Vrijgemaakt;Café onder de Linden;Wijkcentrum Pomhorst;Bevrijdingskerk;Speeltuinvereniging Tuindorp;Tafeltennisvereniging Shot;Immanuel Kerk;Sporthal De Vlinder;Parkflat Belmonte;Sporthal de Aanloop;Hotel Nol in 't Bosch;Sporthal Tarthorst;Voetbalvereniging WAVV;Grote Kerk Markt;Campus WUR Forumgebouw;De Vredehorst;Vakschool Rijn IJssel (maandag 14 maart);Vakschool Rijn IJssel (dinsdag 15 maart);Grote Kerk Markt (maandag 14 maart);Grote Kerk Markt (dinsdag 15 maart);De Vredehorst (maandag 14 maart);De Vredehorst (dinsdag 15 maart)
;;35;Bijleveld, E.;19;1;0;0;2;0;1;0;0;1;2;2;1;0;1;0;0;0;3;2;0;0;0;0;0;0;3
;;36;de Araújo Cerqueira de Brito, L.D.;108;4;11;7;6;4;2;6;0;4;1;1;9;4;6;2;1;1;6;12;3;1;1;2;4;7;3
2;Stadspartij Wageningen;;;3037;103;159;93;169;134;157;124;25;113;41;61;203;123;259;127;62;121;165;72;124;81;87;91;137;96;110
;;1;Minnaard, L.R.G.;1293;41;68;46;71;48;59;61;12;45;20;35;84;70;101;72;21;48;56;37;51;28;37;34;52;47;49
;;2;de Weerd, K.;139;5;6;5;8;8;6;5;0;4;1;3;13;5;18;6;1;5;12;6;6;2;7;1;2;2;2
;;3;van der Leeden, H.J.;329;10;26;4;14;18;31;6;4;11;2;4;16;14;22;17;3;10;35;4;9;9;10;15;20;6;9
;;4;Karel, W.M.;50;0;3;1;3;2;2;4;1;2;0;0;5;3;6;1;2;1;1;1;0;0;0;0;5;4;3
;;5;Bor, M.K.;539;24;23;16;25;28;17;18;6;28;12;10;33;13;45;15;13;20;22;4;25;26;16;21;31;22;26
;;6;Troost, M.;141;2;6;8;19;4;9;3;0;7;1;1;5;1;26;4;2;4;2;6;4;5;4;4;4;5;5
;;7;van de Vijver, C.A.D.M.;43;1;2;2;2;1;6;0;0;0;0;0;5;4;6;0;0;4;1;4;1;0;2;0;1;1;0
;;8;van de Beek, H.;13;0;1;0;0;0;0;1;0;0;0;0;2;0;2;0;0;5;1;0;1;0;0;0;0;0;0
;;9;Paans, R.A.;60;1;5;1;3;1;1;5;0;7;0;0;4;0;7;0;2;2;8;1;0;0;2;4;2;3;1
;;10;Hijman, I.M.;36;0;1;3;2;5;0;1;0;0;0;1;6;2;1;3;0;3;2;1;0;0;0;0;1;1;3
;;11;ter Maat, H.J.;85;5;2;0;6;12;6;3;1;1;0;1;6;3;3;2;3;3;4;2;6;4;1;0;5;3;3
;;12;Scheenen, P.G.J.;21;1;0;0;2;0;2;2;1;1;1;0;3;1;2;0;0;0;1;3;1;0;0;0;0;0;0
;;13;Chevallier, V.;9;0;0;2;0;0;2;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;14;Rijksen, E.A.;36;0;1;0;6;2;0;2;0;0;0;0;6;2;5;0;1;2;1;0;3;1;2;1;0;0;1
;;15;Lubbers, D.J.;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0
;;16;Holleman, R.J.;13;1;2;0;2;0;1;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;1;0;1
;;17;Lozano Torres, J.L.;13;1;0;0;0;1;3;1;0;0;0;1;0;1;0;0;2;0;0;0;0;1;0;1;0;0;1
;;18;Ruisch, A.G.;12;0;0;2;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;3;0;0
;;19;Kallo, M.;15;0;0;0;1;0;2;1;0;1;0;0;1;0;1;4;1;0;0;0;2;0;0;0;0;0;1
;;20;van Brakel, J.T.;22;1;1;0;0;0;1;3;0;0;0;0;1;0;4;0;3;2;0;0;4;0;0;0;1;0;1
;;21;Wildeman, G.H.;7;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0
;;22;Koedam, A.;19;2;4;0;0;0;2;0;0;0;0;0;3;0;2;0;1;2;0;0;1;0;0;1;1;0;0
;;23;Post, F.;13;0;0;0;0;1;3;1;0;2;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;1
;;24;van den Broek, L.R.;7;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0
;;25;Roelofs, F.T.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
;;26;Steevens, K.P.;4;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;27;Hellinga, J.H.;7;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0
;;28;Paans, R.W.;22;0;0;0;0;1;0;4;0;1;1;0;0;0;0;0;0;3;4;0;3;0;2;3;0;0;0
;;29;van Eijk, J.M.;28;1;4;1;2;0;2;1;0;0;0;1;4;0;4;1;0;0;3;0;1;1;0;2;0;0;0
;;30;Möller, F.;50;6;4;0;1;0;1;0;0;2;3;0;2;3;2;0;1;0;4;0;4;3;0;3;7;2;2
3;D66;;;2527;73;169;60;108;114;129;74;24;48;39;26;206;157;191;115;27;60;194;186;74;42;55;94;144;65;53
;;1;Hulshof, M.D.;1621;45;102;42;66;70;91;58;13;40;33;14;121;94;139;73;12;47;113;99;50;34;36;57;90;44;38
;;2;Kaper, L.S.;231;9;24;4;8;15;9;5;2;4;3;2;14;11;11;10;3;2;23;21;7;2;9;15;9;5;4
;;3;Peters, M.A.J.;131;6;10;3;6;5;4;2;0;0;1;1;19;6;8;11;2;0;11;9;3;1;1;2;12;4;4
;;4;Riesmeijer, M.B.;49;0;3;2;2;3;1;1;1;1;0;2;7;5;4;2;0;0;3;3;0;0;3;4;0;1;1
;;5;van Hal, R.G.;67;1;2;1;1;6;3;0;4;0;0;0;5;19;2;1;2;5;4;3;0;0;0;3;4;1;0
;;6;Vos de Wael, M.E.;40;3;2;1;2;1;2;0;1;0;0;1;2;1;2;2;0;1;6;6;1;1;3;0;2;0;0
;;7;Lammers, J.W.;23;1;0;1;2;1;1;1;1;0;0;0;6;0;1;0;0;0;1;2;1;0;0;0;2;2;0
;;8;Panis, S.;78;0;3;3;5;0;3;0;0;1;1;2;7;3;6;3;0;2;14;15;2;1;0;1;1;0;5
;;9;Solleveld, R.;58;2;6;0;2;1;3;2;0;0;0;1;6;1;4;0;1;0;7;13;2;0;0;2;5;0;0
;;10;de Wild, V.W.T.;47;2;6;1;3;1;0;0;1;0;1;1;1;5;2;0;1;1;4;5;1;0;0;1;9;1;0
;;11;Beukhof, G.;8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;1;1;0;0;1;1;0
;;12;van de Ven, A.G.M.;15;1;1;0;0;0;0;1;0;0;0;0;3;0;3;0;1;0;1;2;0;2;0;0;0;0;0
;;13;Jeurink, K.A.E.;18;2;2;0;1;1;0;0;1;0;0;1;3;2;0;2;0;0;0;1;0;0;0;1;1;0;0
;;14;Parlevliet, G.;10;0;0;0;0;0;2;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;2;1;0
;;15;Smits, P.H.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Kijlstra, S.Q.;7;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;1;0
;;17;Zwetsloot, M.A.C.;21;0;0;2;0;0;2;1;0;0;0;0;0;2;0;2;3;1;1;1;1;0;1;1;1;2;0
;;18;Jochems, F.;11;0;0;0;0;0;2;0;0;1;0;0;2;0;3;1;1;0;0;1;0;0;0;0;0;0;0
;;19;Giebels, M.M.T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;20;Geenen, H.G.M.;7;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Keijbets, M.J.H.;6;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
;;22;Dumrese, M.;18;0;4;0;0;6;1;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;2;0;0
;;23;van der Burgt, K.C.J.J.;8;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1
;;24;Toxopeus, P.A.;19;0;3;0;4;2;2;1;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;2;1;0;0
;;25;Gudden, D.M.;31;0;0;0;4;1;2;2;0;0;0;0;2;2;4;1;0;1;1;1;3;0;1;4;1;1;0
4;VVD;;;1603;35;106;38;101;59;77;35;20;28;20;12;129;119;115;153;32;43;96;67;43;36;41;56;60;39;43
;;1;Rozemeijer, B.J.A.;853;16;61;18;47;32;44;18;11;13;15;6;57;74;60;93;20;20;40;30;26;20;18;36;27;26;25
;;2;Koenders-Jollie, E;494;10;33;11;38;16;19;12;6;12;4;5;51;32;39;35;10;15;28;20;11;11;17;13;24;11;11
;;3;Hartman, M;34;1;1;3;0;0;2;2;1;0;0;0;4;3;2;4;0;3;4;0;0;0;0;2;2;0;0
;;4;Wevers, L.D.;40;1;3;1;2;1;2;1;0;0;1;1;2;1;4;1;0;2;6;4;1;2;2;0;1;1;0
;;5;Boef, J;32;2;1;2;4;1;2;0;0;1;0;0;2;0;2;2;2;1;3;1;0;0;1;2;1;1;1
;;6;Wilton, C.E.P.;43;1;2;1;3;2;2;0;0;2;0;0;2;3;2;1;0;2;7;8;0;0;2;1;1;0;1
;;7;van Deinsen, H.J.;8;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2
;;8;Kroes, M.H.;28;1;4;0;3;0;1;1;0;0;0;0;4;2;3;0;0;0;5;1;3;0;0;0;0;0;0
;;9;Agterberg, J.C.M.;14;2;0;0;0;2;1;0;0;0;0;0;1;1;0;1;0;0;1;3;0;0;1;0;1;0;0
;;10;de Boer, R.C.;10;0;0;1;2;0;1;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Hoebert, W.J.M.;22;0;0;0;0;4;0;0;2;0;0;0;0;0;0;11;0;0;1;0;0;0;0;2;1;0;1
;;12;Hotsma, P.H.;5;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;13;Scholte, I.P.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2
;;14;Blokzijl, B.;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Zuiderveen Borgesius, J.J.;13;0;0;0;1;0;1;1;0;0;0;0;1;2;1;4;0;0;0;0;0;0;0;0;2;0;0
5;Partij van de Arbeid (P.v.d.A.);;;2737;85;174;63;118;132;110;116;38;115;50;47;190;120;205;61;57;65;189;119;104;49;56;111;167;100;96
;;1;Janssen, A.M.E.;1684;45;97;36;69;86;70;75;26;64;29;32;121;83;125;49;38;40;118;56;64;35;30;72;113;64;47
;;2;van Amersfoort, M.P.;332;9;22;9;11;24;9;14;2;29;5;5;24;6;32;2;5;9;13;8;13;6;7;14;15;14;25
;;3;Kamerman, J.W.;80;4;8;1;2;1;4;3;0;1;1;3;8;9;3;2;0;2;5;5;3;0;2;4;6;2;1
;;4;van der Lingen, M.;128;7;13;3;18;1;3;3;0;1;1;0;3;1;5;1;4;1;16;19;2;3;6;3;8;2;4
;;5;Koster, J.A.;16;1;3;0;0;0;2;1;0;1;0;0;0;0;3;0;0;2;0;0;1;0;0;0;2;0;0
;;6;Eijkelenboom, M.J.;70;3;2;2;4;8;6;0;1;2;2;2;1;3;3;1;0;3;8;4;1;0;3;4;6;0;1
;;7;Vleeming, O.K.;56;0;0;1;0;3;1;5;0;4;1;0;6;1;3;0;5;2;3;0;10;1;1;0;0;4;5
;;8;Slaats, S.J.;26;0;1;1;1;0;1;2;0;1;0;1;0;0;1;0;1;0;3;9;1;1;0;0;2;0;0
;;9;Maijer, M.;38;3;2;2;2;3;0;0;1;1;1;1;5;0;1;0;0;0;4;4;3;0;2;0;0;3;0
;;10;Spitteler, P.G.;20;0;0;0;0;0;0;0;0;1;0;0;0;1;7;2;0;2;0;0;1;0;1;0;3;1;1
;;11;Paquaij, J.A.J.M.;4;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;Reid, S.M.;14;0;0;1;0;0;2;0;0;0;3;0;2;0;1;0;0;0;2;0;0;0;1;0;0;0;2
;;13;van den Berg, A.G.;23;1;4;0;2;1;1;2;0;1;0;0;3;1;2;1;0;0;1;0;0;0;0;1;0;0;2
;;14;Staarink, H.A.;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0
;;15;Teunisse, J.M.;8;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0
;;16;Trompetter, E.;16;1;1;0;1;1;0;0;1;0;0;0;1;2;1;0;1;0;3;1;0;0;0;1;1;0;0
;;17;van Asseldonk, K.R.A.W.;5;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;18;Mauritz-Assendelft, I.;10;0;1;0;1;2;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Snelders, S.A.;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;20;Elgersma, R.;11;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;0;0;1;2;2;0;0;0;1;0;0
;;21;Kroeze, J.;14;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;1;5;0;0;0
;;22;Stijns, D.;9;1;0;0;0;0;0;0;0;1;0;0;1;0;2;0;2;0;1;1;0;0;0;0;0;0;0
;;23;de Jong, C.;4;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;24;Keun, E.E.;18;0;0;0;1;0;1;0;0;0;0;1;1;7;0;0;0;1;0;1;0;0;0;1;1;0;3
;;25;Piepers, B.H.G.M.;26;0;2;1;0;0;2;0;1;0;0;1;2;1;6;1;0;0;0;1;0;0;0;3;0;4;1
;;26;Slegten, H.B.S.;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Naber, G.;6;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Vromans, C.J.;5;1;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Lange, H.J.;12;2;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;2
;;30;Touwen, S.J.;6;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
;;31;Kruitwagen, S.;8;0;4;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;32;de Boer, P.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Drissen, Y.F.A.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Jongedijk, G.P.;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Caldas Paulo, M.J.;13;0;2;1;0;0;1;1;0;1;1;1;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0
;;36;de Vries, E.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;37;Mauritz, I.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Dobbe-Dalgıç, H.;5;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;39;Grave, G.;16;0;1;0;0;0;0;0;0;1;0;0;2;1;2;1;0;0;3;0;0;2;0;0;3;0;0
;;40;Winsemius, R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;41;Apeldoorn, P.A.C.;4;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;42;van de Klift, J.C.;30;4;2;1;1;0;0;4;1;3;0;0;2;1;0;0;0;2;0;0;0;0;1;0;4;4;0
6;Connect Wageningen;;;1931;51;178;60;155;53;72;29;20;29;33;24;116;32;74;10;33;24;325;343;51;24;40;31;75;25;24
;;1;Alen, S.;739;29;53;21;59;25;38;13;6;16;14;8;38;17;46;5;9;6;104;125;20;13;14;13;23;10;14
;;2;Lasshab, H.;146;3;15;4;13;3;2;3;2;3;3;4;9;4;8;1;3;6;22;8;7;3;1;2;14;2;1
;;3;Thijssen, G.;37;1;1;1;1;1;2;2;0;0;1;2;3;2;2;0;0;1;8;4;1;0;0;0;3;1;0
;;4;Vonk, C.M.;269;6;27;14;24;5;7;2;3;3;5;4;14;2;4;0;5;2;55;54;6;2;7;5;8;4;1
;;5;Pieterse, S.R.;36;0;4;1;9;0;2;2;0;0;1;0;1;0;4;0;0;0;3;4;1;0;2;0;1;1;0
;;6;Oonk, E.J.;119;2;10;4;10;1;4;0;0;1;3;0;17;0;0;1;5;1;12;25;7;1;7;1;4;0;3
;;7;Günal, C.D.;105;1;20;2;12;7;2;2;1;1;2;1;1;0;2;0;8;0;7;25;2;0;3;0;4;1;1
;;8;Mekken, M.J.;29;0;6;1;1;0;2;0;0;0;0;0;2;2;0;0;1;1;3;5;1;0;2;0;2;0;0
;;9;Nooren, A.L.;73;0;2;1;7;0;3;0;2;0;2;1;8;2;0;1;0;0;16;20;0;1;1;0;3;2;1
;;10;van den Broek, T.J.D.;15;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;4;2;5;0;0;0;1;0;0;0
;;11;Marolli, A.;15;1;1;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;4;0;0;0;0;2;0;0
;;12;Groot, L.J.;31;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;10;0;0;0;2;0;0;1
