Verkiezing;;Gemeenteraad Wijchen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wijchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de gemeente;Meander;Jeugdhuis Woezik;Paschalisschool sporthal;De Markies;Dorpshuis De Waaijershof;Wijkgebouw Wijchen Oost;Brede school Noorderlicht/Sporthal;Sporthal Zuid I;Sporthal Achterlo I;Wijkgebouw Wijchen West/ Sporthal;Sporthal Achterlo II;Basisschool Speelhoeve locatie Kraaijenberg;Sporthal Zuid II;Kulturhus de Zandloper;Dorpshuis de Mijlpaal;Dorpshuis 't Ballegooijke;De Batenburcht;LTV Vormer;Sporthal de Slingert;Wijkcentrum De Brink;Dorpshuis de Oase;Huis van de gemeente;Huis van de gemeente;Jeugdhuis Woezik;Jeugdhuis Woezik;Sporthal Zuid;Sporthal Zuid;Sporthal Achterlo;Sporthal Achterlo
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31
Postcode;;;;;6602 DB;6601 AR;6604 CC;6604 AE;6603 CM;6606 AB;6603 AE;6601 DL;6605 HN;6601 XW;6602 WT;6601 XW;6601 RM;6605 HN;6617 BG;6616 AM;6613 AH;6634 AL;6602 NB;6605 DT;6603 JR;6603 CL;6602 DB;6602 DB;6604 CC;6604 CC;6605 HN;6605 HN;6601 XW;6601 XW
;;46;Pijnappel, W.A.M.;9;0;0;0;0;0;0;0;0;1;0;2;2;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
;;47;Jeurissen, R.G.P.;32;5;2;2;0;3;0;0;1;0;1;1;0;0;3;0;0;0;0;3;0;0;3;3;1;1;2;1;0;0;0
;;48;Westrik, C.;13;7;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Toorn, A;15;1;0;0;0;0;0;0;2;0;2;2;2;0;0;3;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;50;Loermans, P.L.J.;101;6;4;7;2;1;1;3;6;1;4;5;6;5;6;3;2;1;0;3;3;2;1;1;2;2;6;3;7;1;7
2;CDA;;;3141;208;99;143;71;111;48;96;111;96;57;233;46;55;113;139;59;76;20;67;154;151;148;163;256;69;88;66;87;58;53
;;1;Derksen, B.G.B.;1130;74;44;54;15;58;17;35;33;35;21;56;13;19;43;26;21;16;10;19;68;87;74;63;81;34;33;21;29;22;9
;;2;Hoogteijling, C.E.;246;17;10;13;13;9;1;2;8;9;7;25;4;4;17;2;3;3;2;6;9;6;11;14;15;3;8;4;8;8;5
;;3;Peters Sengers, J.G.F.M.;183;27;8;4;2;2;2;7;4;3;1;28;0;4;2;0;2;3;0;4;4;7;0;19;24;4;1;4;8;2;7
;;4;Joosse-de Visser, M.P.;158;4;1;6;2;1;1;4;1;3;0;2;2;1;2;81;21;3;3;1;7;2;1;1;3;0;0;2;1;0;2
;;5;Detiger, F.;146;6;5;19;7;6;0;3;13;8;2;7;2;5;4;1;0;2;0;3;8;6;4;4;3;8;5;3;3;3;6
;;6;van Wanroij, M.C.G.;37;2;1;0;0;1;0;0;0;0;0;12;0;1;0;0;0;0;0;0;1;1;2;4;4;0;1;0;3;2;2
;;7;Huisman, H.J.M.;127;14;6;3;5;2;0;6;1;2;4;7;4;1;3;3;0;0;0;2;8;4;4;15;22;1;1;2;3;1;3
;;8;Cuppen, H.A.M.;52;3;1;2;1;1;0;3;11;1;3;4;1;3;3;1;0;1;0;0;3;2;0;0;1;0;5;0;0;1;1
;;9;Hofmans, B.J.F.;85;2;0;2;2;6;0;0;2;5;1;0;0;0;6;0;0;31;0;0;11;6;5;2;2;0;0;1;0;1;0
;;10;Schouten, B.E.M.;565;29;18;16;9;7;12;29;17;16;6;68;16;12;19;8;6;13;5;21;10;14;25;33;60;12;23;17;19;12;13
;;11;Peek, H.G.;44;3;1;1;1;0;0;1;1;1;2;2;0;0;3;0;0;0;0;0;1;3;1;1;12;0;0;2;3;2;3
;;12;Bary, W.J.E.;37;3;0;2;1;0;0;2;1;2;0;8;0;3;2;0;0;2;0;0;1;2;1;0;2;0;1;2;0;1;1
;;13;van de Logt, J.C.M.;13;0;0;0;2;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;3;2;0;0
;;14;Roeleven, M.C.J.M.;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;15;Peters Sengers, A.S.;46;9;0;1;1;0;0;0;4;1;1;3;1;1;0;0;0;0;0;2;6;1;2;4;6;0;2;0;0;0;1
;;16;Rookhuijzen, S.M.;13;3;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0
;;17;de Bruijn, P.R.J.;52;3;1;1;6;14;0;0;3;0;3;0;0;0;2;0;0;1;0;3;0;2;7;0;3;0;1;1;0;1;0
;;18;van Dongen, J.G.M.;19;0;0;0;0;0;10;0;1;2;0;0;0;0;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;1;0
;;19;Smit, T.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kling, A.A.M.;27;2;0;6;4;0;0;2;2;0;0;0;0;0;1;2;0;0;0;0;2;1;0;1;2;0;2;0;0;0;0
;;21;Willems, H.;14;2;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;1;0;0
;;22;van der Wielen, H.W.J.;12;2;0;5;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
;;23;Poulisse, A.J.M.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;24;Vos, F.M.G;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;25;Hendriks, G.W.J.;15;0;0;1;0;1;0;1;0;1;0;1;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;1;2;1;0
;;26;de Bruijn, P.H.M.;20;1;0;0;0;0;3;1;0;1;0;0;0;0;1;0;0;0;0;0;3;0;5;2;2;0;1;0;0;0;0
;;27;Helmonds, J.H.M.P.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0
;;28;van Heugten, E.J.;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;29;Giesbers, G.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0
;;30;Caldenhoven, W.J.K.;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;31;Trum, J.F.M.;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
;;32;Borgers, R.R.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;33;Wiebe, A.F.T.;7;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0
;;34;Cuppen, W.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Laurant, M.H.M.;11;0;0;2;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
;;36;Vlootman, R.;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
;;37;Gerritz, A.G.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van den Broek, W.J.G.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;39;Schamp, W.H.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;40;Roelofs, A.W.F.G.J.;33;1;0;3;0;0;1;0;0;0;4;2;0;0;0;12;2;0;0;1;0;4;0;0;1;2;0;0;0;0;0
3;VVD;;;2228;207;68;131;62;56;87;50;52;65;38;124;34;45;79;111;40;69;53;60;149;106;55;102;93;55;82;37;44;31;43
;;1;Derks, N.G.;1140;121;43;70;38;27;5;25;36;31;21;66;15;28;44;21;21;20;17;26;93;61;30;53;53;36;49;19;23;18;30
;;2;Peters-Vroom, A.C.M.;264;9;5;14;8;5;75;3;6;4;3;9;1;6;7;7;6;6;2;9;18;14;4;7;2;4;6;9;7;6;2
;;3;Derks, M.F.W.;91;5;0;2;0;2;0;5;2;1;2;1;2;2;1;40;2;0;0;0;6;2;2;3;4;2;5;0;0;0;0
