Verkiezing;;Gemeenteraad Oldebroek 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oldebroek;;;;;;;;;;;;;;;;;;;;;
Nummer;;0269;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Heerdt;Luctorgebouw;Grinthuus;Pauluskerk;Kruiskerk;Sporthal Kamphal;Vredeskerk;De Brinkhof;De Bouwakker;De Zwikmeule;Erica Terpstrahal;Immanuëlkerk;Mobiel stembureau;Drive-through Gemeentewerf;Gemeentehuis maandag;Gemeentehuis dinsdag;Sporthal Kamphal maandag;Sporthal Kamphal dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;10;11;12;13;14;15;51;52;53;54;55;56
Postcode;;;;;8096 CP;8097 SE;8096 BR;8095 PX;8091 CK;8091 GA;8091 RC;8091 GR;8091 XS;8094 AM;8096 BB;8091 XA;8096 BE;8096 AX;8091 XX;8096 CP;8096 CP;8091 RC;8091 RC
;;15;Korenberg, H.;4;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;de Greef, G.J.;8;0;5;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;17;van der Meer, A.;5;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0
;;18;Bakker, W.C.;7;2;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Jonker, J.;12;2;0;1;1;0;0;0;0;1;0;2;0;1;0;1;1;2;0;0
;;20;de Pater, J.;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;21;Evink, J.;16;0;9;1;0;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0
3;Algemeen Belang Oldebroek (A.B.O.);;;1815;114;55;52;80;163;169;153;221;177;139;24;106;18;8;50;30;38;82;136
;;1;Boer, A.M.;842;45;19;33;34;75;62;78;109;66;79;14;52;10;5;22;19;17;35;68
;;2;Heddema, A.;170;2;2;0;6;31;19;12;20;29;16;0;6;0;1;2;0;2;5;17
;;3;Deij, J.;36;0;0;2;18;3;0;0;2;1;1;0;0;1;0;1;1;1;2;3
;;4;Sanders, W.J.;97;0;0;1;3;8;27;11;5;7;9;0;9;0;1;1;0;1;8;6
;;5;Deen, M.P.;280;37;9;10;12;12;14;23;32;20;16;9;22;6;1;4;5;9;20;19
;;6;Boer, J.G.;86;2;0;1;0;11;17;7;9;16;4;0;6;0;0;9;0;0;0;4
;;7;Evink, J.;117;6;4;1;2;13;4;4;25;20;8;1;3;1;0;2;2;1;7;13
;;8;Booij, R.J.H.;60;1;0;0;1;3;9;7;12;9;4;0;5;0;0;6;0;1;1;1
;;9;Pleijter, G.J.;31;3;14;1;1;2;0;2;1;3;1;0;0;0;0;3;0;0;0;0
