Verkiezing;;Gemeenteraad Neder-Betuwe 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Neder-Betuwe;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1740;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Opheusden;Sporthal De Biezenwei;Sporthal De Biezenwei;Sporthal De Leede;Ons Dorpshuis Kesteren;Sporthal De Linie;Dorpshuis Ochten;Gerrit van Riemsdijkhuis;Dorpshuis De Hoge Hof Echteld;Sporthal De Eng;Sporthal De Eng;Sporthal De Leede;Gemeentehuis Opheusden;Dorpshuis Ochten;Ons Dorpshuis Kesteren;Sporthal De Eng;Gemeentehuis Opheusden;Dorpshuis Ochten;Ons Dorpshuis Kesteren;Sporthal De Eng
Gebiednummer;;;;;1;2;3;4;16;17;18;19;20;21;22;23;26;27;28;29;30;31;32;33
Postcode;;;;;4043 KM;4043 NM;4043 NM;4041 JB;4041 XE;4051 BP;4051 AX;4053 JN;4054 MX;6669 CE;6669 CE;4041 JB;4043 KM;4051 AX;4041 XE;6669 CE;4043 KM;4051 AX;4041 XE;6669 CE
;;5;Verbrugge, E.;233;10;3;2;5;18;18;12;12;17;27;43;7;6;4;3;10;3;5;5;23
;;6;Dirksen, C.D.E.;58;0;0;0;0;2;8;12;3;0;0;1;2;0;7;0;2;0;20;1;0
;;7;Elzing, A.;11;1;0;1;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;3;0
;;8;Elzing-Platzer, M.E.;44;1;0;0;6;13;2;0;3;1;1;2;0;1;0;4;1;1;0;8;0
;;9;Gerritsen, J.A.J.;7;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;1;0
;;10;Pieren, C.H.;29;0;0;0;0;0;0;0;25;2;0;0;0;0;1;0;0;0;0;1;0
;;11;Nieuwenhuis, G.J.A.;22;1;0;1;5;6;0;0;0;0;1;0;4;0;0;1;0;0;1;2;0
;;12;Schouten, A.;54;0;0;0;1;0;16;10;4;9;0;1;0;0;7;1;0;0;2;1;2
3;Gemeentebelangen;;;1275;52;62;71;47;114;66;57;91;41;131;104;53;22;41;54;41;41;41;67;79
;;1;Groeneveld, A.;681;42;33;48;28;58;25;19;43;27;69;58;27;12;19;32;23;32;18;39;29
;;2;Hulsbergen, J.E.;121;0;1;0;0;6;21;19;11;5;8;5;1;3;17;2;3;0;13;5;1
;;3;de Regt, P.;13;0;0;4;1;2;0;0;0;0;2;0;0;0;1;0;1;1;0;0;1
;;4;van den Berg, J.C.J.;41;0;5;2;0;4;0;4;0;0;4;5;1;0;1;4;2;2;1;0;6
;;5;van Brenk, A.A.J.;71;1;2;0;0;5;7;12;16;1;8;3;3;0;1;3;0;0;6;1;2
;;6;Heijmans, D.P.;26;0;0;1;0;0;1;0;19;4;0;0;0;0;0;0;0;0;1;0;0
;;7;Scherrenburg-Reijneveld, E.W.N.A;79;0;0;2;12;21;1;1;0;0;0;0;14;0;0;10;0;0;0;16;2
;;8;Verwoert, A.T.;21;3;1;1;0;6;3;0;0;1;4;0;0;0;0;0;0;1;0;1;0
;;9;Groeneveld, M.;12;1;0;3;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;1
;;10;Mulder, M.E.P.;74;0;0;0;0;0;3;0;0;0;23;21;0;0;0;0;5;0;0;0;22
;;11;van den Brink-Reuser, J.H.;27;1;2;4;3;4;1;0;0;0;2;1;5;0;0;1;0;0;0;3;0
;;12;van de Peppel, M.;39;1;14;3;2;6;2;0;0;2;0;0;2;2;1;1;0;2;1;0;0
;;13;Roelofsen, L.J.D.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1
;;14;van Ingen, M.J.H.;41;0;0;0;0;0;0;0;0;0;11;10;0;0;1;0;7;2;0;0;10
;;15;Gunther, M.K.;24;2;4;3;0;2;2;2;2;1;0;1;0;1;0;0;0;0;0;0;4
4;CDA;;;1270;28;29;34;51;76;122;157;58;144;87;92;56;6;74;34;38;24;68;37;55
;;1;Hommersom, C.M.;462;9;6;14;19;28;46;48;24;100;15;16;16;4;27;13;14;6;23;17;17
;;2;van der Lugt, G.G.;53;0;1;1;2;3;5;13;2;0;0;0;2;0;1;7;1;3;8;1;3
;;3;van Dijkhuizen, W.E.A.;333;2;10;7;18;27;42;58;19;14;15;15;16;0;30;9;7;7;18;8;11
;;4;van de Bijl, H.;55;11;6;2;0;0;3;3;0;0;5;6;2;2;3;1;0;5;2;2;2
;;5;van Rheenen, C.;61;0;1;4;9;10;2;4;2;1;1;5;7;0;1;3;2;1;0;6;2
;;6;Gerritsen, C.;116;1;1;4;0;2;3;0;0;3;34;41;1;0;0;0;10;0;0;0;16
;;7;Buis, A.G.;59;0;0;1;0;1;10;21;1;4;3;1;0;0;3;0;0;0;12;2;0
;;8;van Dee, M.;20;0;0;0;1;0;5;1;6;3;1;0;3;0;0;0;0;0;0;0;0
;;9;van Beveren, P.J.M.;5;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1
;;10;Hommersom, M.;36;0;1;0;0;2;2;3;2;17;0;1;6;0;1;0;1;0;0;0;0
;;11;Keuken, A.;13;3;1;1;0;0;2;1;0;0;0;0;0;0;3;0;1;1;0;0;0
;;12;Rustenhoven, H.J.;6;2;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;;13;van Boheemen, P.J.M.;7;0;0;0;0;0;1;0;1;0;3;0;0;0;0;1;0;0;1;0;0
;;14;Kuenen-Dorrestijn, H.J.J.;15;0;0;0;0;1;1;3;0;2;0;0;0;0;5;0;0;1;1;1;0
;;15;Roelofsen, J.H.;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1
;;16;Olthoff, K.J.;3;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Oskam, E.J.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;Hermsen, J.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Gerritsen, H.;12;0;0;0;1;0;0;0;0;0;3;5;0;0;0;0;1;0;0;0;2
;;20;van Dijkhuizen, J.;6;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;2;0;0
5;VVD;;;1025;26;16;13;53;95;74;96;89;122;80;58;41;14;46;40;29;17;48;37;31
;;1;Bennink, A.H.M.;492;19;12;12;20;39;45;56;23;75;27;23;13;11;25;15;15;13;28;10;11
;;2;van Andel, N.;132;1;1;0;14;15;6;19;20;5;4;4;14;0;6;4;0;1;6;12;0
;;3;van Someren, S.H.R.;60;1;0;0;3;1;4;8;14;6;3;2;4;2;2;0;3;1;1;3;2
;;4;Heijstee, A.;73;1;0;0;13;26;0;0;0;1;0;0;8;0;2;13;1;1;0;7;0
;;5;Flores Guilarte, D.C.;76;1;1;0;1;8;4;4;7;23;1;3;2;1;5;6;1;0;2;2;4
