Verkiezing;;Gemeenteraad West Maas en Waal 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente West Maas en Waal;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0668;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis De Hucht;Dorpshuis De Uithof;Dorpshuis De Schuur;De Twee Linden;Gemeentehuis;MFA De Rosmolen;Kulturhus d'n Dulper;MFA d'n Hoender;'t Centrum;MFA Het Hanzehuys;VTC Wamel;Gemeentehuis (maandag);MFA d'n Hoender (maandag);Gemeentehuis (dinsdag);MFA d'n Hoender (dinsdag);Kulturhus d'n Dulper;Dorpshuis De Schuur;Dorpshuis De Uithof;MFA Het Hanzehuys;Dorpshuis De Hucht;VTC Wamel
;;3;Schellekens, H.P.A.M.;99;4;1;0;3;1;6;3;25;12;3;6;3;9;3;16;1;0;0;1;1;1
;;4;Romijnders, L.B.M.;45;0;0;0;6;10;6;2;3;0;2;1;6;0;3;0;1;0;0;0;0;5
;;5;Beijer, M.W.M.;44;1;0;0;0;2;2;20;0;1;0;4;0;0;2;2;8;0;0;0;1;1
;;6;Steenkamp jr., Th.G.M.;106;1;0;2;12;20;12;6;0;2;0;9;15;0;17;1;3;1;0;0;0;5
;;7;Verploegen, H.M.;24;0;0;0;0;2;1;0;0;0;0;16;0;0;0;0;0;0;0;1;0;4
;;8;van den Hurk, L.J.C.H.;19;2;0;0;1;7;3;1;0;0;0;0;2;0;2;0;1;0;0;0;0;0
;;9;Wiersma, T.;12;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;2;0;0
;;10;de Beer, A.J.A.;10;1;2;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1
;;11;Jagtenberg, J.W.;10;1;0;0;4;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;van der Poel, C.J.Th.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Salet, F.H.M.;11;0;0;0;5;0;2;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0
;;14;van Toor, P.G.;11;0;0;0;0;2;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0
;;15;Triemstra, E.R.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;16;Konings, A.J.P.;7;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;2;0;0
;;17;Steenkamp sr., TH.A.M.;17;0;0;0;1;2;8;1;0;0;0;1;0;0;2;1;0;0;0;0;1;0
;;18;van Grinsven, C.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Gelder, H.M.M.;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;20;Mulders, H.R.N.W.;3;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Sociaal Maas en Waal;;;999;79;19;36;48;110;81;133;56;33;46;96;65;26;92;22;15;8;5;9;6;14
;;1;Donkers, P.B.M.;404;19;5;12;25;63;51;16;17;7;18;34;40;6;64;6;4;2;1;5;3;6
;;2;Hooijmans, A.H.M.;63;1;0;0;6;9;5;3;0;0;2;18;7;0;7;0;2;0;0;0;0;3
;;3;Rubens, M.P.J.;151;0;1;4;4;5;8;97;3;2;1;4;5;6;4;0;5;0;0;0;0;2
;;4;Siegers, O.;22;0;0;0;2;5;2;4;0;0;0;0;5;0;4;0;0;0;0;0;0;0
;;5;Koornstra, A.M.;164;12;8;10;6;14;6;0;23;15;13;20;4;9;6;10;1;2;1;3;0;1
;;6;Kros, L.;9;0;0;0;0;4;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0
;;7;Derksen, S.;37;28;1;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;3;0
;;8;Olthoff, J.;27;4;0;0;0;0;0;0;5;5;0;4;0;1;1;4;0;0;2;0;0;1
;;9;Schipper, H.C.;19;0;3;10;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
;;10;Kuiper, D.;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;11;de Leeuw, M.A.J.;23;10;0;0;1;0;2;1;1;1;3;2;0;1;0;1;0;0;0;0;0;0
;;12;van der Donk-van Tiem, M.;39;0;1;0;3;7;3;10;1;0;0;2;3;0;5;0;2;0;1;0;0;1
;;13;Meerman, R.A.J.M.;11;3;0;0;0;0;0;0;0;1;6;0;0;0;1;0;0;0;0;0;0;0
;;14;Gerritsen, T.H.L.M.;10;0;0;0;0;2;0;1;0;1;0;6;0;0;0;0;0;0;0;0;0;0
;;15;Simonis, R.G.L.A.;5;0;0;0;1;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;van IJsseldijk, W.G.H.;4;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;17;van der Wal, N.C.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Kalshoven, J.G.;7;0;0;0;0;0;0;0;2;0;2;1;0;1;0;0;1;0;0;0;0;0
8;F.D. Boven-Leeuwen;;;671;3;0;1;1;12;0;536;1;1;1;3;7;0;8;0;95;0;0;0;1;1
;;1;Hensen, T.;145;0;0;1;0;1;0;114;0;0;0;1;3;0;3;0;22;0;0;0;0;0
;;2;van den Hurk, J.R.;79;0;0;0;0;3;0;59;1;0;0;0;0;0;0;0;16;0;0;0;0;0
;;3;Tijnagel, B.G.;38;0;0;0;0;1;0;32;0;0;0;1;0;0;0;0;4;0;0;0;0;0
;;4;van Doorn, H.J.O.;131;0;0;0;0;0;0;115;0;1;0;0;3;0;1;0;11;0;0;0;0;0
;;5;van Aanholt, G.;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;6;Jaspers, J.W.;18;3;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;7;de Keijzer, A.M.M.;11;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;8;de Ruiter- Coppes, M.P.;48;0;0;0;0;2;0;34;0;0;0;0;1;0;0;0;10;0;0;0;0;1
;;9;van Swam, A.P.M.;31;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;4;0;0;0;0;0
;;10;Tijnagel, M.G.M.P.;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;van der Wielen, P.C.J.M.;12;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;12;Doornewaard- Kessels, E.A.M.;20;0;0;0;0;0;0;15;0;0;1;0;0;0;0;0;4;0;0;0;0;0
;;13;van Eldijk, M.H.;20;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;14;Beijer, A.C.M.;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
;;15;Hommersom, W.;12;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;5;0;0;0;0;0
;;16;Verhoeven, G.G.G.;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Berendsen, H.A.C.J.;3;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Bull- den Bieman, F.C.M.;19;0;0;0;0;0;0;17;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;19;Tijnagel, M.;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Kruisbergen-Rijken, J.G.C.M.;13;0;0;0;0;1;0;10;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;21;Gorter, J.;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Halen, J.W.M.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;23;van Oijen- Noij, S.G.;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Tijnagel, G.A.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;25;van Dijk, B.A.G.;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;26;Janssen Steenberg- den Bieman, B.M.C.P.;11;0;0;0;0;0;0;9;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;27;Arentsen, A.G.;17;0;0;0;0;2;0;13;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;28;Bolk, W.A.L.;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
