Verkiezing;;Gemeenteraad Voorst 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorst;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0285;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Tennispark TC de Schaeck;Dorpshuis Voorst;Gymzaal Voorst 'De Wiekslag';Multifunctioneel Centrum 'De Pauw';Verenigingsgebouw Lawa Mena;Restaurant Bosgoed;Hof van Bussloo (Het Kleine Hof);Dorpshuis 'de Pompe';Voetbalvereniging Activia;Bibliotheek Twello;Gebouw PIGIKA;Dorpshuis 'op den Toega';Gymzaal Terwolde (ingang Schoolstraat);Dorpshuis 'de Arend';Stationskoffiehuis;Restaurant 'Korderijnk';Sportcafé Jachtlust;Trefpunt Duistervoorde;Dorpshuis Voorst;Dorpshuis Voorst;Gymzaal Terwolde (ingang Schoolstraat);Gymzaal Terwolde (ingang Schoolstraat);Sportcafé Jachtlust;Sportcafé Jachtlust
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Postcode;;;;;7391 TP;7383 CG;7383 XM;7382 CC;7391 KG;7384 DE;7383 RP;7384 BD;7391 JK;7391 DH;7391 AN;7395 PB;7396 NA;7397 NH;7391 EH;7391 EH;7391 BW;7391 AG;7383 CG;7383 CG;7396 NA;7396 NA;7391 BW;7391 BW
;;38;Bonekamp, M.G.;8;0;0;0;0;0;1;0;0;5;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;39;Grieving-Mulder, Y.H.M.;10;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;0;0
;;40;Bosscher-Couzijnse, I.;6;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Maters, P.;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
;;42;Meijer-Holleboom, H.J.A.M.;10;1;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;1
;;43;Kalter-Winkel, N.C.;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1
;;44;Spekreijse-Leferink, B.C.M.;5;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
;;45;Ooijman, S.F.M.;39;0;12;7;4;0;0;2;12;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Bosscher, A.;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;47;Kouwen-Vonder, J.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Bosch-Teering, W.H.G.;10;0;0;0;2;0;0;0;0;0;1;1;0;0;0;3;0;0;1;0;0;0;0;0;2
;;49;van der Sleen-Saunier, M.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0
;;50;Lagerweij-van der Wolf, M.I.;10;0;0;1;1;0;1;0;2;1;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0
2;VVD / Liberaal 2000;;;2001;172;72;47;101;39;95;73;86;65;121;106;100;169;70;96;101;108;64;15;23;24;37;92;125
;;1;de Weerd, J.E.;1024;74;29;24;62;20;45;36;47;32;43;49;39;126;54;48;49;47;34;4;9;23;26;36;68
;;2;van Amerongen-Elfferich, J.H.;302;31;8;4;14;9;13;8;12;18;35;10;7;8;5;21;22;19;8;5;2;1;2;21;19
;;3;Rutgers, G.A.;111;2;25;16;5;0;7;15;7;2;8;0;1;0;1;2;0;3;0;4;8;0;0;2;3
;;4;Suelmann, M.M.G.;165;15;1;0;3;2;6;6;1;3;13;30;1;3;2;15;12;17;6;1;3;0;1;11;13
;;5;Teunis, R.;62;10;2;0;1;3;3;0;2;0;1;6;1;1;1;1;2;7;6;0;1;0;1;8;5
;;6;ten Brummelaar, G.J.;11;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4;1;0;0;0;0;2
;;7;Veldhuizen, H.A.;7;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;1
;;8;D'Hert, G.A.J.M.;51;14;0;2;2;2;2;3;3;2;3;0;3;0;0;2;3;3;1;0;0;0;0;6;0
;;9;Pannekoek, M.;84;5;0;0;5;0;2;1;0;0;5;2;35;5;1;4;7;4;2;0;0;0;3;1;2
;;10;Ruitenberg, J.;10;0;1;1;0;0;1;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1
;;11;Oolman, H.E.;42;0;2;0;5;0;4;0;1;0;0;1;3;14;5;0;0;2;0;0;0;0;3;1;1
;;12;Eekhuis, J.;21;5;0;0;1;0;4;0;0;1;0;3;0;4;0;0;0;2;0;0;0;0;1;0;0
;;13;Hilgeman-Wingelaar, G.;22;9;0;0;0;1;0;0;1;1;1;0;0;1;0;1;2;1;0;0;0;0;0;1;3
;;14;baron van Lynden, J.G.L.;8;2;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
;;15;Tiemens-Wijngaards, J.H.W.;8;0;0;0;0;0;1;1;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;1
;;16;Brand, M.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;17;Hak-Schouten Hoogendijk, J.M.;11;0;0;0;0;0;3;1;2;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0
;;18;Eekhuis, W.J.H.;20;1;2;0;1;0;3;0;1;2;1;2;2;4;1;0;0;0;0;0;0;0;0;0;0
;;19;Schrijver, R.E.;16;0;2;0;0;1;0;0;6;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3
;;20;Bieze, H.L.;24;2;0;0;1;0;1;0;0;1;8;0;0;0;0;0;2;2;2;0;0;0;0;2;3
