Verkiezing;;Gemeenteraad Heerde 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heerde;;;;;;;;;;;;;;;;;
Nummer;;0246;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hanzeheerd, Brinkhoven;Dorpshuis de Heerd;Sportscenter Bijsterbosch;Gymlokaal De Rhijnsberg;Gemeentekantoor Heerde;Christelijk College de Noordgouw;Burgemeester Faberhal;Gymlokaal De Noord;Hervormd Verenigingsgebouw;Protestantse Kerk. Petruskerk;Sportzaal Wapenveld;Dorpshuis de Heerd 14 maart;Dorpshuis de Heerd 15 maart;Sportzaal Wapenveld 14 maart;Sportzaal Wapenveld 15 maart
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;ChristenUnie-SGP;;;1830;8;149;64;157;137;129;60;60;323;278;111;100;103;59;92
;;1;van der Rhee, G.;846;5;58;20;63;57;63;28;23;174;121;51;52;51;37;43
;;2;Moerman-Vreugdenhil, E.C.;185;0;22;14;27;18;21;11;4;10;12;6;18;17;2;3
;;3;Sellies, H.;142;0;13;5;11;14;10;1;2;31;23;13;7;6;0;6
;;4;van der Linde, B.J.;92;0;3;0;8;5;2;2;1;17;26;4;2;4;8;10
;;5;Stijf, D.;79;0;6;1;2;5;0;1;1;18;26;6;0;3;6;4
;;6;Regterschot, H.J.;23;0;1;0;1;2;1;0;0;7;7;2;0;0;1;1
;;7;Kamphuis, H.J.;9;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0
;;8;Verhoef, M.;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;9;van der Kamp, S.C.;12;0;0;0;0;0;0;0;0;4;3;0;1;0;0;4
;;10;Harink, K.;21;0;2;0;3;4;2;2;0;0;1;1;2;4;0;0
;;11;Stolk-Kers, G.J.;36;0;7;3;6;3;8;2;2;0;3;0;1;1;0;0
;;12;Nitrauw, J.;30;0;4;2;1;0;0;0;0;9;4;5;2;0;0;3
;;13;den Uijl, C.H.;30;0;6;2;7;9;4;0;1;0;1;0;0;0;0;0
;;14;Plas-Kuipers, J.J.;53;0;0;6;4;3;2;1;4;5;12;11;1;0;3;1
;;15;Hooglander, C.J.;15;0;4;1;0;0;0;2;0;0;1;0;2;5;0;0
;;16;Keizer, D.;16;0;1;0;0;0;0;0;0;11;1;0;0;0;0;3
;;17;den Boon, G.G.;34;1;5;5;3;3;1;4;0;3;1;1;3;4;0;0
;;18;Palm, H.;6;0;0;0;0;0;1;0;0;3;1;0;0;1;0;0
;;19;Vorderman, J.;42;0;0;2;2;2;1;0;15;7;7;3;0;1;0;2
;;20;Ekelmans, J.T.;9;0;0;1;2;2;0;1;0;0;0;0;2;1;0;0
;;21;Keizer, C.;9;0;1;0;0;1;1;0;0;3;3;0;0;0;0;0
;;22;Boer, E.S.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3
;;23;Rorije-van der Linde, M.E.;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3
;;24;Veltkamp, B.D.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;25;Bal, J.B.;4;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
;;26;Evink, A.;10;0;0;0;2;0;0;1;0;4;1;0;0;2;0;0
;;27;van Ittersum, M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Drenth, H.E.;6;1;1;0;0;1;2;0;0;0;0;0;1;0;0;0
;;29;Bosma, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van 't Oever, H.;5;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0
;;31;Rozendal, A.;12;0;0;0;0;0;0;0;0;1;7;1;1;0;0;2
;;32;Prins-Boer, C.;9;0;0;0;0;0;0;0;0;5;0;3;0;0;0;1
;;33;Tjabringa, J.O.;13;0;4;1;0;1;0;1;2;0;0;0;2;2;0;0
;;34;Hartkamp, G.P.;9;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1
;;35;van Norel, D.;18;1;4;0;5;3;2;2;0;0;0;0;0;1;0;0
;;36;Meuleman, M.H.;10;0;2;0;0;1;0;0;0;2;2;1;1;0;0;1
;;37;Pierik, H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;38;Broekhuis, J.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;39;Kersing, A.B.;3;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
;;40;Lensink, D.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Augustinus, J.;16;0;1;0;6;2;3;1;1;1;0;0;0;0;1;0
;;42;Tuinman, J.;11;0;3;0;3;1;3;0;0;0;0;0;1;0;0;0
2;CDA;;;1985;5;275;97;326;235;197;79;91;108;106;59;148;167;31;61
;;1;Nienhuis, S.J.L.;630;2;77;22;115;69;72;33;29;23;33;21;44;53;13;24
;;2;Grotenhuis-van der Horst, J.;145;0;23;8;18;21;13;5;9;8;10;6;10;9;1;4
;;3;van Ark, J.P.;506;3;45;22;69;57;25;12;27;52;53;19;46;44;10;22
;;4;de Gooijer, R.;283;0;54;23;56;34;31;15;11;8;3;8;14;24;1;1
;;5;Mateman, H.J.;114;0;15;7;16;20;9;4;0;4;2;1;16;14;2;4
;;6;Berghorst, J.G.;49;0;6;0;10;3;17;0;7;3;0;0;0;3;0;0
;;7;van Ark, H.A.;70;0;16;4;6;8;9;6;1;5;3;0;1;6;2;3
;;8;Berghorst-Koopman, H.A.;25;0;1;1;4;3;3;1;1;3;2;2;1;3;0;0
;;9;van de Streek, D.;41;0;9;1;9;5;5;0;4;1;0;0;3;2;0;2
;;10;Strikwerda, A.;34;0;9;1;7;4;4;0;1;0;0;0;5;2;0;1
;;11;Bijsterbosch, G.;12;0;2;0;1;3;4;0;0;0;0;0;2;0;0;0
;;12;Marissen, G.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;13;Nooteboom, A.H.;14;0;5;3;1;0;2;1;0;1;0;0;1;0;0;0
;;14;Graaff, H.;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Reil-Vorstelman, J.;13;0;1;0;3;3;0;0;0;0;0;1;1;4;0;0
;;16;Hogenbirk, F.L.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;17;van der Maten, E.;6;0;1;0;0;4;1;0;0;0;0;0;0;0;0;0
;;18;Reil, J.L.;13;0;7;1;3;1;0;1;0;0;0;0;0;0;0;0
;;19;Rübsamen, P.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;20;de Witte, D.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Crum-Okkens, P.;5;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0
;;22;van Noorel, H.J.;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
;;23;van der Maten, B.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;24;Stijf, G.;15;0;1;3;5;0;1;1;1;0;0;0;3;0;0;0
3;Gemeentebelang-Boeren Partij (GBP);;;1986;3;200;153;169;140;122;100;73;222;293;139;66;141;72;93
;;1;de Weerdt, W.;626;1;58;45;53;41;43;34;27;60;85;41;30;56;29;23
;;2;van Ommen, J.W.J.;295;0;13;11;7;11;14;10;7;58;70;34;4;11;18;27
;;3;Boeve, W.J.;202;0;6;10;3;5;4;6;7;45;48;23;5;6;14;20
;;4;Dokter, L.;324;0;60;39;45;34;21;22;8;11;24;14;10;25;3;8
;;5;Breunis, D.I.R.;130;1;18;9;18;9;14;10;11;3;10;7;5;12;2;1
;;6;Boeve, M.;11;0;1;2;1;1;1;1;0;0;2;0;0;0;0;2
;;7;van de Beek, I.;68;0;10;10;11;4;9;4;1;1;8;4;3;0;1;2
;;8;Overink, W.W.;47;0;6;7;9;3;4;0;2;0;2;0;3;11;0;0
;;9;Brommer, A.;34;0;8;4;5;3;3;0;1;0;7;0;1;2;0;0
;;10;Bronsink, D.H.;19;0;1;1;3;0;0;0;1;9;0;3;0;0;0;1
;;11;van Duren, A.J.;75;1;3;3;3;3;1;3;1;22;14;8;3;4;2;4
;;12;Bijsterbosch, A.E.;14;0;1;0;2;2;0;1;2;1;0;0;2;3;0;0
;;13;Visser, A.F.;16;0;2;0;1;1;0;0;0;2;2;0;0;2;2;4
;;14;Remmerts, K.P.;85;0;12;9;6;22;7;8;5;2;3;3;0;8;0;0
;;15;Jans, H.H.;6;0;0;0;1;1;0;0;0;2;1;1;0;0;0;0
;;16;Dijkslag, H.;25;0;1;1;1;0;0;1;0;4;16;0;0;1;0;0
;;17;Jans, H.J.;9;0;0;2;0;0;1;0;0;2;1;1;0;0;1;1
4;VVD;;;862;3;88;71;111;94;65;33;62;60;47;43;70;53;21;41
;;1;Hardam-Postma, G.J.;469;3;42;34;67;55;36;13;30;35;24;18;50;29;12;21
;;2;Oosterhof, P.;100;0;15;9;14;12;11;5;6;6;4;3;3;8;1;3
;;3;Niesen, C.;56;0;5;4;4;1;3;0;3;7;8;10;2;2;6;1
;;4;Stijnman, E.F.;30;0;2;6;2;1;3;10;0;0;1;2;2;0;0;1
;;5;Volkers, B.D.;81;0;13;9;15;10;2;3;6;4;0;1;8;6;0;4
;;6;Jalink, A.;68;0;8;6;7;10;7;2;10;1;2;2;5;7;1;0
;;7;Bunnik-van Loon, I.T.M.S.;58;0;3;3;2;5;3;0;7;7;8;7;0;1;1;11
5;D66 / GROENLINKS;;;1230;2;148;94;153;88;100;48;106;87;59;89;73;103;37;43
;;1;Landman, D.J.;631;1;74;52;75;45;47;30;47;46;27;42;40;60;19;26
;;2;van Amerongen, S.I.;197;0;33;14;20;13;19;9;12;22;4;9;11;20;8;3
;;3;Dikker Hupkes, J.G.;85;0;9;1;6;4;2;2;3;6;18;20;3;2;5;4
;;4;Kwekkeboom, G.;66;0;9;1;5;5;7;0;14;3;4;6;3;7;0;2
;;5;van Dijk-Bruins, A.;26;1;3;1;7;3;2;2;0;1;1;1;2;1;1;0
;;6;Goes, F.J.M.;51;0;12;9;5;2;5;1;4;2;1;3;3;4;0;0
;;7;van Apeldoorn-Kruissink, G.J.G.;35;0;2;2;4;5;2;2;4;0;1;2;4;4;1;2
;;8;Haverkamp, G.J.A.;23;0;0;0;13;2;4;1;1;0;0;1;1;0;0;0
;;9;Scheele, C.;11;0;2;1;0;2;1;0;2;0;0;1;2;0;0;0
;;10;Veerman, E.H.;31;0;0;3;14;1;4;1;3;1;0;0;2;2;0;0
;;11;van Apeldoorn, E.J.;4;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0
;;12;van Apeldoorn, H.A.F.;7;0;0;0;1;2;2;0;0;0;0;0;1;1;0;0
;;13;Groeneveld, E.P.A.;12;0;0;5;3;2;2;0;0;0;0;0;0;0;0;0
;;14;Noë, P.M.;8;0;3;3;0;1;0;0;0;0;0;0;0;1;0;0
;;15;Schnitzler, W.T.;18;0;0;0;0;0;0;0;16;0;1;0;0;1;0;0
;;16;van Zwet-Jansen, M.P.;25;0;1;1;0;0;3;0;0;6;2;2;1;0;3;6
6;Partij van de Arbeid (P.v.d.A.);;;927;3;127;51;113;119;70;57;29;34;72;44;69;89;28;22
;;1;Stapper-Bosman, M.L.;461;2;55;26;41;58;30;23;15;27;51;28;29;43;21;12
;;2;Buist, S.;125;0;15;4;27;16;11;9;5;1;8;3;8;16;2;0
;;3;Blaauw, A.M.R.;70;1;13;6;3;11;7;2;1;0;3;4;12;4;0;3
;;4;Dijkstra, E.W.;57;0;12;4;3;13;10;2;0;0;3;4;3;0;2;1
;;5;Mast, P.A.M.;24;0;6;0;5;0;1;0;4;0;2;0;2;4;0;0
;;6;Kanter, J.H.E.;24;0;6;0;4;3;0;3;0;1;0;1;3;1;2;0
;;7;Wilson, I.C.;15;0;0;1;1;0;1;9;0;0;0;0;3;0;0;0
;;8;den Boef-Roeke, J.H.;26;0;4;3;8;5;1;0;2;0;1;0;2;0;0;0
;;9;den Boef, H.;29;0;3;3;2;4;2;0;0;3;0;2;0;10;0;0
;;10;Tigchelaar, A.J.;12;0;0;0;8;0;0;1;0;0;0;0;1;2;0;0
;;11;Bos, G.;12;0;0;0;0;1;1;0;0;2;3;2;0;0;0;3
;;12;Bögemann, H.A.M.;8;0;0;0;1;2;2;0;0;0;1;0;0;0;0;2
;;13;van der Vliet-Verloren van Themaat, M.M.;4;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1
;;14;Peeman-van Cadsand, J.J.;6;0;1;2;0;0;0;2;1;0;0;0;0;0;0;0
;;15;Noordberger, A.;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;16;Horst, B.;52;0;12;2;9;6;3;6;1;0;0;0;5;7;1;0
