Verkiezing;;Gemeenteraad Montferland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Montferland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Albertusgebouw;DSV Relax;Albert Schweitzerschool;Cafe-restaurant Uniek;Gemeentehuis;'t Hart van Loil (voormalige kerk);Verenigingsgebouw de Meikever;Gouden Handen;het Willem van den Berghcentrum;Laco sportcentrum;Dorpshuis Lengel;Dorpshuis Zeddam;"'t Gildehuis ""st Oswaldus"" Stokkum";Sportpark Gerrit Dieker;De Averhof;Partycentrum  De Dèèl;zaal van 't Kelrehuus;clubgebouw voetbalvereniging Azewijn;Mariakerk te Didam;Gildehuis 'St. Oswaldus' Zeddam;Zuidzon Sportzaal 't Raland;Drive-through Gemeentewerf Beek;Gemeentehuis (stemmen 14 maart 2022);Gemeentehuis (stemmen 15 maart 2022);Gouden Handen (stemmen 14 maart 2022);Gouden Handen (stemmen 15 maart 2022)
;;27;Lukkezen, A.J.M.;10;0;0;0;0;0;0;0;0;1;0;3;1;0;0;2;0;0;0;0;1;0;0;0;0;2;0
;;28;Geers, R.G.J.M.;11;0;0;1;0;0;0;0;2;1;1;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;29;Bernasco, R.O.;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1982;171;114;95;141;63;67;48;73;49;40;65;135;34;142;76;52;193;18;100;32;8;8;72;89;38;59
;;1;Wolsing, I.T.J.M.;1044;102;85;70;106;42;50;37;34;23;26;27;47;12;11;61;49;15;13;68;6;3;6;45;52;21;33
;;2;Rutting-Baars, E.T.J.M.;255;3;4;1;2;2;3;1;4;5;3;22;45;5;104;2;1;8;2;3;12;1;0;2;2;6;12
;;3;Peters, D.T.A.M.;178;31;17;15;20;12;5;9;3;0;1;1;6;1;0;4;0;1;1;14;0;3;1;14;17;0;2
;;4;van Moll, J.;61;3;0;0;4;0;0;0;14;10;6;5;2;3;0;1;0;0;0;1;0;0;1;1;0;4;6
;;5;Ewald, P.A.M.;50;15;4;2;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;1;0;4;5;1;0
;;6;Wessels, J.D.;16;1;0;2;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0
;;7;Thijssen-Elshof, H.A.M.;33;0;0;0;0;1;0;0;12;3;3;5;0;0;0;0;0;4;0;0;0;0;0;1;0;2;2
;;8;Hofstee-Timmerman, M.E.;9;0;0;1;0;0;0;0;0;0;0;2;0;4;0;1;0;0;0;1;0;0;0;0;0;0;0
;;9;van Kranenburg-Cribbelier, J.C.;46;0;0;0;0;0;0;1;0;0;0;1;27;0;1;0;0;0;0;0;12;0;0;0;1;0;3
;;10;Burgers-Krus, H.J.G.;191;2;0;0;4;0;1;0;3;4;1;0;4;2;0;3;1;161;0;0;0;0;0;1;3;1;0
;;11;Menting, A.A.J.;15;1;1;0;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;2;1
;;12;Jansen, H.A.T.M.;25;0;0;0;0;0;0;0;0;0;0;0;2;0;17;1;0;2;2;0;1;0;0;0;0;0;0
;;13;Zwarteveen, F.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
;;14;Baars, F.T.H.;23;0;0;0;2;0;0;0;1;1;0;2;2;0;9;2;0;2;0;0;1;0;0;0;0;1;0
;;15;van Zomeren, J.;6;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Straatsma, B.J.;13;7;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0
;;17;van Pelt, C.C.M.;13;2;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0
5;VVD;;;1367;69;70;78;187;54;44;75;52;24;16;42;123;16;38;69;47;55;10;85;29;11;13;47;73;12;28
;;1;Som, M.G.E.;808;46;53;55;128;36;33;47;25;11;9;16;31;12;16;53;31;27;8;58;4;8;6;30;47;5;13
;;2;Berntsen, J.J.A.M.;163;1;1;2;0;1;0;4;7;3;4;6;81;1;6;4;4;6;1;1;18;0;1;0;0;4;7
;;3;Steenkamp, M.J.A.;73;3;7;9;5;3;4;1;1;2;0;1;2;0;2;7;6;0;1;7;1;2;0;3;6;0;0
;;4;Cornelissen, W.W.J.;84;6;1;2;25;9;3;11;0;0;1;0;1;0;0;0;0;0;0;4;0;1;1;8;11;0;0
;;5;Tomas, H.P.L.;8;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;6;den Exter, A.J.C.;52;2;2;5;9;1;2;3;1;0;1;0;3;3;1;1;2;1;0;5;1;0;4;3;2;0;0
;;7;Scholten, J.G.;12;0;0;0;0;2;0;2;2;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;2;0
;;8;Verstegen, R.F.;51;0;0;0;0;1;0;0;13;6;1;19;0;0;1;0;0;0;0;0;1;0;0;0;0;1;8
;;9;van der Donk, D.J.;25;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;20;0;0;0;0;0;1;0;0;0
;;10;Tomesen, W.J.M.;13;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;1;0;0;0;3;0;0;0;0;0;0
;;11;Gerritsen, J.;10;3;0;0;1;0;1;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;12;Hakkers, F.J.;27;3;3;1;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;3;0;0
;;13;Reesing-Som, C.M.W.;41;4;0;4;13;0;1;2;1;2;0;0;1;0;1;2;1;1;0;3;1;0;1;1;2;0;0
6;D66 Montferland;;;968;39;30;35;41;28;28;31;61;52;32;22;94;109;17;67;39;30;5;34;19;14;15;27;28;17;54
;;1;van Dijken, P.W.;412;16;10;12;17;15;12;13;24;23;15;9;35;83;7;19;9;16;3;9;4;7;2;10;13;10;19
;;2;Heebing, M.R.W.;84;1;0;4;0;1;3;2;2;2;0;4;3;1;1;28;18;1;0;2;0;0;6;2;2;0;1
;;3;Mijnen, G.J.M.;247;10;6;6;8;5;5;9;21;20;13;5;30;25;8;7;5;11;1;9;3;4;1;7;7;5;16
;;4;Otten, T.;17;1;0;1;0;2;0;1;2;0;0;0;0;0;0;3;2;1;0;2;0;0;2;0;0;0;0
;;5;Seegers, G.W.M.;17;0;0;0;0;0;0;0;4;1;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5
;;6;Oudmaijer - Carbajo, S.H.;99;9;11;10;15;3;6;5;1;1;3;0;1;0;0;3;2;0;0;12;0;2;2;5;5;0;3
;;7;Harmsen, R.;10;0;0;0;0;0;0;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4
;;8;de Bruijn-Politiek, J.J.H.;50;1;0;1;0;0;0;0;2;1;0;0;25;0;0;1;0;0;0;0;12;0;1;2;1;1;2
;;9;Wiendels, N.;15;1;3;1;1;1;2;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1
;;10;Hellegers, S.J.;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0
;;11;Fokkinga, J.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;12;van der Duin, F.A.B.;7;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
7;Helder;;;3066;294;279;241;327;142;449;252;40;22;31;12;52;23;32;69;55;67;16;250;14;36;18;143;177;11;14
;;1;Mos, J.R.;1430;151;126;102;151;61;360;44;15;12;6;7;27;8;14;27;33;18;4;89;9;22;6;56;75;3;4
;;2;Straatsma-Mennings, K.J.T.;558;52;54;55;76;28;19;154;4;2;0;0;5;3;5;10;4;2;0;31;1;4;1;27;17;4;0
;;3;Schepers, A.W.G.;350;38;37;29;40;23;32;6;1;1;0;2;1;0;2;4;3;0;0;56;0;5;2;23;43;0;2
;;4;Hultermans, I.A.C.J.M.;128;16;20;22;11;4;10;5;0;0;2;0;4;0;0;1;1;0;0;21;0;1;1;1;8;0;0
;;5;Mentink, J.B.;97;15;19;11;13;4;2;3;0;0;0;0;0;1;0;0;0;0;0;6;0;1;0;9;12;0;1
;;6;de Groot, J.;37;0;0;2;0;0;0;0;0;1;1;0;1;1;0;18;10;0;0;0;0;0;0;0;3;0;0
;;7;Gramentz, E.;56;0;0;0;0;0;0;0;13;4;20;3;3;7;0;1;0;0;0;0;1;0;0;0;0;2;2
;;8;de Swart, A.B.J.;60;4;8;4;9;1;1;4;0;0;0;0;0;0;0;0;0;6;0;15;0;0;2;4;2;0;0
;;9;Kobessen, M.V.J.;28;0;0;1;0;0;1;1;2;1;1;0;1;2;0;0;0;1;12;2;1;0;0;1;0;1;0
;;10;Redlich-van der Sande, P.C.G.;56;0;0;3;2;0;2;0;0;0;0;0;3;0;2;0;1;37;0;0;0;0;2;2;2;0;0
;;11;van Maanen, M.M.;9;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;2;1;0;0
;;12;van Halteren, N.A.H.;20;1;0;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;4;0;4
;;13;Pollmann, W.G.M.;46;1;4;4;3;3;5;8;4;0;0;0;0;1;0;0;0;0;0;8;0;0;0;3;2;0;0
;;14;Wigman-van Alst, M.J.T.;19;3;1;0;2;3;0;1;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;3;1;0;0
;;15;Niels, R.B.M.;7;0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Hieltjes, W.H.M.;23;0;1;0;1;0;4;14;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Maat, H.A.;8;1;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0
;;18;Godschalk, J.B.A.M.;23;7;1;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;2;0;0
;;19;Debbink, A.J.S.;51;2;2;1;11;2;6;5;0;0;0;0;1;0;9;0;2;1;0;4;0;0;1;3;1;0;0
;;20;Godschalk, W.A.P.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Manen, R.A.;12;0;0;0;0;4;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0
;;22;ter Horst-Castrop, A.H.A.M.;15;0;1;1;0;1;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;3;0;1;1;1
;;23;van Maanen, F.B.A.;15;1;0;0;1;5;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0
;;24;Nijbacker, A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;25;Buiting, R.J.;15;1;2;3;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0
