Verkiezing;;Gemeenteraad Epe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Epe;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0232;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Buurthuis Vegtelarij;Voormalige basisschool Zuuk;Hervormde gemeente Goede Herderkerk;Regenboogkerk Epe;Buurthoeve;Eper Veste;S.V. Wissel;Wijkvereniging Burgerenk;Hervormde Gemeente Sionskerk;De Hezebrink;Verenigingsgebouw De Hoeksteen;Kulturhus Oene;Gereformeerde Tabernakel kerk;Zwem- en Sportcentrum De Koekoek;Clubgebouw c.s.v. VIOS;Dorpscentrum De Wieken;Evangeliecentrum Woord en Daad;Clubhuis Handbalvereniging C.V.O.;Kerkelijk Centrum De Rank;Clubhuis Korfbalvereniging Regio 72;Gemeentehuis;Gemeentehuis;Evangeliecentrum Woord en Daad;Evangeliecentrum Woord en Daad
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;8161 EE;8161 ZA;8161 RJ;8162 VW;8162 HA;8162 XC;8161 AG;8162 PR;8162 ZV;8161 VV;8166 AL;8166 AT;8167 NL;8171 EH;8171 VH;8172 CN;8171 CE;8171 AC;8171 NB;8171 CP;8171 NB;8161 EE;8161 EE;8171 AC;8171 AC
;;2;Kerkmans, M.;94;4;3;3;1;5;5;12;0;3;2;6;3;6;3;0;3;3;12;3;1;5;0;4;0;7
;;3;Halkers, L.;350;48;22;10;9;33;20;58;32;21;15;7;3;7;5;2;0;2;0;0;0;0;21;35;0;0
;;4;van den Berg, N.;34;1;1;1;1;1;0;3;3;0;3;0;0;1;1;3;1;2;4;0;3;2;0;2;0;1
;;5;de Vries, E.;234;17;5;10;2;8;5;20;13;9;3;17;9;11;11;18;3;9;10;5;2;7;11;14;7;8
;;6;Kerkmans, P.;17;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;12;0;0
;;7;Cramer, B.A.;88;23;7;0;6;7;9;16;5;4;3;1;0;4;0;0;0;1;0;0;0;0;1;0;1;0
;;8;Pol, A.;35;0;1;0;0;0;0;0;0;1;0;3;0;0;3;2;5;4;4;0;5;2;3;0;0;2
;;9;Lagerweij, D.J.;75;3;3;4;3;2;3;8;17;5;2;6;2;1;4;4;0;0;0;0;1;0;2;4;0;1
;;10;Groenewegen, E.H.;16;0;0;1;1;0;0;0;0;1;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Gorter, O.O.;28;6;0;1;0;0;1;5;7;1;0;1;0;0;2;0;1;0;2;0;0;0;0;1;0;0
;;12;Gorter, D.T.;38;4;3;2;0;4;6;6;0;1;3;1;2;2;0;0;0;0;0;0;0;0;1;3;0;0
;;13;ter Linden, R.J.G.;8;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;3;0;0;0;0;0;0;1
;;14;Lagerweij, J.W.;46;2;3;1;0;1;2;9;3;2;3;5;2;0;1;0;0;0;0;0;0;0;8;4;0;0
4;SGP-ChristenUnie;;;2035;96;37;79;60;68;57;44;46;79;59;150;214;320;70;75;56;52;173;33;44;60;44;60;34;25
;;1;de Ruiter, F.;822;43;8;24;19;27;26;19;14;23;25;69;108;125;23;25;17;20;84;18;13;27;22;22;12;9
;;2;de Waard-Oudesluijs, C.M.;378;17;9;14;17;17;8;8;8;22;11;26;27;60;21;17;7;5;14;4;11;10;13;19;7;6
