Verkiezing;;Gemeenteraad Elburg 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Elburg;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0230;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Oostendorp;Clubhuis Tennisclub Elburg;Kulturhus 't Huiken;Gym lokaal de Wimpel;Hervormde Oosterkerk;Dorpshuis De Deel;Dorpshuis Ons Huus;Hervormde  Kerk Elim;Kantine SV 't Harde;Hervormd Kerkelijk Centrum;Wooncentrum Hart van Thornspic;Stembureau Unit 1;Mobiel stembureau zorginstellingen;TechLab;Gemeentehuis Oostendorp (maandag);Dorpshuis de Deel (maandag);Gemeentehuis Oostendorp (dinsdag);Dorpshuis de Deel (dinsdag);Kantine SV 't Harde (maandag);Stembureau Unit 1 (maandag);Kantine SV 't Harde (dinsdag);Stembureau Unit 1 (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;12;14;50;51;55;141;146;151;156;1410;1450;1510;1551
Postcode;;;;;8081 LA;8081 BS;8081 VS;8081 JS;8081 DN;8085 AP;8085 PE;8084 HB;8084 PB;8081 CL;8085 BW;8084 HK;8084 VB;8082 CA;8081 LA;8085 AP;8081 LA;8085 AP;8084 PB;8084 HK;8084 PB;8084 HK
;;5;ten Have-Schoonhoven, E.H.C.;75;7;8;15;6;5;2;3;2;4;7;0;1;0;1;2;0;7;0;1;0;4;0
;;6;Lamberink, J.R.;25;2;1;1;3;1;5;1;0;3;0;2;0;0;1;0;2;2;0;0;0;1;0
;;7;Rozeboom, R.;52;2;3;1;1;2;15;14;1;2;0;3;0;0;2;0;0;0;4;0;0;2;0
;;8;Visch, H.;28;0;1;1;2;4;0;3;6;6;0;0;0;0;0;1;0;0;0;2;1;1;0
;;9;Lokhorst, L.;53;0;2;2;1;1;19;5;0;6;0;3;0;0;2;1;3;2;6;0;0;0;0
;;10;Daalmeijer, J.A.;14;1;2;1;2;1;0;2;0;1;0;0;0;0;2;0;0;1;0;0;0;1;0
;;11;van de Werfhorst, A.;18;0;0;1;0;0;8;0;0;1;0;3;0;0;0;0;0;0;5;0;0;0;0
;;12;van Loo, J.;15;0;1;2;0;0;0;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Reurink, H.;13;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;4;0
;;14;van Loo, W.;16;0;0;0;0;0;0;6;1;7;0;0;0;0;0;0;0;0;0;2;0;0;0
;;15;Vinke, L.;4;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Nagelhoud, A.;18;0;1;2;0;3;0;2;5;2;0;0;0;0;2;0;0;1;0;0;0;0;0
;;17;van Loo, B.G.;4;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;18;Gardebroek, H.;5;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;19;Visser, A.B.;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Hartholt, G.;6;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;1;0;0;0;0
;;21;Hofmeijer, G.;9;0;0;0;0;0;0;6;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;22;Sneller, E.;5;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;Olthuis, L.J.;27;0;0;0;0;0;1;2;7;13;0;0;0;0;0;0;0;0;0;4;0;0;0
;;24;Rozeboom, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Witter, H.;4;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;26;Wijnne, G.R.;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Norel, J.;5;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;28;Bosch, H.;9;4;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0
;;29;Hoekert, D.;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Sijbel-Leeflang, G.J.E.;6;0;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van de Weg, B.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Deutekom, J.W.;3;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Broekhuizen, J.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Polinder, R.;3;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;35;Aalberts, G.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Putten, G.J.;8;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;3;0;1;0
;;37;van de Poppe, D.;3;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;38;Visscher, G.J.;10;2;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;39;Vinke, E.;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Compaijen, B.;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Smit, G.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0
;;42;van de Maaten, H.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Zoet-Uit de Fles, J.A.;6;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van den Hoek, G.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van de Schootbrugge, M.;6;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;;46;van der Wiel, L.;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van Geest-Groothuis, A.;12;6;0;3;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;48;Wijnne, B.;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;49;van Deutekom, H.;6;0;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
;;50;van Loo, B.;9;0;0;0;0;0;2;1;2;0;1;0;0;0;0;0;0;0;2;1;0;0;0
3;Elburg Beleid / PvdA;;;1760;120;130;206;224;101;39;38;120;126;157;16;25;0;37;112;16;138;16;62;3;66;8
;;1;Schipper, J.D.W.;532;36;35;61;76;28;12;11;46;39;34;6;10;0;8;41;5;34;2;25;1;21;1
;;2;Oosthoek, N.J.;336;15;28;37;40;23;4;6;25;32;28;2;4;0;15;21;3;29;4;5;0;13;2
;;3;Bijl, W.;58;5;5;9;7;3;1;3;4;2;1;0;0;0;0;5;3;5;0;1;0;4;0
;;4;Tekamp, A.H.;80;2;1;6;6;3;9;4;4;12;1;7;3;0;2;2;2;4;6;2;0;3;1
;;5;van Andel, P.R.;70;6;4;12;4;4;1;0;7;0;9;0;0;0;0;8;1;13;0;1;0;0;0
;;6;Grigoryan, L.;128;13;15;27;17;8;2;3;5;2;7;1;2;0;0;13;1;5;0;2;1;2;2
;;7;Vonk, E.J.;50;6;3;2;14;0;1;0;9;6;0;0;2;0;0;0;0;1;0;3;0;2;1
;;8;Smulders, M.;28;3;4;3;4;2;0;1;0;1;4;0;0;0;2;3;0;0;0;1;0;0;0
;;9;Clement, M.;33;13;0;1;5;4;0;0;1;0;4;0;0;0;0;3;0;2;0;0;0;0;0
;;10;Schakelaar, H.;25;2;0;1;2;2;0;0;0;6;0;0;0;0;4;0;0;4;0;2;0;2;0
;;11;Hemming, B.;26;0;1;1;4;1;0;0;0;1;8;0;0;0;0;0;0;3;1;1;1;4;0
;;12;Kramer, J.M.;33;1;0;5;4;1;1;0;1;4;5;0;0;0;0;2;0;3;0;4;0;2;0
;;13;Vonk, S.;39;2;0;3;9;4;0;2;2;1;5;0;0;0;0;1;0;3;0;4;0;3;0
;;14;Pruis, B.;101;7;14;8;15;8;2;4;0;0;23;0;1;0;3;4;0;10;0;1;0;0;1
;;15;Hut, J.L.;28;0;0;1;1;0;0;0;7;6;0;0;1;0;0;0;0;2;0;5;0;5;0
;;16;van den Heuvel, A.K.;11;5;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0
;;17;Erdkamp, J.H.M.;40;0;8;10;5;0;0;0;0;0;10;0;2;0;0;2;1;0;2;0;0;0;0
;;18;Boersma, M.J.;24;1;2;6;2;1;0;2;0;0;4;0;0;0;1;0;0;5;0;0;0;0;0
;;19;van Dam, A.;8;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0
;;20;van Loo, H.M.;25;1;6;1;2;2;0;1;1;0;7;0;0;0;1;2;0;1;0;0;0;0;0
;;21;Roest, M.R.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;22;van Midden, J.;8;0;2;2;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Stel, A.;11;0;0;1;1;4;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0
;;24;Fidder, A.;4;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;Vromen, H.M.W;4;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;26;van 't Oever, L.;14;0;0;4;1;0;0;0;2;0;1;0;0;0;1;1;0;4;0;0;0;0;0
;;27;Ponsen, M.;11;0;0;0;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;2;0;2;0
;;28;Hulst, H.L.;4;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
;;29;Schaap, W.;9;1;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0
;;30;Booij, M.J.;18;0;0;0;2;0;4;1;2;6;0;0;0;0;0;0;0;1;1;0;0;1;0
4;Staatkundig Gereformeerde Partij (SGP);;;1643;104;66;71;74;69;275;250;112;99;15;207;4;7;16;24;67;53;67;15;7;40;1
;;1;Klein, A.J.;1060;87;44;60;48;48;150;143;84;67;14;119;4;5;11;20;34;39;35;11;3;33;1
;;2;Valk, J.W.;190;0;5;2;7;6;35;52;5;10;0;34;0;0;0;0;16;3;11;1;0;3;0
;;3;Bok, D.;51;0;3;1;3;1;14;5;3;1;0;8;0;0;0;0;0;3;5;0;1;3;0
;;4;Vernooij, A.A.;28;6;2;4;0;4;1;0;2;1;0;3;0;0;1;0;2;2;0;0;0;0;0
;;5;van Deelen, A.H.;81;2;0;0;4;7;26;9;6;4;0;10;0;0;0;0;3;3;5;2;0;0;0
;;6;Docter, P.;71;4;9;1;3;0;25;7;3;1;0;8;0;0;2;0;0;2;5;0;1;0;0
;;7;van Hattem, J.;4;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;8;Polinder, J.;16;3;0;0;1;0;2;2;0;1;1;3;0;0;0;0;1;0;2;0;0;0;0
;;9;Klepper, K.;8;0;0;0;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;1;0
;;10;Wijnne, G.;15;0;0;0;6;0;1;1;1;0;0;0;0;1;1;2;0;0;1;1;0;0;0
;;11;uit de Fles, E.;5;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
