Verkiezing;;Gemeenteraad Zaltbommel 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zaltbommel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gasthuiskapel;Pand 9;Sporthal Buys Ballot 1;De Grote Aak;de Poorterij;Sporthal Buys Ballot 2;Dorpshuis Kerkwijk;Eben Haëzer Bruchem;Kerkelijk Centrum Elim;Ons Trefpunt;Dorpshuis de Gaarde;Huis Brakel;De Wilhelminahof;Dorpshuis Podarwic;Dorpshuis den Ham;'t Kruispunt (Stembureau 2);Zalencentrum Gambora;Van der Valk Zaltbommel 1;Het Anker;'t Kruispunt (Stembureau 1);Van der Valk Zaltbommel 2;Mobiele stembus (dubbeldekker);'t Kruispunt 14 maart;Van der Valk Zaltbommel 14 maart;'t Kruispunt 15 maart;Van der Valk Zaltbommel 15 maart;Mobiel bijzonder stembureau met beperkte toegang
;aangetroffen stembiljetten;;;13807;735;478;627;892;441;674;500;805;754;389;860;588;877;549;702;243;409;302;696;267;460;164;163;426;192;570;44
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Staatkundig Gereformeerde Partij (SGP);;;2766;12;14;7;18;7;12;119;142;248;171;560;200;241;353;187;59;144;5;15;83;11;19;50;10;45;17;17
;;1;Bok, G.;1985;7;9;5;13;6;11;79;100;170;111;464;122;174;281;136;40;87;0;7;46;6;15;35;7;29;10;15
;;2;Biesheuvel, E.;107;3;1;2;0;0;1;4;10;27;9;5;6;5;5;4;0;12;0;3;3;2;0;2;0;1;2;0
;;3;van Horssen, W.G.;112;0;1;0;2;0;0;1;1;5;5;4;19;24;13;12;8;2;0;1;4;0;0;5;0;4;0;1
;;4;van der Toorn, W.C.;28;0;0;0;0;0;0;2;4;0;0;11;0;2;7;2;0;0;0;0;0;0;0;0;0;0;0;0
;;5;van den Berg, L.;50;0;0;0;0;0;0;1;0;9;3;4;2;5;1;3;3;5;0;2;5;2;1;0;0;0;3;1
;;6;Weijma, A.;27;0;0;0;0;0;0;0;1;0;0;19;0;0;5;0;0;0;0;0;0;1;0;1;0;0;0;0
;;7;van Tuijl, L.O.;47;0;0;0;1;0;0;0;1;5;22;1;7;2;0;7;0;1;0;0;0;0;0;0;0;0;0;0
;;8;van Horssen, C.;58;0;0;0;0;0;0;1;1;0;3;1;5;2;3;3;5;1;0;0;20;0;0;5;0;7;1;0
;;9;Hakkenberg, G.;54;0;0;0;0;0;0;2;1;14;4;4;2;4;9;0;0;9;0;0;3;0;1;0;0;1;0;0
;;10;Waaijenberg, J.;13;0;0;0;0;0;0;2;0;0;0;0;2;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Fijan, T.;17;0;0;0;0;0;0;0;1;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;12;van Tuijl, G.J.;40;0;0;0;0;1;0;1;3;6;3;0;4;0;1;0;0;15;3;2;0;0;0;0;1;0;0;0
;;13;Oomen, P.;40;0;0;0;0;0;0;18;8;2;1;2;0;0;0;0;0;5;1;0;1;0;0;0;2;0;0;0
;;14;van der Spek, C.J.;18;0;0;0;0;0;0;0;2;0;0;1;0;1;11;3;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Slegh, J.G.;27;1;1;0;0;0;0;3;3;1;2;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kuijntjes, A.;9;1;0;0;0;0;0;0;0;0;0;0;1;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Linden, A.;7;0;0;0;0;0;0;0;0;0;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Vos, G.C.;18;0;0;0;0;0;0;1;2;0;0;9;0;0;3;0;0;0;0;0;0;0;1;2;0;0;0;0
;;19;Goud, P.D.;22;0;1;0;0;0;0;0;0;3;1;1;7;3;0;5;0;0;0;0;1;0;0;0;0;0;0;0
;;20;van Doorn, A.R.;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;Veninga, A.;12;0;0;0;0;0;0;3;3;0;0;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;22;van Tuijl, D.A.;31;0;1;0;1;0;0;1;0;2;2;0;9;5;5;0;1;3;0;0;0;0;1;0;0;0;0;0
;;23;Duijzer, A.;41;0;0;0;1;0;0;0;1;4;3;5;6;10;0;6;0;4;0;0;0;0;0;0;0;0;1;0
2;Z.V.V.;;;2791;192;129;177;208;106;176;58;67;82;63;53;152;303;43;140;49;46;70;186;40;118;32;26;108;37;127;3
;;1;Schreuders, B;935;42;23;53;52;30;49;24;28;35;35;16;66;131;25;64;24;24;17;51;11;30;13;14;24;13;40;1
;;2;den Hartog, W.D.J.;349;45;18;36;40;16;36;1;4;7;5;0;3;0;0;4;1;6;18;37;1;16;6;1;28;0;20;0
;;3;Haubrich, A;410;16;14;20;30;11;15;5;4;15;8;5;39;79;10;29;10;2;7;19;11;10;4;6;18;6;17;0
;;4;de Graaff, W.L.T.;38;1;7;4;5;0;4;0;1;1;0;0;0;0;0;1;0;1;1;5;0;3;0;0;2;0;2;0
;;5;Duijzer, J.M.G.C.;382;7;15;21;15;10;18;6;10;7;7;8;43;89;7;35;10;4;10;5;13;16;1;3;6;5;11;0
;;6;Struik, G.C.T.;27;3;0;2;5;0;4;0;0;0;1;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;2;0
;;7;Cramer, P.A.;25;1;2;3;1;0;3;1;0;3;0;0;0;0;0;0;0;0;1;2;0;4;0;0;0;2;2;0
;;8;Bijl, M.;61;12;5;5;6;8;5;0;0;0;1;2;0;0;0;0;0;0;3;2;0;6;0;0;4;1;1;0
;;9;van Grinsven, R.A.;49;1;8;5;3;4;6;0;0;0;0;0;0;2;0;0;0;0;2;6;0;6;1;0;1;0;3;1
;;10;Robbemondt, G;91;4;0;2;0;1;1;14;3;5;3;22;0;0;0;4;3;8;1;4;4;2;0;1;0;4;5;0
;;11;Metz, T.;147;31;11;7;18;15;5;4;3;2;1;0;0;0;0;1;0;0;3;14;0;5;3;0;13;0;10;1
;;12;Tiggelman, J.B.;27;6;3;1;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;1;1;0;0
;;13;Smit-Bosch, M.H.J.J.;109;7;10;4;11;4;11;0;4;3;0;0;0;0;0;1;1;0;4;22;0;12;0;1;5;0;9;0
;;14;Zondag, C.A.H.;80;7;5;9;9;3;9;1;7;4;1;0;1;2;0;1;0;0;1;9;0;2;2;0;2;3;2;0
;;15;Metz, K;61;9;8;5;10;2;5;2;3;0;1;0;0;0;1;0;0;1;0;4;0;3;2;0;2;0;3;0
3;CDA;;;1000;37;46;49;80;23;53;75;66;55;19;38;33;42;20;76;22;28;18;66;18;24;12;12;22;17;42;7
;;1;de Kort, H.G.;446;22;19;24;38;6;26;18;29;32;10;11;25;25;10;16;10;13;3;36;7;10;5;5;9;7;25;5
;;2;Koster, N.H.W.;113;4;7;2;6;5;5;6;12;7;1;2;0;7;4;9;1;6;3;8;0;3;2;2;7;2;2;0
;;3;Groeneveld-Rooijens, A.;147;1;3;6;7;2;4;42;11;2;2;21;2;5;0;6;6;3;1;5;2;0;2;5;1;7;1;0
;;4;van der Reijden, E.D.;63;0;0;0;2;0;1;0;8;1;0;0;3;0;6;33;2;0;1;0;2;1;1;0;1;0;0;1
;;5;de Ruiter, S.H.T.;20;2;1;1;3;1;6;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;1;0
;;6;van Beekveld-Schuurmans, B.S.F.;27;0;2;4;2;0;4;2;0;0;0;0;1;0;0;1;0;0;4;2;1;2;0;0;0;0;2;0
;;7;Hamersma, B.;36;0;3;4;3;1;1;0;1;3;6;2;0;0;0;1;0;0;3;3;1;2;1;0;0;0;1;0
;;8;van Baalen-Van Es, J.A.;7;0;0;0;1;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Wijgerden, J.C.J.;22;0;0;0;2;2;2;2;0;0;0;0;1;2;0;6;0;0;2;0;1;1;0;0;0;1;0;0
;;10;Schep, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
;;11;van der Wal, T.;4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;Baars-Van Nes, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Benschop-De Boer, J.J.C.;5;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Bruijn, B.G.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Rijnsbergen, J.G.;5;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Korteweg, A.C.;7;0;0;0;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;van Steenbrugge-Spiering, E.P.E.;21;0;0;0;0;0;0;0;0;9;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0;4;1
;;18;Buwalda, S.H.;43;2;5;6;9;3;1;1;0;0;0;0;1;0;0;1;0;0;0;7;0;0;0;0;3;0;4;0
;;19;van Balken, A.C.;29;5;4;0;2;1;0;0;0;0;0;2;0;0;0;0;3;2;0;3;4;0;0;0;1;0;2;0
4;ChristenUnie;;;1417;30;29;32;39;8;39;63;231;131;23;94;75;132;43;73;42;42;16;49;48;27;16;31;30;43;22;9
;;1;Grandia, G.C.;455;5;14;7;10;1;11;12;41;39;12;29;36;53;21;28;24;9;5;8;27;10;4;9;6;24;6;4
;;2;de Hart, M.H.F.;238;17;7;10;14;4;11;13;23;13;2;6;12;10;6;20;3;7;7;15;0;10;3;4;10;5;4;2
;;3;Quivooij-Westra, G.;89;0;1;0;1;0;2;1;18;16;0;23;2;3;0;2;2;10;1;0;1;0;1;0;2;2;1;0
;;4;Bragt, A.C.;306;3;2;7;5;1;8;25;69;37;4;22;4;13;9;6;11;11;2;10;17;3;3;16;4;9;3;2
;;5;Melse, J.J.;37;1;0;3;5;0;0;2;6;1;0;1;0;1;0;0;0;0;1;9;1;1;0;0;1;1;3;0
;;6;Roseboom, H.;70;4;1;1;0;0;2;5;35;5;1;5;0;1;3;1;0;1;0;0;0;2;1;0;2;0;0;0
;;7;Kesting, C.J.;21;0;2;0;0;0;1;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;van Selm, B.J.;52;0;1;0;0;0;0;0;0;0;0;1;13;33;1;0;0;0;0;0;2;0;0;0;1;0;0;0
;;9;Haasakker-van Ooijen, G.A.;18;0;0;0;0;0;2;1;8;2;0;1;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;10;Schouten, W.J.;21;0;1;2;0;0;0;0;1;11;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;2;0
;;11;Louwerse-Lode, H.J.;9;0;0;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0
;;12;Bel, S.M.;6;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;13;Dijkhof, T.;30;0;0;0;0;0;0;0;2;0;0;0;7;13;1;5;0;0;0;0;0;0;0;2;0;0;0;0
;;14;de Jong, F.;10;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;15;Remmerde-van Bezooijen, L.;12;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;2;0;0;1;0;1;2;0;0
;;16;Floor, E.A.;8;0;0;1;2;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;17;Stoel, P.M.;16;0;0;0;0;0;0;0;0;2;0;0;0;2;1;7;2;1;0;0;0;0;0;0;1;0;0;0
;;18;van Oversteeg, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;19;Perk, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Vugt, H.M.;10;0;0;0;0;0;0;0;0;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;21;Muis, L.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;22;de Kock-Bragt, M.J.;4;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5;VVD;;;1650;126;80;113;129;70;106;57;88;90;41;42;35;35;18;52;20;71;65;80;17;106;21;9;75;8;94;2
;;1;Posthouwer, W.A.;556;30;29;28;37;13;37;25;32;22;12;12;23;19;7;24;11;17;16;27;6;48;9;3;28;2;39;0
;;2;Plessius, I.;405;58;25;38;36;16;31;17;12;3;5;2;6;11;5;12;3;12;16;15;3;29;7;0;12;3;28;0
;;3;van Gog - van Genderen, W.A.A.;270;17;4;13;22;13;15;2;11;43;17;11;0;3;2;7;0;32;8;13;3;8;3;1;15;0;6;1
;;4;de Gaaij, H.;38;1;0;1;0;0;1;5;6;3;0;8;0;0;0;0;1;1;0;2;3;0;0;2;0;3;1;0
;;5;Teelen, T.H.M.;137;11;10;18;13;5;11;1;4;5;0;0;2;0;2;0;0;2;13;16;0;8;1;1;5;0;8;1
;;6;van Wijk, C.G.H.;20;0;2;0;0;1;1;0;0;1;5;0;0;0;0;3;0;5;0;0;0;1;0;0;0;0;1;0
;;7;Kossmann, A.;24;0;2;0;2;0;1;2;1;0;0;7;0;0;0;0;1;0;0;2;1;0;0;0;3;0;2;0
;;8;van Beijnhem, M.J.;25;4;0;0;2;9;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0
;;9;Cuppers - Nendels, A.J.H.;24;1;1;2;1;7;2;0;1;0;0;0;0;0;0;0;1;0;1;1;0;3;0;0;1;0;2;0
;;10;van Wijk, G.H.;24;0;0;0;0;0;0;0;7;3;2;0;4;0;2;1;0;1;0;1;0;1;0;0;2;0;0;0
;;11;de Jong - van Meeteren, E.M.;25;2;2;2;3;1;2;2;0;0;0;0;0;0;0;3;1;0;1;1;0;0;0;2;0;0;3;0
;;12;Deurloo, J.;32;1;2;7;3;1;2;0;0;6;0;1;0;0;0;0;1;1;4;2;0;1;0;0;0;0;0;0
;;13;Brandwijk, D.F.;70;1;3;4;10;4;2;3;14;0;0;1;0;2;0;2;1;0;6;0;1;7;1;0;7;0;1;0
6;SP (Socialistische Partij);;;546;29;27;37;70;32;43;6;14;21;9;11;8;15;16;22;6;12;9;63;6;6;7;7;28;9;32;1
;;1;Dingemans, S.;305;19;13;22;40;22;14;4;11;9;5;8;4;12;9;6;4;5;2;34;4;3;6;6;15;7;21;0
;;2;Stoutjesdijk, M.J.;42;3;2;0;8;3;5;0;1;1;1;2;1;1;0;3;1;0;0;7;0;0;0;0;0;0;2;1
;;3;van Dok, R.W.B.;18;0;1;0;0;0;0;0;0;0;0;0;0;1;2;10;0;0;0;2;0;1;0;0;0;1;0;0
;;4;Können, E.E.;13;0;0;0;2;0;2;1;1;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;1;0
;;5;Ripmeester, J.;89;6;4;10;6;3;14;1;1;7;2;1;3;1;2;1;0;4;6;7;1;1;1;0;5;1;1;0
;;6;van de Goede, A.P.;8;0;0;1;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;de Waal, A.J.;5;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Geursen-Leeuwis, S.;18;1;3;0;0;0;1;0;0;0;0;0;0;0;2;0;0;3;0;2;0;0;0;1;1;0;4;0
;;9;van Knijff, B.M.;39;0;3;3;8;3;6;0;0;1;0;0;0;0;0;1;1;0;0;3;1;0;0;0;7;0;2;0
;;10;van Maren, G.W.G.;9;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;1;0;0;0;0;1;0
7;D66;;;1040;127;51;68;112;76;81;20;45;40;13;14;14;13;9;25;10;13;41;38;14;59;19;2;38;12;85;1
;;1;Smulders, E.;868;109;43;53;97;61;69;17;43;28;11;12;14;13;6;20;9;10;27;33;10;48;18;2;34;9;71;1
;;2;Drijvers, J.H.M.;35;3;2;1;3;1;1;0;0;7;1;1;0;0;2;0;0;2;1;1;1;3;0;0;1;1;3;0
;;3;Derksen, M.H.W.B.;23;3;0;4;1;2;3;0;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;0;2;0;2;0
;;4;Langstraat, L.A.H.;57;3;4;5;5;6;4;1;1;2;0;1;0;0;0;2;0;1;8;0;3;5;1;0;0;0;5;0
;;5;Meyers, B.J.F.;11;1;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0
;;6;van Wesemael, P.J.M.;11;0;0;0;1;4;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;0;0
;;7;van Tuijl, A.C.;30;8;1;5;3;0;4;2;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;2;0
;;8;Spaink, W.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;van der Meer, J.G.;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
8;BVNL;;;951;41;22;37;55;23;36;60;61;32;26;30;52;75;28;69;21;29;40;41;23;45;15;9;34;13;33;1
;;1;van der Wiele, D.;451;15;12;12;28;11;14;52;29;9;12;10;24;31;8;29;14;14;20;27;12;16;7;7;17;6;15;0
;;2;van Bruchem, A. T. L.;78;8;4;7;8;4;3;0;0;0;2;0;0;4;0;0;0;1;7;8;1;5;2;1;8;1;4;0
;;3;Versteeg, J. G.;64;2;1;3;4;0;6;3;24;1;4;0;1;2;2;2;0;2;1;0;0;2;2;0;0;1;1;0
;;4;Beverloo, M.;46;0;0;1;0;1;1;1;0;1;1;18;0;1;2;4;2;2;0;0;6;0;0;0;1;3;0;1
;;5;van Norden, J. M.;26;3;1;3;2;2;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;3;1;0;2;0;4;0
;;6;van Heusden, M. G. C.;22;0;0;0;0;0;0;0;0;0;0;0;10;5;0;5;0;0;0;0;2;0;0;0;0;0;0;0
;;7;Verleun, S. M.;21;3;2;2;2;0;3;0;1;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;3;0;0;0
;;8;Spronk, M. M.;27;1;0;3;4;1;1;0;0;9;1;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;2;0
;;9;Verleun, E. L.;14;2;2;0;2;1;0;0;2;2;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
;;10;Roza, A. M. H.;30;0;0;0;0;0;0;0;0;0;2;2;4;11;8;3;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Voorden, G.;26;1;0;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;9;1;0;2;0;5;0
;;12;van Brakel, G. J. L.;29;3;0;2;0;0;1;0;0;4;1;0;2;0;1;5;2;4;0;0;1;1;0;0;1;0;1;0
;;13;Bronk, I.;21;1;0;0;2;2;0;0;0;0;1;0;0;0;0;3;0;0;2;4;0;3;2;0;0;0;1;0
;;14;Vierbergen, K. P. T.;13;0;0;1;0;0;3;3;2;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;15;Kleinlooh, H.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;van der Zalm, W. S.;17;0;0;0;1;0;0;0;0;0;0;0;3;11;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;17;Hompes, J. A. L. E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;18;van Brakel, P.;13;0;0;0;1;0;0;0;0;0;1;0;0;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Dalen, E. H.;21;1;0;0;1;0;1;1;2;4;0;0;0;5;1;4;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Hackert, R.;27;0;0;0;0;1;0;0;0;1;0;0;8;4;4;3;1;0;1;0;0;2;0;0;0;2;0;0
9;Partij van de Arbeid (P.v.d.A.);;;846;61;47;50;103;41;52;17;32;19;7;9;11;12;9;33;11;13;19;123;10;30;4;9;44;6;73;1
;;1;van Oort, A.E.;475;36;26;27;63;27;29;7;24;18;3;5;8;11;7;19;9;9;7;37;9;13;1;6;30;6;37;1
;;2;Plessius, H.;33;6;1;1;3;0;1;2;1;0;1;0;0;0;0;2;0;0;2;5;0;1;1;0;0;0;6;0
;;3;Kessenich, R.;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Maaroufi, H.;82;6;6;10;7;6;4;1;2;0;2;0;1;0;1;1;1;1;0;9;0;7;0;0;4;0;13;0
;;5;van den Brule, J.S.;29;3;1;5;2;3;5;2;3;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0
;;6;Braam, J.M.L.;17;2;1;1;2;3;4;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
;;7;Schoot, N.W.M.;9;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0
;;8;Tanis, C.J.;6;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;9;van Westreenen, S.;7;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
;;10;Roemers, B.P.;42;6;4;3;7;0;6;0;1;0;0;0;0;1;0;1;0;2;0;6;0;0;1;0;2;0;2;0
;;11;Bounjoua, M.;121;0;7;1;15;0;0;0;0;0;0;0;1;0;0;0;0;0;10;63;0;6;0;0;5;0;13;0
;;12;van Wijk, N.J.;21;2;0;1;3;0;0;0;0;0;0;0;1;0;1;9;0;0;0;1;1;0;1;0;1;0;0;0
10;GROENLINKS;;;761;78;32;54;76;54;70;24;55;35;17;8;7;7;9;24;2;9;19;33;6;32;19;8;35;2;45;1
;;1;van der Schans, F.C.;269;27;14;16;25;17;17;12;33;6;8;2;2;2;5;12;0;2;7;6;2;10;3;8;17;1;15;0
;;2;de Vrieze, E.L.;301;32;12;23;28;28;40;9;9;16;5;3;2;2;4;7;2;2;5;15;2;17;8;0;8;1;21;0
;;3;Kotkamp, E.;39;6;0;3;2;0;3;1;0;11;2;1;0;2;0;1;0;1;2;1;1;0;0;0;1;0;1;0
;;4;Kanselaar, J.R.;13;0;3;0;0;0;0;0;6;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;5;Bartels, C.C.;30;3;2;2;2;2;2;0;1;0;0;0;3;0;0;1;0;1;2;4;0;1;1;0;1;0;2;0
;;6;Steennis-Drent, J.F.;17;1;1;0;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;2;0
