Verkiezing;;Gemeenteraad Aalten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Aalten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sporthal Aladna;Sporthal Eurohal;Zuiderkerk;Beele Sealing Valley;Chr. Geref. kerk;Stemstraat Dorcas;Sportpark Zuid (Gebouw AD'69);Gebouw De Markerink;Romienendal;Kulturhus Lintelo;Dorpshuus IJzerlo;Café Bruggink;Kerkelijk Centrum Dinxperlo;Kulturhus Dinxperlo;Gebouw De Ringkamp;Mobiel, beperkte toegang 1;Mobiel, beperkte toegang 2;Koppelkerk Bredevoort;Westerkerk;Het Blauwe Meer;Gemeentekantoor;Station Aalten;Maandag Beele Sealing Valley;Maandag Sporthal Eurohal;Maandag Koppelkerk;Dinsdag Beele Sealing Valley;Dinsdag Sporthal Eurohal;Dinsdag Koppelkerk
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3788;253;143;221;284;178;144;174;132;127;121;178;173;93;185;93;11;5;181;162;27;148;42;198;55;34;270;84;72
;;1;te Lindert, A.J.;1572;107;42;106;128;103;60;50;48;52;67;79;52;41;61;32;4;5;83;61;11;57;14;97;19;10;121;32;30
;;2;Deunk, R.;266;14;8;26;24;25;17;12;4;8;9;2;7;6;7;4;0;0;5;24;1;10;6;13;4;1;25;3;1
;;3;Smit, R.J.M.;252;24;2;17;28;10;12;57;1;1;3;0;0;1;1;5;4;0;4;9;0;18;9;16;1;3;22;1;3
;;4;Belterman, E.T.H.;179;2;42;0;4;2;1;2;1;0;1;4;9;15;52;0;0;0;0;0;8;1;1;2;16;0;1;15;0
;;5;van Alstede, Z.E.;135;4;6;11;7;5;2;0;1;1;0;22;36;3;5;0;0;0;2;2;0;5;2;6;3;0;8;4;0
;;6;Assink, G.J.;188;15;2;10;21;6;4;5;5;12;11;11;4;1;5;15;1;0;11;7;0;4;3;17;0;0;16;0;2
;;7;Polman, J.;87;11;0;5;18;1;2;11;0;10;2;3;0;0;1;1;0;0;1;1;0;6;1;2;2;0;6;2;1
;;8;Kraaijenbrink, R.;99;14;0;9;7;3;3;9;6;7;1;5;1;0;1;3;0;0;1;11;0;5;0;5;0;0;8;0;0
;;9;Hoornenborg, G.H.;69;9;0;8;2;2;3;4;3;2;4;1;0;0;0;10;0;0;4;2;0;6;0;1;0;0;5;0;3
;;10;Lankhof, C.;98;4;0;1;5;0;4;0;0;0;2;3;0;1;1;2;0;0;34;2;0;2;2;1;0;9;11;0;14
;;11;van Lochem, H.;111;11;0;8;4;6;4;2;1;3;4;18;3;0;1;0;1;0;1;13;0;4;1;16;0;1;9;0;0
;;12;Luimes, J.E.;84;2;8;3;2;2;3;2;1;0;0;2;6;4;16;0;0;0;1;0;2;11;0;1;0;1;4;9;4
;;13;Eenkhoorn, T.J.;6;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0
;;14;van Lochem, J.T.;25;0;0;3;1;0;0;3;0;1;1;1;0;1;0;0;0;0;9;1;0;0;0;0;0;3;0;0;1
;;15;te Brake, A.H.M.;5;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;16;Elburg, D.D.B.;72;8;0;3;9;2;4;10;0;1;0;0;1;1;1;2;0;0;2;14;0;1;1;5;0;0;6;1;0
;;17;Boland, Y.;57;4;1;4;9;1;8;1;3;0;0;0;0;0;2;0;0;0;3;4;0;2;1;1;0;1;6;0;6
;;18;Gussinklo, R.S.;38;0;0;0;1;0;2;1;31;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
;;19;ten Have-Mak, R.D.;20;2;0;1;1;1;5;0;0;2;0;0;0;0;0;0;0;0;1;1;0;4;0;0;0;0;2;0;0
;;20;Hengeveld, D.J.;79;0;9;0;0;0;0;1;0;0;0;0;31;11;16;0;0;0;0;0;1;0;0;1;2;0;1;6;0
;;21;Tolkamp, J.W.;15;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;1;0
;;22;Nederlof, J.;32;0;8;0;0;0;0;0;0;0;1;0;2;5;7;0;0;0;1;0;0;0;0;1;3;0;0;4;0
;;23;Schutten, M.J.G.;8;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;24;Keuper, H.F.;44;0;5;1;0;0;0;0;0;0;8;2;10;0;5;0;0;0;0;2;1;1;0;1;2;0;2;2;2
;;25;Mateman, B.G.J.;28;3;0;0;2;0;0;0;1;0;0;0;3;0;0;15;0;0;0;0;0;0;0;0;0;2;1;0;1
;;26;Obbink-Stronks, G.;19;5;0;3;0;1;3;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;1;0;0;1;0;0
;;27;Ormel-Luiten, G.B.;30;3;1;0;4;2;3;0;7;2;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0;0
;;28;Kooistra, M.C.;11;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;29;Zeevalkink, G.J.;15;1;4;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;2;0;0;2;0
;;30;Houwers, G.J.;26;1;0;0;0;1;0;0;2;16;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0
;;31;Winkelhorst-Wensink, Y.M.E.;23;1;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;6;0;0;2;0;3;0;3;0;0;0
;;32;ter Bogt, F.H.M.;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Rougoor, G.H.;8;0;1;0;0;0;0;0;4;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Leemreise, P.E.B.;7;1;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;35;Heusinkveld, G.J.E.;7;0;0;1;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;36;Wikkerink, G.J.;6;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;37;Esselink, G.;16;0;3;0;3;0;0;0;0;0;1;1;4;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0
;;38;van Geenen, J.F.J.A.;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;39;Joost, A.;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;1;0;1;0;0;0;0;0;0;3
;;40;Kok, T.M.M.;35;1;0;0;0;3;1;0;11;1;3;2;1;0;0;0;0;0;1;0;1;4;0;3;0;0;2;0;1
2;GemeenteBelangen;;;2530;96;290;64;151;91;80;80;24;41;33;30;101;107;519;18;7;8;38;48;90;53;31;102;135;8;99;173;13
;;1;Rensink - Althof, M.B.J.;822;57;35;44;78;49;43;61;13;27;16;12;33;14;66;9;3;2;13;24;9;30;19;65;15;4;52;20;9
;;2;Rijks, H.J.;825;12;131;8;22;14;20;2;1;3;4;8;29;51;253;1;0;3;13;9;42;2;4;13;73;2;22;81;2
;;3;Walter, A.;185;0;31;0;6;0;2;1;0;1;2;0;7;12;68;0;0;1;0;1;19;0;0;0;16;0;0;18;0
;;4;van den Berg, L.J.;92;8;1;2;12;15;3;7;5;1;2;0;3;3;1;1;1;0;1;1;0;3;4;8;0;2;7;0;1
;;5;Groters, H.J.;30;0;7;0;0;0;0;0;0;0;0;0;3;1;8;0;0;0;0;0;1;0;0;0;1;0;2;7;0
;;6;Massop, E.;173;2;34;2;4;0;2;2;0;1;0;0;10;10;56;1;0;2;1;1;8;3;1;1;15;0;0;16;1
;;7;Bulsink, J.J.;37;0;7;0;0;0;0;0;0;0;2;1;2;1;13;0;0;0;0;0;3;0;0;0;2;0;1;5;0
;;8;Aalders, G.;58;3;7;4;3;2;2;0;2;1;0;7;8;0;8;1;0;0;1;0;0;1;0;4;1;0;1;2;0
;;9;van Reeuwijk, A.J.;35;2;0;0;3;3;0;2;0;0;0;1;0;0;2;4;2;0;0;8;1;2;0;2;0;0;3;0;0
;;10;Egberts - Veerbeck, M.W.;72;0;17;0;0;0;0;0;1;1;1;0;3;8;16;0;1;0;0;1;2;0;0;0;3;0;1;17;0
;;11;Peulers, G.H.A.W.;10;0;1;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0
;;12;Florijn, S.A.W.;21;1;4;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1;0;1;0;0;0;1;0;0;1;0
;;13;Walter, C.;18;0;0;2;3;0;1;0;1;0;1;0;1;0;3;0;0;0;0;1;0;2;1;1;0;0;1;0;0
;;14;Rijks, R.J.;41;1;13;0;1;0;1;0;0;0;0;0;2;5;8;0;0;0;0;1;2;0;0;0;3;0;0;4;0
;;15;Rensink, B.J.;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Aalders, T.W.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Hoitink, G.;13;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;3;0;0
;;18;Boland, H.R.;16;0;2;0;1;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;1;1;0;1;3;0;0;2;0
;;19;Kempink, A.J.;51;6;0;0;9;4;4;2;1;4;3;0;0;0;0;1;0;0;4;1;0;6;0;3;0;0;3;0;0
;;20;Beernink, H.H.;24;3;0;1;4;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;2;0;0
3;Progressieve Partij;;;1597;87;37;57;137;74;62;68;42;26;54;27;38;29;99;44;9;3;110;49;20;73;27;113;31;41;152;32;56
;;1;Diepenbroek, E.E.;724;36;17;25;67;37;36;33;14;14;30;15;22;16;36;26;4;0;35;26;9;34;15;53;15;6;73;12;18
;;2;Weevers, L.;69;4;0;3;7;0;0;0;1;1;3;1;0;0;1;1;0;0;11;2;0;1;0;6;2;6;4;2;13
;;3;Stuivenberg, S.A.;95;0;8;0;1;3;1;2;4;0;1;0;5;4;27;2;0;0;4;2;8;3;1;1;4;1;5;8;0
;;4;Wikkerink, J.C.;303;18;1;14;23;16;13;12;6;2;8;3;4;4;7;9;5;2;36;13;2;10;4;27;1;18;24;3;18
;;5;Bauhuis, T.B.;61;5;1;2;8;0;4;4;0;2;1;1;0;0;0;2;0;0;9;1;0;7;0;4;0;1;7;0;2
;;6;Hoezen, P.W.E.;113;9;0;2;8;8;4;3;10;4;6;2;3;0;11;0;0;0;6;2;0;3;1;7;0;5;13;3;3
;;7;Hokken, W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;8;Hoftijzer, J.W.;37;1;1;0;4;3;0;0;3;1;1;3;1;0;0;1;0;0;1;0;0;2;3;3;2;0;7;0;0
;;9;Uland, G.I.;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;10;Zea Escamilla-Uland, Y.Y.;17;1;0;0;2;0;0;1;0;0;4;0;1;0;1;0;0;0;2;2;0;2;0;0;0;0;0;0;1
;;11;Venhorst, T.H.A.;6;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Nijman - Hijink, M.M.;5;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;13;Stronks, T.G.J.;8;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0
;;14;Plug, J.E.;13;0;4;1;1;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;2;0;0;0;0
;;15;Migchelbrink, G.H.;8;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0
;;16;Wikkerink - Wevers, J.B.;7;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0
;;17;ter Horst, G.H.;13;3;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;5;0;0;0;0;1;0;0
;;18;Vonhof, H.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Bannink, B.G.;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0
;;20;Hartman, H.J.A.G.;25;5;0;3;1;2;2;5;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;1
;;21;Albers, J.G.;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Spook, J.H.M.;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0
;;23;Diepenbroek, A.T.;8;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;3;0
;;24;Bos, Y.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0
;;25;Schreurs, G.H.;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
;;26;Schenk, H.G.J.;5;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;27;ter Haar, R.R.;12;0;0;2;2;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
;;28;Van den Camp, W.A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;29;Geerdes, T.G.;8;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0
;;30;Angenent, G.;10;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;0;0;1;0
;;31;Eppink, H.H.;11;0;2;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;32;Kok, H.S.;8;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0
4;VVD;;;1087;69;34;42;134;43;50;37;33;25;38;28;46;18;55;28;5;0;53;50;8;51;25;76;25;8;77;19;10
;;1;Navis, H.H.;393;25;16;15;35;14;14;18;16;18;27;12;12;5;19;15;2;0;15;16;4;11;7;28;8;0;28;8;5
;;2;Oonk, L.M.E.;87;7;3;2;8;2;3;2;3;2;1;2;2;1;1;1;1;0;20;2;0;5;1;2;4;5;3;1;3
;;3;Onstenk, J.H.;25;3;0;2;4;0;1;2;2;0;1;0;1;0;0;0;0;0;0;1;0;1;0;3;0;0;4;0;0
;;4;Eijkelkamp, P.S.;49;3;1;0;9;5;1;0;0;1;0;0;0;0;0;1;0;0;4;6;1;4;2;5;0;0;5;0;1
;;5;Teske, C.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;6;Veldhuizen, M.J.;176;8;1;10;36;9;6;9;8;0;4;1;3;3;2;2;2;0;5;15;0;16;6;15;0;0;15;0;0
;;7;Ebbers, C.J.A.;14;3;0;0;2;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
;;8;van Koot, A.;86;1;9;3;2;3;0;0;0;0;0;1;7;7;26;1;0;0;0;1;1;0;0;3;11;0;1;8;1
;;9;Meijnen, T.;33;6;1;3;6;1;4;1;0;1;0;1;0;0;0;0;0;0;2;0;0;1;1;4;0;0;1;0;0
;;10;Hüning, M.F.J.;154;11;1;6;27;9;13;4;3;2;3;4;1;1;0;8;0;0;7;9;1;12;6;10;0;0;16;0;0
;;11;Koskamp, J.;10;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;0;0
;;12;Ormel, M.A.;47;0;0;1;2;0;3;1;1;1;2;3;20;0;6;0;0;0;0;0;0;1;0;0;2;0;2;2;0
;;13;Assink, R.;9;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0
5;D66;;;1019;45;31;44;95;64;45;36;14;17;32;31;21;15;69;20;3;1;40;50;8;67;35;56;18;21;98;35;8
;;1;van der Graaff, A.;447;18;5;23;56;37;23;14;6;9;11;12;8;3;23;8;0;0;16;23;3;35;16;30;4;10;41;8;5
;;2;Nijland-Brezet, G.J.S.;246;13;3;12;20;12;15;7;6;4;14;7;6;4;13;4;1;1;13;14;0;17;8;10;0;7;25;8;2
;;3;Hollema, J.S.;21;0;0;1;1;2;0;1;0;0;1;5;0;0;0;1;0;0;0;1;0;1;2;0;0;0;5;0;0
;;4;Brus, M.F.;125;1;21;2;2;2;2;4;2;1;2;2;3;7;26;2;0;0;1;0;4;4;1;4;12;0;2;17;1
;;5;Baten, P.J.;54;5;0;2;4;7;3;6;0;0;2;2;3;0;2;2;1;0;2;1;0;5;3;1;1;0;2;0;0
;;6;van Gelder, I.H.G.;18;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;5;1;0;2;0;0
;;7;Aalders, ev Dragt, I;47;3;0;0;6;1;1;0;0;2;2;3;1;1;1;3;0;0;3;7;0;2;2;3;0;0;6;0;0
;;8;de Nijs, M.J.G.;7;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;9;Grijsen, E.J.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;4;0;0;0
;;10;Boer, A.H.;16;2;0;1;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;6;1;0
;;11;Leferink, T.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0
;;12;Rutgers, G.J.;11;2;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0
;;13;Haring, J.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0
;;14;Haring - Delwell, A.A.;11;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;4;0;0
6;ChristenUnie;;;686;36;31;37;59;93;20;10;18;27;34;9;20;10;42;7;1;3;14;44;7;24;9;40;7;2;61;17;4
;;1;Holtman, T.S.;428;28;14;20;41;66;8;3;17;23;21;4;13;6;16;6;0;3;13;22;6;12;4;27;3;1;40;9;2
;;2;van Santen-Oonk, C.H.S.;95;5;1;9;8;8;8;0;0;2;4;4;3;1;5;1;1;0;1;8;0;5;2;5;0;1;9;2;2
;;3;Smits, E.J.;28;0;8;0;0;0;0;1;0;0;0;1;0;2;7;0;0;0;0;3;0;0;0;0;4;0;0;2;0
;;4;Logmans, H.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Houwers-den Tuinder, G.J.;14;0;0;1;0;2;1;1;0;1;3;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0;0
;;6;Nobel, J.;26;0;5;3;0;0;0;3;1;0;0;0;0;0;5;0;0;0;0;2;0;0;2;0;0;0;1;4;0
;;7;van Deelen, A.T.;16;2;0;1;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;1;2;0;0;1;0;0
;;8;Pennings, L.H.;14;0;0;0;1;4;0;0;0;1;2;0;0;0;3;0;0;0;0;0;0;1;0;2;0;0;0;0;0
;;9;Neerhof, A.J.;28;0;3;1;4;3;1;0;0;0;0;0;2;1;2;0;0;0;0;2;0;3;0;3;0;0;3;0;0
;;10;Jansen, G.W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;11;Pennings, J.A.;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Westerveld, J.B.;6;0;0;0;1;0;0;0;0;0;1;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Mateman, G.H.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Fles, R.G.A.;14;1;0;0;0;3;2;2;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;1;0;0
;;15;Grevers, G.A.;9;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
7;BBB - HMV;;;2347;98;92;68;176;60;80;80;146;87;174;127;153;37;117;134;3;2;161;61;25;54;32;67;34;47;130;46;56
;;1;Meerdink, H.J.;757;33;25;32;49;28;31;25;39;26;54;38;28;10;39;20;0;2;68;31;13;21;6;26;13;19;45;12;24
;;2;Wijbrans, J.R.;79;3;0;1;6;3;4;1;5;4;1;7;4;0;0;6;0;0;12;1;0;1;0;3;0;2;10;0;5
;;3;ten Bruin, M;329;29;9;13;42;10;8;30;18;11;22;10;5;4;2;10;0;0;12;9;1;10;10;14;0;2;39;2;7
;;4;Koskamp, B.W.;192;3;7;3;7;3;5;8;52;18;15;22;3;2;1;6;2;0;9;3;0;6;0;4;0;4;3;2;4
;;5;Wikkerink, J.G.;190;10;0;5;17;1;5;0;5;8;12;9;4;0;0;74;1;0;10;7;1;4;1;1;0;5;6;1;3
;;6;te Grotenhuis, A.C.;234;5;19;2;8;3;4;2;5;6;17;14;72;12;26;4;0;0;2;1;0;5;4;6;4;0;6;6;1
;;7;Lammers, R;94;1;5;2;8;0;6;0;1;3;25;4;12;0;4;0;0;0;3;1;0;1;2;2;0;0;6;6;2
;;8;Smits, E.W.;103;0;20;0;1;0;2;0;0;0;0;5;7;7;34;0;0;0;0;0;5;0;0;0;13;0;1;8;0
;;9;Kleinhesselink, R.G.J.;31;1;1;2;2;0;2;1;0;0;4;0;4;0;5;0;0;0;2;0;0;0;1;0;1;1;0;3;1
;;10;Elferink, M.G.M.;48;1;2;1;4;2;0;1;5;5;12;7;0;0;0;1;0;0;2;0;0;0;0;3;0;0;2;0;0
;;11;Harmsen, B.;38;0;0;1;8;3;4;2;1;0;2;2;0;0;2;2;0;0;3;0;0;2;1;2;0;1;1;1;0
;;12;Meerdink, J.G.J.;11;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;1;1;0;0;1;0;0;1
;;13;Klein Hesselink - Warzecha, M.K.;33;5;0;0;2;1;2;2;4;1;0;0;0;0;1;6;0;0;2;2;2;0;1;1;0;0;1;0;0
;;14;ten Harkel, E.J.;83;5;0;0;7;3;1;4;3;1;0;0;0;0;0;3;0;0;30;2;1;1;1;2;0;11;2;0;6
