Verkiezing;;Gemeenteraad Overbetuwe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Overbetuwe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Helster 1;Helster 2;Helster 3;Kruisakkers 1;Kruisakkers 2;Kruisakkers 3;Overbetuwe College;Spero;Onder de Toren;Westeraam 1;Westeraam 2;Westeraam 3;Binnenveld 1;Binnenveld 2;Oldenburg Driel;RKSV Driel;MFA de Haar Randwijk;Dorpshuis de Schakel Oosterhout;Verenigingsgebouw Valburg;De Wanmolen 1;De Wanmolen 2;Verenigingsgebouw de Poort Andelst;Hoendrik 1;Hoendrik  2;dorpshuis Beatrix (13-21 uur);mobiel Liefkenshoek en Tertzio;Kruisakkers 1;Kruisakkers 2;'t Binnenveld;De Wanmolen;Kruisakkers 1;Kruisakkers 2;'t Binnenveld;De Wanmolen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;30;1405;1406;1414;1421;1505;1506;1514;1521
Postcode;;;;;6661 EH;6661 AW;6661 AW;6661 AW;6662 DV;6662 DV;6662 DV;6662 VZ;6662 BK;6661 DA;6661 TZ;6661 TZ;6661 TZ;6666 CR;6666 CR;6665 DH;6665 CB;6668 AS;6678 BT;6675 BR;6671 BR;6671 BR;6673 BM;6674 BW;6674 BW;6677 PG;6661 EH;6662 DV;6662 DV;6666 CR;6671 BR;6662 DV;6662 DV;6666 CR;6671 BR
;;3;Roze, E.H.A.;91;10;2;2;3;3;2;6;9;4;2;4;6;5;0;0;3;1;2;3;3;2;2;0;0;0;0;0;3;9;0;0;2;1;0;2
;;4;Hoffmann, T.;72;4;1;1;1;0;3;1;9;1;1;3;7;8;1;0;1;1;3;3;1;1;1;3;2;5;0;0;3;0;0;0;3;2;0;2
;;5;Nijssen, B.;131;10;3;2;1;1;8;8;7;1;2;8;10;8;0;2;6;1;4;7;2;3;3;1;2;1;3;0;5;3;2;1;7;4;1;4
;;6;Bloom, C.J.;29;1;0;0;0;0;1;0;0;0;0;0;0;0;8;6;2;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;6;0
;;7;van Kerkhof, C.J.T.;59;0;5;1;1;3;1;4;7;1;1;7;4;2;0;2;0;1;1;3;0;0;3;1;1;3;0;0;0;0;0;1;2;3;0;1
;;8;Lanting, H.;40;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;31;0;0;1;0;2;0;2;0;0;0;0;0;1;0;0;0;0
;;9;van den Hof, W.P.;53;2;1;0;0;1;2;0;0;1;0;0;0;0;7;8;1;0;1;1;0;2;0;1;1;2;0;0;0;0;9;2;0;0;10;1
;;10;Wille, M.;59;1;0;0;0;0;1;0;0;1;0;1;3;0;0;0;0;0;1;41;0;0;2;0;1;2;2;0;0;0;1;1;0;0;0;1
;;11;Diks, G.D.;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0
;;12;Huizenga, L.;6;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Compiet, M.L.E.;20;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;7;0;0;0;1;0;0;4;0;0;0;0;0;1;0;0;1
;;14;van den Berg, D.T.M.;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;van Proosdij, A.S.J.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Starink, L.M.;15;1;4;0;1;1;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0
;;17;Mulder, J.R.;17;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;7;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;18;Plantinga, J.B.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Langeveld, M.;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Goossens, C.;19;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Röling, R.A.H.;4;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
