Verkiezing;;Gemeenteraad Buren 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Buren;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0214;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis  Erichem;Dorpshuis  't Ecksternest;Dorpshuis De Hoekenburg Rijswijk;Dorpshuis De Rozenhoek Ravenswaaij;Dorpshuis Kerk-Avezaath;Dorpshuis de Oude School Zoelen;Dorpshuis 't Zoetzand  Beusichem;Gemeentehuis Maurik;Kerk Zoelmond;Het Gildehuis;Meentschool Ommeren;O.b.s. Prins Willem-Alexander;Dorpshuis Asch;"Dorpshuis ""In de Gaard"" Ingen";Zaal Torenzicht Lienden;Dorpshuis 't Klokhuis Maurik;De Prinsenhof Buren;Gemeentehuis Maurik (14 maart);Gemeentehuis Maurik (15 maart);Zaal Torenzicht Lienden (14 maart);Zaal Torenzicht Lienden (15 maart);De Prinsenhof Buren (14 maart);De Prinsenhof Buren (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Postcode;;;;;4117 GJ;4024 HM;4023 AV;4119 LW;4012 BC;4011 EM;4112 JL;4021 VZ;4111 KV;4033 GP;4032 NA;4112 JT;4115 RT;4031 MB;4033 EC;4021 VC;4116 GG;4021 VZ;4021 VZ;4033 EC;4033 EC;4116 GG;4116 GG
;;7;Schipper, J.W.;63;3;6;6;0;2;2;7;11;0;0;1;0;1;5;0;7;2;3;5;0;0;1;1
;;8;de Jong, S.T.;150;1;0;1;11;6;7;67;2;12;0;5;19;0;1;0;0;9;1;0;0;1;5;2
;;9;Schimmel, A.J.;50;5;17;1;0;4;5;1;7;0;0;0;0;0;1;4;3;0;0;1;0;1;0;0
;;10;Christoffel, I.;62;10;0;2;1;3;8;5;1;1;0;1;0;3;3;1;0;12;0;1;0;0;8;2
3;Protestants Christelijke Groepering;;;1585;73;49;12;24;32;43;67;64;31;253;170;17;21;86;326;13;64;7;18;48;143;2;22
;;1;Zaaijer, H.;695;28;22;8;13;18;20;25;35;17;104;87;12;12;34;117;5;30;1;14;20;59;2;12
;;2;van de Bijl, C.;290;10;14;1;1;6;11;4;11;4;52;39;0;2;33;60;2;5;0;3;3;24;0;5
;;3;de Lange, C.;104;0;3;0;1;1;0;1;0;0;20;16;0;0;5;33;0;0;0;0;3;21;0;0
;;4;Keuken, J.G.;164;0;0;0;2;0;4;0;4;0;37;9;0;0;5;63;0;0;2;0;9;29;0;0
;;5;Prosman, R.;24;0;1;0;0;0;0;0;0;0;9;2;0;0;0;9;0;0;0;0;1;2;0;0
;;6;Kirpestein, J.W.;26;8;0;0;0;2;2;0;2;0;1;0;0;1;0;1;0;6;0;0;1;0;0;2
;;7;de Ronde, H.N.;15;0;0;0;5;0;0;5;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0
;;8;Zeissink, T.G.;17;0;0;0;0;0;0;0;0;0;3;0;0;0;0;6;2;0;0;0;0;6;0;0
;;9;de Jongh, J.A.;18;0;3;0;0;0;1;11;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;10;Prosman, K.A.;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;11;Nap, E.;9;0;0;0;0;0;0;0;0;0;1;1;0;0;2;5;0;0;0;0;0;0;0;0
;;12;van Leeuwen, J.E.;10;0;4;0;0;0;0;1;0;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0
;;13;van Dijk, F.A.;23;0;0;1;0;0;1;10;0;5;3;0;1;0;0;1;0;0;0;0;1;0;0;0
;;14;Zondag, W.;19;0;0;0;2;1;1;0;1;0;0;0;0;3;0;0;0;9;0;0;0;0;0;2
;;15;van de Bijl, J.D.;14;0;0;0;0;2;0;0;0;0;0;2;0;0;0;7;1;2;0;0;0;0;0;0
;;16;Knobbout, D.A.;43;25;0;0;0;2;0;0;0;0;3;0;0;2;0;0;0;10;0;0;0;0;0;1
;;17;Rijksen, J.T.;13;2;0;0;0;0;0;0;8;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
;;18;van der Lingen, M.A.;18;0;0;2;0;0;0;10;0;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;19;van Vessem, J.;8;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;4;0;0;0
;;20;van der Wekken, C.J.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0
;;21;Flier, B.E.;13;0;0;0;0;0;0;0;0;0;8;3;0;0;0;2;0;0;0;0;0;0;0;0
;;22;van Voorthuizen, J.;12;0;0;0;0;0;0;0;0;0;3;7;0;0;0;1;0;1;0;0;0;0;0;0
;;23;van Dijk, G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0
;;24;Draaijer, E.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Leeuw, T.;20;0;0;0;0;0;1;0;1;0;1;0;1;0;0;8;0;0;3;0;3;2;0;0
;;26;Verwoert, A.;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0
;;27;van Olderen, T.H.;12;0;1;0;0;0;0;0;1;0;2;1;0;0;0;6;0;0;0;0;1;0;0;0
;;28;Bos, J.;3;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Partij van de Arbeid/GROENLINKS;;;1321;44;54;27;27;68;115;201;94;73;46;41;64;23;73;42;50;106;40;47;12;28;20;26
;;1;Marringa, J.G.;497;13;18;6;7;31;63;46;39;29;19;19;14;7;34;17;17;38;12;16;6;14;14;18
;;2;Michielsen, N.H.J.;44;5;14;0;0;0;2;1;1;0;0;1;0;0;5;1;0;1;7;6;0;0;0;0
;;3;Kuipers, M.A.;272;9;14;17;16;11;15;36;23;13;11;9;10;3;15;11;14;15;7;10;3;1;3;6
;;4;van Boekel, W.J.F.;95;1;0;1;0;0;2;48;0;8;0;0;15;3;0;0;0;10;2;3;0;2;0;0
;;5;Veldhuizen, C.M.;65;3;1;0;1;3;18;6;4;3;1;1;2;1;1;1;1;10;3;2;0;3;0;0
;;6;Witteveen, L.;79;0;1;0;2;0;1;55;0;3;0;0;14;1;0;0;0;1;0;0;0;0;1;0
;;7;de Raat, W.K.;9;0;0;0;0;0;0;0;1;0;0;1;0;0;5;0;1;0;0;1;0;0;0;0
;;8;de Lange, L.;53;0;2;2;0;0;0;3;17;0;0;0;2;0;2;0;12;1;7;5;0;0;0;0
;;9;den Hartog, D.E.A.J.;26;0;1;0;0;1;3;2;0;0;0;4;2;3;2;3;0;4;0;0;0;1;0;0
;;10;Krijgsman-Fransen, W.E.M.M.;7;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Warmer, A.;28;2;0;0;1;4;9;1;0;0;0;0;1;3;3;0;0;3;1;0;0;0;0;0
;;12;Van Cauwenberghe, R.W.M.;12;0;2;0;0;0;0;0;4;0;1;0;0;0;0;0;3;1;0;0;0;0;0;1
;;13;de Vos Klootwijk, L.M.;13;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
;;14;Wieringa, K.;3;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Polman, P.I.;4;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;16;Benschop-van Eldik, A.K.;37;0;0;0;0;1;0;0;0;0;10;5;0;0;5;6;1;1;0;0;1;7;0;0
;;17;van Dam, A.A.M.;18;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0
;;18;den Hartogh, G.A.;19;0;0;0;0;0;0;2;0;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;Timmer, A.;10;0;1;0;0;0;0;0;1;0;4;0;0;0;0;3;0;1;0;0;0;0;0;0
;;20;Hofman, M.;30;3;0;1;0;1;1;0;4;0;0;0;2;2;0;0;1;6;1;3;2;0;2;1
5;Partij voor de Dieren;;;805;37;60;46;19;55;66;79;50;23;45;28;16;15;71;33;17;49;11;17;11;16;13;28
;;1;de Jonge, J.;386;15;39;7;11;27;35;36;18;12;32;18;6;6;27;18;9;26;3;6;8;9;8;10
;;2;Naber, Z.D.;138;3;14;2;3;4;9;18;7;3;4;4;3;4;31;5;3;5;2;4;0;3;2;5
;;3;van Seumeren, M.E.;128;2;4;33;4;8;12;15;4;3;2;3;5;1;9;5;0;4;0;5;2;0;1;6
;;4;Scherpenzeel, T.E.M.;76;16;0;2;1;12;5;9;0;2;3;0;2;3;0;2;0;11;0;0;0;1;1;6
