Verkiezing;;Gemeenteraad Zutphen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zutphen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bibliotheek Zutphen;Walburgiskerk;Gemeente Zutphen/GelreWerkt!;Gymzaal Mozaïk;Waterkracht;OBS De Waaier;Emmanuelkerk;Hanzehof ingang Buitensociëteit;Kerk De Wijngaard;Rode Kruis De Graafschap;St. Elisabeth;School Theo Thijssen (gymzaal);Serviceflat De IJssel;School De Parel (gymzaal);Buurthuis De Uitwijk;Vrije School Zutphen VO;Lea Dasbergschool (1);Lea Dasbergschool (2);De Mene (1);De Mene gymzaal (2);CBS Arcade;Isendoorn College;’t Warnshuus;Optisport Health Club Warnsveld;Nutsgebouw;Schildersvakopleiding Zutphen;DWK gebouw;Bibliotheek Zutphen;Rode Kruis De Graafschap;Buurthuis De Uitwijk;’t Warnshuus;Bibliotheek Zutphen;Rode Kruis De Graafschap;Buurthuis De Uitwijk;’t Warnshuus
;;7;Sommer, R.;52;0;2;0;2;3;0;0;1;8;0;0;0;1;2;1;1;0;1;2;5;2;0;4;0;11;0;2;1;0;0;1;1;0;0;1
;;8;de Waal, R.J.;35;2;1;4;0;1;1;0;2;0;0;0;0;1;1;1;0;1;4;0;2;0;0;0;0;3;0;3;2;0;1;2;1;0;0;2
;;9;van Dijk, A.;49;2;4;0;6;0;0;3;2;0;1;1;3;0;3;3;1;0;0;3;1;0;2;2;0;1;3;1;0;0;0;2;1;1;0;3
7;CDA;;;937;16;25;14;26;36;12;25;11;14;38;11;32;24;24;47;8;20;35;23;27;39;15;65;12;58;4;31;20;31;29;62;23;17;32;31
;;1;Purperhart, M.;519;9;17;10;8;11;5;11;5;6;27;5;21;11;12;24;7;15;20;15;16;21;3;35;4;33;3;19;13;16;15;34;12;14;21;21
;;2;Deniz, S.;95;4;1;0;7;6;4;5;2;2;1;1;8;3;2;3;0;1;4;2;3;1;6;6;2;2;1;2;3;1;1;4;3;0;3;1
;;3;Althoff, E.;58;1;2;0;0;10;2;5;2;0;3;0;0;2;2;4;0;0;4;1;2;1;1;0;0;1;0;2;4;1;1;2;0;0;2;3
;;4;Beute, C.M.R.;12;0;0;0;2;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;1;0
;;5;Berger, J.K.;58;0;1;1;2;0;1;1;0;0;0;1;0;1;0;2;0;1;2;2;1;4;2;7;4;10;0;2;0;1;0;6;1;1;0;4
;;6;Pennings-Hanemaaijer, J.;79;1;0;2;4;5;0;0;2;2;5;1;0;4;4;8;1;0;1;1;1;4;2;5;0;6;0;1;0;2;3;7;4;1;2;0
;;7;Derksen, H.A.;31;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;2;1;4;1;9;1;4;0;0;0;0;0;5;0;0;0;0
;;8;ten Cate, J.A.;31;0;1;0;3;0;0;0;0;0;1;1;1;1;0;2;0;0;0;0;3;2;0;1;1;1;0;1;0;3;4;2;0;1;2;0
;;9;Hagen, A.P.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0
;;10;van Oosten, A.J.;51;1;3;0;0;3;0;1;0;3;1;2;2;2;4;2;0;3;3;0;0;2;0;2;0;1;0;4;0;6;1;2;1;0;0;2
8;STADSPARTIJ Zutphen Warnsveld;;;1219;32;71;13;30;49;9;29;14;16;46;10;53;13;33;48;24;39;23;43;43;46;14;120;20;61;13;32;52;19;42;72;18;9;31;32
;;1;Pelgrim, G.J.H.;538;11;29;7;9;27;6;11;3;7;22;6;24;6;15;26;14;20;11;13;19;20;5;48;10;26;4;11;22;8;23;27;3;4;23;18
;;2;Boersbroek, J.;117;2;13;2;6;4;0;8;1;2;2;2;7;0;4;5;2;4;0;3;2;2;3;7;1;7;3;5;5;0;3;8;1;1;1;1
;;3;Meijboom, G.J.;43;1;2;1;0;0;0;0;1;1;11;0;1;0;0;0;1;0;3;0;1;2;1;3;0;1;0;0;0;7;0;2;0;2;0;2
;;4;Weststrate, H.J.H.;69;0;3;0;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;6;2;20;5;5;0;0;3;0;1;11;1;0;0;2
;;5;Vink, B.;60;3;0;0;3;4;1;1;2;0;3;0;2;1;4;2;3;0;0;4;3;0;0;2;0;3;4;0;4;1;7;2;0;0;1;0
;;6;van der Leur, J.E.E.;21;0;0;0;3;0;0;1;0;0;0;0;0;0;0;2;0;2;3;2;3;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0
;;7;Kaijser, E.P.M.;174;9;15;3;4;6;0;5;2;5;0;0;8;5;6;5;3;9;3;5;1;3;0;18;2;5;1;8;15;2;4;6;9;1;5;1
;;8;van Toor, C.R.L.;18;2;2;0;1;3;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0
;;9;Voortman, G.;24;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;1;0;8;0;0;0;0;0;4;0;0;0;2
;;10;Smallegoor, B.J.;105;3;2;0;2;4;1;1;2;0;3;1;2;1;3;3;0;1;1;16;12;4;1;15;1;4;0;3;1;0;3;6;4;1;0;4
;;11;van Ast, M.;37;1;4;0;0;0;0;1;0;0;3;0;7;0;0;1;0;2;0;0;1;2;0;3;1;1;1;5;1;0;0;2;0;0;0;1
;;12;Daniels, D.;13;0;0;0;1;0;0;1;2;0;0;0;1;0;0;2;0;0;1;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;1
9;Kies Bewust Lokaal;;;1314;34;89;23;51;71;17;35;14;17;38;29;61;21;45;78;19;30;46;42;34;54;7;97;14;24;12;43;33;17;44;66;32;6;34;37
;;1;Jansen, A.W.;538;9;33;17;24;19;10;20;7;7;22;7;26;10;13;28;6;15;18;17;13;19;4;38;3;6;6;22;12;7;19;20;18;3;22;18
;;2;Ackermans, P.I.;345;14;32;3;13;26;1;6;3;6;6;9;16;6;12;22;8;6;11;12;9;13;3;19;3;8;5;15;7;5;13;15;6;0;6;6
;;3;Verwoort, A.;137;2;9;2;2;1;3;5;1;2;1;4;5;3;2;9;2;2;3;6;2;11;0;20;4;5;0;1;6;1;2;13;2;0;1;5
;;4;Nijenhuis, A.R.;54;1;6;0;0;6;0;0;1;0;4;0;4;0;1;2;0;0;3;0;1;5;0;6;0;1;0;0;0;0;0;8;1;0;1;3
;;5;Maarsen, J.D.;25;2;2;0;2;1;0;0;0;0;0;2;2;0;0;2;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;2;1;4
;;6;Menkveld, D.A.;35;0;0;0;1;5;0;3;1;0;2;0;0;0;2;2;0;0;0;1;0;1;0;4;2;2;0;1;2;0;5;1;0;0;0;0
;;7;Bouwmeister, G.S.;36;2;4;0;0;1;0;0;1;2;1;1;2;0;2;1;0;0;1;4;0;1;0;5;1;0;0;1;1;1;0;1;1;0;2;0
;;8;Papperse, H.C.W.;62;2;1;0;1;7;1;0;0;0;0;2;2;2;3;6;0;7;4;2;6;3;0;0;0;0;1;1;1;1;4;3;2;0;0;0
;;9;Vennegoor, M.G.;13;0;1;1;1;1;2;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
;;10;Kraassenberg, R.;15;0;0;0;2;2;0;0;0;0;2;1;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;11;Smulders, M.;27;1;1;0;2;1;0;1;0;0;0;2;3;0;2;0;3;0;0;0;1;0;0;1;1;1;0;0;1;1;1;2;0;1;0;1
;;12;Holtslag, A.A.;19;1;0;0;2;0;0;0;0;0;0;0;0;0;7;4;0;0;2;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Rieksen, E.J.;8;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0
10;ChristenUnie;;;736;18;26;12;8;27;6;26;5;31;41;10;32;20;20;26;8;21;25;24;17;33;13;57;13;26;10;18;26;18;22;39;11;7;13;27
;;1;van Dijken, A.;361;6;17;5;4;12;3;18;3;11;17;4;19;11;10;15;4;5;10;15;10;16;5;24;10;14;4;10;12;10;10;15;5;5;10;12
;;2;Westerhof, B.J.;89;1;0;0;2;2;0;5;0;8;1;3;1;3;2;5;1;3;2;4;2;6;3;7;1;9;0;2;3;1;1;5;0;0;2;4
;;3;Kamp-Landman, G.A.;125;4;2;2;1;6;0;1;0;6;10;1;3;4;3;3;2;4;6;2;1;2;2;17;2;0;3;4;3;3;3;16;1;0;1;7
;;4;Oldenhuis, C.G.T.;78;6;2;1;1;2;0;1;1;2;4;2;4;0;1;2;0;7;4;0;2;7;1;5;0;3;1;0;5;1;4;1;5;1;0;2
;;5;Noppers, P.A.;20;0;1;2;0;0;0;0;0;2;0;0;1;2;0;0;1;0;0;2;2;0;0;2;0;0;0;0;0;1;2;0;0;0;0;2
;;6;Fennema, A.T.;29;1;1;0;0;2;0;0;1;0;7;0;2;0;0;0;0;2;2;1;0;2;0;0;0;0;2;2;2;1;0;0;0;1;0;0
;;7;Klein Bennink, R.A.;34;0;3;2;0;3;3;1;0;2;2;0;2;0;4;1;0;0;1;0;0;0;2;2;0;0;0;0;1;1;2;2;0;0;0;0
11;Partij voor de Dieren;;;1538;69;128;19;46;62;12;40;25;23;51;38;84;18;43;79;35;32;32;41;33;42;12;80;13;82;12;79;66;12;33;49;59;10;39;40
;;1;Vellema, M.J.I.;995;44;77;13;23;46;7;29;16;12;36;25;43;17;26;57;27;24;20;27;22;14;4;58;8;53;8;49;50;10;23;34;34;7;23;29
;;2;Stone, L.A.;211;14;18;1;8;9;2;3;4;6;13;4;14;0;8;10;1;5;7;8;6;5;2;8;1;9;1;6;6;2;3;4;15;1;7;0
;;3;Welker, W.;39;4;4;2;0;0;0;1;0;0;1;1;2;0;2;2;1;0;1;2;0;3;0;2;1;1;0;1;2;0;1;3;1;0;1;0
;;4;Hillebrants, H.;32;1;2;0;6;0;0;1;0;0;0;1;0;0;1;0;1;1;2;1;0;3;1;1;0;0;0;3;1;0;0;0;1;0;5;0
;;5;Feenstra, H.M.;102;3;16;3;4;2;0;3;3;1;0;4;19;1;1;4;2;0;1;2;2;1;2;3;1;4;3;5;1;0;0;3;5;0;2;1
;;6;van Oort, E.;30;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;4;2;8;0;0;2;0;0;0;0;0;1;5
;;7;Kranendonk, D.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1
;;8;Hoogenkamp, A.;7;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;9;Schenk, M.;21;0;1;0;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;11;0;0;0;0;0;2;0;0;0;0;0;1;0;1
;;10;Boshart, E.;93;3;8;0;3;5;3;1;0;1;1;3;4;0;5;4;3;1;0;1;2;1;2;2;0;6;0;13;4;0;5;5;3;1;0;3
