Verkiezing;;Gemeenteraad Lingewaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lingewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige raadzaal;'t Koelhuis;De Valom (ma 14-03-2022);De Valom (di 15-03-2022);Gemeenschapshuis Huissen Zand;Medisch Centrum Loovelden;Sporthal De Brink 1;Sporthal De Brink 2;Theaterkerk;Cultureel centrum de Kinkel 1;Cultureel centrum de Kinkel 2;Gemeentehuis (ma 14-03-2022);Sporthal De Bongerd;De Klok Horeca (di 15-03-2022);De Klok Horeca (ma 14-03-2022);De Klok Horeca;S.K.C. De Leemhof;Sporthal Walburgen;Dorpshuis Angeren;Dorpshuis Angeren (di 15-03-2022);Ontmoetingscentrum Doornenburg;Ontmoetingscentrum Doornenburg (ma 14-03-2022);Schuttersgebouw;Dorpshuis De Tichel;Gemeentehuis (di 15-03-2022);De Valom;Mobiel stembureau
;;12;Folker, M.P.T.;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0
;;13;Pouwels, J.;11;0;0;0;0;0;0;0;0;1;0;1;5;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0
;;14;Goris, P.A.G.M.;25;0;0;0;2;0;0;0;0;2;0;0;3;0;0;2;0;0;1;0;0;3;5;3;1;0;3;0
;;15;Gerichhausen, H.T.J.M.;18;1;2;0;0;3;5;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0
;;16;Rutjes, J.W.M.;16;1;0;3;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0
;;17;Hendriks, C.J.;9;1;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0
;;18;Schennink, J.T.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;19;Kleinherenbrink, A.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;20;Aleven, A.G.R.;22;1;0;1;5;0;7;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;1;2;0
;;21;Noordman, H.W.J.M.;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Geurtz, F.B.J.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0
;;23;Hendriks, A.J.M.;5;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Hoogveld, G.J.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
;;25;Pelkman, L.M.;16;0;3;0;1;0;3;0;1;0;1;0;0;0;0;0;2;0;0;4;0;0;0;0;0;1;0;0
;;26;Fischer, G.H.W.;5;0;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;lingewaard.NU;;;1983;180;67;84;138;86;124;128;100;85;43;57;24;34;30;20;47;55;10;236;85;43;6;33;28;44;190;6
;;1;Janssen, T.;772;97;40;48;69;50;57;61;48;27;18;24;9;5;3;7;11;17;1;23;8;13;1;11;14;11;97;2
;;2;Rasing, G.H.;329;12;2;7;16;1;3;5;3;7;2;1;1;2;2;0;1;3;0;176;63;2;1;3;2;0;12;2
;;3;van Aalten, M.J.A.;309;13;0;5;8;10;15;13;11;9;4;10;1;7;22;12;29;31;8;18;4;22;4;17;8;7;21;0
;;4;Goulmy, L.A.A.;130;14;7;7;13;3;10;21;24;0;0;1;0;2;0;0;2;1;0;2;0;1;0;0;0;0;21;1
;;5;den Houting, F.H.;98;0;1;1;0;0;0;3;0;26;11;13;10;13;0;0;0;0;0;0;0;0;0;0;2;18;0;0
;;6;Klaassen, H.H.;33;11;0;3;1;0;2;3;1;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0
;;7;Gerichhausen, J.G.A.;39;4;0;1;8;1;2;7;2;0;3;0;0;0;0;0;0;2;0;0;2;0;0;2;1;0;4;0
;;8;van Ottele, B.J.W.G.;48;8;2;1;3;8;10;2;1;1;0;1;0;0;0;0;0;1;0;2;2;0;0;0;1;2;3;0
;;9;Houtsma, P.;15;0;2;4;1;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;10;ter Burg, A.J.;41;6;7;0;5;3;5;1;3;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0
;;11;Versteeg, P.K.T.;10;0;0;3;3;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Stienstra, R.;10;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;1;0
;;13;Klein Middelink, H.G.H;30;5;2;3;3;6;1;1;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;5;0
;;14;Briët, J.R.;6;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;15;Neijenhuizen, H.J.J.;21;2;2;0;1;0;7;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0
;;16;Schrijver-Koekkoek, A.G.I.;13;0;0;1;1;1;1;3;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
;;17;Arends, W.T.B.;17;5;0;0;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;18;Buiting, P.J.T.;27;0;1;0;0;0;0;0;0;7;3;3;2;4;0;0;1;0;0;0;0;0;0;0;0;5;0;1
;;19;Janzen, M.;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;20;Janssen, B.H.G.;8;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0
;;21;de Wild, F.A.;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;22;Sluiter, H.E.W.M.;5;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;23;Janssen-Buiting, J.M.F.;9;1;0;0;0;0;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Hendrikx, J.P.R.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0
8;D66;;;1621;105;26;45;79;16;173;92;82;213;90;70;60;98;28;19;34;59;16;48;15;37;5;18;34;86;73;0
;;1;Dekkers, L.L.;615;40;7;12;30;5;57;23;23;112;40;29;31;39;13;4;5;22;5;20;5;12;4;5;12;36;24;0
;;2;Dolmans - Klumper, C.M.;401;20;5;12;20;2;40;0;13;61;29;22;18;30;6;5;0;16;3;14;5;10;1;5;9;37;18;0
;;3;Brom, B.;67;0;0;0;1;0;2;3;2;4;1;1;0;1;7;7;13;13;6;2;0;0;0;0;1;1;2;0
;;4;Coenen, M.;114;9;6;8;14;3;26;17;11;0;0;1;0;1;0;0;1;1;0;4;2;0;0;0;0;1;9;0
;;5;Verhaaf, R.J.;36;2;3;2;2;0;4;9;4;0;1;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0;3;0
;;6;Niels, G.A.H.;19;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;1;0;0;0;0;10;0;4;0;0;0;0
;;7;Straatman, L.;135;13;0;2;2;0;13;6;7;28;9;5;4;15;2;0;2;5;2;5;0;2;0;1;3;5;4;0
;;8;Roelofs, J.J.W.A.;17;0;0;0;0;0;0;0;0;3;3;4;1;3;0;0;0;0;0;0;0;0;0;0;2;0;1;0
;;9;Dolmans, L.J.F.;35;0;0;0;0;0;1;22;0;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;3;2;0
;;10;Cuypers, P.M.;28;10;0;0;0;0;2;0;1;2;4;4;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;11;Vos - de Laat, A.Y.;68;0;2;6;8;4;19;6;12;0;0;0;1;2;0;1;0;1;0;2;0;0;0;1;0;0;3;0
;;12;van Loon, L.P.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;3;0;2;0;0;0;0
;;13;Dhont, A.T.;16;1;0;0;0;2;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;7;1;0;0
;;14;Vaassen, P.;4;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;van de Sant, A.H.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kroon, M.;27;3;2;2;1;0;4;3;5;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0
;;17;Wannet, S.J.H.G.;21;7;0;1;1;0;3;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
9;Partij van de Arbeid (P.v.d.A.);;;1167;79;19;35;44;11;50;76;79;151;66;80;53;57;45;32;37;52;5;25;13;20;5;9;14;63;44;3
;;1;van den Bos, M.J.A.;701;33;6;19;33;5;25;35;29;101;49;54;36;40;29;21;22;31;2;15;9;16;3;4;8;44;31;1
;;2;Swart, S.G.M.;170;9;4;4;4;2;5;15;9;24;12;17;10;11;2;3;3;6;0;3;2;1;1;4;2;13;3;1
;;3;Kloek, J.;26;0;0;0;0;0;1;0;1;10;1;6;4;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
;;4;Hulshof, M.J.;101;21;3;7;6;2;13;14;13;2;2;0;1;0;1;0;0;0;0;3;1;1;0;1;4;2;4;0
;;5;Peren, H.T.;14;2;0;0;0;0;0;0;0;8;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Verhoeven, P.G.;29;0;0;0;0;0;0;0;0;2;0;0;0;0;7;4;4;11;0;0;0;1;0;0;0;0;0;0
;;7;Janssen, J.A.C.;26;5;1;0;0;1;2;5;9;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
;;8;van der Elst, G.H.J.;11;3;4;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Aarntzen, J.B.H.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;3;1;0;0;0;0;0;0;1;0;1
;;10;Heinink, A.L.;13;0;0;0;0;0;0;0;0;4;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;11;van Roosmalen, J.N.M.;26;3;1;1;1;0;3;3;8;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0
;;12;Busch, P.M.;11;1;0;4;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Ballhaus, P.J.G.;8;1;0;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Bles, M.A.H.W.;18;1;0;0;0;0;0;0;0;0;0;0;0;2;4;3;4;1;1;0;0;1;1;0;0;0;0;0
10;LFS;;;378;99;13;30;22;9;24;40;35;9;10;5;3;2;2;0;3;3;1;15;3;2;0;1;1;2;43;1
;;1;Schut, Franciscus Maria;242;55;7;18;14;6;14;31;21;5;10;4;3;2;1;0;2;2;1;11;0;2;0;1;1;1;30;0
;;2;Vercoulen, F.P.H.;29;5;1;4;1;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;4;1
;;3;Huisman, L.C.T.;37;20;0;1;1;0;3;3;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0
;;4;van Schijndel E/v Schmeink, M.A.A. Schmeink;18;1;0;1;3;0;1;2;3;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0
;;5;Drabbe p/v Kuster, C.W.P.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van Dort, G.F.G.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;7;Schmeink, M.J.M.;17;6;0;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0
;;8;Geene e/v Schut, L.M.H.;7;2;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;9;Lentjes, E.J.;20;9;4;1;1;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Johannesma e/v Makarawung-Joha, K.W.L.;5;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Gerritsen, C.E.Z.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
11;Gin gezeur we gaon d'r veur;;;302;16;3;6;2;0;6;13;7;10;4;5;2;3;24;26;67;55;11;9;1;5;0;7;5;4;9;2
;;1;Haan, R.A.A.;151;6;1;4;1;0;3;8;2;9;4;4;0;2;12;8;36;25;4;6;0;3;0;3;2;3;4;1
;;2;Kersten, J.W.M.;16;3;0;1;0;0;1;0;1;0;0;0;0;0;1;1;3;1;0;1;0;0;0;2;0;0;1;0
;;3;Hoogveld, J.T.H.;10;2;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;1;0;1;0;0;0;0;0;0;0;0
;;4;Joosten, J.;6;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0
;;5;Lippmann, G.C.;20;1;0;0;0;0;0;0;2;0;0;0;0;1;3;2;4;6;0;0;0;1;0;0;0;0;0;0
;;6;Geurts, J.G.M.;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0
;;7;Nijenhuis, R.H.J.C.;25;2;2;0;0;0;0;0;0;0;0;0;0;0;1;5;6;5;2;0;1;0;0;0;1;0;0;0
;;8;Derksen, C.J.;10;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0
;;9;Pruijn, J.A.H.;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Tjallinks, F.J.;5;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0
;;11;Wiecherink, G.W.;49;1;0;0;0;0;2;2;0;0;0;1;2;0;5;6;11;6;3;1;0;1;0;2;1;1;3;1
