Verkiezing;;Gemeenteraad Renkum 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Renkum;;;;;;;;;;;;;;;;;;;;
Nummer;;0274;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gymzaal Van Spaenweg;Vredebergkerk;Parkflat De Valkenburcht;Ontmoetingskerk;Ons Middelpunt;Sporthal Doorwerth;Gymzaal Wolfheze;Kerkje op de heuvel;Serviceflat Hoog Heelsum;Broedplaats;MFC Doelum;Huis van Renkum;Mobiel stembureau;Gemeentehuis (maandag);Gemeentehuis (dinsdag);MFC Doelum (maandag);MFC Doelum (dinsdag)
;;11;Koelewijn, J.H.;131;8;3;1;6;50;18;10;0;1;5;0;6;7;1;2;5;4;4
;;12;Nijeboer, A.;245;7;5;0;6;6;12;2;147;4;2;0;10;1;13;7;12;5;6
;;13;van Hees, A.P.A.;17;0;0;0;0;7;2;1;1;0;0;0;0;1;0;2;0;2;1
;;14;Mali, C.T.A.;8;2;1;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0
;;15;Lourens, M.;100;0;3;1;0;2;1;1;0;5;4;8;31;12;0;2;0;13;17
;;16;van Geffen, S.;9;0;1;0;2;2;1;1;0;0;0;0;0;1;0;0;1;0;0
;;17;Geertsen, K.E.I.A.M.;25;7;2;6;2;0;1;1;1;0;0;0;0;0;0;1;4;0;0
;;18;Gerritsen, M.H.J.;20;2;1;0;0;0;3;4;4;3;0;0;0;1;0;0;2;0;0
;;19;van Geffen, P.;18;3;1;6;1;2;1;0;0;0;0;0;1;0;0;0;2;1;0
;;20;van der Veen, V.G.E.;20;1;0;0;0;0;2;0;1;1;1;0;6;4;0;0;2;1;1
;;21;Bruins, M.H.;10;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;2;0
;;22;van Glabbeek, M.R.H.A.;13;0;0;0;1;2;7;1;0;0;0;0;0;0;0;1;0;1;0
;;23;Hutten, A.H.;11;0;0;0;0;0;1;0;0;0;0;0;5;4;0;0;0;1;0
;;24;Verhaagen, B.N.;10;1;0;1;1;1;0;0;2;0;0;0;1;1;0;1;1;0;0
;;25;van der Kracht, A.M.;48;11;4;4;6;0;1;1;1;1;1;0;0;0;0;13;5;0;0
;;26;Wurster-van der Giessen, A.B.;32;1;0;0;1;0;2;3;2;1;1;2;9;3;0;1;0;3;3
3;D66;;;2044;373;159;165;101;109;87;96;86;104;44;38;121;105;6;132;205;60;53
;;1;Cuppen, F.T.M.;808;134;53;64;46;60;36;58;33;33;16;15;43;42;3;57;75;25;15
;;2;Mijnhart, F.J.;584;119;44;51;31;28;28;20;31;25;12;2;24;19;1;36;78;19;16
;;3;Firet, D.L.;202;54;32;17;8;7;4;4;9;10;3;2;5;11;1;13;17;2;3
;;4;van Spaendonck, R.W.;81;14;9;5;7;5;3;3;3;5;3;1;0;3;0;8;9;1;2
;;5;Bondt, D.A.;33;5;3;4;1;2;2;2;2;1;0;1;1;1;1;3;3;1;0
;;6;Kraak, P.W;21;3;1;7;1;0;4;0;0;0;1;0;1;0;0;1;2;0;0
;;7;Santbergen, L.P.M.;69;1;0;0;0;3;0;1;1;2;1;5;19;17;0;1;2;8;8
;;8;Stokman, T;15;4;3;2;1;0;0;0;0;0;0;0;1;0;0;0;3;0;1
;;9;de Smit, P.J.M.;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Post, B;18;0;0;0;0;0;0;0;0;1;2;4;7;3;0;0;0;0;1
;;11;Jurrius, J.H.;58;2;0;1;0;0;7;3;1;24;6;3;5;0;0;0;1;2;3
;;12;van Dijk, T.C.;6;2;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
;;13;Kramer- van Kraaij, A.C.;25;5;6;1;0;0;0;3;1;2;0;0;2;2;0;2;1;0;0
;;14;Verstand, J;22;6;3;3;0;0;1;2;0;0;0;0;3;0;0;1;2;1;0
;;15;Engelsma, K.J.;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Makkinga, F.H.;23;8;0;2;1;0;1;0;0;0;0;2;1;0;0;4;4;0;0
;;17;Lelieveld, G;20;0;0;0;0;0;0;0;0;0;0;3;6;7;0;0;1;1;2
;;18;Martens, D.P.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Erp, R.H.;6;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Meer, T.A.M;6;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0
;;21;ten Ham, M.L.;13;2;1;1;2;0;0;0;1;0;0;0;3;0;0;1;2;0;0
;;22;Steggerda, P.F.M.;6;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van den Elst, E;15;4;0;5;0;2;0;0;1;0;0;0;0;0;0;1;1;0;1
;;24;Kuyvenhoven, J.B.;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;1
4;VVD;;;2290;312;123;120;162;113;130;146;146;112;87;58;143;130;8;143;204;61;92
;;1;Hoge, W.;992;106;37;50;62;45;63;73;32;57;47;31;77;87;6;68;76;30;45
;;2;Smits-Jansen, M;459;99;27;29;43;19;29;35;11;10;7;7;11;12;2;37;62;9;10
;;3;Hollink, O.H.;234;48;40;26;16;10;9;13;3;13;2;3;2;1;0;10;31;3;4
;;4;Kappen, F.J.;123;6;0;0;3;5;0;2;90;0;0;1;1;4;0;3;6;1;1
;;5;Streefkerk, J.C.J.;193;5;0;3;4;16;16;5;3;25;20;14;34;15;0;0;1;13;19
;;6;Schlette, R.W.A.;89;15;5;3;14;7;7;5;0;3;5;2;2;4;0;9;7;1;0
;;7;Benschop, R.E.;36;2;5;2;5;1;4;2;0;0;0;0;1;1;0;8;5;0;0
;;8;Sijbesma, R.G.;18;2;0;0;2;0;0;2;0;0;0;0;5;2;0;0;0;3;2
;;9;Blaauw, F.S.;27;0;0;0;0;2;0;3;1;2;5;0;7;2;0;0;1;1;3
;;10;van der Stap, J.P.M.;7;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0
;;11;Tirion, P.H.;25;2;2;1;2;3;1;1;1;1;1;0;1;0;0;3;4;0;2
;;12;van Helvoirt, D.C.;21;12;1;3;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0
;;13;van Ramshorst, K.;8;1;3;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
;;14;Köhnke, R.;9;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;6
;;15;Schampers, R.;25;7;0;2;9;1;1;0;0;0;0;0;0;0;0;1;4;0;0
;;16;Bosmann, J.P.;24;7;3;0;1;1;0;5;0;0;0;0;0;1;0;1;5;0;0
5;CDA;;;1171;113;50;106;65;66;69;48;71;76;56;31;73;57;23;74;92;49;52
;;1;Bekkers, M.M.;508;45;11;29;25;40;44;28;26;24;28;19;30;28;20;33;30;24;24
;;2;de Martelaere / van den Broeke, F.;141;10;6;13;10;7;2;8;26;6;4;2;15;6;1;4;6;7;8
;;3;Frijlink, H.M.J.;186;29;14;40;20;7;6;2;4;0;1;2;0;1;0;22;36;2;0
;;4;Hallema, T.;36;1;0;1;0;0;4;0;0;11;7;1;4;1;0;0;1;1;4
;;5;Geerdes, C.F.;25;3;1;3;0;1;0;0;0;7;2;0;0;0;1;1;4;1;1
;;6;Güner, A.;9;0;0;0;0;2;1;0;0;0;1;0;1;0;0;2;2;0;0
;;7;Gerritsen / van Lent, F.;57;5;4;5;1;2;4;2;2;5;3;0;7;8;0;0;4;2;3
;;8;van der Velden, A.F.J.;12;6;0;1;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;9;Ruyten, L.G.A.;5;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
;;10;Blankenspoor, J.G.R.;47;4;9;7;1;1;0;3;4;3;0;1;1;1;0;8;4;0;0
;;11;Lovink, E.;62;1;0;0;0;1;2;0;0;15;5;4;8;6;0;0;0;11;9
;;12;Janssens, J.R.;5;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;Vinke, H.J.;15;1;0;1;0;3;0;2;7;0;0;0;0;1;0;0;0;0;0
;;14;Straatman, G.E.;11;0;0;0;0;0;0;1;0;0;0;1;4;2;0;0;0;0;3
;;15;Kip, W.N.;12;2;2;3;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0
;;16;Feiter / van Dam, E.M.;12;2;0;1;0;2;3;2;0;1;0;0;0;1;0;0;0;0;0
;;17;Brouwer / Eising, B.;12;1;3;0;3;0;0;0;0;0;0;0;1;0;0;1;3;0;0
;;18;van Lochem, B.H.;16;1;0;0;0;0;3;0;1;1;4;1;2;0;1;1;0;1;0
6;Partij van de Arbeid (P.v.d.A.);;;1898;227;84;91;63;114;143;53;56;96;108;51;160;173;16;101;148;92;122
;;1;Mulder, M.A.;1407;187;75;73;44;86;112;42;49;65;64;31;104;102;15;90;128;70;70
;;2;Harmsen, B.;59;6;0;0;0;1;3;1;0;9;10;0;5;12;0;1;2;3;6
;;3;Weeda, H.J.;147;3;0;2;5;2;6;1;2;8;10;13;31;31;0;3;3;4;23
;;4;Mudde, M.;25;10;2;3;2;1;0;1;0;0;0;0;1;2;0;0;3;0;0
;;5;Schultze, W.M.C.;29;0;0;0;0;12;3;0;1;0;6;0;1;1;0;0;2;2;1
;;6;Bosscha, L.E.;18;0;0;0;0;0;0;0;0;4;6;0;3;1;0;0;0;0;4
;;7;Beekhuizen, G.;23;0;0;0;1;1;0;0;0;2;2;1;3;7;0;1;0;1;4
;;8;Kaspers, J.C.H.;14;1;0;0;1;0;2;2;1;2;1;0;0;1;0;0;0;1;2
;;9;de Vries, D.W.E.;22;1;0;3;1;0;2;1;1;0;0;2;3;1;0;0;7;0;0
;;10;ter Huurne, A.G.F.;17;7;2;3;2;0;0;0;0;0;1;0;0;0;0;2;0;0;0
;;11;Miltenburg - Wolters, H.G.A.M.;15;2;0;0;0;0;0;0;0;0;4;0;3;3;0;0;0;2;1
;;12;Tax, H.P.I.;25;2;0;0;0;2;11;4;0;2;0;1;0;0;0;0;0;2;1
;;13;Gijselhart, V.J.J.M.;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Bloemzaad, A.F.;12;3;1;1;1;0;0;1;1;0;1;0;0;0;0;0;2;0;1
;;15;de Haan, J.Y.;6;1;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0
;;16;van 't Hof - von Nordheim, L.E.;7;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0
;;17;Külci, N.;68;4;2;5;1;8;4;0;1;4;1;2;5;12;1;3;0;6;9
