Verkiezing;;Gemeenteraad Doetinchem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Doetinchem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Gymzaal Terborgseweg;OC De Daele;Het Trommelslag;OBS Hogenkamp;Speeltuin Schoneveld;OC De Achterhoek;MFA De Zonneboom;Bs te IJzevoorde;Gymzaal Ottawastraat;OBS Hagen;IKC Het Noorderlicht;OR Gereformeerde Gemeente;Sporthal De Pol A;Sporthal De Pol B;OBS Wis en Wierig;BS OCTA;OBS De Huet;Waterschapsgebouw;Sporthal De Bongerd A;Sporthal De Bongerd B;IKC Plattenburg;KC De Wingerd;Stadsmuseum en Borghuis;vv VIOD;App Waterrijk;Het Raadhuis;VG Ons Huis;DA De Horst;SO Isselborgh;Brandweer Wehl;BS Dichterbij;Stadhuis ma;Waterschapsgebouw ma;Het Raadhuis ma;Sporthal De Pol ma;OR Gereformeerde Gemeente ma;MFA De Zonneboom ma;KC De Wingerd ma;vv VIOD ma;Stadhuis di;Waterschapsgebouw di;Het Raadhuis di;Sporthal De Pol di;OR Gereformeerde Gemeente;MFA De Zonneboom di;KC De Wingerd di;vv VIOD di
;;14;Emaus, J.W.T.;21;2;5;4;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Baan, J.;49;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;4;3;0;1;0;23;0;0;0;0;2;1;0;0;0;0;0;2;0;0;1;0;0;0;0;2;0
;;16;Thus, S.M.;108;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;2;0;0;1;2;0;1;0;0;3;3;10;42;11;0;13;0;0;0;6;0;0;0;0;2;0;0;8;0;0;0;0;0
;;17;Ostendorp, H.M.;65;8;0;8;0;0;2;1;8;2;0;1;0;0;3;1;0;0;0;1;1;0;5;3;1;1;0;1;0;0;1;0;0;3;1;0;0;1;0;3;2;1;1;0;0;1;2;1;1
;;18;Drenth, P.C.;59;4;0;0;3;3;2;0;2;5;0;0;0;0;0;3;0;0;1;3;3;0;1;0;2;5;2;0;2;4;0;0;0;5;1;0;0;0;1;1;0;1;0;0;0;0;1;2;2
2;Partij van de Arbeid (P.v.d.A.);;;2820;204;47;112;88;82;159;32;92;22;61;116;47;59;62;43;19;43;86;67;80;25;88;93;94;44;86;38;39;20;17;11;55;98;31;16;31;19;27;71;18;109;29;16;53;29;36;83;23
;;1;op de Weegh, M.G.G.;1273;87;24;47;41;37;88;16;49;7;21;44;11;26;17;14;10;20;35;24;37;10;41;36;55;26;46;10;5;8;8;5;30;52;16;7;16;10;10;32;15;50;15;6;22;8;16;47;16
;;2;Teunissen, J.H.;514;29;7;21;7;12;19;10;14;7;13;22;11;13;15;4;5;9;19;17;17;7;19;20;15;8;20;7;2;3;6;1;12;14;5;2;6;3;4;16;0;22;8;2;8;9;9;14;1
;;3;Pontier, G.P.;233;18;4;22;6;13;20;0;5;1;2;9;5;2;7;3;1;7;8;4;7;2;6;10;4;2;2;4;2;0;0;1;3;9;2;1;2;3;4;7;0;7;2;2;1;2;3;7;1
;;4;Veldhuis, A.W.N.;138;11;1;8;2;4;8;1;5;4;2;5;1;4;2;2;1;1;4;4;4;0;4;5;7;1;3;2;2;1;0;0;1;6;3;0;1;0;0;6;1;6;2;0;3;0;2;8;0
