Verkiezing;;Gemeenteraad Heumen 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Heumen;;;;;;;;;;;;
Nummer;;0252;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Malderburch Malden;Multifunctioneel centrum Maldensteijn Malden;Sportcentrum Malden;Verenigingsgebouw Terp Heumen;Verenigingsgebouw Overasselt;Verenigingsgebouw Ons Huis Nederasselt;Multifunctioneel centrum Maldensteijn Malden - maandag;Multifunctioneel centrum Maldensteijn Malden - dinsdag;Verenigingsgebouw Overasselt - maandag;Verenigingsgebouw Overasselt - dinsdag
;;9;Creemers, A.C.G.;15;3;3;4;0;0;0;3;1;0;1
;;10;Peters, M.E.W.J.;7;0;1;3;0;0;0;1;2;0;0
;;11;Shafieani Shehni, E.;20;2;4;8;0;0;0;3;2;0;1
;;12;Oude Vrielink, E.H.A.M.;4;0;4;0;0;0;0;0;0;0;0
;;13;van Gisteren, R.B.G.;2;1;1;0;0;0;0;0;0;0;0
;;14;Zweegman, R.W.;5;0;3;0;0;2;0;0;0;0;0
;;15;Leijdekker, J.C.;6;1;1;1;0;0;0;0;3;0;0
;;16;Dankelman, I.E.M.;9;0;0;5;0;0;0;1;3;0;0
;;17;van Rens, D.H.;12;0;3;4;0;0;0;0;5;0;0
;;18;van Gils, M.H.;15;2;3;5;1;0;0;3;1;0;0
;;19;Grol, H.E.T.;15;0;1;1;0;2;3;0;0;1;7
;;20;Geurts-Klein Hemmink, A.B.M.;4;0;1;1;1;0;0;1;0;0;0
;;21;Gijsenbergh, I.A.;13;0;4;2;2;0;0;2;3;0;0
5;D66;;;812;58;173;207;40;65;34;84;121;14;16
;;1;Smelik, B.;547;45;125;153;16;31;17;47;96;11;6
;;2;Laenen, G.P.;25;1;4;3;11;0;0;2;4;0;0
;;3;Verschoor, E.W.;21;0;1;1;9;0;2;5;3;0;0
;;4;Seutter, M.;24;0;3;9;0;3;0;4;5;0;0
;;5;Pillich, L.J.M.;40;1;16;8;0;5;0;7;3;0;0
;;6;Duinkerke, M.A.P.;23;2;3;11;1;0;0;4;2;0;0
;;7;Groen in 't Woud, S.;10;1;5;3;0;0;0;1;0;0;0
;;8;Crijns, H.M.H.J.;5;0;2;0;1;0;0;2;0;0;0
;;9;van Beek, A.N.J.;17;1;2;5;0;0;0;9;0;0;0
;;10;Idsenga, J.J.M.;27;1;7;11;0;2;1;0;5;0;0
;;11;Hollman, Y.M.J.J.;3;1;0;0;2;0;0;0;0;0;0
;;12;Eetgerink, F.P.;20;1;1;0;0;2;14;2;0;0;0
;;13;Bijlmer, J.J.M.;7;3;2;0;0;0;0;0;2;0;0
;;14;Kropman, K.C.;36;0;1;0;0;22;0;0;0;3;10
;;15;van der Molen, P.M.C.;7;1;1;3;0;0;0;1;1;0;0
6;Partij van de Arbeid (P.v.d.A.);;;865;112;169;167;52;48;13;99;145;21;39
;;1;Müller-Königkrämer, T.K.F.;464;55;93;95;32;28;6;48;75;8;24
;;2;Laumen, K.J.;24;8;2;5;1;2;0;3;2;0;1
;;3;Janssen, A.J.H.;37;9;6;2;0;1;0;7;12;0;0
;;4;Stunnenberg, J.H.W.T.;178;27;37;36;8;4;7;20;33;1;5
;;5;Witsiers, J.S.J.M.;39;6;16;4;0;3;0;7;0;0;3
;;6;Hamers, H.J.F.R.;7;0;1;2;0;0;0;0;4;0;0
;;7;Oegema, D.;37;3;3;10;3;3;0;6;8;1;0
;;8;Joosten, H.F.P.;39;3;0;7;1;6;0;2;3;11;6
;;9;Stunnenberg, L.N.G.;3;1;0;1;1;0;0;0;0;0;0
;;10;Harleman, H.W.;14;0;3;3;2;1;0;1;4;0;0
;;11;Claassen, A.W.M.;1;0;0;0;0;0;0;0;1;0;0
;;12;van Koningsbruggen, T.W.S.M.;6;0;1;0;0;0;0;3;2;0;0
;;13;Delissen, M.J.G.;16;0;7;2;4;0;0;2;1;0;0
7;De Kiezersclub;;;644;114;174;92;31;18;15;74;120;3;3
;;1;van Eldijk, J.A.L.W.M.;306;61;74;41;18;14;13;36;44;2;3
;;2;Zwaag, A.;51;7;12;9;1;0;0;7;14;1;0
;;3;Goossens, C.C.H.;124;22;37;17;4;1;1;10;32;0;0
;;4;Peters, W.L.M.;24;0;9;3;0;0;1;4;7;0;0
;;5;Coenen, J.L.M.;18;1;5;3;2;0;0;4;3;0;0
;;6;Gerrits, M.M.;10;1;1;3;3;0;0;0;2;0;0
;;7;Pouwels, J.P.J.G.;31;11;7;4;3;1;0;1;4;0;0
;;8;Stevens, T.B.L.;9;1;1;2;0;1;0;3;1;0;0
;;9;Hendriks, L.P.J.;13;0;7;2;0;0;0;2;2;0;0
;;10;Wilting, P.H.M.;2;1;1;0;0;0;0;0;0;0;0
;;11;Schuurs, G.B.A.;3;0;0;0;0;0;0;0;3;0;0
;;12;Gerrits, M.A.;6;0;3;3;0;0;0;0;0;0;0
;;13;Kalkman, R.P.T.I.;15;0;8;3;0;0;0;0;4;0;0
;;14;Kersten, T.M.;32;9;9;2;0;1;0;7;4;0;0
