Verkiezing;;Gemeenteraad Winterswijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Winterswijk;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0294;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentekantoor;Gemeentekantoor;Gemeentekantoor;De Ontmoeting;De Ontmoeting;De Ontmoeting;Wamelinkhof;IJs-en skeelercomplex WIJV;Gymlokaal de Bargerpaske;FC Winterswijk kantine;Gymlokaal de Stegeman;Sporthal de Vlier;Sportzaal de Alma;Clubgebouw Fietstourclub Wenters;Molukse Samenwerkende Kerken Immanuel;Stemstraat Brandweerkazerne;Zalencentrum Reuselink;Restaurant 'de Schoppe';Gebouw Marijke;Gymlokaal Meddo;Mobiel stembureau 1 (met beperkte toegang);Mobiel stembureau 2 (met beperkte toegang);Mobiel stembureau 3
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Postcode;;;;;7101 GH;7101 GH;7101 GH;7101 DP;7101 DP;7101 DP;7101 JT;7101 PA;7103 AW;7103 AV;7101 BG;7101 TR;7102 CX;7101 JL;7101 TX;7102 AM;7115 AG;7109 AH;7113 AE;7104 BB;7101 GH;7101 GH;7101 GH
;;18;Meijran, J.H.H.;8;4;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Stigter, C.;13;0;0;3;1;0;0;0;0;1;0;1;1;0;1;3;0;1;0;0;1;0;0;0
5;D66;;;1971;95;151;174;69;85;62;96;74;293;65;108;145;118;43;76;52;54;50;33;69;1;15;43
;;1;ten Dolle, L.;1619;76;118;134;58;79;44;82;62;255;55;89;119;104;37;63;45;32;38;24;59;1;11;34
;;2;Deunk, F.H.J.;108;2;7;5;4;2;5;3;2;13;4;4;3;3;2;4;2;17;10;0;4;0;3;9
;;3;Schut, M.;76;6;11;9;0;0;4;3;5;9;0;5;6;3;2;3;2;1;1;4;2;0;0;0
;;4;Hoogma, A.;31;0;6;9;0;2;2;0;0;2;0;3;4;0;0;2;1;0;0;0;0;0;0;0
;;5;ten Holder, N.;6;0;0;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;6;Kolkman, J.H.;13;1;0;3;0;1;0;0;0;1;0;1;0;0;0;1;0;2;0;2;0;0;1;0
;;7;Potuit, T.;15;1;1;4;1;0;0;2;0;0;0;2;1;2;0;0;1;0;0;0;0;0;0;0
;;8;Meuwszen, M.;19;1;2;3;0;0;1;3;1;3;0;0;4;1;0;0;0;0;0;0;0;0;0;0
;;9;Swienink, J.;15;2;0;0;4;0;4;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;0;0
;;10;Ooms, A.M.;4;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;11;van der Graaf, F.;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Woordes, W.;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Obbink, A.D.;4;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Kampen, G.T.A.;4;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Venhuis, G.J.M.;6;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0
;;16;Epping, E.;7;0;0;0;0;0;0;0;0;3;0;0;2;1;1;0;0;0;0;0;0;0;0;0
;;17;Veenemans, C.A.;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;0
;;18;van Dam, M.;10;3;1;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0
