Verkiezing;;Gemeenteraad Beuningen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beuningen;;;;;;;;;;;;;;;;;;;;
Nummer;;0209;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeetehuis Beuningen;Tennisclub De Linden;Droom! Beuningen;Scouting Beuningen '76;Korfbalvereniging NAS;Voetbalvereniging Ewijk;MFA 't Hart Ewijk;Dorpshuis De Kloosterhof;Muziekcentrum ULTO;Scouting Sint Andriesgroep Weurt;Dorpshuis De Lèghe Polder;Sporthal De Tinnegieter;Ontmoetingscentrum De Paulus;Theater de Molen Beuningen;Gemeentehuis Beuningen Early Voting maandag;Ontmoetingscentrum De Paulus Early Voting maandag;Gemeentehuis Beuningen Early Voting dinsdag;Ontmoetingscentrum De Paulus Early Voting dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;9;10;11;12;13;15;20;101;115;201;215
Postcode;;;;;6641 AE;6641 KH;6641 SZ;6551 DR;6641 TZ;6644 CH;6644 EA;6551 EB;6645 AD;6551 ZZ;6641 DC;6641 DH;6645 BT;6641 BK;6641 AE;6645 BT;6641 AE;6645 BT
;;8;van Boekel, E J;12;0;0;0;1;0;0;0;0;0;0;4;3;0;0;1;0;3;0
;;9;Martinus, R M;42;1;1;2;5;1;4;8;0;0;0;4;5;2;1;2;3;3;0
;;10;Mentink, A A;27;2;3;0;0;0;0;0;2;0;0;4;4;0;2;3;0;7;0
;;11;Keijzer, C;8;0;1;2;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0
;;12;Broeders, J M A;20;1;3;5;3;0;0;2;0;1;2;1;1;0;1;0;0;0;0
;;13;de Turck, M T G;8;1;1;1;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0
;;14;van Ravensteijn, W G M;14;0;0;2;0;0;0;5;0;0;0;0;2;3;1;0;0;1;0
;;15;Romviel, W J A M;62;2;4;1;19;0;1;11;5;0;0;5;4;0;1;3;0;5;1
;;16;Veens, T H W;46;0;0;1;0;0;1;3;1;11;0;0;1;7;0;3;8;0;10
;;17;Janssen, J C A M;7;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0
;;18;van den Hurk, A G H R M;4;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
;;19;van Bergen, T J M;6;2;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Goesten, J C A;9;1;0;1;1;0;0;2;1;0;0;0;1;0;0;2;0;0;0
;;21;Boerakker, T J;7;1;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0
;;22;van der Heiden, A J J;7;1;0;0;0;0;2;1;1;0;0;2;0;0;0;0;0;0;0
3;VVD;;;1936;142;147;189;193;69;99;171;71;40;40;154;149;62;49;116;20;184;41
;;1;van den Heuvel, K.C.;993;58;73;84;91;30;44;101;44;27;24;82;76;34;24;50;15;107;29
;;2;Rengers, E.A.W.;161;15;16;11;13;6;11;13;3;1;0;13;13;10;4;10;2;19;1
;;3;Woutersen, G.P.B.;56;3;6;4;12;3;2;1;4;1;0;8;5;1;0;2;0;4;0
;;4;Torenbeek, S.E.N.;173;12;10;22;37;8;3;6;1;2;1;19;14;5;4;14;0;12;3
;;5;Loeffen, G.H.;202;32;12;12;14;9;11;11;7;1;8;9;19;7;12;16;0;18;4
;;6;Janssen, P.D.A.;25;2;1;0;3;0;1;0;10;0;2;2;1;0;1;1;0;1;0
;;7;Hakse, A.B.;93;3;14;33;3;4;3;0;1;0;1;5;5;1;3;7;0;10;0
;;8;Poot, J.;11;2;0;3;0;0;0;1;0;0;0;2;3;0;0;0;0;0;0
;;9;Torenbeek, R.;17;1;1;0;6;0;0;1;1;2;1;0;1;0;0;1;0;0;2
;;10;Hobo, S.J.M.C.;6;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Sengers, E.;52;0;2;0;3;2;16;16;0;2;0;1;1;2;0;1;2;3;1
;;12;Goossens, P.J.M.;19;0;0;0;0;0;5;12;0;0;1;0;0;1;0;0;0;0;0
;;13;Loeffen, S.W.F.M.;19;1;1;3;4;0;1;0;0;0;0;1;0;0;1;5;0;1;1
;;14;Pranger, M.J.C.;4;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;15;Loeffen-Gruitrooij, M.A.M.;64;8;4;8;2;6;1;4;0;2;2;9;9;0;0;5;0;4;0
;;16;Plaizier, H.;41;3;4;7;4;1;1;5;0;1;0;3;2;1;0;4;1;4;0
4;GROENLINKS;;;1183;83;70;85;55;26;42;82;127;10;82;125;122;27;40;73;8;104;22
;;1;Houben, F.M.H.P.;342;23;28;28;19;8;10;17;15;3;8;44;42;8;17;32;1;33;6
;;2;van Teeseling, F.;85;4;3;1;6;1;1;2;25;0;26;1;2;1;0;7;0;5;0
;;3;Lukker, G.;353;35;22;27;11;8;15;19;23;2;9;41;47;9;11;22;1;45;6
;;4;Bril, J.G.M.;29;0;0;0;0;2;0;3;2;3;2;1;2;4;0;1;3;1;5
;;5;Wenting, B.J.M.;56;4;2;5;5;3;1;9;4;2;1;6;6;1;1;2;0;3;1
;;6;Los, S.;61;2;2;1;1;0;1;0;30;0;14;2;2;1;0;1;0;4;0
;;7;Schoutsen, T.G.M.;21;0;2;2;1;0;0;0;1;0;1;4;2;0;0;3;0;5;0
;;8;van Teeseling, L.;37;5;4;1;3;0;0;0;2;0;8;4;2;0;2;1;0;3;2
;;9;van Sommeren-van den Hurk, F.M.A.;64;0;1;5;2;2;10;29;0;0;0;5;3;1;2;1;1;1;1
;;10;van Koolwijk, W.;46;0;0;5;0;0;0;0;20;0;12;1;1;1;2;1;0;3;0
;;11;van den Hoek, A.J.M.;17;1;1;1;2;0;0;1;2;0;1;5;2;0;1;0;0;0;0
;;12;van der Kolk, M.;3;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;;13;Stronkhorst, W.D.;20;5;5;4;1;0;0;0;0;0;0;2;0;0;1;1;0;0;1
;;14;Maris, J.C.H.;7;0;0;2;0;1;0;0;0;0;0;0;2;0;1;1;0;0;0
