Verkiezing;;Gemeenteraad Tiel 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0281;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Cultuurgebouw Zinder;Stembureau Centrum Oosthonk;Stembureau Centrum Westroyen;Stembureau Wielersportcentrum de Betuwe;Stembureau Cultuurgebouw Zinder;Stembureau Centrum Oosthonk;Stembureau Centrum Westroyen;Stembureau Wielersportcentrum de Betuwe;Stembureau Cultuurgebouw Zinder;Stembureau Verenigingsgebouw AVGN;Stembureau Verenigingsgebouw KTVM;Stembureau Centrum Oosthonk;Stembureau De Vier Gravinnen;Stembureau Clubhuis Tiel;Stembureau Betuwe Sporthal;Stembureau Activiteitengebouw kerk Wadenoijen;Stembureau Drumptse Hof;Stembureau Wielersportcentrum de Betuwe;Stembureau Centrum Westroyen;Stembureau Clubhuis Theole;Stembureau Schoolwoningen Passewaaij;Stembureau Voetbalclub RKTVC;Stembureau Hondensportvereniging Tiel;Stembureau Kantoor BSR;Stembureau Mobiel stembureau verzorgingshuizen;Stembureau Mobiel stembureau in touringcar
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;4001 JR;4005 VR;4003 AL;4006 MC;4001 JR;4005 VR;4003 AL;4006 MC;4001 JR;4001 WJ;4001 HZ;4005 VR;4001 RZ;4005 BC;4006 AJ;4014 MB;4003 GA;4006 MC;4003 AL;4002 AH;4007 HD;4006 AW;4006 PD;4001 CE;4001 MV;4001 MV
;;12;van den Hurk, A.H.G.M.;17;0;0;0;2;0;0;0;0;1;1;0;0;3;0;0;0;3;0;0;4;2;0;1;0;0;0
;;13;Smits, E.F.H.;34;2;0;0;0;1;1;0;5;1;0;0;4;0;0;1;0;6;1;0;1;5;1;4;0;0;1
;;14;van Zutphen, J.F.;7;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0
;;15;Copper, M.N.;15;1;0;0;1;0;1;0;1;0;2;0;0;0;0;1;0;1;3;0;1;2;0;0;1;0;0
;;16;Zuidema, T.;69;0;0;2;1;2;0;0;3;3;0;0;1;1;0;5;1;15;12;2;4;6;3;5;2;0;1
;;17;van Gelderen, G.K.A.;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Combecher, A.K.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
;;19;de Laet, C.F.;11;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;3;0;0;0
;;20;Jansen, M.;52;2;0;1;0;2;1;1;5;6;2;0;2;1;1;1;2;3;2;2;3;5;4;5;1;0;0
;;21;Crielaard, R.;6;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0
;;22;Sewalt-Wijbrandts, J.L.;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;1;0;0;3;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1732;64;18;20;62;69;21;73;55;89;78;67;87;94;42;177;26;158;73;73;76;110;59;72;33;5;31
;;1;Gulikers, K.T.M.;609;29;9;9;33;19;7;37;25;38;22;21;29;29;8;28;10;52;17;31;30;35;26;30;15;3;17
