Verkiezing;;Gemeenteraad Oost Gelre 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oost Gelre;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1586;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Den Diek;De Hamalandhal;De Schoppe;De Swite;De Treffer;De Zandschoppe 1;De Zandschoppe 2;CityLido;De Mattelier 1;De Mattelier 2;Vincentiushuis;oude Willibrordusschool;Dorpshuis 't Kempken;Bernard Vos Clubhuus;BMV Mariënvelde;MFA De Bult;Het Witte Paard;Het Reirinck;Gemeentehuis ma14maart;Gemeentehuis di15maart;De Mattelier ma14maart;De Mattelier di15maart;Mobiel stembureau met beperkte toegang
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;101;102;110;111;120
Postcode;;;;;7131 BJ;7131 DP;7131 EN;7131 SB;7131 ZT;7131 CM;7131 JA;7131 JA;7141 BA;7141 BP;7141 BP;7141 KB;7141 WH;7135 JD;7137 MD;7263 RX;7134 NJ;7136 LG;7141 HE;7131 BJ;7131 BJ;7141 BP;7141 BP;7131 BJ
;;15;Hoenderboom, J.B.M.;257;16;5;6;8;9;4;4;2;2;4;1;3;1;5;21;8;0;140;2;2;11;2;1;0
;;16;Frank, M.G.;93;4;1;0;1;2;2;2;1;12;18;7;6;14;0;5;0;2;3;0;0;3;5;5;0
2;OOG;;;3304;197;275;116;179;248;97;170;145;155;169;117;142;175;112;113;143;80;194;24;83;149;72;140;9
;;1;Willering, RW;1172;88;127;63;83;113;56;93;68;35;17;13;19;26;46;60;12;40;49;6;54;62;14;21;7
;;2;Scheinck, JPM;498;3;5;2;6;0;1;1;7;65;77;51;56;71;4;8;2;5;2;10;1;8;38;74;1
;;3;Jansen, F;377;19;29;9;11;13;4;13;7;3;3;1;6;5;38;10;120;15;54;0;3;10;0;3;1
;;4;Bluemink, JJH;273;19;36;10;17;48;12;39;32;2;4;0;0;3;6;0;0;4;8;0;8;23;1;1;0
;;5;Hummelink, BM;93;2;3;2;5;2;1;4;3;1;0;2;0;2;7;5;3;0;48;0;1;0;2;0;0
;;6;van Zanten, GA;149;24;18;5;20;19;10;4;8;0;2;0;3;0;0;0;2;4;1;0;8;21;0;0;0
;;7;van der Donk-Eskes, DJF;382;16;24;6;11;15;5;9;9;31;34;30;31;37;6;22;4;7;24;5;5;16;8;27;0
;;8;Hoijtink, RHM;147;2;0;1;1;5;1;1;0;12;31;18;18;27;0;0;0;3;3;2;0;0;9;13;0
;;9;Konink, HJ;25;1;9;0;5;2;1;1;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0
;;10;klein Goldewijk, WJWM;21;0;0;0;3;0;1;0;0;4;0;1;7;4;0;0;0;0;0;1;0;0;0;0;0
;;11;Hooglugt, BPM;43;3;4;6;3;15;2;1;4;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0
;;12;Berendsen, EFA;87;14;20;8;8;12;3;2;3;0;0;0;0;0;2;5;0;1;3;0;0;6;0;0;0
;;13;van Uem, VFM;37;6;0;4;6;4;0;2;2;2;1;0;2;0;2;2;0;1;1;0;1;1;0;0;0
3;VVD;;;2862;191;182;68;80;108;99;117;117;200;229;183;132;164;56;142;23;149;160;56;62;87;70;175;12
;;1;Porskamp, B.T.M.;1026;72;49;14;22;34;25;34;39;105;107;68;43;86;23;60;8;26;19;27;17;34;29;77;8
;;2;Dusseldorp-Ribbers, E.E.M.;346;29;21;10;8;16;16;14;13;16;26;29;21;12;4;29;4;7;9;6;12;15;9;19;1
;;3;Boschker, F.B.;251;34;34;12;14;11;18;26;19;0;3;1;1;2;10;6;1;34;3;2;13;5;2;0;0
;;4;Porskamp, K.;404;3;8;1;3;2;2;1;4;62;61;60;48;38;2;8;0;2;3;11;1;2;18;64;0
;;5;Bürer, S.M.E.;205;7;6;6;7;5;9;3;5;2;3;1;3;2;6;4;3;1;118;0;5;7;2;0;0
;;6;Algera-Dorenbos, A.F.;27;1;0;0;1;0;0;0;9;2;5;2;1;6;0;0;0;0;0;0;0;0;0;0;0
;;7;Wopereis, A.A.W.;43;2;4;0;8;1;1;7;0;0;1;2;0;1;0;1;5;1;3;0;2;2;0;0;2
;;8;Beurskens, F.P.N.;76;1;3;2;0;0;0;0;0;5;9;7;9;6;1;5;0;0;0;7;0;1;7;13;0
;;9;Wouda, A.;27;1;5;3;1;2;3;1;3;0;0;1;1;3;0;1;0;0;0;0;0;2;0;0;0
;;10;van de Wolfshaar, E.A.;127;3;11;0;2;1;6;2;3;1;2;0;2;2;4;7;0;72;2;2;3;0;0;1;1
;;11;Rensing, C.;101;10;14;4;2;6;3;12;13;2;3;4;0;0;0;15;0;0;3;1;1;4;3;1;0
;;12;Luttikhold, J.J.A.;57;6;7;10;1;10;2;8;3;0;0;0;0;0;2;0;0;1;0;0;1;6;0;0;0
;;13;Oesterholt, A.A.M.;35;0;3;0;1;0;0;0;0;4;8;8;3;5;0;0;0;2;0;0;1;0;0;0;0
;;14;Rendering, K.;27;6;4;1;1;7;2;0;2;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
;;15;Wopereis, B.H.;110;16;13;5;9;13;12;9;4;0;1;0;0;1;4;5;2;3;0;0;4;9;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1087;49;90;33;74;72;39;25;41;52;62;59;46;77;18;68;17;15;52;14;38;54;30;57;5
;;1;klein Tank, R.M.J.;487;21;33;11;31;26;15;7;16;29;38;37;32;39;10;14;9;9;17;4;17;21;19;31;1
;;2;Donderwinkel, A.T.M.;269;14;32;9;17;17;15;7;11;7;5;6;1;12;5;53;3;3;13;3;9;15;3;6;3
;;3;Baks, P.H.M.;98;4;7;4;14;12;6;7;11;2;0;0;0;1;1;1;0;0;4;1;9;13;0;1;0
;;4;te Molder, J.I.M.;42;2;3;3;3;4;0;0;1;2;2;1;2;0;1;0;4;0;13;0;0;1;0;0;0
;;5;van der Donk, W.M.H.;125;3;1;0;3;6;0;2;1;12;14;14;11;23;1;0;0;1;2;6;1;1;6;16;1
;;6;Vultink, A.;17;0;3;1;1;0;1;1;0;0;2;1;0;2;0;0;0;0;2;0;0;0;2;1;0
;;7;Flipse, J.C.;27;2;8;3;2;5;2;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0
;;8;Bannink, G.J.;12;2;3;0;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;9;Annema, R.R.;10;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;1;0
5;Nieuwe Liberalen OG;;;944;69;76;31;51;60;47;37;43;16;14;14;13;18;20;57;18;59;61;150;23;41;11;12;3
;;1;klein Gunnewiek, G.C.M.;241;24;21;11;13;18;20;9;16;4;3;2;2;4;7;17;7;10;18;13;8;9;2;3;0
;;2;Hilge, J.I.P.;37;1;2;0;1;0;0;0;0;5;1;3;0;1;7;3;0;1;2;2;1;0;6;1;0
;;3;Bosker, B.H.G.;249;6;9;0;2;1;4;0;0;2;4;4;7;6;0;22;8;18;26;120;0;0;3;7;0
;;4;Menting, A.A.;156;16;19;12;9;15;15;13;13;3;1;2;0;0;2;4;1;7;2;0;8;13;0;0;1
;;5;Doppen, J.B.J.;41;6;7;0;3;3;2;1;5;0;1;0;1;0;0;1;0;1;6;0;1;3;0;0;0
;;6;Vredegoor, S.J.M.;72;6;4;5;6;14;1;8;4;0;0;1;1;1;0;4;0;0;6;2;3;4;0;0;2
;;7;Tuinte, M.E.M.;28;0;1;0;1;0;0;0;0;0;3;2;0;4;0;1;1;3;0;11;0;0;0;1;0
;;8;Garstenveld, C.F.J.;46;6;2;1;5;4;2;1;1;1;0;0;0;0;1;3;1;17;0;0;0;1;0;0;0
;;9;Wiggers, J.H.W.;16;0;2;2;1;2;1;0;0;1;1;0;0;0;0;0;0;2;1;1;1;1;0;0;0
;;10;Lansink, J.H.M;18;1;3;0;2;0;1;4;2;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0
;;11;Waamelink, W.M.;9;1;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Wolterink, J.B.J.M.;31;2;4;0;4;2;1;1;2;0;0;0;0;2;3;2;0;0;0;0;1;7;0;0;0
6;Democraten Oost Gelre;;;518;42;32;12;34;32;13;26;14;23;38;18;22;34;19;24;2;12;29;2;26;34;12;15;3
;;1;van der Meulen, R;184;15;12;9;17;13;7;7;4;8;9;4;7;6;4;11;0;5;9;0;13;13;4;5;2
;;2;Janssen, H J;66;0;2;0;1;0;0;1;0;8;19;6;6;13;0;0;0;0;1;2;0;0;6;1;0
;;3;Ansink, G S;112;16;6;3;9;7;0;6;4;4;1;3;0;6;6;8;0;7;7;0;1;12;1;5;0
;;4;Wiggers, M;11;2;3;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;5;Topal, M D;49;3;1;0;2;6;1;4;3;2;0;1;6;0;3;4;0;0;3;0;2;5;1;2;0
;;6;van der Plas, J W;6;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0
;;7;Janssen, I;11;1;2;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0
;;8;Veltmaat, A B G T;9;2;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;0;0;0
;;9;te Kaat, P;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
;;10;klein Tank, M J M;5;1;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Bokkers, H A M;18;0;1;0;0;2;1;1;2;0;0;0;0;0;2;0;0;0;7;0;0;1;0;0;1
;;12;Lurvink, G J B M;9;0;1;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0
;;13;van Melis, C B J;7;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0
;;14;Gralike, J J M C;9;0;0;0;0;0;0;0;0;0;4;1;0;1;2;0;0;0;0;0;0;0;0;1;0
;;15;Topal, Y;5;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Soesman, H P;4;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;17;van Rossen, M S;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;18;Huinink, A P C;6;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0
7;GROENLINKS;;;449;26;32;14;35;35;7;17;16;29;39;27;14;20;6;16;6;14;31;6;7;13;17;19;3
;;1;Focker, J.D.;158;13;16;4;16;16;4;4;7;5;11;3;4;5;1;7;5;10;9;3;1;6;4;3;1
;;2;Jansen, M.W.;79;1;0;0;6;1;0;5;2;11;14;6;2;9;0;3;0;0;3;3;0;0;4;8;1
;;3;Huibers, M.P.G.;112;7;8;6;5;9;3;3;2;6;8;10;1;4;2;5;0;1;13;0;5;7;5;1;1
;;4;van der Boor, J.M.;38;1;7;2;7;6;0;2;5;0;0;1;1;0;1;0;0;1;3;0;0;0;1;0;0
;;5;Milius, C.W.;62;4;1;2;1;3;0;3;0;7;6;7;6;2;2;1;1;2;3;0;1;0;3;7;0
8;OLW (Onafhankelijke Lijst Wallerbos);;;822;43;36;12;53;31;10;13;16;41;82;63;50;67;37;44;20;14;31;9;14;33;32;69;2
;;1;Wallerbos, P.J.M.;484;19;20;5;13;10;8;5;7;26;63;55;39;50;19;13;9;3;22;7;6;5;22;56;2
;;2;Penterman, R.J.T.;34;0;0;1;2;0;0;0;0;6;4;2;3;2;2;1;0;1;0;2;0;1;3;4;0
;;3;Meijer, A.G.W.J.;83;9;10;3;20;8;1;6;3;0;0;0;1;0;5;0;1;2;0;0;3;10;0;1;0
;;4;Miedema, T.G.F.;62;1;1;0;6;1;0;0;0;7;5;2;0;5;5;7;2;2;0;0;2;5;7;4;0
;;5;Arink, J.A.M.;159;14;5;3;12;12;1;2;6;2;10;4;7;10;6;23;8;6;9;0;3;12;0;4;0
