Verkiezing;;Gemeenteraad Apeldoorn 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Apeldoorn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau ACEC;Stembureau Parochiecentrum Emmaüshuis;Stembureau Nieuw-Apostolische Kerk Apeldoorn;Stembureau De Grote Kerk;Stembureau Kerk de Koningshof;Stembureau Gereformeerde Gemeente Apeldoorn;Stembureau Scheidsrechtersvereniging;Stembureau Gymzaal Buys-Ballotstraat;Stembureau Wijkcentrum De Groene Hoven;Stembureau Orpheus;Stembureau Gymzaal Burglaan;Stembureau Scouting SWIII/LBP;Stembureau ALTV Daisy;Stembureau Gymzaal Jupiterlaan;Stembureau Sporthal Sprengeloo 1;Stembureau Sporthal Sprengeloo 2;Stembureau Duivensportcentrum;Stembureau Goede Herderkerk;Stembureau Victorkerk;Stembureau Gymzaal Germanenlaan;Stembureau Wijkcentrum Orca;Stembureau 't Buurtpalet (kindervreugd);Stembureau Wijkcentrum Vrijzicht;Stembureau Postduivenvereniging Holthuizen;Stembureau a.v.v. Columbia;Stembureau Denksportcentrum Apeldoorn;Stembureau Buurthuis Maasstraat;Stembureau DokZuid;Stembureau Sporthal Zuiderpark 1;Stembureau Sporthal Zuiderpark 2;Stembureau De Hofstad;Stembureau Buurthuis 't Vogelnest;Stembureau Gymzaal Groenlingweg;Stembureau ROC Aventus;Stembureau Gymzaal Glazeniershorst;Stembureau Gymzaal Eekschillersdreef;Stembureau Gymzaal Voldersdreef;Stembureau Gymzaal Burgersveld;Stembureau Gymzaal Edelenveld;Stembureau Gymzaal Matenpark;Stembureau Gymzaal Rederijkershoeve;Stembureau s.v. Groen Wit '62;Stembureau Gymzaal Valkeniersdonk;Stembureau Gymzaal Steenhouwersdonk;Stembureau Gymzaal Warenargaarde;Stembureau Omnisport 1;Stembureau Omnisport 2;Stembureau Het Bolwerk;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Gymzaal Fortlaan;Stembureau Gymzaal Keerkring;Stembureau Gymzaal Aristotelesstraat;Stembureau CGK Andreaskerk;Stembureau Gymzaal Citroenvlinder;Stembureau Sporthal Zuidbroek 1;Stembureau Sporthal Zuidbroek 2;Stembureau Jeu de Boules Vereniging 't Zwijntje;Stembureau Gymzaal Gentiaanstraat;Stembureau Kruispunt 1;Stembureau Kruispunt 2;Stembureau Gymzaal Tormentilstraat;Stembureau Sporthal Welgelegen 1;Stembureau Sporthal Welgelegen 2;Stembureau Buurthuis Ons Huus;Stembureau Voetbalvereniging WWNA;Stembureau Kapel Hoog Soeren;Stembureau Sporthal De Schier 1;Stembureau Sporthal de Schier 2;Stembureau De Bronkerk;Stembureau Ugchelens Belang;Stembureau Gymzaal Klingelbeek;Stembureau 't Dorpshuus;Stembureau De Hoge Weye;Stembureau V.V. Beekbergen;Stembureau Het Trefpunt (PKN);Stembureau Dorpscentrum De Brink;Stembureau Gymzaal De Kempe;Stembureau Kerk Klarenbeek;Stembureau School De Bundel;Stembureau Mobiel stembureau;Stembureau Stadhuis;Stembureau De Grote Kerk;Stembureau Victorkerk;Stembureau a.v.v. Columbia;Stembureau Denksportcenrtum Apeldoorn;Stembureau Gymzaal Warenargaarde;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Kruispunt 1;Stembureau WWNA;Stembureau V.V. Beekbergen;Stembureau Groot Schuylenburg;Stembureau Mobiel stembureau;Stembureau Stadhuis;Stembureau De Grote Kerk;Stembureau Victorkerk;Stembureau a.v.v. Columbia;Stembureau Denksportcenrtum Apeldoorn;Stembureau Gymzaal Warenargaarde;Stembureau Klootschietvereniging Het Woudhuis;Stembureau Kruispunt 1;Stembureau WWNA;Stembureau V.V. Beekbergen
;;20;Bruijntjes, E.R.;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;21;Walma-Schreur, M.S.G.;43;2;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;2;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;2;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;3;0;0;0;0;1;0;0
;;22;Walgemoed, G.J.;12;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;23;van Swam, R.M.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9;1;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
;;24;Broos, K.L.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;Linnenbank, R.H.A.;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;26;Jonker, I.P.;45;0;0;2;0;0;0;1;1;3;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;3;5;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0
;;27;van Piggelen, L.S.;22;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;28;Hoebink, J.;38;0;0;1;0;1;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;2;0;0;1;1;0;1;0;1;0;0;2;1;0;0;0;2;2;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;3;0
2;Lokaal Apeldoorn;;;8747;180;91;109;34;190;69;27;56;73;213;61;43;65;91;83;21;19;165;120;129;41;120;33;108;152;78;57;122;101;32;49;109;48;72;94;123;77;107;94;81;72;175;110;104;109;70;57;59;93;148;108;125;63;154;180;20;33;56;93;79;57;50;79;105;88;123;21;18;19;100;188;107;122;123;24;50;78;57;92;111;17;99;120;77;66;42;95;66;120;24;36;2;7;145;125;73;59;57;127;99;138;60;36
;;1;Messerschmidt, P.C.J.;3394;71;27;34;17;69;27;13;21;23;78;34;10;26;43;39;6;5;74;42;59;18;46;13;47;53;25;26;53;37;13;22;49;16;24;33;47;31;42;36;28;35;58;38;52;40;30;29;19;33;43;40;36;18;71;58;8;13;24;31;38;17;13;30;41;51;46;7;5;12;22;67;36;31;56;11;24;36;30;45;57;10;36;49;32;27;18;42;24;46;14;19;1;5;64;42;32;25;19;45;33;47;25;11
;;2;de Groot, L.R.;1874;35;19;29;11;41;16;1;15;25;54;13;12;21;24;11;4;5;35;34;30;11;28;8;18;39;13;11;18;19;3;17;19;14;18;23;27;16;24;16;20;14;41;19;22;29;9;12;13;12;38;22;31;19;30;40;8;10;12;17;12;16;6;19;27;16;28;7;4;4;28;24;24;14;32;5;10;13;12;14;22;3;22;29;16;12;7;21;12;22;2;5;0;1;32;29;11;12;17;25;22;23;11;8
;;3;Wenzkowski, M.;138;1;1;1;1;4;1;0;1;1;7;0;0;1;3;0;0;0;3;1;4;0;1;0;1;0;2;3;3;1;0;1;1;1;1;1;1;2;2;0;1;2;0;1;4;0;1;1;1;1;0;0;1;0;3;0;0;0;1;3;0;1;2;2;2;3;8;0;0;0;0;1;3;1;1;1;1;3;0;1;1;0;3;0;1;1;0;4;2;6;0;1;0;0;1;0;2;1;0;3;2;3;5;1
;;4;Willems, W.;339;8;6;3;1;9;3;1;2;2;9;3;1;3;5;3;1;1;4;0;1;2;0;1;7;5;3;2;0;3;0;0;1;3;1;8;1;4;1;3;2;2;4;4;1;3;2;1;5;5;13;3;16;1;3;8;0;1;2;6;4;3;4;5;5;1;9;0;0;1;4;8;1;2;1;0;1;5;8;1;8;0;1;3;8;1;3;2;9;11;0;0;0;0;7;6;0;1;2;4;9;4;3;1
;;5;Steenbeek, J.A.;320;7;2;4;0;2;0;0;1;1;7;2;2;0;0;2;3;0;7;3;4;2;3;0;7;5;8;1;10;5;2;2;8;5;2;5;5;2;1;11;2;1;25;17;5;0;9;2;5;8;0;6;3;0;0;8;0;0;2;1;0;3;2;0;2;2;3;1;0;0;4;2;1;4;5;2;1;2;1;2;1;2;4;1;4;1;2;6;2;2;1;3;0;0;1;5;0;5;3;2;5;3;2;3
;;6;Wiering, S.;182;2;2;6;0;2;2;1;0;1;0;0;0;3;0;0;0;0;2;6;1;0;3;2;0;5;2;2;1;6;1;0;2;0;2;2;4;0;4;2;1;1;1;1;4;4;1;0;2;7;4;3;1;1;3;4;0;1;2;0;4;2;2;3;2;5;3;2;0;1;2;0;1;3;3;0;0;3;0;1;1;0;3;2;2;0;0;0;2;2;0;0;0;0;0;1;6;1;2;5;5;5;0;1
;;7;Pol-de Visser, J.C.;409;5;3;3;0;8;0;1;0;2;7;1;1;2;2;2;0;2;5;0;10;3;4;2;9;8;5;2;6;3;1;0;9;0;2;3;5;2;4;1;4;3;2;1;1;2;1;1;3;4;11;2;2;3;6;6;0;2;2;2;1;1;3;2;3;0;4;0;2;0;21;58;17;7;7;0;5;1;2;0;4;0;5;6;2;12;5;4;5;4;0;4;0;0;3;5;1;6;8;4;3;10;1;2
;;8;Yildirim, S.;124;6;1;0;1;2;1;0;0;1;1;0;0;0;2;3;0;0;3;3;0;0;3;1;0;7;4;1;1;7;2;1;0;0;0;4;4;1;3;0;2;1;2;2;1;2;0;1;3;2;3;2;3;1;3;7;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;6;1;0;1;0;0;0;1;0;2;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;5;0;0;0
;;9;Marinkov, M.;116;5;0;3;0;1;1;0;3;0;4;1;0;1;2;0;2;1;1;0;1;0;3;0;3;3;1;0;2;3;0;0;0;1;1;1;1;2;3;1;2;0;1;1;1;2;0;0;0;1;1;1;1;1;3;1;1;0;0;0;2;1;1;4;4;0;4;0;0;1;0;2;1;1;1;0;0;0;0;1;1;0;5;2;0;1;0;0;0;2;1;0;0;0;5;1;4;0;0;1;1;0;1;0
;;10;Hendrikse, B.;99;4;1;1;0;1;0;0;1;1;6;0;0;0;0;1;2;0;1;2;0;0;2;1;1;0;0;0;1;1;0;1;4;3;0;2;2;0;0;4;0;0;1;1;0;2;1;1;1;0;1;1;1;0;0;0;0;0;0;4;0;1;1;0;1;3;1;0;0;0;0;0;2;0;1;1;2;2;1;1;0;0;0;3;0;2;0;1;0;0;0;1;0;0;4;1;2;0;0;5;1;2;3;0
;;11;Dörsek, L.R.;75;0;1;1;0;0;2;0;0;0;1;1;2;0;0;1;0;0;11;3;3;1;2;0;1;2;2;1;0;2;1;1;1;0;2;0;2;0;3;0;0;1;1;2;0;0;0;0;0;2;3;2;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;1;2;1;0;2;0;0;0;0
;;12;van Bruggen, G.;210;9;7;4;0;6;3;0;1;0;6;0;0;1;0;2;0;3;3;3;1;0;3;1;4;8;4;3;1;2;0;0;2;0;4;2;3;2;1;1;3;1;7;4;2;2;1;0;2;1;1;0;0;1;4;5;0;0;0;8;2;0;1;1;1;0;2;1;4;0;2;1;1;2;6;0;0;1;0;0;2;0;6;3;2;0;3;0;1;5;1;1;0;0;5;9;0;0;1;3;1;7;1;2
;;13;Woltersom, M.H.;139;1;0;1;0;3;0;0;0;2;2;0;1;0;0;2;1;0;3;2;0;0;2;0;4;2;1;0;3;1;1;0;2;0;0;0;0;2;4;4;2;1;3;6;1;2;7;0;0;2;2;1;3;0;2;14;0;2;0;3;2;2;0;1;3;1;1;0;0;0;4;2;0;1;0;0;0;1;1;0;0;0;0;3;2;0;0;2;1;6;0;0;0;0;2;1;0;2;1;1;0;4;0;0
;;14;Boogaard, C.;134;2;0;0;0;8;1;0;1;4;7;0;1;0;0;0;0;0;3;1;0;2;0;0;1;2;0;1;1;2;0;0;3;1;0;0;2;1;3;2;0;2;5;0;0;2;0;0;0;2;6;4;2;6;2;3;1;1;0;0;1;0;1;2;1;0;0;0;0;0;0;1;4;0;1;0;1;0;0;2;2;0;2;5;0;0;1;0;1;1;0;0;0;0;0;9;2;3;0;6;1;0;1;1
;;15;Baten, T.J.;91;4;1;3;0;0;1;0;1;0;4;0;1;3;1;0;0;0;2;4;0;0;4;0;0;3;1;0;0;0;0;0;2;1;0;0;2;1;2;0;1;2;1;3;4;0;2;1;4;0;2;0;0;2;0;0;1;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;2;1;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;7;0;2;1;0
;;16;van Raaij, S.C.G.H.;22;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;17;van Erkelens, M.;21;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;3;0;0;0;2;0;0;0;0;0;3;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;18;Wierda, S.G.;13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Frens, M.W.;30;0;0;0;0;2;2;0;0;0;2;0;1;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;2
;;20;Schut, C.A.A.;109;6;2;1;0;3;0;1;0;0;2;2;2;1;0;2;0;1;1;1;5;0;0;1;0;0;0;1;2;1;0;0;1;0;4;3;4;0;3;1;4;0;3;4;1;1;1;1;0;1;1;0;2;2;3;3;0;0;0;3;2;0;2;0;1;0;2;0;0;0;0;0;3;1;3;0;1;0;0;0;2;0;0;1;0;1;1;1;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;1
;;21;Doljé-Alles, M.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;22;de Graaf, G.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Reinders, W.F.A.;182;4;7;5;0;12;3;7;0;1;2;0;1;0;0;5;0;1;5;2;2;0;2;0;1;2;1;0;7;1;0;0;0;3;3;0;3;0;1;0;0;1;4;1;1;2;0;1;0;2;3;10;1;0;1;4;0;0;2;4;1;3;3;3;1;0;4;1;0;0;1;4;3;0;0;3;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;0;5;9;3;0;0;0;2;7;3;2
;;24;Ophuis, C.;41;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;5;5;1;0;1;3;3;0;0;1;0;1;0;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;2;0;1;0;0;0
;;25;Wijkniet, A.J.;37;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;1;3;0;3;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;2;0;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;1
;;26;van 't Ende, J.N.R.;36;0;0;0;0;2;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;1;0;0;1;0;0;0;2;0;0;1;0;0;7;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;27;Lemmen, A.C.;36;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;6;0;0;1;0;0;3;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;0;1;2;0;0
;;28;Aksoy, S.;36;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;2;0;0;0;0;0;0;1;4;0;0;0;1;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;1;0;1;0;0;1;1;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;29;in 't Veld, G.M.;13;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Lindenburg, J.F.;69;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;51;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Joosten, A.A.T.;127;3;1;2;0;4;1;0;1;1;2;0;5;1;3;3;1;0;0;0;0;0;2;0;1;0;1;0;0;0;1;2;0;0;1;2;2;0;0;0;2;1;2;0;0;3;0;1;0;1;0;1;5;3;2;1;0;0;0;0;1;1;1;1;2;0;2;1;0;0;4;6;1;1;2;0;1;1;0;21;0;0;1;2;0;2;0;1;0;0;0;2;0;0;3;0;3;0;0;4;0;1;0;0
;;32;Wensink, G.J.;189;4;3;1;0;3;1;0;4;6;9;0;0;0;2;2;0;0;2;3;6;0;2;0;1;4;1;0;4;1;0;0;3;0;4;3;2;3;2;2;4;1;3;2;0;1;0;1;0;1;1;0;3;2;8;5;0;0;2;9;0;3;1;3;5;0;4;0;0;0;3;1;5;0;0;0;2;1;1;0;4;1;0;3;1;1;0;2;0;2;2;0;0;1;3;1;0;0;0;6;1;11;0;0
;;33;Maertens-Krooi, R.;27;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
;;34;Schutte, H.J.;23;0;0;0;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
;;35;Kok, L.C.;67;1;2;0;0;3;3;1;0;0;2;3;2;1;2;1;0;0;0;1;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;1;1;0;2;0;1;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0;3;0;2;0;0;0;2;0;0;0;0;4;2;1;0;0;0;0;2;0;0
3;CDA;;;3718;71;26;43;12;108;45;16;23;35;149;27;17;24;24;21;6;4;36;55;65;9;34;11;35;26;34;20;32;18;6;19;64;7;25;36;38;25;26;32;23;34;45;18;28;38;19;15;14;26;62;24;41;22;61;55;9;9;19;20;34;31;15;27;24;51;37;14;27;28;83;76;38;27;87;15;69;107;36;109;44;10;49;82;58;19;23;34;31;56;13;10;0;17;56;107;38;34;21;26;48;80;14;27
;;1;van der Borg, J.D.;1930;30;15;21;10;52;16;8;13;17;83;9;8;6;15;11;3;3;17;31;27;5;23;5;21;15;20;11;18;9;2;9;31;1;15;14;19;13;17;20;11;21;24;6;11;14;12;2;5;13;31;10;11;14;38;26;3;3;12;5;24;24;7;16;11;31;24;7;18;22;43;49;21;18;49;9;33;54;26;36;22;6;30;45;39;11;13;17;12;28;7;5;0;8;15;53;22;23;13;14;22;45;8;15
;;2;Fredriks, A.;432;11;3;5;0;15;10;3;4;8;15;2;1;3;2;3;1;1;5;7;5;3;3;0;3;3;4;3;5;2;1;3;11;4;4;3;5;5;2;2;4;3;3;3;3;6;3;1;5;3;3;4;10;1;4;5;3;1;2;4;4;0;2;2;4;5;2;1;1;0;15;6;7;5;5;0;10;12;0;4;7;2;6;6;8;1;2;5;2;6;1;1;0;4;9;9;4;5;2;4;7;10;2;3
;;3;Fransen, M.;99;4;0;1;0;7;0;0;0;2;8;3;1;1;0;0;1;0;0;3;1;0;2;0;1;0;3;1;0;1;0;0;8;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;1;2;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;5;4;0;0;2;0;0;4;1;0;0;0;1;2;0;0;0;0;1;11;0;0;0;0;1;2;0;0
;;4;van Gerrevink, G. J. M.;146;2;1;0;0;4;5;0;0;1;5;0;0;0;1;0;0;0;3;2;5;0;1;3;3;1;1;1;2;1;0;1;4;0;0;3;0;1;0;0;0;1;1;0;2;1;0;0;0;4;13;2;10;0;4;0;0;0;0;0;0;1;2;1;0;3;2;3;0;0;5;1;0;1;1;0;1;2;0;1;2;0;1;2;1;3;0;1;2;2;1;0;0;0;5;2;3;1;2;0;5;0;0;0
;;5;Mulder, E. E.;55;1;0;1;0;2;1;0;0;2;2;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8;0;5;1;0;0;0;1;0;2;0;2;2;1;1;0;1;2;0;2;1;1;0;0;0;0;0;0;0;0
