Verkiezing;;Gemeenteraad Ede 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Raadhuis, Hoofdingang;Stembureau Bethanië, Ingang kerkzaal;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Vilente Sint Barbara;Stembureau De Doelen;Stembureau Petrakerk;Stembureau Cultura;Stembureau de Proosdijkerk (aan de rotonde);Stembureau Buurtcentrum De Kolk;Stembureau Speeltuin De Korenbloem;Stembureau Verzorgingshuis Het Maanderzand;Stembureau De Gelderhorst;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Vilente De Pleinen;Stembureau De Ark;Stembureau Wijkcentrum De Velder;Stembureau De Open Hof;Stembureau Het Kernhuis;Stembureau Bethelkerk;Stembureau Koepelschool;Stembureau Dulon College/ROC-A12;Stembureau 't Kerkheem;Stembureau Walraven;Stembureau De Brink;Stembureau Sporthal Soetendaal;Stembureau Tennisvereniging Keltenwoud;Stembureau de School met de Bijbel;Stembureau De Honskamp;Stembureau Westhoffhuis;Stembureau Buurtcentrum De Schakel;Stembureau Tennis Club Lunteren;Stembureau Nederwoudschool;Stembureau Basisschool De Valk;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;"Stembureau 's Heeren Loo ""Het Hart""";Stembureau Dorpshuis De Aanloop;Stembureau NS-station Ede-Wageningen;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Sporthal Kernhem;Stembureau Pathé;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Gymzaal Enka;Stembureau Dulon College/ROC-A12;Stembureau Ericakerk;Stembureau Sportzaal Koning Davidschool;Stembureau Zaal Sint-Antonius van Paduakerk;Stembureau Luthers Gemeentecentrum;Stembureau Schaapskooi de Maanderbuurt;Stembureau Dependance CNS De Vuursteen (gymzaal);Stembureau Sporthal Kernhem;"Stembureau ""Eigen Gebouw""";Stembureau Gymzaal Bettekamp;Stembureau Beatrixkerk;Stembureau Pathé Ede;Stembureau Gymzaal Blijdestein;Stembureau Ontmoetingskerk;Stembureau De Stek;Stembureau Gymzaal Essenburg;Stembureau Gymzaal Enka;Stembureau Gymzaal Verlengde Parkweg;Stembureau Cami & Moskee;Stembureau Sportzaal Maandereng;Stembureau Sionskerk;Stembureau Gymzaal Platanenlaan;Stembureau Boerderij Hoekelum, locatie de Barg;Stembureau De Broek-Akker;Stembureau Sportzaal Kerkhoflaan;Stembureau Maranathakerk;Stembureau Stichting Ana-Upa;Stembureau Voetbalvereniging Advendo '57;Stembureau Hervormd Centrum Het Anker;Stembureau De Waldhoorn
;;35;van Capelle, C.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Ketel, M.J.;39;1;0;2;0;2;2;2;3;0;1;0;0;1;0;3;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;3;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Cuperus-Plette, K.J.;44;0;0;0;0;0;0;0;0;0;3;1;0;0;0;3;0;0;0;11;3;2;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;0;0;0
;;38;de Putter, J.M.A.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Smits, W.P.D.;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Verkruijssen, B.J.;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;41;den Breejen, G.R.H.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Grandia, G.A.;20;0;0;0;0;0;0;0;1;0;2;0;0;1;0;2;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
;;43;Kos, P.;37;1;0;2;0;0;0;0;2;1;1;0;0;0;0;3;0;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;1;2;1;3;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0
;;44;Sinia, P.G.;27;1;0;0;0;0;0;0;4;1;1;0;0;0;0;1;0;2;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0
;;45;van Heuveln, J.F.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;de Kluijver, J.;57;1;0;0;0;0;1;3;2;0;1;0;0;5;0;1;1;0;3;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;4;1;0;1;0;0;0;0;3;7;1;0;0;1;0;0;3;0;0;0;0;0;4;0;0;2;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0
;;47;van Drongelen, D.J.;62;6;0;1;2;1;2;4;3;0;0;0;0;0;0;0;4;1;0;1;0;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;0;2;0;2;0;0;0;1;1;3;1;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;2;0;2;1;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Kooij-van Roekel, S.;36;1;0;0;0;0;0;0;1;0;0;1;0;2;0;1;0;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;2;1;1;0;2;0;0;0;0;0;0;1;3;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;van 't Hoog, P.;44;0;0;0;0;0;0;1;1;0;0;0;0;0;0;10;0;1;2;0;1;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;50;Meijer, L.E.;90;4;0;1;0;1;4;1;2;0;1;0;0;5;0;2;0;0;1;4;1;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;4;0;0;0;1;0;0;0;3;1;3;0;0;2;1;1;3;0;0;0;2;2;4;5;0;0;4;1;1;0;2;7;0;2;0;2;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
3;CDA;;;5064;66;12;82;10;46;72;122;47;45;64;19;10;69;9;38;38;46;42;104;27;21;143;11;110;88;69;95;6;402;105;104;52;42;121;32;39;2;50;9;98;22;57;44;21;136;124;22;7;10;16;80;53;61;52;33;113;173;27;16;15;25;48;36;64;35;32;26;34;52;16;49;33;35;60;71;87;52;25;12;41;3;33;29;10;47;55;62;44;34;73;133;25;10;21;3
;;1;van der Schans, J.P.;2028;33;10;35;7;23;15;75;23;24;23;12;7;26;4;21;18;27;22;59;10;9;60;4;45;33;20;63;3;52;18;9;20;12;51;11;25;1;32;4;42;15;31;24;14;78;18;16;3;5;11;33;28;33;29;15;48;26;12;8;10;16;25;22;20;13;18;14;17;28;8;20;14;16;31;35;44;26;10;4;24;2;12;17;4;22;22;22;17;18;10;17;3;4;7;1
;;2;Telgen, A.G.J.;811;2;0;4;0;1;9;7;2;2;3;1;1;2;2;1;4;3;2;1;2;1;1;0;2;2;3;3;0;213;48;64;16;12;26;0;1;0;1;0;4;2;1;1;0;1;67;2;1;0;0;5;4;3;1;2;2;98;6;0;2;0;6;0;2;2;0;0;1;0;0;2;1;3;2;1;2;1;2;2;1;0;3;2;2;3;2;0;2;0;38;70;12;4;1;0
;;3;Emmen-Boogert, M.;610;4;0;8;0;3;2;10;2;4;6;1;0;15;0;6;3;7;6;18;1;3;47;4;37;31;25;11;0;7;0;3;1;1;7;2;3;0;0;2;8;0;11;6;1;43;0;2;0;0;1;5;6;9;5;9;39;0;1;0;2;3;4;0;11;9;4;3;8;7;0;4;2;7;5;3;6;8;1;1;1;0;10;3;1;10;21;24;12;10;1;0;0;0;2;1
;;4;Houweling, L.C.J.;163;8;0;13;0;3;0;7;2;1;6;0;0;0;0;1;2;0;1;4;2;1;4;0;0;0;1;0;0;7;0;0;0;0;0;0;3;0;0;0;5;2;1;2;2;1;2;0;0;2;1;5;5;0;3;2;1;2;0;0;0;1;3;0;5;1;0;1;3;3;0;0;4;1;7;5;3;3;2;1;8;1;2;1;0;2;0;1;0;0;2;0;0;0;0;1
;;5;van Roekel-Vreugdenhil, M.J.;467;4;0;1;0;2;36;3;1;1;5;0;0;2;1;0;1;2;1;2;1;0;1;1;1;2;6;3;1;98;28;21;13;14;29;5;3;0;4;0;4;0;2;0;0;0;29;1;0;2;1;4;0;1;2;1;2;36;3;1;0;4;1;0;1;0;1;0;0;0;0;2;0;3;2;2;0;0;1;0;0;0;0;1;1;2;0;2;2;1;17;35;7;0;0;0
;;6;Boersma, T.T.;35;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0;0;0;2;1;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;2;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;7;Komdeur, A.M.;289;7;1;7;2;9;5;11;5;5;7;0;1;4;1;5;5;1;7;5;5;2;2;0;4;1;0;1;1;2;0;1;0;1;0;1;0;0;4;1;17;0;2;6;2;2;0;0;0;0;0;14;5;5;3;1;6;6;3;0;0;0;2;4;2;1;1;4;1;4;8;2;8;3;5;9;21;5;4;2;3;0;3;1;0;4;1;2;0;0;1;2;0;0;0;0
;;8;van Kesteren, P.;28;0;0;1;0;0;0;2;1;3;5;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Boot, A.J.;92;0;0;1;0;0;0;1;1;0;3;0;0;12;0;1;1;1;1;4;0;2;4;0;4;2;4;0;0;1;0;0;0;1;0;0;0;0;0;0;6;0;3;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;12;1;2;0;0;1;0;3;1;0;0;1;1;5;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;2;0;0
;;10;Obbink, M.;33;0;0;2;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;1;0;2;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
;;11;van Wijngaarden-Loppersum, C.M.;58;0;0;1;0;0;0;4;1;0;0;1;0;2;0;1;1;1;1;1;0;1;1;1;0;4;1;0;0;2;0;0;1;0;0;0;0;0;0;0;3;0;1;1;0;3;0;0;0;0;0;1;1;6;1;1;0;0;0;0;0;0;0;0;6;1;1;0;1;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Post, J.W.A.;37;5;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;13;Bent, E.E.W.;56;1;0;0;0;1;0;0;1;0;2;1;0;1;1;0;0;0;0;0;1;1;8;0;2;1;2;2;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;1;0;0;2;0;0;0;0;3;0;0;0;1;1;2;1;0;1;0;0;1;0;0;1;2;4;0;0;0;0;0;0;0
;;14;van Dijk, H.C.J.;8;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Kempen, T.E;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Vink, A.;13;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;17;Fredriks, H.H.W.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;van der Niet, F.J.G.;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Scheltens, W.J.W.;34;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;8;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0
;;20;Hulsbergen-van de Kaa, C.A.;45;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;5;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
;;21;Gerritsen, H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;Mekke-van Ginkel, A.J.;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;23;van der Meulen-Hoogkamp, L.T.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van den Berg, I.P.;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;2;3;0;0;0;0;0;0;0
;;25;Sennema, A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;de Vos, W.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Hardeman, F.W.J.;9;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Hierden, H.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;29;Haagsma-Janssen, M.G.F.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Hordijk-van den Bogert, G.N.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Vreman, A.M.T.;10;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Fredriks, E.J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Overduin-Biesma, M.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Vos, H.J.T.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Hulstein-van der Waaij, P.;17;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
;;36;van Winsum-Westerik, B.D.J.;9;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;37;Hartman, R.;31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;4;3;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0
;;38;Kremers, R.;11;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Romein, A.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
