Verkiezing;;Gemeenteraad Lansingerland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lansingerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hervormde Kerk I;Gemeentehuis Lansingerland;Sportkantine BVCB;GKV Het Baken;Jongeren Centrum Spectrum I;CBS De Acker;Basisschool PJF I, Oudelandselaan;Hergerborch;Gebouw de Bron;Wijkgebouw Rodenrijs;Wijnstokgemeente;Gereformeerde Kerk Bleiswijk Open Hof I;Sporthal de Lijsterlaan I;Brandweerkazerne Bleiswijk;CBS Prinses Maximaschool;'t Manneke I;Basisschool De Klipper, Gouden Uillaan;Jongeren Centrum Spectrum II;Hangout Pecto's;Sterrenhal I;Sterrenhal II;'t Manneke II;De Beren Bleiswijk;IJsclub Bleiswijk;De Klaver;Hervormde Kerk I;Gemeentehuis Lansingerland;Wijkgebouw Rodenrijs;Brandweerkazerne Bleiswijk;'t Manneke I;Mobiel stembureau I, maandag;Hervormde Kerk I;Gemeentehuis Lansingerland;Wijkgebouw Rodenrijs I;Brandweerkazerne Bleiswijk;'t Manneke I;Mobiel stembureau II, dinsdag
;aangetroffen stembiljetten;;;26447;1623;941;405;791;723;877;1343;818;1075;1034;802;1087;623;1002;998;634;649;463;408;1303;1203;646;315;462;374;532;281;331;520;711;22;790;450;448;780;902;81
;meer stembiljetten dan toegelaten kiezers;;;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;minder stembiljetten dan toegelaten kiezers;;;11;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;13;1;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Leefbaar 3B;;;5241;307;199;60;145;151;132;298;163;198;156;150;219;126;269;154;139;98;114;102;277;233;109;70;108;79;83;61;66;125;150;3;151;90;75;198;163;20
;;1;Fortuijn, S.A.F.;2567;170;101;34;72;85;80;168;78;92;87;63;88;54;91;87;68;48;71;31;147;137;63;36;30;38;45;24;40;49;67;1;80;54;24;61;91;12
;;2;van Doorn, D.M.A.;452;16;15;5;7;8;6;10;6;8;10;1;44;24;61;4;5;0;9;21;19;11;4;16;43;5;2;5;3;22;6;0;4;6;3;35;8;0
;;3;van Rooijen, C.C.;525;17;10;5;7;8;10;52;21;39;17;28;9;4;12;35;25;23;3;7;35;29;13;2;6;2;9;5;7;7;14;0;8;2;12;15;24;3
;;4;Philippens, J.P.A.;64;1;0;0;1;0;0;1;0;0;0;0;8;4;19;0;0;0;0;2;3;0;0;1;3;0;1;0;0;3;5;0;1;0;1;10;0;0
;;5;Gielis, M.;253;49;15;5;13;23;11;7;1;4;4;5;4;2;3;0;2;4;9;2;3;2;2;3;1;11;12;5;2;4;7;0;18;6;2;7;5;0
;;6;Blonk, J.P.;177;2;2;0;3;3;0;18;15;8;5;19;2;3;4;6;1;2;1;0;20;14;1;1;0;3;3;3;5;0;11;0;2;2;11;1;4;2
;;7;Crielaard, M.B.;74;6;5;3;6;5;1;0;0;0;0;2;4;2;4;1;0;0;2;0;0;1;0;0;4;1;2;2;0;7;0;0;7;0;1;7;1;0
;;8;Meuldijk, J.A.A.;48;3;3;0;0;0;1;2;0;2;0;1;0;0;0;7;5;1;1;0;1;3;2;0;0;1;0;0;0;1;8;0;0;1;0;0;5;0
;;9;Duivesteijn, T.;133;4;2;0;2;0;0;0;0;0;0;0;17;9;31;0;0;0;0;13;1;1;1;4;8;2;0;0;0;10;2;1;2;1;0;22;0;0
;;10;Erwich, L.A.H.M.;211;3;8;1;4;2;1;1;2;2;2;1;33;17;31;0;3;2;0;16;6;1;5;1;8;2;1;0;0;19;1;1;3;2;1;30;1;0
;;11;Diepeveen, R.F.S.;37;0;1;0;0;0;0;0;1;1;2;0;0;0;0;3;2;8;5;0;2;0;0;0;0;1;0;0;0;0;8;0;0;0;1;0;2;0
;;12;Beans, D.R.H.;103;4;7;0;4;0;2;8;4;4;1;4;0;0;0;1;10;2;0;0;8;7;6;2;0;8;1;0;0;0;0;0;3;4;2;0;11;0
;;13;Wiersema, J.;71;6;4;0;5;3;10;7;0;4;0;1;0;0;2;2;1;1;1;4;1;1;0;0;0;1;0;4;0;0;1;0;11;1;0;0;0;0
;;14;de Kluis, S.C.;46;2;1;0;2;0;1;1;3;1;2;2;1;0;3;2;1;4;1;0;4;2;0;0;1;0;3;0;0;0;2;0;3;1;0;0;3;0
;;15;Zwinkels-Schiltmans, G.H.;63;5;8;0;1;0;0;4;5;3;4;0;1;1;0;0;3;0;0;2;7;0;0;0;1;0;0;8;0;0;5;0;0;4;0;0;1;0
;;16;Feijtel, S.;10;3;0;0;0;1;0;2;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Groeneveld, H.;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Meijer, J.;21;4;3;1;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;2;0
;;19;Thomas, P.L.W.J.T.;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Ruigrok, S.N.;31;3;3;0;5;2;1;0;1;0;0;1;0;0;0;1;2;1;4;0;0;0;1;1;0;2;0;0;0;0;0;0;2;0;0;0;1;0
;;21;Goedegebure, N.J.;60;4;1;0;2;0;1;1;2;5;5;9;0;0;0;1;2;0;1;0;4;2;1;1;0;0;0;0;5;0;2;0;0;1;10;0;0;0
;;22;Dirkzwager, H.B.;27;1;0;2;0;4;2;2;0;0;0;0;0;0;0;0;1;0;2;1;0;0;2;0;0;0;1;2;0;0;2;0;2;1;1;0;1;0
;;23;Heintz, A.J.M.G.;6;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Veldkamp, R.;13;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;25;Spuijbroek, L.F.;22;0;0;3;3;0;0;0;2;1;0;3;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0
;;26;Salomons, D.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
;;27;Steentjes, M.C.;75;1;0;1;0;0;0;8;11;12;9;0;0;0;0;0;2;0;1;0;5;11;0;0;0;0;0;3;0;0;2;0;0;0;3;3;2;1
;;28;Westra, W.M.;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Leeuwen, C.E.;30;0;0;0;4;2;2;1;5;0;4;0;0;0;0;1;2;0;0;1;0;2;2;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0
;;30;Hoppenbrouwer, W.L.P.;105;2;8;0;2;4;3;3;5;7;2;5;6;6;8;2;1;1;1;2;5;7;1;1;2;0;1;0;1;3;2;0;2;3;0;7;0;2
2;VVD;;;3630;182;143;71;144;102;171;193;71;142;111;117;121;79;154;233;121;140;69;50;108;95;107;37;72;39;66;23;31;63;117;2;95;68;51;89;147;6
;;1;Machielse, M.A.;1687;74;48;33;80;29;69;110;47;77;50;65;47;27;57;137;70;70;22;17;59;40;58;12;23;19;23;12;22;21;60;2;34;29;26;28;86;4
;;2;Draak, M.L.;660;43;44;21;37;30;48;31;6;26;14;16;7;9;11;38;9;25;21;4;19;21;16;3;11;6;29;7;5;6;12;0;26;19;9;6;25;0
;;3;de Graaf, I.F.;108;13;11;3;9;17;8;1;0;1;1;0;0;2;0;0;3;1;7;0;3;2;0;1;0;2;3;0;0;0;1;0;10;4;1;0;2;2
;;4;van Santen, E.P.;53;7;5;1;0;1;5;1;2;0;0;0;0;2;2;4;1;0;1;3;1;0;0;4;0;0;1;0;0;3;2;0;5;0;0;2;0;0
;;5;van As, M.A.;80;0;3;0;1;0;1;9;0;3;1;2;1;0;2;9;6;4;1;1;2;2;6;4;5;0;0;0;1;0;5;0;2;0;2;2;5;0
;;6;Wezenberg, B.;104;1;1;1;2;1;3;8;1;4;15;4;6;0;0;7;6;6;4;0;11;5;2;0;0;0;3;0;2;0;6;0;0;0;2;0;3;0
;;7;Jumelet, V.J.A.;79;18;7;1;2;4;5;2;1;2;1;2;0;0;0;2;0;0;8;0;0;0;1;0;0;3;2;1;0;0;3;0;9;4;0;0;1;0
;;8;Toussaint, C.A.;211;1;5;0;1;1;1;0;3;0;0;0;36;21;49;2;0;0;0;6;0;0;0;4;25;0;0;1;0;22;0;0;1;0;0;30;2;0
;;9;van Son, T.W.J.;27;0;0;0;0;0;0;9;0;1;3;1;0;0;0;0;0;3;0;0;0;3;3;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;10;Arends-Drijver, K.;167;6;7;4;0;7;5;4;1;10;6;10;6;3;4;19;10;14;0;0;0;10;5;5;1;5;0;0;0;1;10;0;0;4;5;0;5;0
;;11;Kampinga, E.R.;29;0;1;0;0;1;2;1;6;4;0;0;1;0;0;1;1;1;0;0;3;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0
;;12;Pat El, J.J.;7;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kruijt, M.;33;0;0;0;0;1;1;0;0;1;0;0;4;4;8;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;6;0;0
;;14;Amesz, N.A.;14;0;1;0;0;0;0;1;0;0;0;0;2;2;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0
;;15;Lastdrager-van der Woude, E.P.;61;0;0;1;0;1;0;3;0;0;2;1;8;7;8;0;0;0;1;5;0;0;0;2;4;0;0;0;0;7;0;0;1;1;1;8;0;0
;;16;van der Ree, S.;117;7;1;3;5;2;13;5;1;4;12;0;0;1;2;7;5;3;2;2;3;4;12;0;0;2;2;0;1;0;7;0;2;0;0;0;9;0
;;17;Zebeda-Reith, S.C.;17;2;1;1;2;1;1;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;18;van Bakel, N.;39;3;0;1;2;3;2;0;0;0;1;3;1;1;2;1;3;0;1;0;3;0;0;0;0;2;1;2;0;0;0;0;1;4;1;0;1;0
;;19;Bonnevits-de Jong, L.;102;4;7;1;3;1;3;5;3;9;4;13;0;0;1;4;3;13;1;3;2;4;1;1;0;0;1;0;0;0;5;0;1;1;3;0;5;0
;;20;Dammes, J.H.;35;3;1;0;0;1;4;1;0;0;0;0;2;0;6;0;1;0;0;2;1;1;1;0;0;0;1;0;0;3;0;0;3;0;0;4;0;0
3;CDA;;;4913;221;95;74;95;90;104;199;244;232;191;126;265;118;202;139;101;82;45;74;323;299;91;87;117;40;127;56;74;147;143;11;145;68;81;205;180;22
;;1;van den Beukel, J.W.;2616;124;48;45;53;58;58;130;177;162;121;65;70;25;67;85;54;42;25;26;198;189;53;34;25;23;78;29;54;38;104;5;80;34;51;58;111;17
;;2;Bouman-Quist, N.J.;595;17;7;4;9;7;11;18;9;19;14;10;78;28;44;17;12;11;4;17;16;21;10;18;33;5;5;4;6;35;11;4;11;7;12;46;15;0
;;3;Bergwerff, D.;127;10;3;4;7;2;2;12;7;6;4;5;1;0;4;5;3;0;1;0;11;10;3;1;0;1;0;0;1;2;1;0;8;3;0;5;5;0
;;4;Ammerlaan, A.F.M.;310;3;3;4;1;0;2;0;1;1;5;2;59;20;41;1;1;2;2;6;7;7;1;17;25;0;5;0;1;35;2;1;4;3;1;41;5;1
;;5;van Harn, C.P.;110;1;3;0;1;0;0;0;1;0;1;0;27;6;7;0;0;0;0;5;1;0;0;7;17;0;0;0;0;16;0;0;1;0;0;16;0;0
;;6;Halkes, J.A.;22;0;0;0;0;0;0;5;1;1;0;3;2;1;0;1;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;7;Leijendekker-van Kaam, H.P.H.M.;185;4;1;0;1;4;2;12;14;7;9;6;0;1;1;7;9;9;0;1;24;16;10;1;2;0;1;2;4;2;15;0;0;3;4;0;13;0
;;8;Buitendijk, T.T.X.;62;14;4;2;7;0;3;0;1;1;0;4;2;0;0;0;1;1;2;0;2;0;0;0;0;6;5;1;0;0;0;0;3;2;1;0;0;0
;;9;van den Bogerd, G.J.;57;3;5;5;6;1;5;0;0;0;2;0;1;0;1;1;0;0;1;0;0;0;0;0;0;2;7;2;0;0;1;0;8;4;0;2;0;0
;;10;Brabander, E.J.M.;54;2;0;0;0;3;0;1;1;4;7;1;0;1;0;0;1;0;0;2;7;3;1;0;2;0;1;0;2;0;2;0;0;0;0;2;11;0
;;11;van der Graaff, F.A.;16;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0;0;0;0;2;0;0;0;1;0;1;0;0;0;2;0
;;12;van Vuren, B.G.;100;6;7;4;6;5;10;2;2;1;1;3;3;2;1;1;0;2;5;0;5;3;0;1;2;2;2;5;0;0;0;0;8;6;1;1;3;0
;;13;Krieger, M.A.;10;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;de Ruiter, W.;55;20;3;2;1;1;1;0;0;3;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;12;2;0;0;0;0;6;0;0;0;0;0
;;15;van Vliet, G.;18;0;0;0;0;0;0;1;2;0;1;1;1;0;1;1;2;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0
;;16;Steenwijk, G.J.;13;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0
;;17;Kok, L.H.;13;1;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;1;3;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
;;18;Pannekoek, C.;51;0;0;1;0;0;0;4;2;1;5;9;0;0;3;1;1;0;1;0;3;6;1;0;0;0;1;2;1;1;0;0;0;0;5;1;1;1
;;19;van der Burg, C.W.M.I.;27;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;2;4;0;0;6;2;1;0;0;0;0;1;1;0;0;0;1;0;1;1;2;0
;;20;Otter, J.P.P.;69;2;2;0;0;2;2;0;0;0;1;3;2;12;8;0;0;0;1;6;1;0;0;1;5;0;0;2;0;8;0;0;5;1;0;5;0;0
;;21;de Goeij-Smulders, M.E.B.;31;0;1;0;0;0;0;0;3;0;1;0;0;1;2;1;2;5;0;0;7;3;1;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0
;;22;van Vliet, W.N.;20;0;0;0;0;0;0;0;1;1;2;1;0;0;1;7;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
;;23;Koops-Troost, N.C.;23;1;0;0;0;1;0;2;2;0;2;2;0;0;2;0;3;0;0;0;1;3;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
;;24;van Bergeijk, M.H.J.;5;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van der Burg, J.J.J.M.;33;1;0;0;0;0;1;0;2;1;0;1;0;0;1;0;2;0;0;0;8;11;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0
;;26;Oosterlaan, A.A.;68;0;0;0;0;1;0;0;0;0;0;1;10;8;9;0;0;0;0;3;0;0;0;5;5;0;1;0;0;8;0;0;0;0;0;17;0;0
;;27;Kool-Post, W.;12;0;0;0;0;0;1;1;1;3;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;in t Veen-van Bergeijk, H.J.;24;1;0;0;0;1;1;0;0;1;0;0;2;5;1;0;1;1;0;2;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;3;1;0
;;29;den Bakker, D.;11;3;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;30;van der Spek, D.A.;33;1;2;3;2;0;0;3;1;5;3;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;2;0;1;0;3;0;1;0;0;0;0;0
;;31;van Geest, P.J.J.;30;0;0;0;0;0;0;1;6;5;1;1;0;0;0;0;0;1;0;0;3;5;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2
;;32;Koster, J.C.;8;0;2;0;0;0;1;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Elderson, A.R.;9;0;0;0;0;0;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;34;van den IJssel, C.P.F.;27;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;8;2;5;0;0;0;0;3;0;0;0;0;0;2;0;0;0;1
;;35;Verweij, G.H.;17;0;0;0;0;0;0;1;0;0;0;0;2;7;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;36;de Rijke, J.;16;0;0;0;0;0;0;0;1;0;1;5;0;0;0;1;2;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
;;37;van der Stelt, H.R.;13;0;0;0;0;0;0;0;0;1;1;0;2;1;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0
;;38;Ruitenberg, M.J.A.;23;1;2;0;0;1;0;0;3;1;1;0;0;0;0;4;0;0;0;1;2;2;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0
4;WIJ Lansingerland;;;5281;429;259;107;179;182;240;286;146;151;178;127;183;113;170;143;117;120;116;85;238;268;144;48;87;124;113;65;39;59;108;3;183;101;75;117;169;9
;;1;Hoek, L.P.D.;2248;219;113;40;98;78;104;106;59;58;57;60;65;38;65;59;53;41;57;32;87;95;60;20;36;56;67;22;19;31;40;1;103;44;37;50;73;5
;;2;van Olst, P.E.M.;1149;111;78;28;33;54;85;58;31;39;46;17;22;19;25;30;19;30;25;11;52;48;33;5;14;22;23;25;8;3;29;0;42;24;15;12;31;2
;;3;Jumelet, J.D.;128;23;10;5;6;9;7;7;3;1;2;0;1;3;3;1;1;1;3;3;1;0;4;0;3;5;3;0;0;0;2;0;10;5;2;0;4;0
;;4;Alsemgeest, J.L.M.;126;11;16;5;6;3;4;8;2;5;1;2;1;4;2;1;0;1;8;4;1;4;3;1;5;3;7;1;1;2;2;0;5;0;2;1;2;2
;;5;Bik, M.;311;5;4;0;4;7;6;17;21;15;29;15;4;0;2;16;10;9;3;1;24;37;10;0;2;4;1;2;3;1;12;0;4;9;10;1;23;0
;;6;Jansen, A.A.J.;38;3;1;0;0;0;6;2;0;1;0;0;0;0;4;2;1;0;1;1;0;0;2;0;0;5;1;1;1;0;0;0;5;1;0;0;0;0
;;7;Zantman, P.W.M.;185;5;2;5;5;2;1;11;7;8;5;2;2;1;4;4;8;6;2;1;30;36;9;3;1;0;0;0;0;4;5;0;2;0;3;2;9;0
;;8;Afalah, A.;220;19;10;15;15;11;12;21;5;4;6;4;4;3;1;4;2;9;11;1;1;9;5;1;0;17;4;8;1;0;0;0;4;7;0;4;2;0
;;9;Boonstra-Becker, B.;332;6;6;6;4;5;5;7;6;2;1;3;56;32;48;6;5;5;0;26;6;6;4;9;20;2;2;3;1;10;3;2;1;2;0;29;3;0
;;10;Hameeteman, J.T.;40;13;0;0;1;4;2;1;0;0;1;0;0;0;1;0;4;1;2;0;0;2;0;1;0;2;1;0;0;0;1;0;0;3;0;0;0;0
;;11;van Weede, C.C.J.M.;261;8;9;1;1;4;3;34;8;8;21;17;3;0;3;16;13;14;0;1;22;22;9;1;1;2;1;3;1;0;9;0;0;2;4;2;18;0
;;12;Huisman, L.J.R.;59;3;2;0;0;1;0;6;0;2;3;3;2;0;1;1;0;1;0;0;7;5;5;1;1;3;0;0;2;0;3;0;1;1;2;0;3;0
;;13;de Prez, R.S.J.;27;2;6;0;2;1;0;3;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;2;0;0;0;0;1;0;2;2;0;1;0;0
;;14;van Drunen, H.J.;55;1;1;1;2;3;1;2;3;7;4;3;0;1;0;3;0;2;3;1;4;3;0;0;0;1;3;0;2;0;1;0;2;0;0;1;0;0
;;15;Meester, H.;102;0;1;1;2;0;4;3;1;0;2;1;23;11;11;0;0;0;0;3;2;1;0;6;4;0;0;0;0;8;0;0;2;1;0;14;1;0
5;ChristenUnie;;;2171;210;71;21;74;53;66;71;80;122;89;95;137;43;75;52;32;17;34;28;65;72;39;38;26;18;65;23;47;43;59;1;102;27;44;73;52;7
;;1;Markus, C.W.;999;114;33;13;44;25;30;27;45;55;39;37;58;16;34;17;17;9;20;8;24;33;16;17;7;11;42;9;21;24;17;0;54;12;25;21;21;4
;;2;Hofman, A.M.;120;1;2;0;1;1;2;8;4;10;10;17;3;0;1;4;1;2;0;2;10;9;5;0;0;0;1;0;4;0;8;0;4;1;0;3;5;1
;;3;Lieverse, P.J.;161;2;2;1;1;1;3;3;3;1;2;1;31;11;12;0;1;1;1;7;4;0;0;5;11;0;3;1;2;9;4;0;6;2;0;28;1;1
;;4;Molenaar-van der Beek, A.;228;31;17;3;4;11;14;7;3;11;12;9;4;1;3;10;3;4;3;1;7;9;3;2;0;3;9;4;2;3;5;1;11;4;6;5;2;1
;;5;Maasland, L.J.M.;109;19;6;1;9;4;3;8;2;0;6;10;3;2;2;2;3;0;1;2;0;4;2;0;2;1;2;1;1;1;1;0;11;0;0;0;0;0
;;6;van Egmond, S.;169;20;1;0;8;5;6;4;4;18;1;3;10;4;15;2;1;0;2;1;3;4;3;3;3;0;1;5;5;2;7;0;6;4;5;9;4;0
;;7;Olie, T.P.;19;1;1;1;0;0;0;1;1;1;1;1;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;2;0
