Verkiezing;;Gemeenteraad Midden-Delfland 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Midden-Delfland;;;;;;;;;;;;;;;;;;
Nummer;;1842;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Hoornbloem (14/3);Sporthal de Hofstede (14/3);De Dorpshoeve (14/3);De Hoornbloem (15/3);Sporthal de Hofstede (15/3);De Dorpshoeve (15/3);De Hoornbloem 1;De Hoornbloem 2;Dienstencentrum Kickerthoek;De Eénhoorn;Sporthal de Hofstede;Singelhof;Trefpunt;De Dorpshoeve 1;De Dorpshoeve 2;Dienstencentrum Korpershoek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Postcode;;;;;2635 HD;3155 AL;2636 GM;2635 HD;3155 AL;2636 GM;2635 GM;2635 HD;2635 JM;2636 CM;3155 AL;3155 AL;3155 AM;2636 GM;2636 GM;2636 JA
;;14;van der Kooy, A.P.;6;0;0;0;1;0;0;1;1;2;0;0;0;1;0;0;0
;;15;de Jong, K.P.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Mostert, J.;4;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
7;Partij van de Arbeid (P.v.d.A.);;;366;16;19;10;50;1;24;42;36;24;12;23;32;26;22;23;6
;;1;Snethlage-Barnard, E.C.;183;10;11;2;33;0;14;25;21;9;4;9;14;7;12;8;4
;;2;Meijdam, B.J.;26;0;1;0;5;0;1;4;7;4;2;2;0;0;0;0;0
;;3;de Jong-Hoogendoorn, E.;53;4;0;1;9;0;1;8;6;5;6;0;3;3;4;3;0
;;4;Klaren, M.;27;0;5;0;0;1;2;1;0;0;0;10;4;4;0;0;0
;;5;Hoogendijk, M.A.;27;1;0;5;0;0;4;1;0;2;0;0;3;0;3;8;0
;;6;de Graaf, E.C.;13;1;0;0;2;0;0;2;1;4;0;0;2;0;1;0;0
;;7;de Vries, B.M.;11;0;0;2;0;0;1;0;0;0;0;0;0;1;2;3;2
;;8;Luijt, W.;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;9;de Bruijn, F.C.;20;0;2;0;0;0;0;0;0;0;0;1;6;11;0;0;0
;;10;Koning, A.L.;4;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0
