Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis;Stembureau De Batavier;Stembureau Comenius College;Stembureau Essehof (aula);Stembureau Elim School;Stembureau Ringvaartkerk (voorheen de Bron);Stembureau Walk in Dorrestein;Stembureau Walk In Esse;Stembureau De Vierkap (Oud Verlaat);Stembureau Hervormd Centrum;Stembureau Drive in (lLa Baraque);Stembureau Christelijke basisschool de Eendragt;Stembureau Dorpshuis Swanla  (Catgeszaal);Stembureau Leontienhuis;Stembureau Zorgcentrum  Beth-San;Stembureau Dorpshuis  Op Moer;Stembureau Westhage (aula);Stembureau Brede School het Turfhuis ingang St Jozef;Stembureau Voetbalvereniging Moordrecht;Stembureau Vivere Verzorgd Wonen ingang dijk;Stembureau Moordrechtse IJsvereniging;Stembureau JWF gebouw;Stembureau Gemeentehuis 14 maart;Stembureau Swanla 14 maart;Stembureau Op Moer 14 maart;Stembureau Voetbalvereniging Moordrecht 14 maart;Stembureau Gemeentehuis 15 maart;Stembureau Swanla 15 maart;Stembureau Op Moer 15 maart;Stembureau Voetbalvereniging Moordrecht 15 maart
Gebiednummer;;;;;1;2;3;4;6;8;13;14;15;16;17;18;19;20;21;22;25;31;32;33;34;35;1401;1419;1422;1432;1501;1519;1522;1532
Postcode;;;;;2914 KM;2912 SG;2914 PN;2911 CB;2912 VK;2914 VJ;;2911 RG;2761 DT;2761 AJ;2761 JL;2761 VL;2761 BJ;2761 JK;2751 EE;2751 AW;2751 CP;2841 LN;2841 EB;2841 BN;2841 BB;2841 TK;2914 KM;2761 BJ;2751 AW;2841 EB;2914 KM;2761 BJ;2751 AW;2841 EB
;;20;Waldekker, H.;8;0;0;1;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Ambachtsheer, J.M.P.;34;3;1;4;0;0;7;1;6;0;0;1;0;1;0;0;2;0;1;0;0;2;1;2;0;0;0;2;0;0;0
2;ChristenUnie-SGP;;;3846;198;118;128;87;76;161;311;95;28;89;61;37;113;33;303;527;122;86;144;76;75;22;131;51;131;43;235;55;237;73
;;1;Schuurman, J.W.;1597;92;67;71;38;31;109;197;53;10;35;33;13;40;9;102;115;23;38;63;33;39;8;79;19;31;16;126;20;58;29
;;2;van der Spek, C.D.;516;9;5;8;3;2;4;6;3;3;3;10;3;9;0;95;145;29;7;14;4;6;1;4;3;48;1;12;6;66;7
;;3;Molenaar, P.;241;2;0;2;0;1;3;0;1;2;17;5;7;12;0;17;90;17;1;2;0;0;0;0;7;15;0;7;6;24;3
;;4;Snoei, J.;127;10;13;11;10;14;3;31;6;2;0;0;0;0;3;2;2;0;1;0;0;0;0;5;0;3;1;10;0;0;0
;;5;Bakker, A.;94;10;1;2;5;0;2;5;1;4;4;3;4;17;2;0;0;0;0;1;1;1;0;3;11;0;0;6;11;0;0
;;6;Verdoes, W.J.;345;6;2;4;1;1;2;6;0;2;5;1;0;10;4;60;123;24;4;1;0;2;0;2;4;17;1;1;3;56;3
;;7;Schuil-Stoorvogel, H.D.;325;35;8;9;16;19;21;31;10;4;6;2;5;7;4;3;15;8;3;14;7;7;2;16;3;8;8;37;3;8;6
;;8;van der Knijff, G.H.;121;0;0;0;0;0;0;5;1;0;0;0;0;0;0;5;2;1;17;31;19;10;8;0;0;0;7;1;0;0;14
;;9;Versluis, R.;20;0;2;2;1;0;2;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;1;0;0
;;10;Alblas, D.;33;5;1;0;3;0;0;3;8;0;0;0;0;0;2;0;0;1;3;0;0;0;0;2;0;0;0;5;0;0;0
;;11;van Kralingen-Paul, A.J.;47;0;0;0;0;1;2;0;0;0;3;0;1;3;0;4;11;8;0;1;0;0;0;0;0;0;0;2;1;10;0
;;12;Wolterink, J.H.J.;18;0;0;0;0;0;1;0;0;0;1;0;0;0;2;8;2;1;0;0;0;0;0;0;1;0;0;0;0;2;0
;;13;van den Bergh-Kempenaar, M.;34;0;4;0;0;0;1;0;0;0;6;0;0;3;0;2;6;2;0;0;0;0;0;1;0;2;0;0;0;6;1
;;14;Hoogendoorn, G.J.;10;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;2;0;1;0
;;15;van der Vlegel-Brouwer, W.A.E.;19;0;3;0;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;7;0;0;0
;;16;van den Broek, P.C.;7;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;Mostert, F.H.;45;8;1;0;0;1;5;3;0;0;1;5;0;8;1;0;0;0;1;0;1;0;0;3;0;0;0;5;2;0;0
;;18;Vergunst, E.F.;20;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;3;2;0;0;0;2;4;0;0;0;2
;;19;Westmaas-Bogaard, H.A.;43;1;8;5;2;2;1;11;1;0;0;0;0;0;4;0;0;0;2;1;1;0;0;3;0;0;0;1;0;0;0
;;20;Opschoor, J.J.;10;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0
;;21;Geuze, D.I.;3;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Slingerland, E.C.G.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;3;0;1;0;0;1;1;0;0;3
;;23;den Hollander, L.;18;0;0;2;0;0;0;0;0;1;5;0;3;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0
;;24;van der Linden, M.;20;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;5;2;1;0;0;0;2;0;0;0;3
;;25;Steller, H.W.;6;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;26;Sloof, G.W.;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;7;0;0;0;0;0;0;0;0;0;0;0;4;0
;;27;Punt-Kramer, C.T.;37;8;1;2;3;0;0;1;0;0;0;0;0;0;0;0;1;0;1;7;1;3;2;0;0;0;2;3;0;0;2
;;28;van der Waal, J.;11;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;29;Ambachtsheer-de Vries, D.;27;2;0;7;0;1;1;2;0;0;0;0;1;0;0;2;0;0;1;0;1;0;0;3;0;2;0;4;0;0;0
;;30;Terlouw, J.W.;17;1;0;2;4;2;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0
3;CDA;;;2493;168;55;84;64;48;145;204;88;27;112;57;52;157;41;37;98;22;120;134;100;105;9;115;39;21;56;137;86;29;83
;;1;de Ruiter, B.P.J.;767;57;15;24;17;15;48;67;19;11;25;15;13;29;6;13;20;5;51;51;36;37;4;37;16;2;23;45;27;6;33
;;2;van Norel, H.A.;185;34;7;15;15;8;26;29;19;0;0;2;0;0;1;0;1;0;0;0;2;0;0;10;0;0;0;14;1;1;0
;;3;den Hollander, M.H.;216;0;1;1;1;0;2;3;2;2;45;19;20;50;15;5;3;2;1;0;0;1;0;2;9;2;2;3;24;1;0
;;4;Meppelink, E.M.;417;15;6;10;12;1;13;28;9;3;8;5;3;17;0;2;9;0;39;49;41;54;4;10;2;0;24;12;4;2;35
;;5;Bode, M.H.;45;7;0;0;2;0;7;7;1;1;0;0;0;0;0;0;0;0;0;0;14;0;0;2;0;0;0;4;0;0;0
;;6;Vermeulen, M.J.;55;3;0;1;2;0;0;2;1;2;2;1;1;1;1;0;2;1;11;12;0;3;0;0;0;0;1;2;0;0;6
;;7;van den Akker, W.P.;66;1;0;1;0;0;1;1;0;0;7;2;5;17;1;2;4;0;0;0;0;0;0;0;4;4;2;2;11;1;0
;;8;Bos, M.;156;22;7;12;7;7;16;25;14;0;0;0;1;2;1;0;0;0;0;2;1;1;0;14;1;0;0;19;1;0;3
;;9;van der Kooij, M.J.;45;0;0;3;1;0;2;2;2;7;6;6;0;7;2;0;0;0;1;0;0;0;0;2;2;0;0;1;1;0;0
;;10;Dijkema-Bonnet, F.C.J.;104;0;0;0;0;0;1;1;0;0;1;0;0;3;0;10;45;9;0;1;0;0;0;1;1;7;0;8;2;14;0
;;11;Cornelisse, D.C.C.;60;4;2;7;2;7;6;14;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
;;12;Will, G.;16;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;4;2;2;2;0;0;0;0;2;1;0;0;1
;;13;de Jonge-Ruitenbeek, T.T.E.;46;2;0;1;0;0;2;0;0;0;7;5;2;11;2;0;0;0;1;0;0;0;0;3;3;0;0;0;7;0;0
;;14;Oudijk-Hesselink, H.G.;45;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;8;0;10;9;3;5;1;0;0;0;0;0;0;0;4
;;15;van Uffelen, E.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
;;16;Janse, W.;17;3;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;3;0;0;0
;;17;Van Koeverden, E.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
;;18;IJzerman-van Veen, M.J.;21;2;0;0;0;0;0;0;0;0;4;0;2;0;2;2;1;0;0;1;0;0;0;1;1;0;0;1;3;1;0
;;19;Bukman, C.;7;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Lamers, P.A.W.;7;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;21;Breugem, J.;26;0;0;0;0;0;0;0;0;1;2;0;4;9;1;2;2;0;0;0;0;0;0;0;0;1;0;0;4;0;0
;;22;Steenkamp, P.A.J.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0
;;23;van der Poort, D.J.;14;0;0;0;0;0;0;0;1;0;2;1;0;6;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
;;24;Zijlstra, W.;64;4;7;1;4;5;8;9;3;0;1;0;0;0;1;0;0;1;0;0;0;0;0;11;0;0;0;9;0;0;0
;;25;Verbeek, J.A.;100;9;9;6;1;3;11;12;9;0;2;1;1;2;3;0;1;0;0;2;1;1;0;10;0;2;0;13;0;0;1
4;P.v.d.A./GROENLINKS;;;1784;175;66;75;39;39;124;162;47;30;60;14;37;89;11;10;51;5;76;44;55;46;15;128;34;9;49;132;82;25;55
;;1;Leliënhof, D.;1113;114;47;59;28;20;93;118;39;18;20;11;5;39;4;6;19;2;35;26;31;29;8;100;19;4;38;101;35;14;31
;;2;Damen, F.M.;124;4;2;2;1;1;2;5;3;3;17;0;11;24;4;0;2;1;2;1;2;0;0;4;6;1;2;3;19;1;1
;;3;Pouwels - Nahrvar, S.;101;23;6;6;1;1;9;13;4;4;1;1;0;1;1;0;0;0;3;1;3;5;1;6;0;1;1;6;1;1;1
;;4;Bovens, J.J.G.;36;2;1;3;1;9;2;5;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;2;2;0;0;5;0;0;0
;;5;de Waal, A.C.;51;14;0;1;1;4;5;5;1;1;0;0;1;1;0;0;0;2;2;1;0;0;0;4;0;0;1;6;0;0;1
;;6;Rombouts, D.;40;2;0;1;0;0;2;2;0;0;0;0;0;0;0;3;18;0;0;0;1;0;0;4;0;1;0;3;1;2;0
;;7;Stuivenberg, A.C.;19;5;4;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0
;;8;van Ruitenburg, M.J.;53;0;0;0;0;0;0;1;0;1;14;1;8;5;0;0;0;0;2;0;0;0;0;1;5;0;0;0;15;0;0
;;9;den Hollander, N.;90;5;4;1;3;4;7;4;0;3;6;0;7;17;2;0;1;0;4;2;1;0;3;1;2;0;0;3;10;0;0
;;10;Peelen, H.F.;11;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;11;Doornhein, H.;17;1;0;2;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;6;0
;;12;Laurier, C.M.W.;59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;7;11;5;1;0;0;0;3;0;0;0;8
;;13;Diersmann, E.;17;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;1;4;0;1;0;0;0;3;0;0;0;3
;;14;Loch, L.A.G.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;7;1;0;0;0;1;0;0;0;10
;;15;Hazelebach, A.;16;4;1;0;2;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
;;16;Helmer, J.;12;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;3;0;0;0;0;0;0;2;0;0;0;2;0;1;0
5;SP (Socialistische Partij);;;1254;143;49;61;28;35;64;114;40;9;36;22;11;28;6;8;27;5;42;47;33;48;26;123;23;8;33;104;30;18;33
;;1;Baas, J;574;69;14;30;14;13;33;68;20;4;16;11;4;14;2;2;11;2;18;13;8;21;6;61;11;2;12;62;12;12;9
;;2;Rodenburg, S;279;34;16;19;4;10;16;24;11;1;6;6;2;7;1;3;9;2;3;11;6;6;1;38;1;4;4;16;6;4;8
;;3;Belterman, R.H.R;58;8;4;5;1;1;4;5;2;0;0;0;0;0;3;0;1;1;1;0;2;0;1;9;0;0;2;8;0;0;0
;;4;Woudstra, A.C;33;6;2;3;0;2;3;2;2;0;1;1;0;0;0;2;1;0;0;1;0;1;0;1;0;0;1;4;0;0;0
;;5;de Neef, J.A.;18;2;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;1;5;1;0;0
;;6;Verzijl, A.B;52;3;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;7;11;4;6;1;3;0;0;6;0;0;1;4
;;7;Verdoold, J.G.;86;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;12;10;11;11;17;1;1;0;5;1;0;0;12
;;8;Rietveld, P.J.H.;17;1;1;0;2;4;0;4;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;9;Broere, A;25;3;6;1;3;2;1;2;2;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;0;0;0
;;10;van Leeuwen, C. H.;6;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;11;Busschers, L.M.M.;19;4;0;0;2;0;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;2;0;0;0
