Verkiezing;;Gemeenteraad Barendrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Barendrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Bethelkerk;trouwzaal De Watertoren;'t Trefpunt;Sportzaal De Kruidentuin (1);Sportzaal De Kruidentuin (2);Sporthal De Driesprong (1);Sporthal de Driesprong (2);basisschool Groen van Prinsterer;jongerencentrum BLOK 0180;Sporthal Aksent (1);Sporthal Aksent (2);Eben Haezerkerk (bibliotheek);Carnisse Haven (kerk);Sporthal Vrijenburgpoort;Pop-up stembureau bij gem. gemaal;Sportpark vv Smitshoek;Sporthal Riederpoort;Sporthal Waterpoort (1);Sporthal Waterpoort (2);Sporthal Waterpoort (3);Gemeentehuis MAANDAG;BLOK 0180 MAANDAG;Carnisse Haven (kerk) MAANDAG;Sportpark vv Smitshoek MAANDAG;Gemeentehuis DINSDAG;BLOK 0180 DINSDAG;Carnisse Haven (kerk) DINSDAG;Sportpark vv Smitshoek DINSDAG
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;101;110;114;117;201;210;214;217
Postcode;;;;;2991 AA;2992 SG;2992 BE;2991 GB;2991 RK;2991 RK;2991 BK;2991 BK;2992 DN;2992 ZB;2992 GK;2992 GK;2992 AM;2993 TA;2994 CC;;2993 BZ;2993 XE;2993 DL;2993 DL;2993 DL;2991 AA;2992 ZB;2993 TA;2993 BZ;2991 AA;2992 ZB;2993 TA;2993 BZ
;;24;Hazebroek, M.;99;8;1;0;0;2;2;12;5;0;3;4;3;1;11;2;3;2;7;1;4;3;3;3;8;0;0;3;8;0
;;25;Stolk, J.M.M.;140;3;0;3;2;3;3;1;5;3;0;6;4;1;14;2;6;3;7;10;12;10;5;3;11;0;5;5;11;2
;;26;de Graaff, W.;20;0;0;0;0;0;0;0;0;0;0;1;0;0;4;2;5;2;0;0;0;0;0;0;0;2;1;0;0;3
;;27;Faken, L.Y.;113;10;2;0;1;3;2;5;1;8;13;3;1;11;4;3;4;4;4;2;5;1;3;2;3;1;5;6;2;4
;;28;Nijssen, R.;48;2;1;2;3;4;0;3;3;6;5;2;0;3;2;1;0;1;2;3;0;1;0;1;0;0;0;2;0;1
;;29;Yilmaz, M.;139;4;0;2;0;1;1;3;1;4;1;2;4;0;8;20;14;7;7;15;6;15;1;2;3;0;11;2;3;2
;;30;van der Wilk, L.J.;159;8;0;6;2;1;0;8;9;6;17;17;21;14;5;0;3;2;2;6;6;0;5;1;2;0;7;2;8;1
;;31;den Rooijen-Versluis, R.M.;68;2;0;5;3;0;1;8;3;4;12;4;1;0;0;3;4;3;1;0;2;1;3;1;0;0;4;3;0;0
;;32;Robbe, H.L.L.;42;0;0;1;0;0;0;1;3;0;3;0;0;0;2;0;0;2;5;11;2;3;0;2;2;0;3;0;2;0
;;33;de Kreek-Heijboer, S.;43;3;1;1;0;2;0;0;1;2;0;2;3;9;0;0;1;4;0;1;3;0;4;0;1;1;2;1;1;0
;;34;van Vilsteren, S.;102;4;2;1;3;0;2;11;11;9;8;3;7;10;4;0;5;1;2;0;0;2;9;0;1;1;4;2;0;0
;;35;van der Leer, R.C.I.;39;10;0;3;1;2;0;0;0;2;1;1;3;1;0;0;0;2;0;0;0;0;2;1;0;0;9;0;1;0
;;36;van Buren, I.;60;2;5;0;0;1;1;8;3;12;1;3;3;3;0;0;2;3;0;0;0;1;4;2;1;0;3;2;0;0
;;37;Brussé, C.;81;9;3;0;2;0;1;2;0;4;1;3;3;0;4;0;19;7;0;2;3;4;4;0;4;3;0;0;2;1
;;38;Kooiman, J.;78;8;3;2;2;1;0;4;5;9;3;2;2;3;0;4;4;2;0;1;2;0;7;0;2;0;6;6;0;0
;;39;Vlieg, J.G.;26;2;0;2;6;0;0;0;1;2;1;3;1;0;0;1;0;0;0;0;0;1;1;2;0;0;1;1;1;0
;;40;van Ewijk-Heijboer, A.;67;5;0;1;1;1;1;1;1;26;2;2;1;3;3;0;2;0;1;0;2;1;4;2;1;1;3;1;0;1
;;41;den Boer, A.;114;9;2;1;5;0;0;1;4;1;4;6;2;32;4;11;1;5;4;3;1;1;2;2;3;0;6;3;1;0
;;42;van den Broek, L.L.;28;2;2;2;6;0;0;0;0;5;3;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;1;0
;;43;Muller, M.F.P.;19;0;0;0;0;0;0;0;1;3;4;3;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;2;0;2
;;44;Koopman, M.M.;52;1;1;0;0;0;1;1;2;2;2;2;0;1;5;1;11;3;1;2;1;1;2;1;4;0;4;1;1;1
;;45;Bloot, F.L.A.;16;3;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;4;0;0;1
;;46;Kassrioui, K.;123;7;5;1;2;0;1;3;5;9;6;1;0;0;12;18;2;11;6;5;2;8;0;1;0;0;5;0;3;10
;;47;Wigmans, T.;41;1;2;0;2;0;0;2;0;0;0;0;0;2;0;5;0;0;3;3;3;3;4;0;3;0;0;3;1;4
;;48;Lefering, J.H.A.;29;0;2;1;0;0;1;3;2;0;2;1;5;0;1;1;0;0;2;0;1;0;0;2;0;0;2;3;0;0
;;49;Huijgen, A.;89;4;0;2;3;4;2;8;5;3;1;5;3;3;4;1;1;1;1;4;9;4;6;2;5;0;1;4;3;0
;;50;Orsel, K.J.;87;2;0;0;0;1;0;5;6;6;14;0;3;3;2;3;4;2;4;8;2;1;2;2;2;2;1;7;3;2
2;CDA;;;1480;70;41;82;49;30;29;102;100;108;66;51;53;101;56;25;26;43;28;20;25;25;62;27;51;5;107;33;44;21
;;1;Lengkeek, J.;609;31;20;54;17;17;14;43;38;38;25;16;21;45;19;6;10;17;10;8;11;12;23;12;17;1;43;16;19;6
;;2;Luijendijk, P.W.J.;223;8;5;4;11;3;3;14;15;22;9;8;14;10;8;2;3;5;7;3;3;2;6;2;11;0;23;7;10;5
;;3;Schippers, A.;32;3;0;0;1;0;1;0;3;1;1;0;0;2;5;0;0;1;0;1;1;1;3;0;0;2;2;0;4;0
;;4;van Gelder, L.A.;59;4;4;1;1;1;1;8;9;5;1;2;0;4;0;0;1;0;0;1;2;1;5;1;0;0;7;0;0;0
;;5;de Kam-Benard, P.A.;217;11;9;7;9;1;3;7;16;20;13;11;11;17;9;0;6;7;8;5;4;2;11;3;7;2;11;4;2;1
;;6;Bosschaart, L.C.;8;0;0;0;0;0;0;3;1;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;7;Boekhoud, T.C.;46;0;0;1;1;0;2;5;0;3;2;4;0;2;2;7;1;4;1;0;2;0;1;1;2;0;0;1;0;4
;;8;Sullock Enzlin, A.B.E.;34;0;1;0;0;1;1;0;0;0;1;1;0;4;6;8;1;0;0;1;0;1;0;0;4;0;2;0;1;1
;;9;de Lange-Leguijt, G.C.;38;2;0;1;5;0;0;2;3;1;2;0;2;1;2;0;0;2;2;0;1;1;1;1;0;0;3;0;3;3
;;10;Hengstmengel, J.W.;34;0;0;2;0;3;2;0;1;6;1;0;0;5;1;0;0;0;0;0;0;0;3;2;0;0;7;0;1;0
;;11;Houweling, A.R.;12;0;0;0;0;0;0;0;1;0;1;3;0;2;1;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0
;;12;van Wilgenburg-Beernink, M.T.;18;0;0;2;3;0;0;0;2;3;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0
;;13;Buijs, C.E.H.M.;14;0;0;1;0;1;0;8;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van der Graaff-Voskamp, J.A.;25;1;0;2;1;1;0;2;7;3;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;2;0
;;15;van der Stoep, J.;5;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;16;Bevort, F.V.G.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;de Haan, H.M.;10;0;0;0;0;0;0;1;1;2;2;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Hoogerwerf, M.L.;8;2;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Luijendijk, A.;14;0;0;0;0;0;0;0;0;1;1;2;0;5;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1
;;20;Silvis, C.;33;7;0;0;0;0;0;5;0;1;1;2;0;0;1;0;1;1;0;0;0;3;4;1;3;0;2;1;0;0
;;21;Buurman-Hordijk, M.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
;;22;van der Burg-Tinke, J.;10;0;1;2;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0
;;23;Buitenhuis, D.B.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Heule, F.;5;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;25;van den Berg, C.A.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;26;Verhulst, F.;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;27;Righolt-Dam, C.W.;14;0;1;0;0;2;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;3;0;1;0;1;0;1;0
3;SGP-ChristenUnie;;;2010;120;138;144;60;42;39;103;115;133;116;79;68;208;37;20;16;44;20;26;18;32;94;34;23;4;150;65;54;8
;;1;Mijnders, J.L.;1048;50;88;90;32;16;20;46;64;78;66;36;28;124;13;11;8;27;5;15;9;16;42;15;11;2;75;29;27;5
;;2;Klos-de Vries, T.;199;11;3;15;4;9;4;16;14;9;10;4;7;9;5;2;5;5;4;1;0;7;12;1;4;2;17;8;11;0
;;3;Stolk, A.;106;9;5;6;4;3;3;11;7;8;2;4;1;9;4;0;0;2;3;0;0;1;7;1;0;0;8;0;6;2
;;4;Smit, J.P.;32;3;2;1;0;2;2;2;0;1;4;3;0;0;1;0;0;0;0;0;0;0;1;4;0;0;4;1;1;0
;;5;Blok, J.M.;56;3;7;1;5;3;3;2;2;5;2;0;1;5;0;0;0;4;0;1;0;0;5;0;1;0;4;2;0;0
;;6;Verkade-Boerema, L.E.A.M.;194;14;3;12;7;4;0;7;12;11;14;7;10;18;5;4;0;0;6;4;6;3;14;5;5;0;9;14;0;0
