Verkiezing;;Gemeenteraad Sliedrecht 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sliedrecht;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0610;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis;Gemeentekantoor;Sportzaal De Sprong;Bibliotheek AanZet;Trimclubgebouw ABC;Sporthal De Stoep;Zorgcentrum Parkzicht;Tuinfluiterflat;Anne de Vriesschool;Sporthal de Basis;Sportzaal 't Crayenest;Sportzaal 't Crayenest;Muziekvereniging Crescendo;Sporthal De Valk;Sporthal De Stoep;Maranathakerk;Gemeentekantoor;Sporthal De Valk;Gemeentekantoor;Sporthal De Valk
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;SGP-ChristenUnie;;;3614;309;117;189;471;193;146;165;203;208;140;106;84;65;164;110;343;143;100;180;178
;;1;Paas, J.C.;1634;129;50;88;220;90;72;90;98;91;42;40;49;27;75;53;143;71;52;87;67
;;2;Ippel, C.;389;28;16;17;58;25;13;22;28;22;15;9;4;1;12;10;57;2;13;20;17
;;3;Mulder, F.A.;300;14;6;18;40;15;3;14;18;49;23;10;5;0;7;6;27;8;10;11;16
;;4;de Mul-Donker, A.W.;372;38;6;21;40;16;13;11;22;10;22;8;6;9;23;10;42;18;8;21;28
;;5;Oostrom, J.H.;108;14;4;4;7;1;11;7;5;9;5;4;1;3;3;5;6;4;4;8;3
;;6;Verweij, J.P.;62;3;2;1;15;2;1;0;2;3;1;6;2;2;2;1;1;4;1;6;7
;;7;van Urk, B.G.;83;10;1;3;12;3;4;6;10;3;2;1;0;0;3;3;9;4;2;3;4
;;8;Karens, J.B.M.;36;1;1;1;2;4;1;0;5;1;4;0;0;1;0;2;3;4;0;4;2
;;9;Ippel, S.C.M.;28;7;1;0;2;2;2;2;0;2;0;0;2;0;4;0;0;0;0;3;1
;;10;Kooiman-Meerkerk, G.S.;54;5;0;1;11;2;1;0;2;3;1;0;1;3;3;1;9;2;2;4;3
;;11;van den Boogaard, P.;40;0;0;2;6;1;5;1;2;0;1;5;0;0;3;1;4;3;2;0;4
;;12;Schild-de Jong, A.E.;57;10;5;3;6;1;2;0;1;3;2;3;2;2;4;3;5;2;0;1;2
;;13;de Haan, D.J.;32;5;1;0;6;3;2;2;2;1;0;2;0;1;2;0;0;0;2;2;1
;;14;de Bruin, R.C.;48;7;2;0;5;2;3;0;2;1;0;4;1;2;0;3;2;1;1;3;9
;;15;Brandwijk, M.D.;49;8;2;2;8;2;2;1;2;0;2;1;0;5;1;2;2;3;0;3;3
;;16;de Ruijter, A.L.;28;4;1;2;2;2;2;1;0;0;0;2;1;2;3;2;2;2;0;0;0
;;17;van den Berg, R.F.;29;1;1;2;4;2;0;0;0;3;10;0;0;0;1;0;2;2;1;0;0
;;18;Stouten-de Winter, A.H.;37;3;1;1;4;0;1;1;2;2;1;0;1;6;6;2;2;2;0;0;2
;;19;van der Sluijs, M.;27;0;4;5;0;2;0;1;0;0;0;3;3;0;4;1;1;2;0;0;1
;;20;de Waard, H.;28;5;2;4;1;5;0;0;1;1;0;0;0;0;0;1;0;4;0;1;3
;;21;den Toom, M.;23;7;0;1;3;4;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0
;;22;Oudijn, P.A.;12;2;0;0;3;0;2;0;0;0;1;0;0;0;1;1;2;0;0;0;0
;;23;Visser, J.H.;31;2;6;0;3;4;2;2;0;0;1;1;0;1;2;0;5;0;0;1;1
;;24;Schippers, V.J.;107;6;5;13;13;5;4;4;1;4;7;5;6;0;5;3;13;5;2;2;4
2;PRO Sliedrecht;;;2723;203;71;155;247;203;117;86;141;141;124;106;81;43;250;144;150;76;98;134;153
;;1;Verheul, M.;936;70;26;49;78;69;46;32;48;50;44;36;30;7;90;37;61;22;29;64;48
;;2;Stam-Smeets, M.T.;400;35;9;27;33;30;18;13;16;27;27;12;10;7;43;22;14;10;15;11;21
;;3;Verheul, C.;219;11;5;14;14;8;8;8;12;23;18;12;10;7;20;13;9;6;3;6;12
;;4;Visser-Schlieker, G.J.;694;47;19;31;84;58;34;26;47;16;15;31;18;11;44;37;47;24;33;26;46
;;5;Pauw, T.W.;106;11;5;10;8;4;0;1;4;7;2;2;3;4;13;2;5;7;2;6;10
;;6;Safai Pour, G.;73;3;0;2;8;6;2;1;1;4;7;1;2;1;9;7;4;4;4;4;3
;;7;Blanken, W.H.;29;3;0;1;2;6;0;0;1;0;0;1;0;1;4;2;1;0;3;2;2
;;8;Verheij, C.G.C;39;6;3;1;3;1;2;1;2;2;1;0;0;0;2;3;0;0;4;6;2
;;9;Penning, R.C.;21;2;0;2;3;0;0;0;0;2;0;0;0;2;3;0;4;0;0;1;2
;;10;Penning-Visser, P.;25;2;1;4;4;1;1;0;0;1;1;1;1;0;2;2;0;0;2;2;0
;;11;Cakir, K.;34;2;0;2;0;6;0;2;3;3;2;2;0;0;3;4;1;0;2;1;1
;;12;de Waard, A.;25;1;0;1;2;2;0;0;0;0;5;6;3;0;3;1;0;0;1;0;0
;;13;van Maaren, C.K.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Heijkoop, H.G.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;15;Kraaijeveld, J.;6;1;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;16;Hertog, C.W.M.;10;0;0;1;1;0;0;0;0;1;0;0;0;0;1;2;0;2;0;0;2
;;17;van Dongen, S.;33;3;1;5;1;1;3;0;2;3;1;1;0;2;4;1;2;0;0;1;2
;;18;Visser, J.A.;17;1;0;0;2;3;0;1;3;0;1;0;0;1;1;2;0;0;0;1;1
;;19;Caspers, C.P.;4;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Pauw, T.P.;50;5;2;3;4;6;2;0;1;2;0;1;4;0;8;7;2;1;0;2;0
3;CDA;;;1459;85;49;61;142;72;60;70;59;80;73;57;49;28;112;44;132;61;64;65;96
;;1;Spek, T.A.;734;37;29;27;68;36;27;39;31;40;46;23;33;16;49;26;53;28;42;32;52
;;2;Dunsbergen, F.J.;206;16;4;11;26;14;8;12;9;6;6;5;2;3;13;2;30;11;8;7;13
;;3;Prins, V.E.;109;4;5;10;10;2;8;3;2;3;3;11;2;2;13;2;7;8;2;7;5
;;4;Kraaijeveld-Le Pair, P.S.;149;7;5;5;17;5;8;5;4;11;5;6;7;4;11;7;19;5;3;6;9
;;5;Stoker, J.C.;30;2;2;0;1;1;1;0;1;5;5;3;0;0;4;0;2;1;1;0;1
;;6;de Haan, M.A.C.;26;1;0;2;3;1;1;2;1;1;0;1;3;0;3;0;2;4;1;0;0
;;7;de Vries, J.L.;41;2;0;0;3;3;1;2;3;0;1;2;1;0;3;0;7;0;2;2;9
;;8;Bakker, A.;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
;;9;de Haan, G.J.;24;4;2;2;3;1;2;0;0;0;0;0;0;0;4;0;1;0;0;2;3
;;10;van den Herik, A.;11;2;0;0;0;0;1;3;0;3;1;0;0;0;0;0;0;0;0;1;0
;;11;den Besten, A.J.;12;1;0;0;2;1;0;2;2;0;0;0;0;0;1;0;0;0;1;1;1
;;12;Lobbezoo, S.K.;19;0;0;0;1;0;0;0;2;8;1;0;0;1;2;0;4;0;0;0;0
;;13;Verwijs-Hollants, P.M.;14;0;0;0;0;1;0;0;2;1;2;0;0;0;1;1;2;1;1;1;1
;;14;Dunsbergen, W.J.;16;1;1;0;1;0;0;1;0;1;2;0;0;0;3;0;1;0;1;2;2
;;15;de Bruin, G.R.;18;2;1;2;2;3;0;0;1;0;0;0;0;0;1;3;3;0;0;0;0
;;16;de Jong, A.J.;12;2;0;1;2;0;1;0;0;0;1;0;0;0;1;0;1;2;0;1;0
;;17;Lemmen, J.A.;13;0;0;0;1;0;2;0;0;0;0;5;1;1;0;2;0;0;0;1;0
;;18;Dunsbergen-Meerman, H.E.;5;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
;;19;Zoutendijk, H.H.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van de Leur, H.M.E.J.;6;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0
;;21;de Waard, A.;7;0;0;0;2;1;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1054;92;42;46;102;77;25;40;51;47;51;38;43;33;74;36;50;40;53;55;59
;;1;van der Plas, B.;505;53;16;21;58;37;15;30;31;17;12;18;13;13;30;22;24;14;20;26;35
;;2;Dubbeldam-van Beest, A.;231;12;10;7;17;15;7;3;9;18;19;10;8;9;21;12;14;8;7;13;12
;;3;Gruppen, E.;103;7;3;9;9;10;0;2;1;1;4;1;11;5;15;1;5;6;5;4;4
;;4;Keesmaat, J.C.;128;6;7;6;13;5;1;2;6;8;12;8;4;5;3;1;1;9;16;11;4
;;5;van Gameren, A.;6;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;1;0
;;6;van Gameren-van Beurden, M.A.;11;4;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1
;;7;Huisman, J.J.;32;9;5;0;0;2;2;1;1;1;1;0;2;0;2;0;4;0;0;0;2
;;8;Galle-Prins, C.;25;1;1;1;3;3;0;1;1;1;1;1;5;0;0;0;2;1;3;0;0
;;9;Blijenberg, K.;13;0;0;1;1;4;0;1;2;1;1;0;0;0;0;0;0;1;0;0;1
5;VVD;;;984;93;50;37;73;55;47;26;43;67;45;33;32;15;79;42;78;30;37;45;57
;;1;Bijderwieden, R.;586;45;24;24;44;35;27;13;33;41;30;18;20;7;58;24;44;18;24;29;28
;;2;van Wijngaarden, S.;103;9;11;7;5;4;6;3;7;7;6;3;4;1;1;5;5;3;4;4;8
;;3;van Rossum, J.T.H.;21;3;1;1;0;0;0;0;0;2;1;0;0;0;6;2;1;1;0;1;2
;;4;de Ruiter - van den Dool, T.E.;69;7;8;0;4;1;1;2;1;6;2;4;2;2;5;2;11;2;3;3;3
;;5;Kieft, G.A.;32;8;0;1;0;3;1;0;0;2;2;4;2;2;3;0;1;0;0;1;2
;;6;van Dijk, G.M.;25;1;1;2;2;1;2;2;0;0;1;0;0;0;1;0;9;1;1;0;1
;;7;van de Ven, R.G.;19;0;3;1;3;1;1;0;0;0;0;2;2;0;2;1;0;0;3;0;0
;;8;Verschoor, C.E.;29;6;0;0;2;4;2;0;0;1;0;1;0;2;0;1;5;0;1;2;2
;;9;van der Pol, R.;4;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;10;Danser - Duizendstra, M.;9;0;0;0;1;0;0;2;0;1;0;0;1;0;0;0;0;0;1;0;3
;;11;van der Leeden, G.;48;12;1;0;4;1;6;1;2;2;2;1;1;0;0;4;2;5;0;1;3
;;12;van Bakel - Middelweerd, J.M.;17;1;0;1;8;3;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0
;;13;Colenbrander, H.;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;14;van Houwelingen, B.L.F.;10;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;5
;;15;Pot, A.O.;10;1;0;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;3;0
6;Slydregt.NU;;;1011;100;36;51;91;54;45;35;75;37;33;40;46;15;89;47;56;39;23;37;62
;;1;Jongeneel, M.J.H.;598;39;18;29;58;38;29;19;46;26;19;22;28;6;60;31;31;18;17;23;41
;;2;Brandwijk, B.;171;16;5;10;17;6;7;5;12;4;7;12;10;3;14;8;8;10;4;7;6
;;3;Jongeneel, G.P.;34;5;1;2;5;1;1;2;6;0;1;1;2;0;3;0;1;0;1;0;2
;;4;van Herk, A.;27;2;1;1;2;1;0;0;3;2;0;1;1;1;3;1;2;2;0;1;3
;;5;Stierman, G.A.D.;39;14;2;0;2;0;2;0;0;1;3;2;0;1;4;0;4;3;1;0;0
;;6;Herwig, R.;21;3;1;0;0;3;3;0;0;0;2;0;1;1;1;0;2;1;0;0;3
;;7;van der Meulen, H.W.;37;12;1;2;4;0;1;5;0;0;1;0;0;0;2;4;1;2;0;1;1
;;8;Haanskorf, C.J.;84;9;7;7;3;5;2;4;8;4;0;2;4;3;2;3;7;3;0;5;6
7;D66;;;342;27;15;16;26;12;12;9;17;27;21;9;7;8;33;14;20;17;14;18;20
;;1;de Munck, R.B.;157;15;7;3;14;5;7;2;9;11;12;2;5;4;14;11;5;9;6;7;9
;;2;de Rooij, S.J.;128;9;6;8;7;4;4;7;5;13;5;5;2;4;15;2;12;5;5;4;6
;;3;Bouwmans, M.L.P.M.;23;0;0;2;1;1;0;0;1;1;3;2;0;0;2;0;2;2;2;2;2
;;4;Wannyn, R.J.W.V.;18;2;2;0;2;0;1;0;2;0;1;0;0;0;1;0;0;0;0;4;3
;;5;de Munck, F.;16;1;0;3;2;2;0;0;0;2;0;0;0;0;1;1;1;1;1;1;0
