Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Theater aan de Schie I;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Göteborg II;Stembureau Mobiel Stembureau;Stembureau Drive-in;Stembureau Theater aan de Schie I;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Göteborg II;Stembureau Mobiel Stembureau;Stembureau Drive-in;Stembureau Theater aan de Schie I;Stembureau Stationsplein;Stembureau Buurthuis Huis van de Wijk Oost;Stembureau Sportzaal Oost;Stembureau Sportzaal Zuid;Stembureau Bewonersvereniging Schiedam-Zuid;Stembureau Wijkcentrum De Erker;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Pronova College;Stembureau MAVO Schravenlant XL;Stembureau Wijkcentrum Dreesplein;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Recreatiezaal Beethovenflat;Stembureau Wijkcentrum De Brug;Stembureau Zwaluwlaan;Stembureau Verzetsheldenbuurt;Stembureau Mobiel Stembureau;Stembureau Bibliotheek Korenbeurs;Stembureau Kasteelweg;Stembureau Wijk- en Bewonersvereniging Tuindorp;Stembureau Drive-in;Stembureau Ontmoetingscentrum De Werf;Stembureau Hof in Zuid;Stembureau DSW Zorgverzekeraar;Stembureau HC Schiedam
Gebiednummer;;;;;101;109;110;115;116;117;118;124;128;201;209;210;215;216;217;218;224;228;301;303;304;305;306;307;308;309;310;311;312;314;315;316;317;319;320;321;322;324;325;326;327;328;330;331;332;333
Postcode;;;;;3112 DZ;;;;;;;;3125 BP;3112 DZ;;;;;;;;;3112 DZ;3112 HB;3112 LD;3112 VA;3114 GH;3114 NK;3117 PR;;;3118 BB;3118 LG;3119 CW;;;;3122 VL;3123 LA;;;;3111 CD;;3121 AM;3125 BP;3124 KE;3114 TM;3119 XT;3118 JD
;;10;Bresjer, K.M.;15;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0
;;11;Antonissen, B.G.D.;47;0;0;0;1;1;1;1;0;2;1;1;0;0;0;2;0;1;0;0;1;0;0;0;1;0;2;0;0;0;3;2;2;11;0;0;6;4;0;0;0;0;0;2;0;0;2
;;12;Groenendaal-de Veld, M.T.;20;1;1;0;0;1;1;0;0;0;2;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0
;;13;Gouweleeuw, N.;151;2;4;5;3;0;2;3;0;0;5;6;1;9;0;3;2;1;1;5;0;2;1;2;2;0;8;1;1;2;0;4;4;12;1;3;12;14;8;5;4;1;2;0;7;0;3
;;14;van Wijk, W.J.;59;3;3;0;0;0;0;1;0;0;2;7;0;2;0;1;0;2;0;4;4;0;0;2;1;1;3;0;0;0;0;3;0;3;1;0;4;5;2;1;2;0;0;0;1;1;0
;;15;van Collenburg-in 't Hout, E.D.;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;4;1;1;0;0;0;0;0;0;0;0
;;16;Elenbaas, J.C.;25;0;2;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;3;1;0;1;1;0;0;3;0;0;2;0;0;3;0;1;0;0;0;1;0
;;17;van den Berg, I.;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;2;0;0
;;18;Meijer, J.K.;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0
;;19;Beenhakker, S.T.E.;34;0;0;0;2;0;1;0;0;0;1;0;0;1;1;2;0;0;0;0;0;1;0;0;1;0;4;0;1;1;1;0;0;6;0;2;0;1;3;1;0;2;0;1;1;0;0
;;20;Mostert, A.P.;54;1;2;0;0;1;1;1;0;0;2;2;1;1;0;0;2;1;0;7;0;1;0;0;0;0;7;1;0;2;3;2;0;3;1;0;0;1;1;1;2;1;0;2;2;1;1
2;DENK;;;3087;73;38;25;20;12;3;4;81;8;129;82;68;55;35;8;3;3;11;162;119;118;74;17;19;99;89;109;394;46;584;96;96;47;60;14;29;43;10;34;5;8;18;1;67;23;48
;;1;Ergin, D.A.;883;21;7;6;5;1;3;4;29;2;40;22;15;23;5;3;3;2;3;38;27;28;18;7;3;21;18;41;137;16;151;30;30;17;16;2;14;7;4;7;1;2;8;1;15;6;24
;;2;Dokgöz, Ş.;315;23;7;4;1;3;0;0;1;0;9;3;2;5;0;0;0;0;5;21;29;19;4;2;2;8;8;15;18;6;65;18;3;3;0;0;4;7;2;4;1;1;1;0;4;2;5
;;3;Ben Touhami, M.;335;0;2;0;2;1;0;0;13;0;9;8;3;7;5;0;0;1;0;25;14;6;5;0;3;26;11;8;33;8;74;8;17;6;8;3;1;9;1;7;0;0;1;0;6;2;2
;;4;Kahramanoğlu, C.;338;4;10;1;1;0;0;0;17;0;11;28;12;1;1;0;0;0;2;17;8;8;12;0;1;11;14;12;44;2;64;4;8;3;7;1;1;1;0;5;0;2;3;0;14;4;4
;;5;van Teijlingen, N.M.;99;1;0;0;2;3;0;0;0;0;3;1;6;7;7;0;0;0;1;5;3;5;0;0;0;1;0;0;10;0;4;8;15;0;7;2;1;0;0;2;2;1;0;0;1;0;1
;;6;Polat-Işıktaş, G.;164;1;2;6;0;1;0;0;0;0;18;0;3;0;6;0;0;0;0;9;7;4;12;0;1;1;4;7;21;1;34;5;6;3;1;0;0;2;2;0;1;0;0;0;4;0;2
;;7;Heikamp, W.;60;1;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;5;0;4;2;4;3;0;2;5;15;1;4;4;2;0;1;0;0;1;0;1;0;0;0;0;1;0;0
;;8;Kondu, F.;250;6;2;3;1;0;0;0;1;3;9;4;6;2;1;2;0;0;0;14;5;5;3;1;1;9;9;5;24;1;105;5;1;3;4;1;2;0;0;1;0;1;0;0;2;5;3
;;9;Özgören, S.;216;5;3;4;6;0;0;0;13;0;13;13;13;7;4;1;0;0;0;7;7;7;3;0;4;4;11;10;25;1;32;3;0;2;0;0;3;6;1;0;0;0;2;0;4;0;2
;;10;Gacha, B.;94;0;0;0;0;3;0;0;4;0;3;0;5;1;2;0;0;0;0;1;1;0;3;1;0;5;1;2;31;1;8;2;3;0;4;4;0;3;0;0;0;0;2;0;0;1;3
;;11;Abas, A.A.;20;6;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;4;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Babayiğit, Y.;73;4;1;0;0;0;0;0;0;0;6;0;2;0;0;1;0;0;0;2;6;9;7;0;0;0;1;3;4;4;9;2;1;0;5;1;0;0;0;0;0;0;0;0;4;0;1
;;13;Laghzaoui, A.;101;0;0;0;0;0;0;0;0;2;0;1;1;1;2;0;0;0;0;10;7;13;0;0;0;0;1;0;14;2;16;5;2;8;0;0;3;3;0;1;0;1;0;0;7;1;0
;;14;Önal, S.;26;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;4;0;0;4;0;0;2;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1
;;15;Rozenblad, D.L.;20;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;3;0;4;1;1;0;2;0;0;0;0;1;0;0;0;0;3;0;0
;;16;Wolińska, A.W.;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Icar, N.;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;18;Ortet, J.;45;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;4;3;0;0;1;3;6;0;4;1;2;0;3;2;1;0;0;2;0;2;0;0;1;0;2;2;0
;;19;Rehim Zadeh, E.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kahramanoğlu, E.;29;0;2;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;5;0;1;1;0;0;3;0;0;3;1;4;0;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0
3;Algemeen Ouderen Verbond;;;1792;43;34;10;49;31;19;27;35;3;58;64;14;52;30;19;34;29;1;71;22;37;9;17;62;63;57;26;30;20;74;55;31;99;92;66;55;82;44;28;29;33;4;34;80;9;11
;;1;de Jong, C.F.;857;18;14;8;23;13;10;17;15;2;29;36;3;21;14;11;19;14;1;29;8;18;1;8;30;18;30;11;11;9;41;26;18;53;45;36;27;43;18;14;19;15;1;14;39;2;5
;;2;Bruggeman, H.C.E.;292;8;9;1;9;4;3;3;5;0;10;6;3;5;5;4;5;5;0;9;4;5;3;2;12;7;7;4;4;2;9;11;4;25;13;4;12;18;10;4;6;3;1;16;10;2;0
;;3;de Groot, C.;228;6;5;0;12;1;4;4;5;1;6;6;0;7;4;2;6;1;0;5;0;6;4;3;10;20;8;1;6;3;8;2;5;8;15;12;5;11;4;3;0;4;0;1;9;0;5
;;4;Ruijter, R.;43;0;0;0;0;1;1;1;2;0;2;0;0;0;2;1;1;0;0;3;1;1;0;0;0;1;5;0;2;0;4;0;0;1;2;2;5;2;0;0;0;0;0;0;3;0;0
;;5;Rietkerken, H.;56;2;3;0;0;1;0;2;1;0;2;1;0;1;1;0;1;2;0;4;0;1;0;0;2;3;0;0;1;0;2;0;2;1;2;3;1;0;2;3;1;2;0;1;8;0;0
;;6;Troost, H.R.;18;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;1;0;0;2;1;0;1;0;3;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;7;van den Eshof, W.E.F.;46;0;1;0;0;5;1;0;1;0;0;1;6;2;2;0;0;0;0;1;0;0;0;0;1;1;2;3;1;3;4;0;0;0;2;2;0;1;0;0;1;2;0;1;0;2;0
;;8;de Koster, W.M.H.;55;1;1;0;1;3;0;0;1;0;0;8;0;1;1;0;0;0;0;0;0;1;0;0;0;2;0;1;1;2;1;8;2;3;5;3;1;0;0;1;0;4;1;0;1;0;1
;;9;van Katwijk, W.H.;15;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;4;1;0;1;0;0;0;0;0;0;1;0;0
;;10;Kroone, C.;43;5;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;1;0;5;5;2;0;0;3;0;0;2;0;0;0;2;0;1;0;3;0;1;0;2;0;1;0;0;3;3;0
;;11;Kooij-Leermakers, A.A.M.;98;0;1;0;1;0;0;0;3;0;2;5;2;7;1;0;2;2;0;14;2;0;1;2;3;9;3;3;1;1;2;3;0;6;3;0;1;3;5;1;1;2;0;1;5;0;0
;;12;Ruseler, D.C.G.;41;1;0;1;3;3;0;0;1;0;4;0;0;5;0;1;0;1;0;1;0;3;0;0;0;1;1;1;0;0;0;2;0;0;1;0;3;2;4;0;1;0;1;0;0;0;0
4;D66;;;2386;64;66;16;33;15;15;12;11;6;111;104;13;37;23;34;25;30;6;195;96;34;18;22;51;37;219;37;64;18;66;47;33;153;26;34;107;106;41;144;36;34;13;18;61;30;25
;;1;van Sliedregt, J.;838;25;24;8;19;8;8;5;5;2;34;37;5;14;11;16;11;18;3;44;30;12;4;5;12;15;62;9;21;6;21;18;13;69;13;18;44;37;17;38;17;12;3;7;22;9;7
;;2;Biekman, A.N.;822;21;23;4;6;7;5;4;2;1;47;47;3;14;8;16;11;8;2;74;26;15;6;12;16;12;95;14;16;3;17;12;11;41;7;3;38;38;10;58;14;11;6;5;14;11;8
;;3;Keverling, M.K.C.;182;8;5;4;2;0;1;1;1;0;13;3;1;2;0;1;0;3;0;18;8;1;2;2;2;1;15;4;3;1;4;5;2;13;2;7;9;5;2;16;2;4;1;1;3;3;1
;;4;van Baekel, K.;42;3;1;0;1;0;0;0;1;0;4;1;0;1;0;0;0;0;0;5;2;0;2;0;1;0;2;0;2;0;1;0;1;4;0;1;1;3;1;2;0;0;0;0;1;0;1
;;5;Güler, Z.;136;0;2;0;1;0;0;0;0;2;1;1;2;0;2;1;0;0;1;16;10;1;1;1;3;1;10;3;15;6;14;5;4;7;2;1;3;3;4;6;0;0;1;0;3;0;3
;;6;Reijnhout-van den Berg, G.M.;77;1;1;0;2;0;0;0;1;0;1;2;0;1;0;0;0;1;0;4;6;1;1;0;1;0;9;0;1;0;1;2;0;7;0;1;2;13;0;5;1;1;1;1;5;2;2
;;7;van Adrichem, J.A.;37;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;2;8;2;5;0;0;0;1;0;0;1;0;0;1;1;2;4;1;0;0;0;1;1;2
