Verkiezing;;Gemeenteraad Westland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Naaldwijk Gemeentehuis Verdilaan 1;Naaldwijk Gemeentehuis Verdilaan 2;Naaldwijk Gemeentekantoor Ln vd Glazen Stad;Naaldwijk Basisschool de Regenboog;Naaldwijk Bernadetteschool;Naaldwijk Brandweerkazerne;Naaldwijk De Oude Kerk;Naaldwijk Fusica voormalige dansschool;Naaldwijk Gymzaal de Boemerang;Naaldwijk Gymzaal Wollegras;Naaldwijk Ontmoetingskerk;Naaldwijk Partycentrum De Binnenhof;Naaldwijk Theaterloods;Naaldwijk Wijkcentrum Hooge Hasta;Honselersdijk Basisschool De Hoeksteen;Honselersdijk De Hunselaer;Honselersdijk SV Sosefhal;Honselersdijk Zalencentrum Hemelsblauw;Maasdijk Dorpskerk;Maasdijk Wijkcentrum Prinsenhof;'s-Gravenzande Bibliotheek;'s-Gravenzande ISW Gasthuislaan;'s-Gravenzande Noorderkerk;'s-Gravenzande Prins Willem-Alexanderschool;'s-Gravenzande Sportlokaal Oudeland;'s-Gravenzande voormalig Gemeentekantoor;'s-Gravenzande Westlandhal;'s-Gravenzande Wijkcentrum Larix;'s-Gravenzande Zalencentrum De Brug;'s-Gravenzande Zalencentrum De Kiem;'s-Gravenzande Zwembad Maesemunde;Heenweg CBS De Kameleon;Monster Ontmoetingscentrum de Haven;Monster de Noviteit;Monster Fata Morgana;Monster Sporthal de Wielepet;Monster Sportpark Polanen;Monster Verenigingsgebouw De Hoeksteen;Monster Het Westerhonk;Ter Heijde Dorpshuis Het Vrondel;Poeldijk Basisschool  De Nieuwe Weg;Poeldijk Basisschool Verburch-hof;Poeldijk de Veiling;Poeldijk Vrienden Partycentrum;Wateringen Hofboerderij;Wateringen Ontmoetingsplek Joop;Wateringen Ontmoetingsruimte De Vang;Wateringen Parochiezaal De Kolenkit;Wateringen Sportvereniging VELO;Wateringen St. Jozefbasisschool;Wateringen 't Knooppunt Scouting;Wateringen Wijkcentrum Terra Nova;Kwintsheul Basisschool Andreashof;Kwintsheul Dorpshuis Kastanjehof;De Lier Basisschool Prins Willem-Alexander;De Lier Bibliotheek / De Viermaster;De Lier De Achtsprong (ingang Berkenlaan);De Lier Partycentrum 't Centrum 1;De Lier Partycentrum 't Centrum 2;De Lier Scouting;De Lier Sportcentrum Vreeloo 1;De Lier Sportcentrum Vreeloo 2;De Lier Wijkcentrum 't Anker;Mobiel Bijzonder Stembureau Careyn;Mobiel Bijzonder Stembureau Pieter van Foreest;Naaldwijk Gemeentehuis Verdilaan 1 MA;Naaldwijk Gemeentehuis Verdilaan 1 DI;Honselersdijk Zalencentrum Hemelsblauw MA;Honselersdijk Zalencentrum Hemelsblauw DI;Maasdijk Dorpskerk MA;Maasdijk Dorpskerk DI;'s-Gravenzande Zalencentrum De Kiem MA;'s-Gravenzande Zalencentrum De Kiem DI;Heenweg CBS De Kameleon MA;Heenweg CBS De Kameleon DI;Monster Ontmoetingscentrum de Haven MA;Monster Ontmoetingscentrum de Haven DI;Ter Heijde Dorpshuis Het Vrondel MA;Ter Heijde Dorpshuis Het Vrondel DI;Poeldijk Vrienden Partycentrum MA;Poeldijk Vrienden Partycentrum DI;Wateringen Wijkcentrum Terra Nova MA;Wateringen Wijkcentrum Terra Nova DI;Kwintsheul Dorpshuis Kastanjehof MA;Kwintsheul Dorpshuis Kastanjehof DI;De Lier Partycentrum 't Centrum 1 MA;De Lier Partycentrum 't Centrum 1 DI
;;29;Meijndert, B.;34;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;2;4;1;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Spanbroek, T.H.A.M.;16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2
;;31;Omvlee, J.;49;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;3;6;0;3;2;0;3;4;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Lelij, J.C.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;2;2;3;0;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0
;;33;van den Brink, M.C.;17;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;34;van Vliet-Vijverberg, A.C.M.;34;1;2;0;0;2;3;0;0;0;1;0;2;0;1;1;0;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Wijten, A.J.A.;27;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;5;5;0;0;0;0;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;36;Verbeek, J.G.P.;23;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0
;;37;Mensen, J.H.;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;38;van Marrewijk, M.J.M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;2;0;1;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
;;39;van Velthoven, F.C.;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;40;Alblas, A.J.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;41;Hartlief, R.R.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;42;van der Meer, C.J.;56;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;5;0;14;0;2;0;2;5;3;1;0;3;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;43;van Rossum, J.J.;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;4;4;0;8;4;2;6;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;11;3;1;0;0
;;44;Vreugdenhil, J.C.;21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;3;0;0;0;1;2;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;45;Buitelaar, M.;34;0;2;1;0;2;0;0;0;2;1;1;1;0;0;1;1;0;1;0;2;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;2;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
;;46;Bom-Lemstra, A.W.;36;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;11;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0
;;47;van der Tak, J.;57;2;1;0;0;0;1;0;0;1;2;2;0;0;1;0;0;2;11;1;0;0;0;2;2;0;1;1;0;0;0;1;0;2;0;0;0;2;1;0;0;1;0;0;0;0;1;0;0;0;4;0;1;1;2;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1
;;48;de Goeij-van der Klugt, M.A.A.;37;1;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;4;6;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0
;;49;Duijvestijn, T.A.M.;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;1;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Vreugdenhil, P.A.;63;3;0;2;6;0;0;1;0;1;0;2;4;0;1;3;1;0;0;0;1;3;0;0;1;0;1;0;1;3;0;0;0;2;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;1;3;1;0;0;0;0;0;2;3;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;2;0
2;Westland Verstandig;;;12122;186;103;141;193;207;183;62;24;68;269;158;229;57;110;70;155;88;217;113;126;376;92;87;135;64;211;126;213;282;260;83;122;200;76;116;241;188;174;86;109;125;150;121;137;90;84;92;176;147;105;24;163;119;155;126;137;115;149;126;137;149;118;37;7;10;279;354;62;123;62;99;310;390;19;54;155;238;51;100;100;110;137;145;65;109;136;225
;;1;Duijsens, P.J.L.J.;6512;94;52;85;109;118;93;29;6;35;145;98;130;28;68;40;79;40;92;55;54;219;48;47;84;33;146;69;121;193;178;47;63;93;52;60;139;122;82;41;35;55;73;62;70;48;48;57;118;88;43;6;99;72;74;44;44;51;66;42;39;52;51;13;3;7;158;215;37;80;27;55;179;239;14;38;94;129;21;48;55;52;93;100;41;58;41;91
;;2;Boekestijn, L.G.;1160;12;11;11;9;21;15;4;2;6;21;13;16;4;6;8;12;9;20;13;9;9;4;6;5;1;4;10;3;11;4;2;4;10;3;4;3;9;5;3;3;4;8;7;3;3;1;10;8;8;9;1;12;10;5;51;52;51;60;47;64;57;40;17;1;0;16;28;4;5;4;7;12;13;1;8;4;12;1;0;1;3;9;14;5;5;66;88
;;3;van Staalduinen, C.Y.;766;7;4;6;19;16;10;1;1;4;14;2;12;5;7;1;6;2;12;6;0;52;11;9;7;6;20;21;31;29;26;13;5;5;6;12;9;2;15;2;2;6;4;5;5;12;8;7;15;11;11;4;15;4;11;7;6;3;2;9;9;6;5;0;0;1;16;20;3;5;1;4;32;36;0;0;6;12;5;3;7;2;9;6;4;4;2;5
;;4;van der Giessen, R.;705;16;9;10;14;10;20;5;6;10;18;7;20;5;7;1;20;5;13;16;28;9;0;3;4;4;4;4;9;6;1;2;3;36;10;11;24;22;20;9;5;3;4;6;5;4;10;3;2;5;6;3;9;3;12;3;6;2;3;2;2;4;0;0;2;0;16;17;5;6;7;11;15;13;0;0;18;23;3;5;2;7;5;9;0;12;2;4
;;5;van den Beukel, J.W.;500;15;8;8;19;14;14;3;3;6;28;16;15;9;5;1;6;2;4;10;5;20;5;5;4;8;4;5;14;7;7;7;13;5;0;4;5;1;1;1;2;1;5;2;1;3;0;1;2;4;2;0;4;1;1;3;8;0;2;7;4;5;5;1;0;0;21;27;0;3;10;6;17;19;0;0;2;5;0;0;2;1;0;2;1;2;3;8
;;6;Stokkers, M.W.M.;409;13;1;5;4;10;8;4;1;1;16;6;7;1;5;7;6;5;15;1;4;11;3;0;6;3;4;3;8;8;9;1;8;6;0;4;8;10;6;6;4;5;7;4;11;6;2;3;5;7;12;4;8;2;10;1;2;1;2;3;0;5;0;0;0;0;16;3;2;4;0;0;6;11;0;0;6;10;1;0;1;5;3;3;1;5;1;3
;;7;Bogaard, J.;295;3;2;2;4;3;3;0;0;0;2;0;1;0;0;2;4;1;10;0;0;1;3;2;2;0;5;0;3;3;1;1;5;15;2;6;28;4;23;9;25;4;3;1;1;1;0;0;1;1;1;3;0;0;1;1;1;0;0;0;0;1;0;0;0;1;3;4;0;4;0;0;3;8;1;1;13;18;10;23;2;7;0;0;0;0;1;1
;;8;Bongaards, A.;173;1;1;0;0;2;1;1;1;0;0;1;2;1;0;0;0;0;2;0;0;10;0;7;6;0;4;3;5;5;7;3;9;3;0;0;2;0;3;1;3;0;0;0;0;0;1;0;0;0;1;0;1;1;0;2;4;2;3;1;6;3;2;0;0;0;1;4;0;0;3;1;18;21;2;2;2;1;0;3;0;0;0;0;0;0;0;4
;;9;Leurink, A.;102;0;2;0;1;3;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;2;1;3;1;1;6;2;1;0;25;1;1;0;0;1;0;0;0;2;0;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;3;0;0;0;0;1;8;16;1;0;0;0;3;0;0;1
;;10;van Vliet, A.;84;0;0;0;0;1;2;0;0;1;1;1;1;0;1;1;0;0;2;0;3;3;5;1;1;1;4;3;5;6;0;0;0;3;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;3;1;1;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;1;1;0;0;5;6;0;0;1;1;0;0;0;0;0;1;0;2;1;1
;;11;Nederpel, R.M.A.;55;3;0;1;9;2;0;1;1;0;2;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;4;1;1;6;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;3;0;1;0;0;0;1;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0
;;12;de Nooy, J.;70;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;2;2;6;2;8;6;3;0;0;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;14;6
;;13;de Koning, W.B.J.;82;0;2;0;0;0;2;0;0;0;2;2;0;0;1;1;6;14;9;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;2;0;1;0;3;1;0;2;1;1;0;1;2;0;0;0;2;0;2;9;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;2;0;2
;;14;Kester, J.A.A.M.;42;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;5;8;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;15;Jansen, J.;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14;14;10;5;0;0;0;1;0;2;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;5;0;0;0;0;0;0
;;16;Noordam, M.;24;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2
;;17;van Veen, F.J.M.;33;0;0;0;0;0;2;2;0;0;2;1;1;0;2;0;0;0;1;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;18;Barendse, P.N.M.;116;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;4;11;4;5;0;3;23;21;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;9;2;8;10;0;0
;;19;Bootsma, N.J.;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0
;;20;van der Doorn, P.D.;18;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
;;21;van Es, L.;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Diepersloot, J.P.;15;0;0;1;1;0;1;2;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Wingerde, R.T.F.A.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;1;1;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;0;0
;;24;van Dijk, H.P.S.;11;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Jarmohamed, M.O.;136;1;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;22;20;13;26;0;4;2;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;16;14;4;0;0;0;0;0
;;26;van Staalduinen, H.M.;70;4;0;2;1;2;1;0;0;0;3;0;1;0;0;1;2;0;0;1;1;19;2;1;3;0;5;4;2;0;3;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;27;Vijverberg, C.A.P.;19;1;0;0;0;1;2;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
;;28;Damen, P.J.M.;35;0;2;0;0;0;0;1;0;0;2;1;0;0;0;1;3;1;7;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;Joosten, R.H.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;30;Geubbels, J.;58;0;2;2;0;0;1;0;0;0;2;0;2;0;0;1;2;5;15;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;3;1;2;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
;;31;Knol, H.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;4;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;32;Hulsebosch, L.J.M.G.;14;1;0;0;1;1;0;0;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;33;van Selow-Voskamp, P.C.;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;1;0;1;0;0;0;3;0;0;0;5;1;4;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;34;Hertogh, G.J.M.;15;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0
;;35;Mosterd, B.P.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;36;Kuiper, P.C.;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;37;Voois, W.J.;21;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;4;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;38;Lefeber, R.;23;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
