Verkiezing;;Gemeenteraad Goeree-Overflakkee 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Goeree-Overflakkee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Oostdam;Dorpstienden;Eben Haëzer;Doopsgezinde Gemeente;De Rank;'t Haegse Huus;De Schakel;De Gooye;Ons Huis;Melishof;Het Diekhuus;Wijkcentrum;Jongeren Activiteiten Centrum (JAC);De Hoeksteen;Vita Nova;De Staver;Exoduskerk;Ons Dorpshuis;Trefpunt;'t Centrum;Bommelstee;'t Buurthuus;De Grutterswei (zaal A);De Grutterswei (zaal C);Dorpstienden (maandag);Dorpstienden (dinsdag);De Schakel (maandag);De Schakel (dinsdag);De Staver (maandag);De Staver (dinsdag);De Grutterswei (maandag);De Grutterswei (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;28;29;30;31;32;33;34;35
Postcode;;;;;3252 AV;3253 AS;3253 VJ;3253 AS;3251 AB;3251 CR;3247 AA;3247 XW;3249 AJ;3248 BE;3241 GA;3241 AA;3241 LH;3241 CR;3245 CP;3245 DL;3245 VB;3244 AL;3243 AP;3257 XM;3258 AW;3256 AH;3255 BS;3255 BS;;;;;;;;
;;15;de Vos, J.;61;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;56;1;1;0;0;0;0;0;0;0;0;0;0
;;16;Pulleman, W.J.;77;0;0;0;0;0;0;2;2;1;0;0;3;1;1;0;1;0;2;2;1;1;0;15;30;0;0;0;0;0;4;3;8
;;17;de Vos, J.E.;28;0;0;0;0;0;1;0;0;0;1;2;5;0;0;7;3;5;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1
;;18;Bogerman, C.M.;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;1
;;19;van Beek, A.A.;61;0;0;0;0;0;0;1;3;55;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Götzenberger, F.H.;69;0;2;3;0;0;1;4;2;1;0;0;3;0;3;1;1;1;4;3;0;3;0;15;9;0;1;1;0;0;2;4;5
;;21;de Vos, J.A.C.;21;0;0;0;0;0;0;0;2;0;0;1;0;8;1;1;2;1;1;0;0;0;0;0;1;0;0;0;3;0;0;0;0
;;22;van der Vliet-de Vos, J.A.M.;23;0;0;0;0;0;0;0;3;2;0;2;0;6;0;3;0;2;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0
;;23;van den Hoek, A.;33;0;0;0;0;0;0;15;4;0;3;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;7;1;0;0;0;0
;;24;Koote, T.;39;4;9;3;1;0;1;0;0;1;1;0;4;1;0;1;4;0;0;2;0;0;0;0;0;0;2;2;0;0;0;3;0
