Verkiezing;;Gemeenteraad Voorschoten 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorschoten;;;;;;;;;;;;;;;;;;;;;
Nummer;;0626;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Kerk Het Kruispunt (A);Stembureau Kerk Het Kruispunt (B);Stembureau Voorhuis Dorpskerk;Stembureau Alettahof (A);Stembureau Alettahof (B);Stembureau Intratuin;Stembureau De Boschbloem (A);Stembureau De Boschbloem (B);Stembureau Bondsgebouw (A);Stembureau Bondsgebouw (B);Stembureau Sporthal De Vliethorst;Stembureau Hotel De Gouden Leeuw;Stembureau BplusC (A);Stembureau BplusC (B);Stembureau Cultureel Centrum;Stembureau De Boschbloem (ma);Stembureau Bondsgebouw (ma);Stembureau De Boschbloem (di);Stembureau Bondsgebouw (di)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;2251 BH;2251 BH;2251 BS;2253 RP;2253 RP;2253 JP;2252 EA;2252 EA;2251 LG;2251 LG;2251 CT;2252 AG;2253 CE;2253 CE;2252 HH;2252 EA;2251 LG;2252 EA;2251 LG
;;4;Bremmer, C.;173;8;5;23;15;9;6;12;10;5;3;10;4;3;2;6;21;12;8;11
;;5;van der Wende-van der Reijden, H.M.;92;6;3;5;2;1;4;4;3;3;3;4;3;1;6;25;2;6;2;9
;;6;van Benschop, B.J.;21;1;3;3;0;1;1;0;0;1;2;3;0;4;0;2;0;0;0;0
;;7;van Horck, B.C.A.;31;2;3;1;2;3;0;0;1;2;0;0;0;2;0;14;0;1;0;0
;;8;Lockhorst, R.;10;1;0;0;0;1;0;0;1;0;0;0;0;2;1;0;1;1;2;0
;;9;de Boks, F.C.;39;0;0;2;1;3;0;0;2;0;2;3;0;6;10;2;2;3;2;1
;;10;Hendriks, G.F.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Zoetemelk, D.C.J.;29;2;0;0;0;3;0;2;3;2;1;7;0;1;0;3;2;1;0;2
;;12;Vos, P.J.J.;4;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0
;;13;Troost, K.V.L.;12;1;1;0;0;0;1;0;3;2;0;0;1;0;0;1;0;0;0;2
;;14;Maan, J.;30;2;0;4;1;0;0;0;1;1;1;5;3;6;3;0;1;0;0;2
;;15;Buis, P.J.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;4
;;16;Meijer, M.A.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;Oosterloo, L.H.J.;13;0;0;0;0;2;0;1;2;0;4;2;0;1;0;0;0;0;0;1
;;18;Loof, J.P.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van der Ploeg, B.A.;11;1;0;0;0;2;2;0;1;1;0;2;0;0;0;1;1;0;0;0
;;20;Scholten, H.W.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Swager, J.;13;0;0;1;1;0;3;0;0;0;0;0;0;0;4;1;1;2;0;0
;;22;Koopstra-Kraal, J.;19;1;0;0;1;1;0;1;3;2;1;1;1;2;1;2;0;0;1;1
;;23;Kranendonk, J.M.;5;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;1;0
;;24;Hoogeveen, L.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;25;Mols, E.M.;22;1;0;3;1;1;2;1;1;1;0;4;0;0;0;5;0;0;2;0
;;26;de Boks-van Kampen, M.G.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
;;27;Snoeker, W.;12;1;1;2;0;0;0;0;3;0;0;1;0;0;0;1;0;0;1;2
;;28;Zoetemelk-van der Hulst, W.A.M.;13;0;0;0;1;1;0;1;0;1;1;0;1;0;0;2;2;0;1;2
;;29;Koopstra, G.A.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
;;30;Berg, J.A.P.M.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;31;Nieuwpoort-Sietses, H.A.;4;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0
