Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis 1;Protestantse kerk “De Hoeksteen”;Sporthal de Lijster;Sportpark 't Slot;Nieuwe Westerkerk;Kringloop Rataplan;CAPSLOC;St. Paulus’ Bekering;Gymzaal Aleoeten;Sportpark Couwenhoek;"Kerkelijk Centrum ""De Oosterkerk"" 1";Tent naast De Horizon Koggerwaard;"Kerkelijk Centrum ""De Oosterkerk"" 2";Buurtcentrum De Trefhoek;Recreatiecentrum De Serre;Het Kinderlab;Sportzaal Schollevaar;Ontmoetingsruimte De Vogeltuinen;Stichting Claypot Community Centre Foundation;Serviceflat Bermensteyn;Wijkcentrum Schollevaar 1;Wijkcentrum Schollevaar 2;Ontmoetingskerk;Kerkgebouw  De Voorhof;Schenkelkerk;Serviceflat Schinckelhove;Buurthuis de Wel;Gymzaal Dorus Rijkersrede;Wijkcentrum De Harp;Gymzaal Berliozstraat;Moriakerk;Lomans Totaalinstallateur;Gemeentehuis 2;Huis van de Wijk Fascinatio;Mobiel stembureau;Gemeentehuis;St. Paulus’ Bekering;"Kerkelijk Centrum ""De Oosterkerk""";"Ontmoetingsruimte ""De Vogeltuinen""";Wijkcentrum Schollevaar;Buurthuis de Wel;Wijkcentrum De Harp;Huis van de Wijk Fascinatio;Gemeentehuis;St. Paulus’ Bekering;"Kerkelijk Centrum ""De Oosterkerk""";"Ontmoetingsruimte ""De Vogeltuinen""";Wijkcentrum Schollevaar;Buurthuis de Wel;Wijkcentrum De Harp;Huis van de Wijk Fascinatio
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;101;108;113;118;122;127;129;134;201;208;213;218;222;227;229;234
Postcode;;;;;2903 AR;2903 AJ;2902 JD;2902 BG;2902 CT;2903 TE;2903 ER;2903 GM;2904 VA;2904 XZ;2905 NP;2904 SC;2905 NP;2905 TW;2905 XT;2907 WD;2907 GG;2908 CC;2908 BG;2907 GH;2907 BD;2907 BD;2907 TK;2907 LA;2906 LA;2906 AA;2906 VK;2901 CL;2901 CN;2901 GA;2901 AJ;2909 VC;2903 AR;2909 VA;;2903 AR;2903 GM;2905 NP;2908 CC;2907 BD;2906 VK;2901 CN;2909 VA;2903 AR;2903 GM;2905 NP;2908 CC;2907 BD;2906 VK;2901 CN;2909 VA
;;19;de Lange, D.A.;14;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2;0
;;20;van Veen, N.C.;38;1;0;0;2;1;0;1;0;0;3;0;3;0;0;0;1;0;0;1;4;1;1;0;2;2;1;0;0;2;1;3;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;1
3;D66;;;2866;62;34;56;84;37;69;25;26;108;86;60;127;31;67;42;65;62;77;33;39;53;65;18;48;57;35;94;34;73;173;81;116;52;179;2;31;13;42;21;27;28;48;32;63;13;47;33;40;30;71;57
;;1;Schelkers, Z.;1026;26;13;16;24;21;23;7;6;60;41;25;40;9;27;21;35;24;39;13;14;17;24;4;17;13;11;41;11;30;63;36;26;15;20;2;12;5;23;9;6;5;11;2;36;12;22;8;16;8;28;9
;;2;Stegeman, J.G.;193;2;3;2;7;0;2;1;2;2;6;1;11;2;5;3;1;1;3;2;2;2;4;1;2;22;6;19;0;1;14;6;6;3;1;0;2;0;1;1;2;13;5;0;6;1;1;3;2;9;2;0
;;3;Feuth, L.;816;21;10;22;31;10;28;8;7;28;24;16;44;9;12;7;19;20;20;10;12;14;22;10;13;12;15;25;11;24;57;25;16;16;24;0;10;4;11;8;10;8;23;6;15;0;15;12;12;8;24;8
;;4;Kuijper, M.;31;1;0;0;0;1;0;1;1;1;2;2;4;0;0;2;0;1;2;1;0;0;2;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0
;;5;Tiesma, H.E.;85;2;0;1;5;0;3;1;3;1;0;2;6;0;2;0;5;0;2;2;3;10;2;0;6;0;0;0;0;0;4;3;6;0;0;0;2;0;0;0;5;0;2;0;0;0;1;3;1;0;2;0
;;6;Pennenburg, A.B.;191;5;2;5;4;2;2;5;3;2;5;5;10;4;11;3;1;7;5;4;4;2;3;2;5;5;1;4;3;5;16;4;5;5;5;0;2;0;2;2;1;1;2;2;4;0;2;4;7;1;5;2
;;7;Hooijkaas, J.;278;1;1;0;4;1;1;0;1;1;2;0;4;1;1;0;1;1;0;0;2;0;0;0;4;1;0;0;2;4;8;0;51;1;119;0;0;1;0;0;2;0;0;21;1;0;0;2;0;0;1;38
