Verkiezing;;Gemeenteraad Alblasserdam 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alblasserdam;;;;;;;;;;;;;;;;;;;
Nummer;;0482;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Damsteen;Stichting De Poort;Zwembad De Blokweer;De Loopplank (IKC De Twijn);Ds. Joannes Beukelmanschool;MFC Maasplein;Sportpark Molenzicht;De Rederij (gemeentehuis);De Havenkerk;De Postduif;De Ontmoetingskerk;De Damsteen;De Loopplank (IKC De Twijn);Sportpark Molenzicht;De Damsteen;De Loopplank (IKC De Twijn);Sportpark Molenzicht
Gebiednummer;;;;;1;3;5;6;7;9;11;12;13;14;15;301;306;311;401;406;411
Postcode;;;;;2951 ED;2951 AK;2951 HL;2951 SC;2951 BZ;2953 CH;2953 BD;2951 ED;2951 CB;2951 XT;2954 PC;2951 ED;2951 SC;2953 BD;2951 ED;2951 SC;2953 BD
;;13;Tahapary, N.;4;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0
;;14;den Boer, A.;4;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0
;;15;de Haan, G.;10;1;0;2;0;0;2;0;3;1;0;1;0;0;0;0;0;0
;;16;de Gruijter, W.;12;0;0;0;2;0;0;4;0;0;0;5;0;0;0;0;0;1
;;17;Louter, D.;16;0;0;2;1;0;1;1;3;3;0;0;2;0;0;0;2;1
;;18;de Gruijter, J.;13;0;2;2;0;0;1;0;1;0;2;2;2;0;0;1;0;0
4;VVD;;;1413;58;105;151;88;30;136;89;143;54;54;170;68;38;47;77;51;54
;;1;Verweij, H.F.;666;33;41;71;47;16;59;38;76;33;19;74;29;23;12;40;34;21
;;2;Barzas, S.;84;0;6;6;4;4;9;5;5;1;8;19;4;1;3;0;1;8
;;3;Dekker, J.M.;189;8;26;17;5;4;15;5;19;2;13;17;10;4;15;19;2;8
;;4;van 't Verlaat-de Kruijf, M.A.G.;174;4;14;15;14;2;19;11;17;6;7;27;9;4;6;8;8;3
;;5;Dame, J.;20;0;1;3;0;0;0;0;0;2;1;6;2;1;1;2;1;0
;;6;Bieren, J.C.E.;68;2;5;9;3;0;19;5;6;1;1;3;4;2;1;2;1;4
;;7;van den Bos, X.;24;0;0;4;6;0;1;8;1;1;0;1;0;0;2;0;0;0
;;8;Verweij, T.;45;1;8;3;2;1;4;4;3;1;1;6;0;2;1;1;1;6
;;9;Smallegange-van Riet, E.J.;38;1;2;4;2;0;3;4;3;1;1;4;7;1;1;3;0;1
;;10;Leeuwis, C.E.J.;25;2;0;5;1;1;3;0;3;0;1;4;0;0;2;0;2;1
;;11;Hogendoorn, A.;25;3;2;7;0;2;0;5;0;0;1;5;0;0;0;0;0;0
;;12;de Gier, F.C.;55;4;0;7;4;0;4;4;10;6;1;4;3;0;3;2;1;2
5;D66;;;1227;47;107;146;77;35;117;61;93;58;49;126;40;50;54;64;36;67
;;1;Pardo Kruidenier, J.R.;501;25;40;57;34;14;45;33;37;23;22;49;19;23;16;25;17;22
;;2;Schook, J.;160;3;12;21;6;2;13;13;13;10;8;14;1;6;6;8;7;17
;;3;de Boer, R.C.;31;1;4;1;2;3;3;3;2;0;1;3;0;0;1;5;0;2
;;4;Tromp, R.;9;1;0;0;0;1;0;0;0;1;2;0;0;0;0;3;0;1
;;5;Stegman, T.L.;407;11;28;51;32;12;47;8;36;15;13;48;16;17;22;20;11;20
;;6;Verwoert, A.;53;3;6;16;1;2;1;2;2;4;1;3;0;2;6;0;0;4
;;7;Tukker, P.J.;21;1;1;0;0;0;6;0;1;5;0;0;2;1;0;3;0;1
;;8;de Lange, P.J.M.;9;1;3;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0
;;9;Vos, W.;18;1;7;0;0;0;2;0;1;0;1;5;0;0;1;0;0;0
;;10;Gijsen, E.;18;0;6;0;1;0;0;2;0;0;1;3;1;1;2;0;1;0
6;ChristenUnie;;;890;53;95;86;58;25;119;30;65;58;32;57;31;46;16;58;26;35
;;1;Sterrenburg, J.K.;542;37;54;48;36;11;72;18;29;35;24;39;25;25;9;39;17;24
;;2;Romeijn, B.;112;7;17;9;6;4;11;1;10;11;3;3;4;6;1;8;5;6
;;3;Heijkoop, J.W.;36;0;8;10;0;1;4;2;1;2;0;3;0;1;1;1;0;2
;;4;van Schijndel, A.;89;4;8;14;5;3;12;3;13;5;3;4;1;4;1;5;2;2
;;5;Groen-de Vries, H.;31;0;3;0;5;4;2;0;5;2;0;0;0;6;0;2;1;1
;;6;van Veen, C.;4;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0
;;7;Sterrenburg, P.J.;3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;8;Bas, J.A.A.;22;0;2;0;2;1;5;0;1;3;0;2;1;3;1;1;0;0
;;9;ter Kuile-Punt, M.J.;37;3;3;3;3;1;10;2;3;0;1;3;0;1;3;1;0;0
;;10;Stam, T.;14;1;0;1;1;0;2;2;2;0;1;2;0;0;0;1;1;0
