Verkiezing;;Gemeenteraad Gorinchem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gorinchem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;De Nieuwe Doelen;Gorcums Museum;De Bazuin;Schoolgebouw De Regenboog;Fortes Lyceum;Sporthal Oosterbliek A;Sporthal Oosterbliek B;Sporthal Oosterbliek C;Buurthuis West;Dorpshuis De Elzenhof;Gemeenschapshuis De Bogerd;Lingewijkgebouw;Gebouw Leger des Heils;Schoolgebouw Anne Frank;Wijkcentrum Rozenobel;Centraal Punt;Schoolgebouw De Rotonde;Schoolgebouw Koelmanschool;Stationshal Gorinchem;Gildenplein;WonenLerenZorggebouw;Brede School Dalemplein;Avres Gorinchem;Woonzorgcentrum Steijndeld;Verpleeghuis Het Gasthuis;Woonzorgcentrum De Schutse;Stadhuis;De Nieuwe Doelen;Dorpshuis De Elzenhof;Gemeenschapshuis De Bogerd;Centraal Punt;Gildenplein;Avres Gorinchem;Stadhuis;De Nieuwe Doelen;Dorpshuis De Elzenhof;Gemeenschapshuis De Bogerd;Centraal Punt;Gildenplein;Avres Gorinchem
;;14;Stienstra-Sondij, A.M.;16;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;2;0;1;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;van Heukelum, H.R.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;16;Smit, M.;14;0;0;0;0;2;0;0;0;0;0;2;0;0;2;1;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;17;Snoek, P.A.J.;21;5;0;1;0;2;0;4;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
;;18;van Hoven, A.W.;16;1;2;1;2;2;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;19;Visser, J.P.F.;12;1;0;0;0;0;0;1;0;1;0;0;1;0;3;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Schouten, D.;7;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
6;CDA;;;1064;53;30;33;34;42;31;50;40;35;31;75;14;26;52;26;18;16;41;32;0;24;54;83;10;3;0;5;20;11;17;7;12;12;6;28;21;22;9;11;19;11
;;1;van der Geest, J.P.;591;41;21;24;25;23;20;25;21;12;11;38;6;10;29;13;9;10;20;14;0;15;32;46;5;1;0;2;15;8;4;3;9;11;4;11;11;11;7;10;10;4
;;2;van Oversteeg, J.;147;5;3;2;0;5;2;4;5;4;4;9;3;6;12;11;4;4;6;2;0;0;3;20;2;1;0;2;3;1;5;1;2;0;0;7;3;3;1;0;2;0
;;3;Heijkoop, C.M.;54;2;2;3;0;4;1;2;0;1;1;3;3;7;1;0;1;0;6;2;0;1;2;2;0;0;0;1;0;0;1;0;0;0;0;2;5;0;0;0;0;1
;;4;Kuijten, P.J.;8;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0
;;5;de Lange, P.C.;8;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;6;van As-van Essen, E.;27;0;0;0;0;3;1;5;4;3;0;0;0;0;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;3
;;7;Bos, J.A.M.;38;1;0;0;4;0;0;4;3;0;2;8;0;0;5;1;0;0;3;1;0;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
;;8;Zwart, D.B.;18;0;0;0;1;1;1;2;0;5;2;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
;;9;den Hartog, A.M.;12;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;van den Bergh, J.;44;1;2;0;0;2;1;0;0;2;2;8;0;1;0;0;2;0;0;3;0;1;0;4;2;0;0;0;0;0;5;1;0;0;0;3;0;3;0;0;0;1
;;11;van der Wal-Greijdanus, J.;23;0;0;4;0;1;1;0;1;0;2;0;0;0;1;1;2;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;12;Klaassen, J.J.;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kraaijveld, G.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;14;Dorland-Both, H.C.;20;0;0;0;0;1;0;1;1;2;2;1;0;0;0;0;0;0;0;2;0;2;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;van de Linde, D.M.;6;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;16;Schenk, J.A.;14;0;1;0;0;0;0;0;1;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;2
;;17;Wirken, C.J.M.;7;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;18;van Wingerden-de Weerdt, C.;10;0;1;0;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Maris-van Exel, N.J.;7;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;20;Onvlee, L.A.;18;1;0;0;0;0;0;2;0;2;0;2;1;0;1;0;0;0;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
7;SP (Socialistische Partij);;;1033;39;44;34;52;64;20;39;40;40;37;28;30;35;33;35;31;19;55;32;0;27;47;22;18;3;1;5;12;26;14;11;2;12;5;33;25;19;7;17;13;7
;;1;Dansen, E.L.;629;24;20;17;24;34;13;28;29;31;26;21;14;18;18;23;24;12;34;16;0;20;29;11;12;3;1;4;7;8;9;10;0;7;5;22;14;11;5;10;9;6
;;2;van Houwelingen, A.C.;58;0;4;4;2;1;1;2;3;3;3;0;2;0;4;4;1;0;1;2;0;0;5;2;2;0;0;0;3;0;1;0;0;2;0;3;1;1;1;0;0;0
;;3;Stevens, D.;141;7;11;5;13;7;1;1;2;1;0;4;10;8;4;6;4;2;5;7;0;6;6;5;1;0;0;0;1;9;1;0;0;2;0;4;6;1;1;0;0;0
;;4;van Aelst, R.;104;3;4;4;4;8;2;7;4;2;3;2;2;6;5;1;2;3;9;3;0;0;4;3;1;0;0;1;1;3;0;0;1;1;0;2;2;3;0;4;4;0
;;5;Foppen, A.H.A.;18;1;0;0;1;0;0;0;0;1;3;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;1;0;2;0;1;0;0
;;6;Otto, E.M.;13;1;0;1;3;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0
;;7;van Andel, P.J.;12;0;0;0;0;6;0;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van der Lee, J.J.;6;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Verheij-Kruis, L.;9;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;10;Stevens, E.;14;2;1;1;1;2;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;11;Sypkens, A.;9;0;1;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;de Goeij, J.;7;0;1;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Zoutewelle, A.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;14;Van der Roest, C.;10;1;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
8;D66;;;1402;67;65;56;50;67;29;26;26;36;31;62;19;33;57;46;122;19;70;61;1;30;27;75;28;1;0;0;23;27;14;11;16;9;10;56;40;17;11;33;14;17
;;1;Tekir, I.;715;33;22;21;24;21;15;13;12;16;10;22;10;16;22;31;90;13;44;48;1;13;13;30;13;1;0;0;14;11;4;6;13;7;5;25;21;8;5;27;8;7
;;2;Alba Heijdenrijk, W.T.J.;339;17;17;17;11;28;11;8;9;11;15;27;3;8;13;9;3;5;12;6;0;7;8;28;8;0;0;0;7;4;5;3;1;0;3;11;9;4;3;1;4;3
;;3;van der Meijden, T.I.;62;2;3;4;1;3;1;0;0;2;3;1;1;3;3;1;1;0;6;2;0;2;2;4;0;0;0;0;1;3;0;0;1;0;2;2;3;1;1;0;1;2
;;4;Hassouna, M.S.;49;2;8;1;3;1;0;1;2;0;0;2;2;3;1;1;3;0;1;0;0;0;2;1;3;0;0;0;1;1;2;0;0;0;0;6;0;0;0;0;0;2
;;5;El Mobarek, I.E.M.;62;4;2;3;1;2;2;1;0;3;2;2;1;0;5;3;19;0;0;0;0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0
;;6;Mion, G.E.;15;1;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;1;0;0;1
;;7;Le Noble, R.H.C.;24;2;7;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;1;0
;;8;Lemmen, M.;41;2;2;1;2;1;0;2;1;2;0;1;0;1;5;1;0;1;1;1;0;0;1;1;0;0;0;0;0;4;1;0;0;0;0;3;4;1;1;0;0;1
;;9;Alba Heijdenrijk, F.;7;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;ter Brugge, R.;12;1;0;1;3;1;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Yildiz, K.K.;15;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;1;0;0
;;12;Ouwenbroek, A.S.;33;1;0;1;1;3;0;0;1;1;0;4;0;0;1;0;0;0;1;2;0;2;0;6;2;0;0;0;0;0;1;0;0;0;0;1;1;3;0;0;0;1
;;13;Timp, P.P.J.M.;11;0;1;3;0;1;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;14;Osseweijer, C.J.N.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van der Werff, J.W.;14;0;0;0;0;1;0;0;1;0;1;0;0;0;4;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
9;Gorcum Actief;;;1448;91;48;34;67;59;48;48;49;44;58;37;28;64;66;54;47;23;65;44;0;40;61;62;32;1;0;0;27;30;15;11;5;16;13;54;32;14;20;16;16;9
;;1;Hamann, E.W.H.;889;58;32;26;44;39;29;31;23;29;34;19;17;36;49;35;22;14;37;23;0;22;48;31;17;1;0;0;18;18;11;8;2;8;8;27;28;9;12;7;12;5
;;2;Bahlmann, B.C.S.;179;11;7;1;4;7;5;4;7;7;8;7;1;8;5;8;3;2;6;8;0;3;5;13;6;0;0;0;3;6;2;0;3;5;3;10;0;4;2;2;0;3
;;3;Bergman, R.;62;4;2;0;2;1;1;1;2;3;6;0;4;2;1;1;3;2;2;1;0;11;0;1;1;0;0;0;1;3;0;0;0;1;0;2;1;0;2;0;1;0
;;4;Twickler, V.;77;2;2;0;1;3;2;2;3;2;1;0;2;5;4;5;7;3;7;3;0;1;2;1;4;0;0;0;0;1;0;1;0;2;2;5;0;0;1;1;1;1
;;5;Pellikaan, P.A.;37;1;1;1;1;1;0;0;2;1;4;0;1;1;3;0;1;0;4;1;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;3;1;0
;;6;Pelin, A.;27;1;1;1;1;0;2;0;1;0;0;1;1;0;1;1;0;0;2;2;0;0;2;1;2;0;0;0;0;1;2;0;0;0;0;1;0;0;1;2;0;0
;;7;van der Lee, G.J.;98;11;3;2;10;7;4;7;6;2;3;0;2;2;0;1;8;2;6;5;0;0;0;5;1;0;0;0;3;1;0;0;0;0;0;4;2;0;0;0;1;0
;;8;D'Rose, L.A.;25;2;0;1;2;0;5;1;2;0;1;0;0;0;1;1;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
;;9;van de Pol, D.;7;0;0;1;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Seijdel, M.D.;12;1;0;1;0;0;0;1;0;0;0;2;0;2;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;van der Meijden, M.G.;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Cloostermans, M.J.T.M.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Rooij, D.R.F.;17;0;0;0;2;0;0;1;3;0;0;3;0;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;14;Gerssen, P.;9;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0
10;JEZUS LEEFT;;;81;3;5;2;1;3;2;2;2;5;3;1;3;2;3;7;10;5;1;4;1;2;1;0;0;0;0;0;0;2;0;1;0;0;0;2;1;3;0;2;0;2
;;1;de Visser, W.;68;2;2;0;1;3;2;2;2;5;3;1;3;2;2;5;9;4;1;3;1;2;1;0;0;0;0;0;0;2;0;0;0;0;0;2;1;3;0;2;0;2
;;2;Vroon, D.A.;13;1;3;2;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
11;Zorg Voor Gorkum;;;407;14;16;14;15;52;16;8;25;18;14;14;11;5;13;8;7;7;17;14;0;12;16;13;4;0;1;0;2;4;6;5;2;4;4;14;2;8;2;5;10;5
;;1;van Mourik, H.J.;245;5;10;7;5;20;10;2;18;8;10;8;10;1;9;3;5;5;13;8;0;7;10;8;3;0;1;0;2;4;6;4;1;3;2;13;0;7;1;4;7;5
;;2;van den Hoven, R.A.;28;3;0;1;1;9;2;2;0;1;1;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
;;3;Timmermans, J.;13;1;1;0;0;0;0;0;1;2;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;4;van der Laan-van Herk, A.H.F.;64;5;3;3;7;13;2;4;4;4;3;1;0;2;2;0;0;0;0;1;0;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
;;5;Smit, A.M.D.;8;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Koch, M.;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Wijkniet, M.;19;0;1;1;0;1;1;0;0;1;0;4;0;2;0;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
;;8;Benjamins, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Boogaard, E.;12;0;1;1;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Grootveld, P.A.;8;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
;;11;Hofland, M.;8;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
