Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Drie Lelies;Sporthal Kees Verkerk;'t Huys te Hoecke;'t Weegje;Evangelische Kerk Ezra;V.V. 's-Gravendeel;Ons Gebouw;De Erve;De Tienvoet;Gymzaal Westmaas;Dorpshart;TC De Binnenmaas;Ontmoetingscentrum;Sportzaal Duyvesteyn;Gemeentehuis Maasdam;Het Numans-Dorps-huis;De Hoeksteen Numansdorp;De Ark Numansdorp;De Voorhof;Tuindorp;NLS gebouw;De Bongerd;MFA De Wurf;De Ark Zuid-Beijerland;De Eendrachtshoeve;Rehoboth;De Swaensvoet;De Hoeksteen Nieuw-Beijerland;Gemeentehuis Oud-Beijerland;Maranatha;Rembrandt;Korbatjo;De Boogerd;De Gravin;CBS De Hoeksteen;De Open Waard;Wijkgebouw;Paviljoen De Oude Tol;De Zuidwester;Bethelkerk;Salvatori;Verenigingsgebouw Mookhoek;Verenigingsgebouw Strijensas;Dorpshuis Streona;De Hoge Weide;14-3 Ons Gebouw;14-3 Dorpshart;14-3 Gemeentehuis Maasdam;14-3 De Voorhof;14-3 MFA De Wurf;14-3 Gemeentehuis Oud-Beijerland;14-3 De Gravin;14-3 Dorpshuis Streona;15-3 Ons Gebouw;15-3 Dorpshart;15-3 Gemeentehuis Maasdam;15-3 De Voorhof;15-3 MFA De Wurf;15-3 Gemeentehuis Oud-Beijerland;15-3 De Gravin;15-3 Dorpshuis Streona;14-3 NLS gebouw;14-3 De Eendrachtshoeve;14-3 De Swaensvoet;15-3 NLS gebouw;15-3 De Eendrachtshoeve;15-3 De Swaensvoet;14-3 Verkiezingsbus Oost;14-3 Verkiezingsbus West;15-3 Verkiezingsbus Oost;15-3 Verkiezingsbus West;Verkiezingsbus Oost;Verkiezingsbus West;Drive-through Noord;Drive-through Zuid
Gebiednummer;;;;;1;2;3;4;5;7;9;11;12;13;14;15;16;17;18;22;23;24;25;26;27;28;31;32;33;34;35;36;41;42;43;45;46;47;48;49;50;51;52;53;61;62;63;65;67;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;98;99;100;101;102;103;104;105;106;107;108;109;110;111
Postcode;;;;;3297 AM;3297 TB;3297 SE;3295 CT;3295 AD;3295 KK;3295 BN;3274 AK;3274 BN;3273 AL;3271 SH;3271 AH;3299 AP;3299 BS;3299 XG;3281 LK;3281 JH;3281 AW;3281 XP;3281 CV;3286 VT;3286 VR;3265 BT;3284 KJ;3284 XR;3267 AK;3264 AL;3264 AJ;3262 GM;3262 PG;3262 HW;3263 RK;3261 BG;3261 AZ;3263 BP;3262 DA;3261 EJ;3263 RA;3261 SJ;3261 WB;3291 AT;3293 AJ;3292 AB;3291 TP;3291 DA;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3286 VT;3284 XR;3264 AL;3286 VT;3284 XR;3264 AL;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3274 KE;3281 KV
;;24;Izelaar, W.;47;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0;0;2;0;0;0;1;25;2;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;2;0;0;0;0;0;0
;;25;Vis, M.G.;25;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;1;1;0;2;1;3;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4;VVD;;;4649;96;58;57;96;31;65;86;61;109;119;130;100;117;72;93;92;85;80;145;79;95;33;59;83;87;46;60;56;66;89;75;34;97;51;70;52;87;69;102;154;108;26;31;149;108;33;62;27;39;18;41;27;41;37;99;56;64;14;50;41;89;29;6;15;32;24;34;10;14;4;10;18;10;20;27
;;1;de Man, A.P.;2283;50;39;31;47;14;23;31;30;55;72;54;36;53;25;44;38;25;41;51;38;46;19;26;44;41;24;23;26;30;49;38;17;41;26;27;27;36;44;51;62;77;15;17;110;71;16;31;15;19;10;24;15;22;13;45;28;30;5;19;25;62;12;4;6;13;15;16;6;10;1;4;5;5;9;14
;;2;Sibrijns, O.W.J.;669;14;5;7;9;1;9;8;7;10;14;9;9;7;11;12;36;32;31;68;28;15;1;6;12;18;7;10;7;12;10;6;3;13;2;7;3;10;2;12;26;4;2;6;17;8;1;5;2;9;1;1;1;2;2;6;5;21;0;8;1;11;7;0;1;11;2;6;1;2;0;3;3;2;2;7
;;3;Croonenberg, R.M.;202;2;1;1;2;0;0;0;1;1;2;1;4;2;0;0;0;3;0;3;1;0;0;0;2;2;1;4;1;3;9;9;7;20;10;17;11;14;12;9;18;1;0;0;0;1;0;0;0;0;0;4;4;0;0;1;1;0;0;5;5;0;1;0;0;0;1;0;0;0;0;1;0;1;2;1
;;4;Niemantsverdriet, L.V.M.;275;17;8;10;4;1;4;0;4;4;4;7;5;42;28;21;2;2;0;2;1;2;3;1;0;5;3;0;3;1;3;4;1;0;1;0;0;2;1;1;8;0;2;0;2;4;4;1;6;0;0;3;0;3;0;9;16;0;0;3;0;0;2;0;0;1;1;0;1;0;1;0;8;0;2;1
;;5;Filak, M.;161;1;0;1;14;3;14;24;0;1;1;3;1;2;0;4;1;0;1;5;0;1;1;1;0;1;1;0;0;0;0;3;1;3;0;0;0;0;0;0;1;10;1;2;11;3;3;0;1;2;0;2;0;2;17;2;4;1;0;1;0;7;0;1;0;0;0;0;0;0;1;0;0;0;1;0
;;6;Boorsma-Ruitenberg, M.C.M;144;1;1;2;4;0;2;1;0;1;3;4;3;2;3;0;1;1;0;1;0;5;2;12;2;4;7;5;10;2;1;3;2;3;3;2;1;4;2;2;2;2;1;2;1;4;1;1;2;0;2;0;0;1;0;4;0;1;6;0;0;1;0;0;5;0;2;2;0;1;0;0;1;0;0;0
;;7;Filee, G.;60;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;7;0;3;0;5;2;4;3;6;6;1;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Stapper, G.J.;42;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;2;3;1;1;1;4;2;0;0;6;0;3;6;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Teyhoff, M.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;1;0;0;0;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van der Burg, K.;40;0;0;0;0;0;0;0;8;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;11;Roubos, M.J.H.;21;2;1;0;3;4;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;12;van Boven, I.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Hoek, L.P.;25;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;5;1;0;2;1;0;0;1;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Timmerman, M.;35;1;0;0;0;0;0;0;0;0;15;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;15;van der Meer, L.H.;17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;16;Hoogwerf, H.;41;1;0;0;4;6;10;8;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;17;Vakeel Almdary, R.;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Karenbeld, A.G.J.;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;3;0;0;0;0;0;0;0;0;1;2
;;19;van Die, G.J.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Gijben, S.P.L.;41;3;0;0;0;0;0;0;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;2;0;0;0;2;0;1;0;1;0;6;4;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;21;Bonthuis, S.D.;55;0;0;0;0;0;0;0;1;5;0;6;4;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;4;2;0;0;3;0;1;1;5;0;3;4;0;0;0;0;0;0;2;0;0;0;2;1;0;0;3;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Schreuder, C.A.M.;50;0;0;0;0;0;0;0;2;0;0;18;7;0;0;0;1;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Verhoeve, M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Krieger-van der Meulen, M.A.;59;1;1;3;2;0;0;0;0;0;4;9;9;2;0;3;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;0;0;0;1;0;8;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Snijders, G.;47;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;5;0;2;0;0;0;0;14;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0
;;26;Noortman, H.J.;22;0;0;0;0;0;0;0;0;0;0;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Franken, B.M.;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0
;;28;Heij, R.S.;92;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;10;12;5;7;5;9;1;0;8;0;0;1;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;2;0;1;0;8;0;0;0;0;0;2;0;6;0;1;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1
;;29;Göbel-den Hoed, L.;26;0;0;0;0;0;0;0;7;9;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;30;Reijnierse, J.;17;0;0;2;0;0;0;0;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;31;Kuipers, A.J.;39;0;0;0;1;0;0;0;0;0;0;0;0;2;5;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;3;1;7;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Groenhoff, E.;21;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;33;de Jager, L.;14;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;34;Warnar, H.;43;2;1;0;5;2;1;11;0;0;0;3;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
5;D66;;;2113;66;57;51;41;19;28;24;27;28;65;92;45;35;21;36;30;29;29;46;24;49;28;21;23;32;17;23;21;58;35;61;20;42;22;63;57;50;29;35;66;34;17;16;49;27;18;24;13;18;12;20;27;12;14;28;25;23;5;37;16;26;15;2;4;16;13;10;0;8;2;3;7;4;8;15
;;1;Raijer, C.;911;45;44;40;26;7;14;10;14;10;27;19;14;20;15;32;12;9;10;17;14;6;6;8;13;16;7;6;8;19;8;18;8;19;11;18;13;18;14;16;18;22;11;6;23;15;13;14;8;9;3;10;14;8;7;9;19;10;2;8;3;11;3;2;1;5;5;1;0;2;1;2;5;1;2;7
;;2;Booman, P.L.;130;2;0;2;0;1;0;1;0;2;0;0;1;1;0;0;3;1;1;0;0;1;1;2;0;0;1;0;1;7;7;21;2;10;2;4;8;5;4;4;10;1;0;0;0;0;0;0;0;3;0;2;4;0;0;0;1;0;1;7;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1
;;3;van Diest, M.;159;2;1;1;2;1;0;2;2;3;4;1;4;1;0;2;2;5;4;3;0;0;3;3;0;3;0;0;0;7;7;4;3;3;2;24;18;6;3;6;4;3;0;0;4;0;1;0;0;0;0;0;2;0;0;1;0;0;0;5;2;2;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;4;den Tuinder-van Meteren, M.;508;6;8;7;10;8;10;9;1;6;19;18;7;8;4;1;11;9;9;21;9;29;11;2;4;4;4;5;1;18;8;10;2;8;3;11;15;15;5;8;24;2;6;1;12;8;3;5;0;5;0;4;4;2;5;6;5;11;2;11;4;9;8;0;1;5;3;2;0;5;1;1;1;1;3;4
;;5;Pompe, J.I.M.;36;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;9;4;3;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;6;le Clercq, M.;133;3;1;1;1;0;4;1;1;0;8;49;0;3;0;1;0;1;0;4;0;3;0;1;1;1;1;1;1;4;0;2;2;0;2;0;0;1;2;1;1;2;0;0;5;1;1;4;0;0;1;1;0;0;1;11;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
;;7;Poutsma, F.;31;0;0;0;0;0;0;0;0;0;1;0;17;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;de Ronde, D.;63;3;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;1;0;0;0;0;3;0;0;3;10;9;0;1;0;0;1;0;0;1;1;0;0;4;0;0;0;0;0;0;1;0;0;8;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;5;0;1;0;0;0;1;1;0
;;9;Stuurman, J.H.;24;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Westerman, A.H.;18;0;2;0;0;0;0;0;8;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Riedijk, P.R.;25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0
;;12;Westerman-Spitters, M.;33;2;0;0;2;0;0;0;1;2;4;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;2;0;0;1;1;0;4;1;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;den Tuinder, B.;11;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
;;14;Groenenboom, L.;31;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;1;0;0;0;0;1;0;4;8;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;1;0;0
6;GROENLINKS;;;2282;59;43;37;47;16;29;19;23;56;82;67;33;37;33;29;37;33;21;47;26;38;17;23;67;84;26;24;17;51;29;38;38;21;26;49;92;49;38;41;70;51;25;16;63;58;13;15;14;15;7;17;9;28;15;19;11;18;4;49;29;36;12;11;2;23;43;6;5;8;3;5;14;5;15;6
;;1;Rietvelt, V.S.;847;13;16;13;14;7;8;9;7;23;31;12;10;9;2;6;17;14;10;21;10;14;4;12;49;57;9;11;8;15;9;11;21;7;12;16;31;21;13;13;22;16;10;7;10;13;3;8;7;8;4;4;5;7;5;4;3;9;1;23;7;7;3;10;2;7;32;3;1;5;0;2;4;2;7;1
;;2;Heimans, T.;802;27;14;11;11;4;9;4;10;20;31;27;13;26;26;15;15;12;9;21;11;10;8;8;4;14;13;8;5;24;11;18;9;4;9;19;29;11;8;16;32;16;10;6;23;18;3;4;5;4;3;8;3;9;5;10;6;7;3;14;12;12;4;0;0;6;5;1;3;3;1;2;8;3;5;4
;;3;Raaijen, T.B.;63;11;10;12;0;1;0;0;0;4;7;2;0;0;2;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Noordzij, K.;70;0;0;0;3;0;0;0;0;2;5;19;5;0;0;0;3;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;1;0;6;3;1;3;0;0;0;0;0;0;0;2;1;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;5;Hebing-Visseren, L.D.C.;102;1;0;0;0;0;0;0;5;3;5;1;1;0;0;1;0;2;1;2;3;2;0;2;9;11;3;3;2;1;1;1;1;2;3;1;5;3;3;1;2;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4;1;0;2;1;0;4;4;0;0;0;0;0;0;0;0;0
;;6;van Rikxoort, N.;52;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;1;0;3;1;2;9;5;5;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;7;Legierse, M.;23;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;1
;;8;Adelmund, E.R.J.K.J.;14;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Butter, A.;81;2;0;0;0;1;1;0;0;1;1;4;0;1;1;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;9;2;1;14;16;0;0;0;0;0;0;0;9;0;0;0;1;0;1;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Gunnewegh, W.;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Hol, S.;72;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;4;3;4;4;4;1;4;13;3;5;8;3;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0
;;12;Kruit, A.;15;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Menting, H.M.;56;1;0;0;15;3;10;5;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;14;Slooff, M.C.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Smeets, C.R.J.;52;1;3;1;2;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;2;4;0;1;8;8;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;4;0;0;0;1;1;0;0;0;0;1;0;0;0;0
;;16;Bussing, D.C.;18;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
7;ChristenUnie;;;2408;46;40;29;85;40;48;77;60;31;61;32;26;26;21;25;19;16;15;28;17;41;23;22;34;25;33;25;46;74;84;70;21;80;60;54;64;44;69;41;71;97;32;4;50;70;22;13;13;12;3;31;13;9;32;21;21;14;22;41;21;29;13;5;11;17;15;16;7;10;0;3;6;6;3;3
;;1;Vervelde-Tuk, A.F.;1245;25;18;15;39;12;27;33;20;14;39;13;7;19;15;8;14;13;11;20;8;21;16;10;18;13;18;14;24;43;55;42;6;44;40;24;35;26;45;22;46;28;12;2;10;25;8;9;7;9;1;18;10;0;14;13;5;6;12;19;13;18;8;3;6;11;5;16;6;6;0;2;2;5;1;3
;;2;Steen, H.E.;174;3;1;0;7;1;1;5;30;7;7;2;7;1;2;7;2;0;1;0;2;5;2;2;1;3;0;2;7;3;0;3;1;5;0;2;2;2;7;3;3;0;3;0;1;0;0;2;2;0;0;1;0;0;6;1;5;0;0;1;0;4;2;0;1;2;2;0;0;0;0;0;0;0;2;0
;;3;van Westen, J.;163;2;1;0;7;2;8;3;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;51;5;2;21;25;2;0;0;3;0;0;1;6;0;0;1;2;2;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;4;Hensen, J.J.;188;1;1;0;0;1;0;1;2;3;1;0;0;0;0;0;1;0;2;0;0;0;0;3;0;3;0;5;7;12;15;11;6;20;10;10;13;7;4;11;8;2;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;3;0;9;4;0;0;0;2;0;0;0;0;1;0;0;1;1;0;0
