Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Drie Lelies;Sporthal Kees Verkerk;'t Huys te Hoecke;'t Weegje;Evangelische Kerk Ezra;V.V. 's-Gravendeel;Ons Gebouw;De Erve;De Tienvoet;Gymzaal Westmaas;Dorpshart;TC De Binnenmaas;Ontmoetingscentrum;Sportzaal Duyvesteyn;Gemeentehuis Maasdam;Het Numans-Dorps-huis;De Hoeksteen Numansdorp;De Ark Numansdorp;De Voorhof;Tuindorp;NLS gebouw;De Bongerd;MFA De Wurf;De Ark Zuid-Beijerland;De Eendrachtshoeve;Rehoboth;De Swaensvoet;De Hoeksteen Nieuw-Beijerland;Gemeentehuis Oud-Beijerland;Maranatha;Rembrandt;Korbatjo;De Boogerd;De Gravin;CBS De Hoeksteen;De Open Waard;Wijkgebouw;Paviljoen De Oude Tol;De Zuidwester;Bethelkerk;Salvatori;Verenigingsgebouw Mookhoek;Verenigingsgebouw Strijensas;Dorpshuis Streona;De Hoge Weide;14-3 Ons Gebouw;14-3 Dorpshart;14-3 Gemeentehuis Maasdam;14-3 De Voorhof;14-3 MFA De Wurf;14-3 Gemeentehuis Oud-Beijerland;14-3 De Gravin;14-3 Dorpshuis Streona;15-3 Ons Gebouw;15-3 Dorpshart;15-3 Gemeentehuis Maasdam;15-3 De Voorhof;15-3 MFA De Wurf;15-3 Gemeentehuis Oud-Beijerland;15-3 De Gravin;15-3 Dorpshuis Streona;14-3 NLS gebouw;14-3 De Eendrachtshoeve;14-3 De Swaensvoet;15-3 NLS gebouw;15-3 De Eendrachtshoeve;15-3 De Swaensvoet;14-3 Verkiezingsbus Oost;14-3 Verkiezingsbus West;15-3 Verkiezingsbus Oost;15-3 Verkiezingsbus West;Verkiezingsbus Oost;Verkiezingsbus West;Drive-through Noord;Drive-through Zuid
Gebiednummer;;;;;1;2;3;4;5;7;9;11;12;13;14;15;16;17;18;22;23;24;25;26;27;28;31;32;33;34;35;36;41;42;43;45;46;47;48;49;50;51;52;53;61;62;63;65;67;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;98;99;100;101;102;103;104;105;106;107;108;109;110;111
Postcode;;;;;3297 AM;3297 TB;3297 SE;3295 CT;3295 AD;3295 KK;3295 BN;3274 AK;3274 BN;3273 AL;3271 SH;3271 AH;3299 AP;3299 BS;3299 XG;3281 LK;3281 JH;3281 AW;3281 XP;3281 CV;3286 VT;3286 VR;3265 BT;3284 KJ;3284 XR;3267 AK;3264 AL;3264 AJ;3262 GM;3262 PG;3262 HW;3263 RK;3261 BG;3261 AZ;3263 BP;3262 DA;3261 EJ;3263 RA;3261 SJ;3261 WB;3291 AT;3293 AJ;3292 AB;3291 TP;3291 DA;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3286 VT;3284 XR;3264 AL;3286 VT;3284 XR;3264 AL;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3274 KE;3281 KV
;;2;Blaak - van de Lagemaat, J.H.;600;27;11;15;15;4;3;7;12;13;13;7;12;44;18;17;10;8;3;4;6;1;6;6;17;8;13;11;12;15;6;5;1;8;7;3;10;9;10;8;9;13;11;2;20;4;9;5;15;1;1;8;2;11;12;6;10;2;2;9;2;9;0;2;0;4;7;2;3;3;1;0;4;1;4;1
;;3;Rijken, P.J.;121;1;3;0;4;0;6;8;0;5;39;1;0;0;0;0;0;2;1;1;3;0;1;0;0;3;1;0;0;2;0;0;0;1;3;2;1;0;1;1;1;0;1;1;0;2;2;3;1;0;0;3;2;0;5;5;2;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;4;Valkenburg, A.W.J.;187;0;1;0;0;0;1;2;0;0;2;0;1;0;1;2;1;2;4;1;0;0;0;3;3;4;1;0;0;7;12;14;4;13;10;6;9;19;16;7;14;0;0;0;1;0;1;0;0;2;1;7;0;0;0;0;0;0;1;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Kuipers-van Nugteren, J.;296;1;4;4;12;9;1;8;1;2;1;3;0;4;1;2;0;0;3;0;2;2;1;1;1;1;1;0;0;0;2;1;0;1;0;1;1;1;1;4;0;43;7;11;42;27;7;1;2;0;0;0;2;30;6;1;1;0;0;1;0;27;0;0;0;3;0;0;1;0;6;0;0;1;0;0
;;6;van der Meer, P.;532;1;3;0;1;2;0;1;0;2;1;4;2;2;0;1;92;78;53;65;69;9;11;2;13;4;1;0;0;1;4;4;1;0;0;1;0;4;1;1;2;0;0;0;2;0;1;2;1;32;0;1;0;0;3;1;1;33;0;0;4;1;3;0;0;4;3;0;0;0;0;0;1;0;1;2
;;7;Niemansverdriet, B.J.;394;10;5;2;2;1;1;6;9;4;19;5;2;6;10;1;6;2;13;7;9;9;5;8;10;17;6;1;1;0;2;4;15;7;0;1;1;2;0;0;4;25;28;35;12;12;0;0;0;4;0;8;1;8;0;2;1;7;0;1;3;10;4;1;0;1;1;2;0;0;9;0;0;0;0;6
;;8;Koning, J.E.M.;143;0;2;1;4;0;0;3;0;4;10;2;1;1;0;1;3;3;0;0;0;3;1;0;0;1;1;1;0;6;12;5;4;7;2;5;8;6;4;5;10;0;2;0;0;1;0;3;0;0;0;2;1;0;0;0;0;1;0;4;5;0;0;3;0;0;1;0;1;0;0;0;0;3;0;0
;;9;Meijer, H.K.;64;7;6;3;3;2;0;0;0;0;0;1;0;2;10;5;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;1;0;7;0;2;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;10;Stehouwer, L.B.C.;32;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;3;5;1;2;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;11;Heemskerk, M.W.;77;0;0;1;2;0;0;0;0;0;1;1;0;0;1;0;16;0;11;7;6;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;14;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;12;Gravendeel, A.C.;79;2;0;4;0;0;0;0;0;0;1;15;19;0;0;2;0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Almazán-de Vries, N.;18;1;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Kegel, C.A.;105;2;0;2;25;10;9;26;3;0;3;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;5;0;1;0;0;0;0;0;4;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Zwijgers, A.A.;79;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;5;2;1;15;21;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;12;0;0;0;0;0;0;0;1;1
;;16;Hensen, A.A.;71;4;0;1;0;0;0;1;0;0;0;0;0;4;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;1;0;13;10;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;1;0
;;17;Oostveen, J.M.;22;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
