Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sint Jorisparochie;Gymzaal P.C. Hooftstraat;Gasterij de Ontmoeting;Sporthal De Wissel;Kerk de Levensbron;Trefpunt Oost;Wilhelminakerk;WVC Slikkerveer;Muziekvereniging Harmonie Slikkerveer;Boezemkerk;WVC Bolnes;De Klinker;Kerk PG Bolnes;De Korenbloem;Opstandingskerk Rijsoord;Kerk Rijsoord;Sporthal Drievliet;Sionskerk;Clubgebouw Rowdies;Verpleeghuis Salem;'t Ronde Sant;Gymzaal naast OBS de Piramide;Christus is Koningkerk;Ichthuskerk;Goede Herderkerk;Gemeentehuis MAANDAG;Wilhelminakerk MAANDAG;Opstandingskerk Rijsoord MAANDAG;Clubgebouw Rowdies MAANDAG;Gemeentehuis DINSDAG;Wilhelminakerk DINSDAG;Opstandingskerk Rijsoord DINSDAG;Clubgebouw Rowdies DINSDAG
Gebiednummer;;;;;1;2;3;4;5;6;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;101;109;118;122;201;209;218;222
Postcode;;;;;2981 EA;2982 PE;2985 BK;2982 BD;2982 CM;2985 BV;2985 CG;2983 SH;2983 AT;2983 CL;2987 AK;2987 CR;2987 AV;2987 AK;2989 AW;2988 BB;2988 BA;2986 GK;2984 BW;2986 AE;2986 AZ;2984 GK;2981 AX;2983 HK;2986 GH;2982 BT;2981 EA;2983 SH;2988 BB;2986 AE;2981 EA;2983 SH;2988 BB;2986 AE
;;18;van Eijsden, A.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Beverloo, J.;8;1;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kranendonk, P.;67;0;6;0;4;0;4;0;2;0;0;0;3;0;0;0;9;4;0;0;1;0;1;3;6;4;0;1;0;7;0;3;6;3;0
4;Echt voor Ridderkerk;;;1571;76;41;10;60;18;59;94;48;51;84;38;137;64;49;17;42;28;43;28;22;12;78;23;58;131;25;62;15;10;14;78;19;10;27
;;1;van Vliet, C.;1145;48;25;9;46;15;46;68;33;36;60;31;92;47;37;13;33;22;29;20;17;9;53;18;38;96;24;43;10;9;11;57;18;9;23
;;2;Kloos, J.W.;72;7;2;1;4;0;2;3;3;1;2;0;9;2;1;1;0;1;2;1;2;0;5;1;7;6;0;3;2;0;0;4;0;0;0
;;3;van de Wege- van der Does de Bye, T.;70;5;2;0;3;0;0;6;2;2;1;1;3;2;2;0;1;1;3;2;1;1;9;0;2;13;0;5;0;1;0;1;0;0;1
;;4;Žigić, E.;78;4;8;0;0;0;2;4;4;4;9;1;11;3;3;0;3;1;3;0;0;0;3;0;4;2;1;3;1;0;0;1;0;0;3
;;5;van Loon, J.R.;38;3;0;0;2;0;3;3;1;1;2;1;2;0;4;1;1;0;1;0;1;0;0;0;1;1;0;3;2;0;0;4;1;0;0
;;6;Schop, Q.;26;4;1;0;1;0;3;0;1;1;2;2;2;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;3;0;0;0
