Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Oude Kerk;Stembureau Basisschool Sint Maarten;Stembureau Oranjehoek;Stembureau Wijkgebouw De Boot;Stembureau Wijkcentrum Agora;Stembureau Wijkcentrum Agora (2);Stembureau Jezus geeft rust;Stembureau Basisschool De Parachute;Stembureau Basisschool De Parachute (2);Stembureau Maartenshal;Stembureau Maartenshal (2);Stembureau Koningkerk;Stembureau Wijkcentrum de Groene Loper;Stembureau KindCentrum Cascade;Stembureau Sporthal Essesteijn;Stembureau Wijkgebouw Essesteijn;Stembureau Servicecentrum Leidschendam;Stembureau Servicecentrum Leidschendam (2);Stembureau Wijkgebouw De Blauwe Tram;Stembureau Wijkgebouw Het Koophuys;Stembureau Wijkgebouw Ons Tolhuis;Stembureau Dienstencentrum Duivenvoorde;Stembureau Wijkcentrum De Plint;Stembureau Wijkgebouw De Heuvel;Stembureau Gymnastieklokaal;Stembureau Sportcentrum De Fluit - Zij ingang;Stembureau De Binnenhof;Stembureau Trinity Church;Stembureau Ad Hoc;Stembureau Dorpspunt;Stembureau WZH Prinsenhof;Stembureau WZH Schoorwijck;Stembureau WZH Vliethof;Stembureau WZH Het Anker;Stembureau Woonzorgcentrum De Mantel;Stembureau Wijkcentrum Agora (MA);Stembureau Wijkcentrum de Groene Loper (MA);Stembureau Wijkgebouw Ons Tolhuis (MA);Stembureau Gemeentehuis Leidschendam (MA);Stembureau Dorpspunt (MA);Stembureau Wijkcentrum Agora (DI);Stembureau Wijkcentrum de Groene Loper (DI);Stembureau Wijkgebouw Ons Tolhuis (DI);Stembureau Gemeentehuis Leidschendam (DI);Stembureau Dorpspunt (DI)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
Postcode;;;;;2271 CC;2271 EP;2271 SJ;2272 AN;2275 CZ;2275 CZ;2274 JW;2274 TZ;2274 TZ;2274 KX;2274 KX;2273 KR;2273 VD;2273 CS;2272 EB;2272 EB;2264 BM;2264 BM;2265 CA;2266 KN;2266 CN;2261 AN;2263 GZ;2262 EB;2264 KW;2262 ED;2266 AS;2261 ET;2261 ZB;2266 HA;2263 AA;2265 WZ;2271 CW;2273 AG;2272 BV;2275 CZ;2273 VD;2266 CN;2264 BM;2266 HA;2275 CZ;2273 VD;2266 CN;2264 BM;2266 HA
;;16;van Veen, A.G.;42;2;3;3;1;9;3;0;0;0;2;1;3;0;0;1;1;1;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;2;1;0;2;0
;;17;Eleveld, B.;80;0;2;0;8;1;0;0;0;1;1;0;4;0;0;3;1;4;2;4;2;4;1;5;1;5;2;7;2;3;1;0;0;0;0;0;2;0;0;0;0;1;4;1;8;0
;;18;Snelle, B.;35;6;0;2;0;3;2;2;0;0;1;0;1;0;2;3;0;1;0;0;1;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;1;0;1;0
;;19;Gobits, E.P.;19;1;0;1;0;0;0;1;1;1;1;0;1;0;1;0;2;0;1;0;0;1;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;20;Quarles van Ufford, R.A.;43;1;9;1;1;1;1;0;0;4;1;1;4;0;1;2;1;1;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;1;0;1;0;2;0;0;5;0
;;21;Pat El, B.B.;22;0;0;0;0;0;1;4;0;0;1;1;1;0;0;2;2;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0
;;22;Steerneman, B.;25;9;0;0;0;1;1;0;0;0;0;2;0;0;0;1;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;1;1
;;23;Bruijstens, M.;37;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;2;0;2;0;3;1;2;0;0;3;3;1;0;0;0;0;0;1;0;0;3;1;1;0;0;5;0
;;24;Kort, V.S.;39;2;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;4;0;3;0;1;0;12;2;1;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;25;de Widt-Nieuwenhuizen, A.;15;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
;;26;Kadijk-Slot, J.M.;25;5;0;0;0;4;2;0;0;0;2;1;1;0;0;0;0;2;1;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
