Verkiezing;;Gemeenteraad Pijnacker-Nootdorp 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Pijnacker-Nootdorp;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1926;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentekantoor Pijnacker;Sporthal 't Baken;Buurt & Zo (bibliotheek Oostland);Gymzaal  Goudenregen;Sporthal De Viergang;Gymzaal Daltonschool  De Tweemaster;Ontmoetingskerk;Wijkcentrum Tolhek (Gymzaal);Sporthal 't Nest;Wijkcentrum Tolhek;Buurtcentrum Het Oude Laarsje;Meersma Holding BV;Sporthal 't Nest;Kerkgebouw Delfgauw;Sporthal Emerald;Sporthal Emerald;Jan Janssen Sporthal;Jan Janssen Sporthal;"Sporthal ""s-Gravenhout";Sporthal 's-Gravenhout;Parochiehuis;Nové Kerkelijk centrum;Mobiel stembureau Veenhage en Welzijnscentrum Keijzershof;Stembureau voor de telling stembureau 31/32/33/34;Stembureau voor de telling stembureau 41/42/43/44
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;30;40
Postcode;;;;;2641 ED;2641 JN;2641 HB;2641 AV;2641 AZ;2641 MM;2642 RA;2642 JK;2643 MC;2642 JK;2641 NS;2641 PE;2643 MC;2645 BD;2645 HH;2645 HH;2631 GA;2631 GA;2631 PT;2631 PT;2631 CL;2631 CR;2631 GC;;
;;3;Glaser, B.H.;333;1;3;7;0;2;2;7;0;2;6;1;2;3;2;3;1;32;23;33;38;31;54;0;31;49
;;4;Graafland, N.;154;13;8;7;12;4;18;18;10;4;10;1;1;2;1;0;1;1;0;2;2;3;3;2;11;20
;;5;van Herk, D.T.C.;261;20;8;22;23;13;15;28;6;8;7;8;2;11;13;3;1;1;1;3;4;6;2;3;14;39
;;6;de Vogel, J.A.;62;2;0;1;6;5;2;3;6;1;4;1;2;3;1;0;1;2;1;0;1;1;4;0;9;6
;;7;Gelton, S.J.;281;18;13;25;23;32;7;47;13;12;13;6;3;4;8;4;3;0;1;1;3;2;4;0;13;26
;;8;Bal, M.;148;5;1;7;5;2;2;6;0;4;3;0;0;0;1;0;2;5;7;9;19;14;24;0;9;23
;;9;Bos, R.P.;44;1;0;0;1;0;0;2;0;1;0;0;2;0;0;0;0;2;2;9;9;2;3;0;3;7
;;10;Arends, J.B.;26;0;2;2;1;0;2;10;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
;;11;van Dijk, J.A.M.;28;5;1;4;7;1;0;2;1;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;12;de Groot-Wallast, I.;51;4;5;3;2;3;9;1;2;3;2;0;0;3;2;0;0;0;0;0;1;0;1;0;2;8
;;13;Duijndam, A.P.T.;77;3;0;3;4;2;0;2;0;1;1;7;0;0;22;8;3;0;1;3;2;1;5;0;3;6
;;14;Suijker, S.A.;88;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;2;6;10;16;11;6;14;0;6;12
;;15;van Wijhe - Heijkoop, M.;30;0;1;0;0;1;1;1;1;0;0;0;0;3;0;0;0;0;1;0;0;0;0;13;4;4
;;16;van Buuren, M.;43;2;1;1;2;2;2;8;7;0;4;0;1;0;1;0;0;0;0;0;0;0;1;1;1;9
;;17;van der Meer, J.A.;30;2;3;1;2;0;0;1;3;0;0;0;9;0;1;0;1;0;0;1;0;0;0;0;1;5
;;18;Horn, F.B.;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;6;4;1;3;0;0;1
;;19;Lugtigheid, N.;169;10;1;8;10;5;1;2;0;0;2;2;2;3;46;10;16;0;2;1;2;1;5;0;18;22
;;20;van Duijn - van Schie, A.;44;5;1;7;4;2;2;0;0;1;2;2;0;0;5;0;3;0;0;0;0;1;2;0;4;3
;;21;Hendrikse, M.D.F.;7;1;0;0;0;0;0;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;22;Beijersbergen, J.H.;30;1;1;4;6;2;1;3;1;0;0;0;0;0;0;0;0;2;0;0;1;0;3;0;3;2
;;23;Bartels, J.;25;1;0;2;2;1;0;0;2;1;0;0;0;2;2;0;0;1;1;1;1;2;3;0;2;1
;;24;van Tilburg, G.;43;1;1;5;4;5;0;4;0;0;3;0;2;0;1;1;0;1;0;0;0;0;0;0;13;2
;;25;Ascención, E.F.;28;0;2;2;4;2;1;1;3;0;8;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0
;;26;van Beest, S.J.;80;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;10;11;9;12;1;4;14
;;27;Schaap, M.;24;1;3;1;4;1;0;0;1;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;8
;;28;Quik, R.G.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2
;;29;de Vent, W.J.;25;3;0;5;5;3;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1
;;30;Vermeulen - de Vries, F.W.;23;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;3;1;0;6;0;1;6
;;31;van Dalen, I.H.;38;3;0;3;0;1;0;8;3;2;0;1;0;1;1;0;1;1;3;2;2;1;0;0;2;3
;;32;Rodenburg, A.;32;0;0;3;2;1;0;0;0;0;0;0;0;1;14;0;0;0;0;0;0;0;0;0;5;6
;;33;van Veen, M.W.;14;1;2;0;0;1;0;0;2;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;2;0
;;34;de Blij, G.N.F.M.;27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;1;4;0;1;0;7;3
;;35;de Gier - van der Mark, J.H.;7;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
;;36;Rijnbeek, C.M.;24;0;3;2;8;1;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;3;1
;;37;Bevaart, E.R.;26;2;0;3;3;2;1;1;2;0;0;2;1;0;3;2;0;0;0;0;0;0;0;0;2;2
;;38;de Jong, K.B.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;39;Weerheim, C.;31;1;1;7;3;3;0;4;1;0;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;5
;;40;de Vries, T.;9;0;0;1;0;1;1;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;1
;;41;Filippo, M.J.;129;11;6;15;15;8;8;13;5;1;9;0;4;4;2;3;4;0;2;0;1;0;4;0;2;12
;;42;Vergeer, P.F.;101;1;0;2;2;0;1;7;1;1;2;0;0;0;0;0;0;6;8;13;13;8;14;0;9;13
3;CDA;;;2514;81;54;114;125;103;70;122;79;61;58;63;68;67;109;58;45;60;36;112;119;100;147;20;253;390
;;1;van Kuppeveld, F.J.M.;1016;34;25;54;60;36;20;40;21;24;15;32;36;20;26;17;17;34;22;45;49;44;75;10;92;168
;;2;Meijer, J.H.;339;16;9;23;14;15;21;19;19;10;8;9;3;23;18;7;6;0;2;6;5;2;6;4;34;60
;;3;de Veld-van Hassel, M.P.J.;370;7;5;11;5;6;9;18;8;6;7;11;4;6;7;11;9;12;8;30;38;37;33;2;38;42
;;4;van den Berg, C.;111;3;1;2;3;0;0;3;1;0;0;3;1;0;25;16;7;3;0;1;2;0;1;0;12;27
;;5;Volkers, A.B.;75;2;6;3;10;14;4;4;1;3;3;1;0;1;1;0;2;1;0;2;0;1;0;0;10;6
;;6;van der Deijl, B.F.;177;11;2;11;14;15;3;21;6;5;6;5;9;1;2;0;1;1;0;0;0;1;1;1;22;39
;;7;Ramadhin, N.J.;67;2;2;1;2;3;4;2;10;3;2;0;6;6;4;5;0;3;0;1;0;1;2;1;3;4
;;8;de Groot, S.J.;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;5;2;0;0;0;2
;;9;Schellingerhoudt - Soeteman, M.P.;69;2;2;1;2;2;5;8;9;2;9;0;2;2;2;0;0;0;0;0;3;1;1;0;9;7
;;10;Rotteveel, F.A.;27;2;0;2;0;2;0;3;1;5;1;0;1;2;1;0;1;0;1;0;0;0;0;0;1;4
;;11;Jansen, M.H.P.;8;0;0;0;1;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1
;;12;van Dijk-van Leeuwen, K.C.;76;0;0;5;6;10;0;1;1;0;3;2;4;3;18;0;0;0;0;2;4;1;2;1;11;2
;;13;Bollen, L.A.N.;6;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
;;14;Verwijmeren, J.D.;119;0;1;1;1;0;1;0;1;0;2;0;0;0;1;0;0;4;2;21;10;9;26;1;16;22
;;15;van Aken, R.H.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1
;;16;Sizoo, H.R.;12;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5
;;17;Mentink, H.R.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0
;;18;van Dijk, G.F.C.;6;2;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Los, E.;14;0;0;0;1;0;0;2;1;1;1;0;0;1;3;1;0;0;0;2;0;0;0;0;1;0
4;Progressief PN / P.v.d.A. / GROENLINKS;;;2939;87;99;112;114;114;67;130;71;80;90;28;15;63;191;185;197;64;54;80;88;160;176;11;280;383
;;1;van Bijnen, M.;1679;58;68;71;78;78;50;98;43;63;52;20;12;48;92;106;99;17;14;31;34;51;75;9;167;245
;;2;Kleewein, S.;277;6;4;3;4;5;2;4;0;0;4;2;0;0;6;5;5;20;22;22;24;26;48;0;31;34
;;3;Hira, D.J.;167;2;3;2;4;5;3;5;3;7;9;0;0;5;5;9;5;16;4;9;12;16;17;1;10;15
;;4;Maas, J.W.W.;54;3;1;2;1;2;3;5;7;1;5;1;0;0;3;2;2;0;0;1;1;2;0;0;8;4
;;5;Gök, D.S.;228;4;7;7;11;10;5;5;10;1;6;2;1;2;11;7;12;5;7;6;7;45;20;0;17;20
;;6;Nederveen, A.A.J.;129;1;0;0;2;0;3;2;0;0;1;0;0;0;27;29;34;0;0;2;1;1;2;0;6;18
;;7;'t Hart, E.B.;71;2;1;2;2;4;0;1;1;1;4;1;0;0;5;2;3;1;3;7;6;3;5;0;6;11
;;8;Geutjes, T.K.;16;1;2;6;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;1;1;1
;;9;Hubert, M.;26;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;1;4;1;1;0;2;4;0;5;3
;;10;Voerknecht, H.C.;10;2;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
;;11;Rijke, J.W.;15;1;0;0;1;0;0;0;0;1;0;0;0;0;5;0;3;0;0;0;0;0;0;0;4;0
;;12;Bentvelsen, D.C.;12;0;0;2;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;2;1;0;0;2
;;13;Kortman, F.B.F.;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;1
;;14;Slavenburg, A.;67;0;0;1;0;1;0;0;0;0;0;1;0;0;25;10;23;0;0;0;0;1;0;0;2;3
;;15;van Wingerden, T.S.;13;0;1;0;0;0;0;4;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;3
;;16;Duel, H.;8;0;0;0;1;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;2;0
;;17;van Adrichem, C.M.J.;23;0;3;5;1;3;1;0;0;3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;2
;;18;de Kock, P.A.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;Hölscher, P.;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Jagt, F.J.;16;3;0;1;1;3;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;2;2
;;21;Bronsgeest, R.R.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3
;;22;Smid-Marsman, G.M.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;23;Zandijk, J.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Boszhard, E.;24;0;0;0;0;0;0;0;1;0;0;0;0;0;6;8;6;0;0;0;0;0;0;0;2;1
;;25;Bazuin, D.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;26;Claassens, P;19;1;2;0;0;2;0;1;1;1;2;0;1;2;0;0;0;0;0;0;0;2;1;0;0;3
;;27;Vink, J.H.;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;0
;;28;Adam, J.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;29;Maas-Brigadoi, T.;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;30;Suijker, L.C.H.;10;0;0;1;1;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;31;Dekker-van der Maarel, M.G.M.;14;0;0;3;1;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;0;0;0;4
;;32;de Vries, K.G.;23;1;3;3;2;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;5;5
5;D66;;;4259;175;131;164;145;131;199;221;134;127;133;46;52;142;185;207;222;81;79;217;221;225;220;7;314;481
