Verkiezing;;Gemeenteraad Papendrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Papendrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0590;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Mobiel stembureau Marktplein;Morgensterkerk;Kindcentrum Oranje Nassau;RK-Parochie;Bethlehemkerk;Sionskerk;De Viermaster;De Spil;De Lage Waard;Mobiel stembureau parkeerplaats Wilgendonk;Samenwerkingsverband Drechtsteden;Mobiel stembureau Dienstencentrum;Mobiel stembureau Gemiva;Mobiel stembureau parkeerplaats PKC;Prins Florisschool;Mobiel stembureau Marktplein;Mobiel stembureau Marktplein;Mobiel stembureau parkeerplaats Wilgendonk;Mobiel stembureau parkeerplaats Wilgendonk;Mobiel stembureau Dienstencentrum;Mobiel stembureau Dienstencentrum;Mobiel stembureau Gemiva;Mobiel stembureau Gemiva;Mobiel stembureau parkeerplaats PKC;Mobiel stembureau parkeerplaats PKC
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;3351 PB;3351 PB;3353 VD;3353 AT;3353 VJ;3351 HA;3351 JT;3351 GZ;3352 BM;3352 VH;3355 BM;3355 RP;3354 BR;3356 BG;3356 LC;3356 DA;3351 PB;3351 PB;3355 BM;3355 BM;3354 BR;3354 BR;3356 BG;3356 BG;3356 LC;3356 LC
;;10;Tetteroo, A.H.;49;1;1;1;1;1;3;1;3;5;4;1;3;2;0;0;0;0;1;6;4;0;1;0;1;8;1
2;CDA;;;1354;93;102;59;14;43;62;69;31;57;87;36;39;28;22;30;66;100;49;69;86;29;34;17;28;54;50
;;1;van den Dool, L.T.;640;40;56;30;4;26;30;37;13;22;30;18;14;17;13;11;25;56;21;33;42;16;16;7;18;24;21
;;2;Middelkoop - van den Adel, K.E.;186;15;17;9;2;0;10;9;4;9;17;1;5;5;3;4;10;15;9;6;12;1;8;3;2;7;3
;;3;Schuil, R.;33;2;0;1;0;6;0;1;0;3;7;0;0;0;0;2;2;0;0;3;1;0;2;0;0;1;2
;;4;Verschoor-de Winter, A.;170;6;11;2;5;6;9;7;7;12;11;3;2;1;1;5;10;9;7;11;14;8;3;3;1;6;10
;;5;de Bruijn-Lucas, C.N.;80;3;3;3;1;2;5;4;3;2;6;7;6;2;0;1;4;4;1;8;4;2;1;0;1;3;4
;;6;Mulder, J.T.M.;120;10;11;10;0;2;5;1;1;3;11;3;7;2;3;5;4;6;4;2;5;2;3;2;5;8;5
;;7;Boender, G.J.A.;12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;5;0;2;0;1;0;0;1;0;0;0
;;8;Vermeulen, J.H.;12;0;0;0;0;0;0;4;1;0;0;2;1;0;0;0;0;0;0;1;2;0;0;0;0;1;0
;;9;Kouwenhoven-Hebels, E.;8;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0
;;10;Tillema, H.;6;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;11;Middelkoop, L.E.;19;3;1;0;0;0;3;0;1;2;0;0;2;0;1;0;3;0;1;1;0;0;0;0;1;0;0
