Verkiezing;;Gemeenteraad Oegstgeest 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oegstgeest;;;;;;;;;;;;;;;;;;;;
Nummer;;0579;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sporthal de Cuyl;Gymzaal Leo Kannerschool;Hockeyclub LOHC;Dorpscentrum Lijtweg- I;Dorpscentrum Lijtweg-II;Brandweerkazerne;Basisschool Het DOK;Gymzaal Jan Wolkerslaan-I;De Dansschool anno 2020;Gymzaal Jan Wolkerslaan-II;Verenigingsgebouw Attila;Gymzaal Poelgeest;Yuverta vmbo Oegstgeest;Gemeentehuis (maandag);Gemeentehuis (dinsdag);Dorpscentrum Lijtweg (maandag);Dorpscentrum Lijtweg (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19
Postcode;;;;;2342 AN;2341 BJ;2343 SZ;2341 LM;2341 HA;2341 HA;2343 BB;2342 BT;2343 BK;2342 BA;2343 BK;2343 MA;2341 PM;2341 KD;2342 AN;2342 AN;2341 HA;2341 HA
;;9;van Aert, A.H.J.M.;4;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0
;;10;Frederiks- Verbeek, B.P.;41;2;0;0;3;1;7;2;12;4;3;2;2;1;0;1;0;0;1
;;11;van Winsen, A.W.J.M.;8;0;1;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;2
;;12;Molenaar - Stam, C.M.A.;20;0;0;2;0;0;1;2;1;2;0;0;0;3;1;0;2;3;3
;;13;van Zandwijk, G.;14;1;0;0;0;0;0;0;3;0;0;2;3;0;0;0;0;1;4
;;14;de Best, W.;21;2;0;2;2;1;1;1;2;2;1;1;2;1;0;0;1;2;0
;;15;van Rijn, W.A.M.;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;16;den Heijer - Ravensbergen, L.;13;3;0;0;0;0;2;0;0;0;0;3;1;0;0;0;0;1;3
;;17;Nieuwenhuis, H.J.T.;10;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;1;0;3
;;18;van Blitterswijk - van Roest, I.E.;4;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0
;;19;van Mierlo, H.L.G.M.;11;0;1;0;2;0;0;4;0;0;0;0;1;0;0;2;0;1;0
;;20;van den Bosch - Damen, P.G.E.M.;10;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;1;1;2
;;21;Hellinga, P.;28;1;1;0;0;4;6;1;2;1;0;0;2;1;0;0;0;5;4
4;D66;;;2586;269;62;142;231;141;199;118;172;126;91;98;141;215;97;78;98;137;171
;;1;Bus, E.;818;74;19;42;67;35;64;35;57;47;29;36;46;66;40;21;31;49;60
;;2;Kouwenhoven, J.M.V.;985;110;20;57;86;60;78;44;77;41;37;35;57;83;33;31;28;41;67
;;3;Vos, A.N.J.;73;4;0;6;12;3;6;4;4;4;1;3;2;6;2;2;5;7;2
;;4;Das, J.H.C.;36;6;1;0;2;0;4;0;3;1;2;2;3;3;0;4;0;4;1
;;5;Vellema, E.Y.;173;17;9;12;13;11;12;10;3;5;3;2;5;19;8;12;11;10;11
;;6;Jonkers, N.P.M.;153;28;5;7;11;12;6;10;7;12;4;6;11;11;2;3;8;5;5
;;7;de Ruijter, J.E.;19;3;0;0;1;2;4;0;0;1;2;1;0;0;2;0;0;2;1
;;8;Nubé, S.;34;3;2;3;5;3;2;2;1;1;1;1;1;0;3;0;3;1;2
;;9;Simoons, M.K.;30;0;1;1;4;0;3;1;2;4;0;2;2;1;1;1;4;2;1
;;10;Staal, G.;11;0;0;1;1;0;1;1;1;2;0;3;0;0;0;0;0;0;1
;;11;Vonk, M.H.W.;34;5;0;0;10;4;4;0;2;1;1;1;0;1;0;0;1;1;3
;;12;van de Geijn, M.J.A.;5;0;0;1;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;13;Bosma, J.;25;6;1;1;1;3;3;0;1;2;0;1;0;1;1;0;1;1;2
;;14;de Jong, F.J.H.;17;0;0;0;0;2;1;0;3;0;6;0;1;1;0;0;0;1;2
;;15;de Boer, W.B.;12;2;0;0;5;0;0;0;0;0;1;0;0;2;1;0;1;0;0
;;16;Bharos, V.D.;9;1;1;1;0;0;0;1;2;0;0;0;0;0;1;1;1;0;0
;;17;Veltman, W.T.C.;7;2;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1
;;18;Gaarlandt, O.A.P.;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Dekker, E.S.;6;0;0;0;1;1;0;0;0;0;0;0;3;1;0;0;0;0;0
;;20;Wierenga, M.E.;28;2;1;1;3;2;1;4;2;0;3;1;2;0;3;0;0;0;3
;;21;Sneekes, A.S.;8;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;3
;;22;Vos, J.;4;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;van Moorsel, D.P.;17;0;2;2;0;0;1;1;1;3;0;0;1;0;0;0;0;3;3
;;24;Koningsveld-den Ouden, A.E.;24;2;0;0;4;1;1;1;1;0;1;1;1;3;0;1;2;3;2
;;25;Poelmans, M.J.;6;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;0
;;26;Vissers, M.H.J.J.;13;2;0;1;1;1;1;0;0;0;0;0;1;0;0;1;2;3;0
;;27;Bos, C.;37;1;0;2;1;1;5;3;1;0;0;2;4;15;0;0;0;1;1
5;Hart voor Oegstgeest;;;2172;172;51;103;159;113;142;162;108;109;59;98;162;142;63;56;111;140;222
;;1;Rosdorff-Molevelt, K.;1297;87;29;67;99;68;92;92;64;63;39;67;96;100;37;27;64;86;120
;;2;de Groot, T.A.M.;164;15;6;4;13;6;10;10;10;6;7;8;11;7;3;1;8;13;26
;;3;van Tol, M.J.D.;70;10;3;5;3;5;5;3;3;4;1;0;1;2;4;5;6;3;7
;;4;van den Broek, J.J.;127;4;2;9;3;7;5;10;2;15;1;4;7;12;6;6;7;12;15
;;5;Baaijens, S.R.;51;11;0;1;3;1;2;6;0;2;0;2;3;1;2;4;1;4;8
;;6;Heemskerk, M.C.;39;13;1;0;0;3;1;5;2;2;0;0;3;0;0;5;0;0;4
;;7;van Dissel, F.R.;95;7;2;4;10;4;6;17;4;0;3;2;7;1;1;2;6;3;16
;;8;van Teylingen-Roest, P.M.;117;4;1;5;9;8;7;5;9;9;3;6;10;11;1;2;9;9;9
;;9;de Groot, S.C.A.;27;1;1;2;2;2;0;5;5;2;0;0;3;0;1;0;0;0;3
;;10;van der Hoorn, G.A.G.;9;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;6;0;0
;;11;van der Wiel, J.K.J.;52;9;1;1;8;3;3;3;1;1;2;1;5;2;0;1;0;5;6
;;12;van Dam-Ravensbergen, A.;50;1;3;2;7;3;6;3;4;2;1;2;5;2;1;2;1;0;5
;;13;Kusters, W.;18;3;0;1;0;1;0;1;1;1;0;2;2;0;4;0;0;2;0
;;14;Hartevelt, J.J.A.;16;6;0;0;0;0;1;0;1;1;0;3;0;0;0;1;1;0;2
;;15;van Weeren, N.;18;0;1;1;1;0;2;1;1;0;0;0;3;4;1;0;1;1;1
;;16;Roeffen, J.J.G.M.;22;1;1;0;1;2;2;1;1;1;2;0;6;0;1;0;1;2;0
6;Lokaal Oegstgeest;;;516;34;4;16;21;22;36;47;41;28;19;26;35;34;32;16;19;31;55
;;1;van den Ouweelen, E;516;34;4;16;21;22;36;47;41;28;19;26;35;34;32;16;19;31;55
7;Belang van Nederland (BVNL);;;574;39;13;31;38;30;32;45;75;36;13;27;48;46;20;10;22;21;28
;;1;Laarhoven, E.L.O.;291;11;8;12;13;17;14;21;48;19;7;16;22;30;7;4;12;9;21
;;2;Eradus, R.F.E.;118;10;1;8;10;3;8;11;18;13;3;6;10;5;3;1;3;5;0
;;3;Jelsa, C.A.;28;7;0;1;1;3;1;1;3;0;0;1;1;0;1;2;2;1;3
;;4;Rolloos, M.A.;67;1;2;3;8;4;5;5;1;3;2;2;10;5;6;2;2;4;2
;;5;van de Ven, T.;5;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0
;;6;de Muralt, M.C.;20;4;0;2;3;0;1;3;3;0;1;1;0;0;0;0;1;0;1
;;7;van der Griend, A.H.H.;16;1;0;2;0;1;0;0;1;0;0;0;5;2;2;0;1;1;0
;;8;Langelaar, J.F.;11;0;2;1;2;1;1;0;0;0;0;0;0;2;0;0;0;1;1
;;9;Rozendal, E.J.;18;5;0;2;1;0;1;4;1;0;0;0;0;2;0;1;1;0;0
