Verkiezing;;Gemeenteraad Hendrik-Ido-Ambacht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hendrik-Ido-Ambacht;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0531;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Emmastaete;SOL Admiraal (obs De Bron);St. Hervormde Jeugdfederatie;Wielstaete;Gereformeerde Kerk Open Hof;OBS De Bron;OBS De Bron/De Meander;Sporthal De Ridderhal;Postduivenhoudersvereniging De Luchtbode;Wijkgemeente De Ark;Flatgebouw De Zalmhaven;Zorgorganisatie De Blije Borgh;Sporthal De Sophiahal A;Sophiastaete;Yulius - De Volgerlanden;Sporthal De Sophiahal B;De Voorn;WC de Schoof;Louwersplein;Gemeentehuis;Yulius - De Volgerlanden;Gemeentehuis;Yulius - De Volgerlanden
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;12;13;14;15;16;17;18;19;20;22;23;301;318;401;418
Postcode;;;;;3342 AE;3341 XD;3342 TA;3341 TS;3341 SP;3342 BS;3343 CB;3343 CB;3341 BE;3343 LG;3344 RP;3344 HD;3341 GD;3344 PL;3344 PK;3344 DD;3344 PL;3344 JA;3341 CE;;3342 AE;3344 DD;3342 AE;3344 DD
;;3;Neijman, J.P.;18;0;0;1;1;0;0;1;0;1;1;3;0;0;0;0;1;3;0;1;1;0;2;2;0
;;4;Durmus, S.;90;6;4;3;1;3;3;2;1;2;3;8;3;2;6;3;2;8;1;7;5;6;3;5;3
;;5;Lips, E.G.A.;25;1;0;1;0;1;1;3;1;0;0;1;0;2;1;1;0;0;0;0;5;3;0;4;0
;;6;Scheurwater, D.;80;3;2;2;2;5;3;2;2;9;2;7;1;2;12;3;3;7;2;2;0;1;1;4;3
;;7;van Herpen, M.W.;10;1;0;3;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
;;8;Ottenheijm, W.P.H.;13;0;0;0;0;0;1;0;1;0;4;0;0;0;0;2;0;0;0;1;2;0;0;1;1
;;9;Mol, D.H.;14;0;0;0;0;0;2;2;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;4;1
;;10;Verbrugge, F.S.;29;0;0;1;1;1;0;4;0;5;0;0;3;0;4;1;4;1;0;0;3;0;0;0;1
6;Partij van de Arbeid (P.v.d.A.);;;1139;58;45;59;35;49;63;77;36;33;55;35;24;23;73;29;36;64;34;30;72;72;22;90;25
;;1;van der Wulp, E.;571;22;24;26;21;28;28;33;16;22;32;12;14;13;35;12;15;36;20;14;44;36;12;45;11
;;2;Libregts, P.;39;4;0;8;1;0;3;4;0;0;3;4;0;0;5;1;0;0;0;1;3;0;0;1;1
;;3;Scheurwater, A.L.;84;4;4;6;7;3;7;9;2;0;5;3;1;2;3;5;2;3;3;1;4;4;1;4;1
;;4;van den Heuvel, M.J.H.;9;0;0;1;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;1;2;0;0
;;5;Safaye, N.;95;11;2;8;0;5;7;6;3;3;3;4;2;0;7;1;4;4;0;4;3;10;1;7;0
;;6;Ramnathsing, S.;183;11;10;5;1;6;9;11;5;6;6;5;4;2;12;7;8;13;9;5;7;16;3;15;7
;;7;Hindriks, A.M.;90;1;2;4;4;3;4;7;5;2;4;3;3;1;7;2;6;4;1;3;5;3;1;13;2
;;8;Hindriks, D.V.;4;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;van der Wel, A.;8;0;1;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
;;10;van de Velde, F.J.;56;5;2;0;1;4;2;4;4;0;1;2;0;3;4;0;1;4;1;2;6;2;2;3;3
7;A.U.B.;;;292;21;10;16;10;8;18;17;7;7;19;5;12;7;8;13;9;12;12;1;25;17;9;20;9
;;1;Groenendijk, H.W.H.;198;10;7;7;8;7;13;9;5;7;16;4;8;3;5;10;9;10;10;1;13;12;7;10;7
;;2;Struik, J.;32;1;2;1;1;0;2;2;0;0;1;0;1;0;1;0;0;0;0;0;10;4;0;5;1
;;3;Rorijs, P.;22;9;1;0;0;0;0;2;0;0;0;0;0;4;2;1;0;0;0;0;1;0;0;2;0
;;4;de Blanken, C.;37;1;0;8;0;0;2;4;2;0;2;1;3;0;0;2;0;2;2;0;1;1;2;3;1
;;5;Siefkes, J.G.;3;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;ECHT VOOR AMBACHT (E.V.A.);;;805;48;33;45;22;36;53;42;27;23;41;24;14;24;31;21;22;45;16;22;76;36;18;62;24
