Verkiezing;;Gemeenteraad Nissewaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nissewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum Noord;Wijkcentrum Noord;Rivièrabad;Buurthuis De Hoek;De Spaanse vereniging;Theater de Stoep;Gymzaal Mercuriusstraat;Gymzaal Mercuriusstraat;Flat de Serreburgh;Jongerencentrum Westdijk;Gymzaal Verdilaan;Wijkcentrum De Akkers;Wijkcentrum de Kreek;Gymzaal Koolzaaddreef;Dorpshuis Hekelingen;Gymzaal Salamanderveen;Gymzaal Salamanderveen;Gymzaal Vlinderveen;Gymzaal Vlinderveen;Gymzaal Rijnlaan;Gymzaal Rijnlaan;Wijkcentrum M.R. Hoitsemastraat;Wijkcentrum M.R. Hoitsemastraat;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;Mobielstembureau;Jongerencentrum Maaswijk;Elementenhuis;Dorpshuis Abbenbroek;De Haveling;voormalig schoolgebouw De Tweespan;De Haveling;De Hoeksteen;Welkomkerk Zuidland;Welkomkerk Zuidland;LTV Zuidland;Zomertuinen/De Es;Flat de Serreburgh;Wijkcentrum de Kreek;Wijkcentrum De Akkers;Theater de Stoep;Roll and Vote;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland
;;19;Huisman, E J P;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;20;van der Wiel, S;14;0;0;0;2;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
;;21;Rooimans, M L;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;de Graad, S;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;de Jong, M I;4;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Speters, P;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;25;Veth, P;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Rooimans, P;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van der Velden, M P W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;28;Gerritse, S;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;29;Hartmann, J C;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;30;van Bergeijk, M J;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;2;0;2;1;2;2;0;0;0;0;1;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0
;;31;Streep, T M;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Trouw, T P;17;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;33;Veth, M;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Rooimans-de Zanger, E M;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Moree, P C;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;36;Slagboom, E J A;16;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;1;0;0;0;0
;;37;Bal-Slegt, A H C;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Beetstra, G W;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Noijons, M;11;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0
;;40;Bouvy-Koene, P J;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6;CDA;;;1411;24;23;31;17;20;10;35;14;29;3;24;15;13;8;28;18;14;9;6;20;15;13;17;33;35;3;25;24;34;38;31;0;21;89;91;36;24;21;9;19;10;19;20;22;39;8;17;22;14;102;27;17;28;21;14;24;12;56
;;1;Verhoog, P.J.;726;15;16;19;7;17;5;16;9;25;3;17;10;5;6;15;8;12;4;3;12;7;5;5;22;19;3;15;18;12;17;14;0;4;27;34;7;14;16;4;6;5;12;14;17;16;7;13;14;6;39;24;11;14;16;9;16;4;16
;;2;van der Weg, S.;97;0;0;1;1;0;0;0;2;0;0;1;0;0;0;3;0;0;1;1;2;2;2;0;3;0;0;0;0;9;2;7;0;1;10;10;5;2;1;0;0;2;0;0;0;1;0;0;0;3;10;0;0;1;0;0;1;2;11
;;3;Gort-Stolk, N.;123;3;0;1;3;0;0;7;1;0;0;3;0;1;0;3;2;0;2;1;2;2;1;0;3;0;0;1;3;4;13;5;0;1;12;9;10;3;1;0;3;0;1;0;1;3;0;1;0;2;0;1;1;3;1;1;0;4;4
;;4;Karlas, G.M.;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;7;4;1;0;0;0;0;0;1;0;0;0;0;0;0;11;0;0;0;0;0;1;0;5
;;5;Ramlal, T.;119;3;3;6;1;1;1;8;0;2;0;1;4;5;0;0;0;0;0;1;0;3;4;10;0;7;0;4;0;0;0;1;0;0;0;1;0;2;1;2;7;2;1;2;0;11;0;2;6;0;0;0;4;9;2;2;0;0;0
;;6;van der Pols, D.G.T.;106;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;3;2;1;0;4;23;19;6;0;0;0;0;0;2;1;1;2;0;0;0;0;28;0;0;0;0;0;0;1;6
;;7;Ideler-Minderman, F.F.;55;2;4;2;2;1;1;2;1;1;0;1;1;0;1;1;4;0;1;0;1;1;1;1;2;3;0;0;0;1;0;1;0;2;0;0;1;1;0;0;0;0;2;0;1;2;1;1;1;1;0;0;0;1;1;0;4;0;0
;;8;van der Spek, A.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;7;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0
;;9;Hamerslag, N.J.;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0
;;10;van der Pols-Lammers, J.F.;37;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;1;0;1;8;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;1;0;1;0;4
;;11;Dorsman, R.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;Muilwijk, B.A.;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5
;;13;van der Schaaf, D.;35;0;0;2;2;0;2;1;1;0;0;1;0;2;0;1;1;0;0;0;2;0;0;0;0;3;0;4;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;2;2;0;0;0;0;0;0;1;0;0;1;1;0;2
;;14;van der Pols, L.C.P.;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;1;3
7;ChristenUnie-SGP;;;1071;20;19;20;20;14;3;8;14;24;8;33;19;24;10;27;13;13;17;18;2;11;11;8;28;31;4;11;19;26;21;15;0;13;44;52;29;19;32;18;21;6;10;19;10;29;19;30;20;11;52;18;16;23;7;7;18;6;31
;;1;Tebrugge, B.J.;518;12;8;9;10;8;1;4;3;11;4;15;11;10;5;14;10;8;4;7;2;7;3;4;16;18;2;2;8;7;12;3;0;3;16;28;13;9;18;4;8;2;7;11;6;14;9;20;11;1;28;9;10;16;0;1;13;2;21
;;2;Tiggelman, T.A.;165;4;2;5;1;5;0;3;4;1;0;8;1;6;1;5;3;0;2;5;0;0;2;0;4;2;0;5;5;6;3;3;0;7;7;5;4;4;4;3;1;0;2;5;3;0;4;4;4;0;4;3;0;1;5;4;3;0;2
;;3;Brak-van Doorn, C.J.G.;122;4;3;3;2;0;2;1;2;6;2;7;3;0;1;1;0;1;4;2;0;1;2;1;4;3;0;2;2;3;0;1;0;1;2;8;1;5;3;3;5;2;1;2;1;5;0;2;3;1;2;1;3;3;1;0;2;2;0
;;4;Pronk, H.C.;27;0;1;1;2;0;0;0;0;0;0;0;1;4;0;2;0;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0;0;1;0;0;1;1;0;0;0
;;5;van Lien, J.M.;22;0;0;0;0;0;0;0;0;3;0;0;1;2;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;3;1;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0
;;6;van Doorn, C.P.;48;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;2;1;0;1;11;6;8;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;5
;;7;van Lent, R.;24;0;1;1;3;0;0;0;2;0;0;2;0;0;0;1;0;0;0;1;0;0;2;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;2;0;0;0;0;0;0;0
;;8;Brussaard, L.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0
;;9;Albus, W.A.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;2;0;0;0;0;1;3;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;1;0;0;0;0;0;0;0
;;10;Saarloos, J.P.H.;53;0;2;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0;2;0;1;0;0;10;2;2;0;0;6;1;3;1;0;0;0;1;0;0;0;0;0;0;0;2;7;0;0;2;0;0;0;2;3
;;11;Ekpo, S.J.;15;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;Harlaar, L.G.;5;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Ek, H.A.E.;19;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2;0;0;1;0;0;0;1;0;0;1;0;3;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Tebrugge, J.C.;6;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Janssen, M.H.H.;16;0;0;0;1;0;0;0;0;1;1;0;2;0;1;1;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
8;BELANG VAN NISSEWAARD;;;1348;52;34;22;35;12;4;19;13;26;24;59;53;32;35;44;15;22;67;39;13;13;17;17;43;32;0;33;22;14;18;13;0;7;13;8;8;32;29;33;38;5;12;33;14;64;11;24;32;4;16;16;13;42;8;15;18;5;6
;;1;van der Velden, P;536;13;16;8;9;3;2;4;6;7;9;22;19;8;14;24;3;11;19;8;7;5;11;5;23;14;0;15;11;10;9;6;0;3;8;4;2;10;12;11;9;1;4;16;5;25;7;14;12;1;5;6;8;17;5;12;11;3;4
;;2;Houps, A.H.;304;24;7;10;16;4;0;4;1;7;7;9;12;16;11;5;0;1;8;5;3;5;3;4;8;10;0;7;4;2;3;0;0;0;2;1;3;9;8;4;10;0;5;10;0;14;2;3;8;0;5;10;3;6;1;2;2;0;0
;;3;Spanjersberg, M.H.;50;1;1;1;1;0;0;2;1;1;0;1;2;0;2;0;0;1;1;1;1;2;0;3;4;1;0;2;3;0;2;0;0;0;1;0;0;2;0;5;0;0;0;0;1;0;1;2;1;0;1;0;0;2;0;0;0;0;0
;;4;Jacobs, L.A.M.;88;3;1;0;2;0;0;3;0;2;0;3;2;0;2;5;7;5;9;5;0;0;3;0;3;2;0;4;1;0;0;0;0;0;0;0;0;4;1;4;2;2;1;1;3;4;0;0;0;1;0;0;1;2;0;0;0;0;0
;;5;Röder, J.;93;1;1;0;4;2;1;2;1;0;7;18;7;4;1;0;0;1;3;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;2;7;0;0;3;2;4;0;2;1;0;1;0;0;8;0;1;0;2;0
;;6;Büttner, I.M.S.;77;1;0;0;0;3;0;1;0;2;0;0;2;1;0;3;2;0;13;5;0;0;0;1;3;0;0;0;0;1;1;2;0;1;0;0;0;5;1;2;5;1;2;0;1;8;1;0;1;1;1;0;0;2;0;0;4;0;0
;;7;Tazelaar, A.F.;25;1;1;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;1;1;0;0;1;1;0;1;0;2;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1
;;8;van der Werf, P.;42;0;2;1;1;0;0;0;0;3;0;0;2;0;1;5;0;1;1;2;0;1;0;2;0;1;0;1;0;0;0;1;0;1;1;1;1;1;2;1;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;1;0;0
;;9;van Selm, N.;15;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van Santen, F.J.;19;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
;;11;Stuiver, P.J.C.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Ruisch, J.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Rotmans, R.;6;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Borghuis, M.;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Dafaâ, A.;11;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Schoute, N.;14;0;0;1;0;0;1;1;2;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
;;17;van de Worp, M.J.;19;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;1;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0
;;18;van der Klooster, J.C.;21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;3;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;3;0;0;0;0;0;0;0;1
;;19;Duizendstra, C.M.;17;1;0;0;0;0;0;0;2;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
9;Partij Jong Nissewaard (PJN);;;1091;23;35;31;27;13;10;11;21;34;7;19;41;19;17;22;18;20;29;22;11;14;23;26;52;42;0;55;29;6;7;16;0;4;7;13;14;20;32;10;25;10;11;21;17;21;9;47;38;4;13;8;7;14;8;14;21;1;2
;;1;Korbee, V.R.;266;8;13;4;11;4;2;1;6;10;0;4;12;7;7;4;3;2;6;5;1;2;1;6;16;11;0;4;6;2;2;5;0;0;2;5;5;3;5;4;7;4;2;6;4;8;1;8;11;1;4;2;2;3;4;3;7;0;0
;;2;Ghani, W.R.;81;0;4;5;1;1;1;2;2;2;4;1;6;0;3;2;1;0;1;1;1;0;2;1;5;2;0;3;5;0;0;0;0;2;0;0;2;0;2;0;2;1;0;1;0;3;0;4;2;0;0;0;2;1;0;0;3;0;0
;;3;Edenburg, S.D.;163;8;4;8;4;3;2;3;2;5;1;1;0;3;1;2;4;1;3;2;0;2;4;3;5;8;0;20;3;3;2;1;0;1;2;3;2;3;1;1;3;0;4;0;2;2;2;9;4;0;4;2;2;1;0;3;1;1;2
;;4;van der Sluijs, D.S.;163;0;3;3;3;3;0;1;2;6;0;1;4;1;1;8;7;16;9;7;0;0;3;4;11;4;0;12;3;0;0;0;0;0;1;3;2;5;6;0;1;1;2;5;4;5;0;2;5;0;0;2;0;2;2;2;1;0;0
;;5;Zwaaneveldt, K.;98;0;3;2;2;1;0;0;3;4;1;1;2;1;1;1;0;0;1;3;3;6;0;5;8;5;0;3;3;1;2;2;0;1;1;1;1;0;2;1;4;3;1;0;3;0;1;7;3;0;0;0;0;1;0;2;2;0;0
;;6;van Wijnen, D.A.;19;2;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0;0;0;0
;;7;Nanhoe, V.C.;32;0;1;1;3;0;0;0;1;0;1;0;2;2;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;3;2;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0
;;8;Vicario, J.T.;41;1;0;0;1;0;2;3;2;1;0;2;2;1;1;0;0;0;2;0;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;3;1;1;2;4;2;0;0;0;0;0;0;0;0;0;0
;;9;Harder, B.M.;22;0;1;0;0;0;0;0;1;0;0;0;3;3;2;0;0;0;0;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0;0;1;0;0
;;10;Balak, P.K.A.;11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
;;11;Hokke, L.R.B.;9;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;Janssen, W.Y.;24;1;1;0;0;0;0;0;0;1;0;3;1;0;1;0;1;0;1;2;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0
;;13;den Hartog, D.;25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;1;2;0;1;0;0;4;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0
;;14;Westerbeek, E.R.W.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Ibrahim, R.;14;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;2;0;0
;;16;Faber, G.A.;7;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Stappen, E.H.I.;22;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;1;0;0;7;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;18;Biharie, W.S.;31;0;1;3;1;1;0;0;0;0;0;1;4;0;0;1;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;5;1;0;2;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;2;0;0
;;19;Langendoen, N.N.;10;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;Azim, A.J.;49;0;2;4;0;0;0;0;0;0;0;0;4;0;0;1;2;0;1;0;1;1;3;0;3;1;0;6;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;8;0;0;0;0;0;0;0;4;0;0;0
10;LieverLinks;;;340;11;12;4;10;2;0;8;1;14;8;6;12;18;9;12;4;6;7;7;1;3;2;2;12;13;0;7;12;4;5;6;0;2;2;9;2;4;11;9;10;2;7;10;4;9;3;8;6;1;1;3;2;6;5;4;2;0;0
;;1;van de Kant, K.;178;5;9;2;5;0;0;4;0;9;1;3;9;4;4;10;3;2;2;3;1;3;0;2;5;7;0;3;4;3;2;3;0;2;2;7;2;0;5;3;2;1;4;9;3;6;2;5;4;0;0;3;1;2;5;0;2;0;0
