Verkiezing;;Gemeenteraad Nissewaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nissewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum Noord;Wijkcentrum Noord;Rivièrabad;Buurthuis De Hoek;De Spaanse vereniging;Theater de Stoep;Gymzaal Mercuriusstraat;Gymzaal Mercuriusstraat;Flat de Serreburgh;Jongerencentrum Westdijk;Gymzaal Verdilaan;Wijkcentrum De Akkers;Wijkcentrum de Kreek;Gymzaal Koolzaaddreef;Dorpshuis Hekelingen;Gymzaal Salamanderveen;Gymzaal Salamanderveen;Gymzaal Vlinderveen;Gymzaal Vlinderveen;Gymzaal Rijnlaan;Gymzaal Rijnlaan;Wijkcentrum M.R. Hoitsemastraat;Wijkcentrum M.R. Hoitsemastraat;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;Mobielstembureau;Jongerencentrum Maaswijk;Elementenhuis;Dorpshuis Abbenbroek;De Haveling;voormalig schoolgebouw De Tweespan;De Haveling;De Hoeksteen;Welkomkerk Zuidland;Welkomkerk Zuidland;LTV Zuidland;Zomertuinen/De Es;Flat de Serreburgh;Wijkcentrum de Kreek;Wijkcentrum De Akkers;Theater de Stoep;Roll and Vote;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland
;;8;Huizenga, M.J.J.G.;152;3;1;5;0;0;1;7;2;0;2;15;3;3;3;1;4;4;2;1;0;0;2;0;6;7;0;7;3;4;4;0;0;7;4;1;0;2;4;8;6;0;1;3;1;11;3;2;2;0;0;0;1;4;0;1;1;0;0
;;9;Grimm, J. C.;343;5;4;5;1;0;1;3;1;2;5;5;7;4;4;19;4;5;6;9;5;6;8;3;6;5;0;5;9;3;3;5;0;1;54;35;17;5;4;6;4;0;6;1;3;4;1;4;4;2;17;1;4;4;0;4;4;2;8
;;10;Polder, M.;88;0;2;1;1;4;0;6;1;2;1;4;2;2;1;0;0;1;3;1;0;0;2;1;7;6;0;0;1;1;1;1;0;0;0;1;0;1;0;1;5;1;7;0;0;0;2;2;3;0;2;0;4;3;0;2;2;0;0
;;11;Verhoeven, J.V.A.;47;1;1;0;1;1;4;4;0;0;1;0;2;0;2;1;2;4;1;2;0;1;2;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;2;0;1;0;4;0;0;0;0;0;0;0;1;0;0;2;0;1
;;12;Blakmoor, J.;77;4;3;3;5;1;0;1;0;0;0;8;0;2;0;3;0;1;1;0;1;0;5;1;4;2;0;2;0;0;1;0;0;0;0;0;0;5;2;2;2;0;2;5;1;3;0;1;1;0;1;0;0;3;0;1;0;0;0
;;13;de Vos, P.C.;84;1;1;2;0;1;0;0;1;2;0;2;1;2;1;0;1;0;2;2;0;1;2;4;3;1;0;2;34;0;1;1;0;0;1;0;0;0;4;0;2;0;0;0;3;0;1;0;1;1;0;0;0;2;0;1;0;0;0
;;14;Kiers-de Goeij, N.;196;2;1;5;1;2;1;1;4;5;1;5;3;3;1;3;10;4;24;19;3;7;3;7;4;9;1;10;11;0;1;0;0;1;0;0;0;5;2;4;2;2;1;3;1;2;1;8;3;0;1;2;0;5;2;0;0;0;0
;;15;Vonk Noordegraaf-van Dijk, N.;250;7;6;6;10;4;1;12;15;9;2;11;1;5;5;0;0;0;3;2;10;0;3;5;13;5;2;6;9;1;2;1;0;0;0;0;2;5;7;3;7;0;2;6;15;12;1;7;4;0;0;6;6;4;0;3;2;2;0
;;16;Oomen, A.J.J.;171;5;3;9;4;1;0;5;4;2;1;0;2;5;2;0;1;3;2;5;0;4;0;2;8;4;0;3;11;8;0;0;0;0;0;0;3;5;2;6;3;3;1;9;0;2;1;2;8;0;1;15;1;5;0;6;4;0;0
;;17;Dusseljee, I.;23;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;0;0;0;1;3;0;0;1;2
;;18;Gruszecki, R.E.;69;2;0;0;49;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;2;0;0;0;0;0
;;19;van Gelder, A.;42;0;0;0;2;0;0;1;1;0;0;0;0;0;0;3;0;0;2;0;0;0;1;2;2;0;1;1;2;0;1;0;0;0;3;5;1;2;0;0;0;0;0;0;0;1;0;2;0;0;5;0;2;1;0;0;0;0;1
;;20;Muller, G.;83;0;2;1;1;2;1;2;1;0;1;1;0;0;0;1;0;2;0;2;0;3;3;0;3;4;0;1;1;1;7;30;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;1;3;2;0;0;0;0;0;0;2;1
;;21;Kiers, D.J.M.;35;1;0;2;0;0;0;0;0;0;0;0;0;0;1;2;2;5;3;2;1;0;1;1;2;1;0;1;3;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;22;Tijl, W.L.;38;1;0;1;0;0;0;1;1;0;0;0;1;6;2;7;0;3;0;0;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0
;;23;Kaulingfreks, R.C.;49;0;1;0;2;0;0;1;1;3;0;0;0;1;1;4;0;3;0;0;0;3;1;1;3;3;0;4;2;0;1;0;0;0;0;1;0;4;1;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;1;2;0;0;0
;;24;van Bodegom, J.M.;32;0;2;0;0;0;0;0;2;1;0;1;1;0;1;2;0;0;0;1;0;1;0;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;2;0;1;3;0;0;0;2;0;0;0;1;0;0
;;25;Jongeneel, J.F.A.;22;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;4;1;3;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;1;0;0;0
