Verkiezing;;Gemeenteraad Zwijndrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zwijndrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Spektakel Zwijndrecht;Verenigingsgebouw 'P.V. Steeds Sneller';Kerkgebouw de Hoeksteen;Wijkgebouw 't Klankbord;Gymzaal Welhorst;Capital Sports 'Rob Sterkenzaal';Develhal;NS Station Zwijndrecht;Wijkcentrum Xiejezo;De Nederburgh / Lunenburg;Gymzaal Hart van Meerdervoort;Dorpshuis Heerjansdam;Sporthal Den Dam;Wijkcentrum Kubiek;Kerkgebouw Develhof;Gymzaal Lunenburg;Kerkgebouw de Hoeksteen 2;Gemeentehuis 2;Spektakel Zwijndrecht 2;Wijkcentrum Xiejezo 2;Gymzaal Hart van Meerdervoort 2;Wijkcentrum Kubiek 2;Wijkgebouw 't Klankbord 2;"Locatie ""Nebo""";"Locatie ""Swinhove/Ambachtstaete""";Gemeentehuis maandag;Spektakel Zwijndrecht maandag;Develhal maandag;Sporthal Den Dam maandag;Gemeentehuis dinsdag;Spektakel Zwijndrecht dinsdag;Develhal dinsdag;Sporthal Den Dam dinsdag
2;ChristenUnie-SGP;;;2395;116;43;57;84;77;247;101;69;84;73;69;55;45;34;65;79;20;94;110;47;51;50;67;95;91;6;73;51;56;10;119;75;57;25
;;1;van Gemerden, A.;1250;50;20;29;43;39;117;54;42;46;38;36;31;23;22;34;31;4;51;64;20;21;29;37;45;89;3;40;23;33;8;52;37;22;17
;;2;van Utrecht-Schuurman, K.E.;414;22;7;11;13;16;27;18;8;9;8;12;10;11;7;12;23;6;15;13;13;12;6;8;19;0;0;9;19;15;0;29;20;13;3
;;3;van der Duijn Schouten, J.;210;17;2;5;9;4;33;8;6;8;7;8;8;3;1;1;8;3;6;9;1;4;4;3;12;1;0;10;5;2;1;12;4;4;1
;;4;van Hartingsveldt, R.;79;8;3;0;3;1;13;4;0;2;5;3;2;1;0;0;1;0;2;9;1;4;0;3;1;0;2;0;0;0;0;7;3;0;1
;;5;Kleinjan, L.A.;61;1;5;2;1;1;12;2;2;4;2;2;0;0;1;0;0;0;2;4;1;3;3;0;1;0;0;6;0;0;0;3;2;0;1
;;6;Willemse-Slobbe, E.M.;104;4;1;1;3;10;8;5;3;1;5;3;1;0;1;6;6;3;8;1;3;2;0;5;2;0;0;4;1;4;0;5;2;6;0
;;7;van Houdt, D.T.;46;5;1;3;1;3;1;0;0;2;0;3;0;2;0;1;3;0;0;3;3;0;0;1;2;0;0;1;2;0;0;7;1;1;0
;;8;Oostra, A.;20;0;0;0;0;1;1;0;3;0;1;0;0;0;0;1;0;0;0;0;1;0;2;2;3;0;0;0;0;1;0;0;0;4;0
;;9;Zoeteman, L.C.;24;0;0;1;2;0;9;0;0;1;1;0;0;0;0;0;0;1;0;2;0;0;1;1;0;0;0;1;0;0;0;0;4;0;0
;;10;Helder, A.P.;10;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;2;0
;;11;Weggeman, L.H.;33;0;0;0;0;0;14;6;2;0;1;1;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;0;0;2;1;1;0
;;12;den Boer, P.M.;33;3;2;0;0;1;2;2;0;1;1;1;0;0;0;1;2;2;3;2;0;0;0;5;2;0;0;0;0;1;1;0;0;1;0
;;13;Leendertse, J.;11;2;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Bovenberg, A.L.;36;0;0;2;2;0;1;1;2;3;0;0;3;0;0;6;3;0;1;0;2;2;1;0;3;0;0;0;0;0;0;2;0;2;0
;;15;Bakker, E.J.;15;0;2;0;3;0;2;0;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;16;Manni, J.P.;20;3;0;3;3;0;4;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
;;17;Bossenbroek, G.J.;29;1;0;0;0;0;2;0;1;4;4;0;0;4;0;1;0;0;1;2;0;1;1;1;3;0;1;0;0;0;0;0;1;1;0
3;CDA;;;1537;38;49;36;50;86;51;84;61;38;26;59;24;65;69;35;60;28;40;65;27;35;25;38;96;2;7;24;44;35;40;60;40;52;48
;;1;Limberger, J.A.;704;16;23;20;25;41;20;46;19;10;17;31;12;11;14;19;35;18;17;26;13;18;12;25;39;2;6;14;22;22;9;37;26;31;8
;;2;Vlok, T.J.;70;0;4;3;2;3;6;2;7;3;0;4;1;0;0;1;2;1;2;4;2;0;3;0;5;0;0;2;4;2;0;2;2;2;1
;;3;Florusse, J.C.;54;1;6;2;3;1;5;5;3;4;0;0;1;0;0;0;0;2;1;1;1;3;1;2;3;0;0;1;2;0;0;4;1;0;1
;;4;van Zijderveld, R.L.;126;0;0;0;1;3;1;6;2;1;2;1;0;25;29;0;1;0;1;0;0;2;2;0;3;0;1;1;0;0;21;0;1;1;21
;;5;Willemstein-Visser, S.;174;6;6;1;4;14;5;4;14;8;1;12;0;1;3;5;7;3;6;8;4;6;1;4;24;0;0;4;5;4;0;7;1;5;1
;;6;de Kok, J.G.L.M.;55;3;1;1;2;10;0;1;5;2;1;1;2;0;0;3;2;0;0;0;1;0;2;2;10;0;0;0;0;0;0;0;2;4;0
;;7;Priester, N.E.;27;2;0;1;3;1;0;0;3;1;1;1;0;0;1;1;0;0;0;4;0;2;0;2;0;0;0;1;1;1;0;0;1;0;0
;;8;de Jong, D.P.L.;7;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Hamer, G.E.;34;2;1;1;1;1;1;3;0;6;3;1;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0
;;10;Simons, M.;34;0;0;0;0;0;0;1;0;0;0;1;0;15;2;1;1;0;2;0;0;0;0;0;2;0;0;0;1;0;2;0;1;0;5
;;11;Swank-Naaktgeboren, A.C.M.;58;2;2;2;5;2;11;7;0;0;1;0;0;1;0;0;0;0;3;3;4;1;0;1;1;0;0;0;1;3;0;3;4;1;0
;;12;de Jong, F.;53;0;0;0;0;0;0;1;0;0;0;0;0;12;18;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;11
;;13;de Roon-Goudswaard, W.A.;14;0;0;0;0;2;0;1;5;0;0;1;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;van Es, B.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
;;15;Koorneef, A.;13;0;2;0;0;2;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0
;;16;Versluijs, B.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hofland-Vellekoop, W.C.;7;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0
;;18;Lommers, T.L.;20;2;0;2;1;1;0;1;1;0;0;1;0;0;0;0;3;0;3;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
;;19;Schop-de Klerk, W.E.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;1;0;0;2;0;1;0
;;20;van Wingerden, A.;5;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;van Leeuwen, P.;18;1;1;1;0;1;2;3;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;1;0;2;0
;;22;van de Pol, M.;7;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
;;23;Koudstaal, N.;8;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;24;Goedvolk, V.I.;8;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;25;van Joolingen, A.H.;5;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Berg, H.E.;16;2;1;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;4;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0
;;27;van de Mheen, E.J.;8;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
4;VVD;;;1567;54;34;62;61;114;61;68;54;40;22;64;15;38;74;33;70;38;52;58;29;14;16;44;102;0;5;49;35;41;28;71;38;50;33
;;1;Kreukniet, R.;988;34;23;40;40;70;44;41;35;19;15;33;10;29;47;16;43;20;34;36;18;10;11;21;59;0;4;26;25;27;24;52;29;30;23
;;2;Spanjersberg, D.E.H.;74;3;0;4;0;7;0;13;2;5;0;2;0;3;2;1;4;2;1;2;0;2;3;1;9;0;0;3;0;1;0;0;0;3;1
