Verkiezing;;Gemeenteraad Molenlanden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Molenlanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Spil;Verenigingsgebouw Diakonia;Beréa Jeugdgebouw;De Schommel;De Overstap;`t Wingerds Hof;Dorpshuis Ottoland;De Multistee;Sporthal De Reiger;Hof van Ammers;CBS Eben Haëzer Nieuwpoort;Koningskerk;Dorpshuis De Vijf Lelies;Verenigingsgebouw Het Anker;Sporthal De Klipper;IJsclub De Molenhoek;Ontmoetingskerk;Brede school;Partycentrum De Klok;Gemeentekantoor;MFC De Commanderij;Zalen- en partycentrum De Til;De Oude School;Zalencentrum `De Stigt`;MFC Noorderhuis;MFC Den Hoek;MFC De Lingehof (1);MFC De Lingehof (2);Sporthal De Reiger;Sporthal De Reiger;De Spil;De Spil;IJsclub De Molenhoek;IJsclub De Molenhoek;Gemeentekantoor;Gemeentekantoor
;;10;Heijkoop, M.;51;0;0;49;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Visser, T.;33;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;8;9;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van de Minkelis, J.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;1;0;1;9;1;0;0;0;0;0;0;0;1
;;13;Holtslag, L.D.;60;1;0;0;0;0;0;0;0;1;1;7;0;0;0;0;3;0;0;0;3;3;20;6;13;0;0;0;0;0;0;0;1;0;0;1;0
;;14;Vonk-de Groot, H.P.;27;0;2;2;0;0;0;2;2;3;5;2;0;0;0;0;1;1;4;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;15;van Druten-Harrewijn, M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;1;6;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Aantjes, C.;14;0;0;0;0;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Welle-van Nes, F.E.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0
;;18;Pellegrom, J.G.;12;0;0;0;0;0;0;0;0;1;0;7;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Tahaparij, I.C.A.;14;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;de Leeuw, S.A.;12;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0
;;21;Kooiman-Koorneef, J.;24;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;3;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;22;van Barneveld, G.C.;19;0;0;0;0;0;0;0;0;0;1;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Damsteegt, F.;33;1;1;0;0;0;0;0;0;0;2;1;0;0;0;4;3;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
;;24;de Jong-van Dijk, R.;19;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;2;0;0;0;0;3;1
;;25;Moret, J.P.;8;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;26;Pellikaan, C.J.;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
;;27;van Dijk, T.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Stolk, P.J.;22;0;2;0;1;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
;;29;Damsteegt, G.;20;6;9;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
;;30;Lems, G.;10;0;0;0;0;0;0;0;0;1;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;31;Bakker, J.M.A.;17;0;4;0;0;0;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;32;Slob, G.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;33;Mes, G.;16;0;0;3;0;0;0;0;0;0;0;0;0;0;2;1;1;4;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
;;34;de Jong, A.;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Schep, E.A.;8;0;0;0;0;0;0;0;1;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;36;Bakker, H.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;37;Aantjes, H.N.;12;0;0;0;1;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;38;Kemkes, G.;9;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Boender, C.G.;23;2;1;1;10;2;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;VVD;;;2142;42;43;96;43;63;44;29;33;46;57;70;58;43;18;29;10;35;49;13;128;140;156;161;136;82;142;78;95;31;30;13;20;18;24;34;33
;;1;Visser, A.;1228;18;24;69;27;43;7;19;24;31;39;35;37;23;9;22;7;18;27;8;88;33;129;129;94;43;63;22;31;15;14;7;13;7;16;17;20
;;2;Snoek, G.P.A.;156;0;1;1;1;4;0;1;0;0;0;1;0;1;0;0;0;2;2;0;2;99;7;3;7;2;6;3;3;2;0;0;0;1;2;2;3
;;3;van den Hof, A.W.;36;1;1;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;15;1;1;3;0;1;0;1;0;0;3;1
;;4;de Wit, M.P.;174;4;5;13;3;6;1;5;2;1;3;8;5;3;0;2;1;2;3;1;13;3;4;1;8;7;35;7;6;3;2;2;1;1;4;3;6
;;5;Bikker, H.J.;68;7;3;3;6;3;29;0;0;0;1;0;1;0;0;0;0;0;0;1;2;0;0;4;1;0;1;0;0;0;0;2;1;3;0;0;0
;;6;Krabbendam, R.;49;5;0;2;0;3;0;0;2;3;1;14;8;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;3;2;0;1;0;1;0;0
;;7;Moret, G.E.;29;2;5;5;1;0;7;0;0;0;0;0;0;0;3;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;8;Voorsluijs, B.P.;24;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7;11;0;0;0;0;0;0;1;0
;;9;van Duin, A.L.;42;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;4;2;0;3;0;2;15;10;0;0;0;0;0;0;0;1
;;10;Commijs, C.;37;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;7;4;8;1;7;0;0;0;0;0;0;2;0;1;0
;;11;van der Bas-Burggraaf, M.;31;1;0;0;0;0;0;0;1;0;1;1;0;14;5;0;0;1;0;1;0;1;0;0;0;0;1;2;0;0;0;0;1;0;0;0;1
;;12;den Braven-Naaktgeboren, G.;22;0;0;0;0;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;12;0;1;0;0;0;0;0;0;0;1
;;13;van IJzeren, H.;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;11;20;0;0;0;0;0;0;3;0
;;14;Heijl, M.;40;0;0;2;0;0;0;0;0;0;3;1;0;1;0;5;2;5;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0
;;15;van Noordenne, G.;16;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;2;1;0;0;0;0;0;0;0;0;1;0
;;16;van Barneveld, A.J.;30;0;0;0;0;0;0;0;0;7;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0;0;0;0;0;0
;;17;Schouten, B.;12;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;3;0;0;0;0;0;1;0;0;0;0
;;18;van Dam, K.W.;9;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
;;19;Kist, E.M.;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0;0;0;0;0
;;20;van Vliet, C.;21;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;7;0;2;0;0;0;0;1;0;0;0;0;0
;;21;de Groot, J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;22;Bakker, R.;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;7;2;0;0;0;0;0;0;1;0
;;23;Dirix, P.M.E.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
;;24;Bovekerk, C.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van der Padt, A.;34;1;3;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;4;0;2;9;1;3;3;0;0;2;0;0;0;0;0;0;0
;;26;de Wit, M.;6;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;27;van Noordenne, A.;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
6;Progressief Molenlanden;;;1249;21;20;98;29;38;25;21;29;31;40;46;63;29;16;53;14;32;64;39;39;39;50;28;34;29;45;78;80;8;11;7;7;24;27;12;23
;;1;van der Koelen, F.B.;406;10;9;24;10;9;5;9;8;11;11;14;18;5;5;8;2;8;20;5;19;20;29;15;16;6;34;18;19;1;2;4;1;5;6;5;15
;;2;Toonen, B.B.;44;2;1;0;1;1;0;0;0;1;2;10;11;1;0;2;0;0;3;2;1;0;1;0;0;0;0;0;0;2;2;0;1;0;0;0;0
;;3;Hessels, J.;321;2;7;25;2;9;6;5;7;7;12;10;8;4;0;3;4;5;0;17;9;16;14;9;15;5;7;40;49;0;4;0;2;5;5;5;3
;;4;Wols, P.A.;81;0;0;2;0;0;0;0;0;0;0;1;0;1;0;11;5;12;23;5;0;1;0;0;0;0;0;0;0;0;0;0;1;8;11;0;0
;;5;Reitsma, S.;27;0;0;1;0;0;0;0;0;0;0;0;0;16;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;6;Blom, M.J.;16;0;0;0;0;0;13;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Vogel, P.A.;37;1;0;0;1;6;0;0;0;10;10;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;1;3;0;0;0;0;0
;;8;Abspoel, W.;63;0;0;1;1;1;0;0;1;0;1;3;2;0;1;2;0;1;1;1;0;1;5;1;1;4;4;16;10;1;0;0;0;1;0;1;2
;;9;Kanters, T.W.;55;3;0;2;0;1;0;0;0;1;0;1;3;0;1;16;3;2;9;7;0;1;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0
;;10;Hoosemans, R.;29;0;0;0;0;0;0;0;0;1;0;0;0;1;0;9;0;3;6;0;0;0;0;0;0;0;0;2;1;0;0;0;0;5;1;0;0
;;11;Ywema, P.E.;23;0;0;0;0;0;0;0;0;0;0;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Zevenbergen, M.P.;28;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;7;0;0;0;1;13;0;1;0;0;0;0;0;0;0;0;3
;;13;Heijboer, M.W.R.;35;1;1;0;3;0;1;4;13;0;3;0;1;1;0;0;0;0;0;1;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0
;;14;de Kruijk, J.;33;1;2;0;9;10;0;3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0
;;15;Verschoor, P.;51;1;0;43;2;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;JEZUS LEEFT;;;324;10;18;16;7;17;8;4;0;15;13;16;12;10;2;12;7;20;8;7;13;24;19;9;8;7;1;12;12;1;0;0;2;4;5;0;5
;;1;van der Spek, F.I.A.;274;9;14;14;6;16;8;2;0;14;11;14;11;8;2;9;6;18;8;6;13;19;12;6;7;7;1;10;9;1;0;0;2;4;4;0;3
;;2;van Ooijen, S.;33;1;3;1;0;0;0;1;0;1;1;1;1;2;0;3;1;2;0;1;0;3;4;3;1;0;0;0;1;0;0;0;0;0;0;0;2
;;3;van Ooijen, J.A.C.;17;0;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;2;2;0;0;0;0;0;1;0;0
