Verkiezing;;Gemeenteraad Zoetermeer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zoetermeer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat-1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnastieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 -  Oosterheem;Stembureau Castellum Palensteyn;Stembureau PKN Gemeente De Oase;Stembureau RK Genesarethkerk;Stembureau RK Kerk De Doortocht;Stembureau De Kerk van Jezus Christus;Stembureau Gebouw 't SegheWaert;Stembureau PKN Ichthuskerk;Stembureau RK Kerk Tabor;Stembureau Parochie de Kapelaan;Stembureau Wijkpost Rokkeveen;Stembureau Kerkelijk Centrum De Regenboog;Stembureau RK Kerk De Wijngaard;Stembureau Buurtcentrum De Vlieger;Stembureau CKC & Partners;Stembureau Sporthal De Veur;Stembureau Sporthal De Veur - 2;Stembureau Gymnastieklokaal Steeneikzoom 3;Stembureau Gymnastieklokaal Steeneikzoom 3-2;Stembureau Sportzaal Groen-Blauwlaan 121-2;Stembureau Gymnastieklokaal Kadelaan 206;Stembureau Gymnastieklokaal Nesciohove 115;Stembureau Sportzaal den Brabanderhove 20;Stembureau Sportzaal Lijnbaan 311-2;Stembureau Gymnastieklokaal Irisvaart 10;Stembureau Gymnastieklokaal Velddreef 330-2;Stembureau Sportzaal Forelsloot 5 -2;Stembureau Gymnastieklokaal Fivelingo 88;Stembureau Gymnastieklokaal Spitsbergen 1;Stembureau Gymnastieklokaal Spitsbergen 1-2;Stembureau Gymnastieklokaal Kruiswater 197;Stembureau Gymnastieklokaal Schansbos 7;Stembureau Sportzaal Driesprong;Stembureau Sportzaal Willem Alexanderplantsoen 6b - 2;Stembureau Pop-up stembureau Eesterwaard - Meerzicht;Stembureau Pop-up 5 Meistraat - Dorp;Stembureau Wijkgebouw 't Span;Stembureau Pop-up Sumatra- 1 Oosterheem;Stembureau Pop-up Sumatra- 2 Oosterheem;Stembureau Pop-up Nieuwlandstraat-2 - Oosterheem;Stembureau Pop-up Sartrezijde - De Leyens
;aangetroffen stembiljetten;;;51855;723;433;877;437;915;468;652;430;353;448;385;387;718;481;1218;493;1173;524;819;426;470;559;486;511;1272;468;1560;954;722;598;725;468;922;726;465;615;752;414;702;1165;535;517;992;900;394;1410;811;974;474;531;795;652;0;1329;790;982;745;667;771;697;418;0;1069;471;446;673;562;598;483;989;627;615;856;316;790;1062
;meer stembiljetten dan toegelaten kiezers;;;10;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;30;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;2;0;0;1;0;0;0;1;0;1;1;1;0;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;2;2;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;37;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;2;0;0;1;0;0;0;1;1;1;1;1;0;1;1;2;0;1;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0;3;0;0;0;2;2;0;1;0;0;0
;andere verklaring;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1;VVD;;;6803;96;56;164;56;113;56;95;62;32;59;50;68;81;40;203;58;147;74;127;45;46;54;34;94;137;40;271;85;107;70;107;48;87;85;45;112;57;28;57;152;73;62;94;122;41;211;104;110;71;66;124;116;0;224;68;187;72;32;125;88;42;0;142;93;94;61;45;63;48;104;71;87;211;62;162;130
;;1;Iedema, J.;3101;46;32;65;24;65;34;43;32;17;18;24;28;40;26;89;36;64;28;56;15;21;30;16;39;62;21;107;40;53;45;40;25;35;40;18;47;23;15;32;72;33;28;47;61;22;109;53;52;31;35;69;50;0;108;29;82;36;18;45;39;20;0;68;42;32;29;17;26;20;42;36;34;76;17;71;61
;;2;Meijer, E.H.;1489;14;10;35;14;26;10;17;12;4;15;14;19;15;8;48;10;34;15;22;10;10;9;3;22;30;7;69;17;22;12;27;8;18;21;9;26;15;3;10;30;20;14;18;18;5;48;22;27;12;12;20;33;0;52;17;52;11;7;37;17;4;0;34;17;26;10;14;13;10;31;13;22;57;21;30;25
;;3;Duiven, R.V.;131;2;1;5;0;4;0;3;1;0;0;0;3;1;2;0;0;6;2;3;2;0;0;9;3;1;3;2;0;2;1;0;0;1;1;2;3;0;0;4;2;2;4;3;0;0;4;1;0;3;0;0;6;0;6;1;4;0;0;0;2;0;0;2;1;2;1;0;3;2;4;1;5;0;1;4;0
;;4;van Yperen, V.F.;402;4;2;8;2;1;3;5;7;0;5;1;2;2;2;9;0;6;1;6;6;4;3;3;4;9;0;23;7;4;4;22;7;3;5;3;14;1;2;1;5;8;4;4;6;5;5;8;7;6;2;8;6;0;14;9;8;3;1;6;7;4;0;6;5;4;4;1;3;2;3;3;10;15;8;8;13
;;5;van Gils, J.;122;3;0;7;1;1;0;1;2;0;2;1;0;0;0;14;0;2;3;2;3;0;0;1;3;8;1;5;4;0;1;0;1;3;2;1;4;1;0;0;2;0;0;1;0;0;5;0;1;0;1;0;0;0;2;1;0;1;0;2;0;2;0;2;0;1;0;0;3;2;1;3;2;8;2;3;0
;;6;Hoekstra, W.E.A.;129;0;0;3;1;0;1;1;1;0;2;3;1;4;1;0;0;4;1;4;1;1;1;1;1;4;1;8;2;1;1;1;0;2;0;1;1;3;1;0;6;0;2;3;3;1;2;1;0;0;0;2;1;0;2;2;7;1;1;2;2;3;0;1;3;5;1;1;1;1;4;2;0;3;1;2;5
;;7;Aptroot, B.W.;760;19;3;17;9;10;7;18;7;7;13;5;11;12;1;18;7;15;17;16;1;2;9;0;5;12;4;24;12;21;5;6;1;7;10;3;4;3;3;6;28;6;5;9;19;4;27;13;12;12;6;11;9;0;31;3;25;10;4;12;14;5;0;18;14;7;10;7;6;7;7;8;8;18;4;13;18
;;8;van den Beukel, R.A.;40;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;3;2;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;2;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;2;0;1;0;1;0;2;0;0;0;0;0;1;2;0;2;2;2
;;9;Fries, R.P.;65;2;0;6;0;1;0;0;0;0;0;0;2;2;0;10;0;1;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;4;1;0;1;1;0;0;0;10;3;2;0
;;10;Moree, R.;43;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;3;0;0;2;0;0;1;0;0;0;2;0;7;0;0;2;0;0;1;0;2;0;2;0;0;3;0;0;0;2;1;0;0;0;0;0;0;1;0;2;0;0;1;2;1;0;0;0;0;0;1;0;1;0;1;0
;;11;de Gruijter, Q.F.;104;0;1;1;0;4;0;3;0;2;0;0;1;1;0;1;0;2;0;11;2;1;0;0;3;0;0;4;0;1;0;5;1;0;1;3;1;1;4;0;3;0;0;0;6;0;0;0;3;0;0;2;1;0;0;0;2;1;0;10;0;1;0;2;0;1;0;0;4;0;3;0;1;2;0;7;1
;;12;Jacobs, I.J.C.M.;125;0;0;7;0;0;0;0;0;0;0;0;0;2;0;6;1;3;2;2;1;2;1;0;9;7;0;9;0;0;0;2;0;0;0;1;2;1;0;0;0;2;0;1;1;2;4;2;2;3;0;2;0;0;1;0;3;5;0;0;1;1;0;1;0;5;0;1;0;0;1;3;1;15;0;6;4
;;13;Jahan, S.F.;63;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;3;0;0;2;1;0;1;0;1;0;0;1;0;0;0;1;3;2;0;4;3;0;1;0;0;0;1;2;0;0;1;2;1;5;0;1;0;0;1;0;0;0;3;0;0;0;0;3;0;2;3;0;1;0;0;1;4;0;3;1
;;14;Schotel, J.W.C.B.;16;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0
;;15;Boon, E.A.J.;19;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;2;1;0;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Hook, A.R.;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0
;;17;van Dalen, H.;18;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
;;18;Delcour, M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
;;19;van Makkelenberg, S.J.;28;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;2;0;1;1;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;2;3;0
;;20;van Dijk, J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;21;van Rooijen, N.M.;13;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;van Makkelenberg, F.A.;9;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
;;23;Kant, T.M.;17;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0
;;24;Rosier, M.J.;84;1;2;4;1;0;0;1;0;0;3;2;0;0;0;2;1;1;2;2;1;0;1;0;2;0;0;3;0;2;0;0;1;2;0;1;0;4;0;0;1;0;0;2;4;1;0;2;2;0;1;2;4;0;4;3;2;2;0;4;0;0;0;3;2;3;0;0;0;0;1;0;0;0;1;1;0
2;LHN;;;6064;95;44;159;68;136;69;82;45;45;58;32;69;92;61;181;54;145;51;109;46;50;53;61;54;119;52;180;112;55;41;101;40;79;76;40;57;71;46;83;143;46;64;144;102;49;210;115;117;53;55;99;63;0;197;107;98;70;65;82;79;48;0;120;64;49;62;57;54;39;118;85;65;91;47;78;118
;;1;Nawijn, H.P.A.;3419;64;25;98;40;82;39;57;28;32;35;16;35;63;32;111;31;86;31;59;21;28;38;31;26;65;29;104;76;35;17;49;22;39;29;18;23;45;32;52;84;17;32;75;61;30;129;77;57;28;34;55;32;0;101;72;49;40;40;52;36;23;0;71;37;28;38;28;20;20;60;51;30;47;19;38;65
;;2;van Leeuwen, M.E.;1559;21;6;38;19;46;17;19;11;10;13;12;24;18;14;50;12;31;8;29;15;12;9;17;22;32;15;47;21;14;10;35;9;20;23;8;16;14;12;13;37;20;16;32;26;8;53;23;42;16;14;25;17;0;64;26;38;19;16;21;23;14;0;24;10;9;13;8;15;7;23;22;22;30;17;21;26
;;3;Wortel-Driessen, J.M.G.;152;1;2;3;0;2;0;2;0;0;3;0;4;3;6;4;2;4;0;3;2;0;0;0;1;3;2;2;2;0;0;2;0;3;2;3;2;3;0;4;3;0;3;3;2;7;10;2;5;1;0;0;3;0;8;2;0;0;1;0;0;1;0;6;1;0;1;0;3;1;4;4;3;1;4;0;3
;;4;Siegelaer, M.C.;190;1;2;5;0;2;0;0;1;1;0;0;0;1;0;5;5;4;1;0;5;5;0;4;2;1;1;6;0;1;3;0;3;8;3;3;1;0;0;2;3;4;7;23;2;1;3;5;0;3;2;1;2;0;6;2;2;1;3;0;9;2;0;1;4;3;3;2;2;0;1;2;4;3;2;3;3
;;5;Meijroos, W.M.S;226;0;9;1;0;1;6;0;1;0;1;2;3;3;6;3;1;11;1;1;2;1;1;3;2;9;4;2;2;0;3;4;2;2;5;5;1;0;0;6;2;3;1;1;1;3;1;2;8;0;2;7;1;0;6;1;3;4;1;4;2;1;0;6;6;2;4;16;1;5;18;0;0;3;0;1;6
;;6;van der Snoek, M.G.;77;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;2;5;0;0;2;0;1;2;0;3;2;3;0;0;1;1;0;0;6;0;0;1;0;0;0;4;3;0;4;0;3;0;0;0;4;0;0;0;0;0;1;2;0;1;0;4;0;0;0;0;1;0;2;3;1;0;0;7;3
;;7;Doncker, J.;35;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;1;0;0;0;0;5;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;2;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;2
;;8;Broekman, H.A.;23;2;0;0;1;0;2;1;0;0;0;0;0;0;0;2;0;1;2;0;0;0;1;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
;;9;Massaar, O.;29;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;5;0;2;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;1;1;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
;;10;Verdier, G.A.M.;118;0;0;3;0;1;0;1;2;0;0;0;1;0;1;1;0;2;3;3;1;1;0;4;0;1;1;6;2;1;2;5;2;1;1;1;2;5;1;1;4;0;1;1;0;0;4;2;0;0;0;4;2;0;1;2;2;2;1;0;2;3;0;4;1;3;0;0;5;2;2;1;1;6;0;1;5
