Verkiezing;;Gemeenteraad Krimpen aan den IJssel 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Krimpen aan den IJssel;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0542;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis Krimpen aan den IJssel;Gymzaal Tuinstraat;Pannenkoe;Sionskerk;Immanuelkerk;Sociëteit Gouden Regen;Wijkcentrum De Sperwer;Basisschool Het Mozaïek;Kerk De Wingerd;Kinderboerderij Klein Boveneind;DCV Krimpen;Sportzaal De Populier;Comenius College;GBS Jacobus Koelman School;ckv KOAG-korfbalvereniging;Ontmoetingscentrum De Tuyter;Wijkcentrum Vijverhoek;De Bron;Raadhuis Krimpen aan den IJssel;Raadhuis Krimpen aan den IJssel;Wijkcentrum Vijverhoek;Wijkcentrum Vijverhoek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
Postcode;;;;;2922 AD;2921 XH;2923 AT;2922 EN;2924 VB;2923 EK;2926 TA;2925 BX;2925 CV;2924 AS;2921 AT;2925 CP;2922 BA;2925 VH;2922 CX;2922 VL;2923 TP;2923 XT;2922 AD;2922 AD;2923 TP;2923 TP
;;20;van den Assem, G.;12;0;0;1;1;0;0;0;1;0;0;0;0;2;0;5;0;0;1;0;1;0;0
;;21;Don, R.P.;18;2;1;1;0;1;1;3;0;0;1;4;0;2;0;0;0;0;0;0;0;2;0
;;22;Verhoek, K.;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;Simons, L.;5;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
;;24;Leertouwer, H.G.W.;21;0;0;0;4;0;0;4;1;0;2;0;0;3;1;0;5;0;0;0;1;0;0
;;25;Vreeken, P.;5;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
;;26;Reurink, G.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;27;van der Jagt, A.;30;2;1;2;1;1;2;0;1;1;1;0;1;6;0;2;0;0;4;1;4;0;0
;;28;Soet, J.;17;0;0;1;3;0;0;2;0;0;0;0;0;8;0;3;0;0;0;0;0;0;0
;;29;Ruissen, H.J.A.;24;2;0;0;2;3;0;3;1;1;0;0;6;0;2;0;2;0;0;0;2;0;0
;;30;Oosterwijk, C.A.;109;9;12;7;2;1;5;6;6;0;7;4;0;10;0;1;10;0;9;10;8;2;0
3;Leefbaar Krimpen;;;3499;211;164;82;126;117;117;421;197;106;284;91;316;125;108;99;148;133;118;156;188;71;121
;;1;Jaarsma - Osseweijer, K.M.;2377;129;98;54;84;91;79;305;116;77;199;60;208;77;68;70;101;94;79;117;133;46;92
;;2;van der Elst, J.M.E.;202;16;9;7;6;1;11;19;10;6;18;6;20;5;4;8;6;7;6;15;8;5;9
;;3;Suijk, O.H.V.;37;4;2;1;1;0;0;2;1;0;3;0;7;1;1;0;2;1;0;2;5;2;2
;;4;Barkey, R.M.A;42;4;5;0;2;1;1;2;3;1;1;0;3;5;1;2;4;1;3;2;0;0;1
;;5;Ratzon, D.;99;6;7;1;5;0;0;12;21;2;2;9;6;3;0;3;4;5;1;3;3;4;2
;;6;Stolk, S.;128;11;6;4;5;7;1;13;8;3;16;2;9;4;0;6;6;5;6;4;6;2;4
;;7;van Heemst, M.J.;68;3;2;2;1;1;0;20;0;2;2;4;3;5;8;3;5;2;1;1;2;0;1
;;8;de Groot, F.;153;4;4;6;7;6;11;14;7;10;17;3;14;6;7;3;5;10;3;3;8;4;1
;;9;Suijk, L.M.;45;3;2;0;6;2;0;5;3;1;1;0;4;5;3;0;3;0;2;1;2;1;1
;;10;Barkey-Hol, G.G.M.;8;2;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0
;;11;Suijk-Poel, S.;14;1;0;1;0;1;1;3;0;1;1;2;0;1;2;0;0;0;0;0;0;0;0
;;12;van der Sluis, C.;50;7;15;0;0;0;1;4;1;0;3;2;2;1;1;1;2;1;3;0;3;2;1
;;13;Waltmans, C.;9;1;1;0;0;0;1;0;2;0;2;0;0;1;0;1;0;0;0;0;0;0;0
;;14;Boosten, M.M.J.J.;15;0;0;0;1;2;0;2;1;0;1;0;4;0;0;0;0;2;2;0;0;0;0
;;15;van der Heijden-Burgers, L.C.;32;5;1;1;1;0;1;2;2;0;0;0;6;2;3;0;1;1;0;1;4;1;0
;;16;van der Heide, J.R.;47;3;3;0;0;1;2;1;8;0;4;0;13;0;2;0;1;2;3;2;0;1;1
;;17;van Zanten, D.;10;1;0;0;0;0;2;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;2
;;18;Plugge, P.;25;2;0;0;3;1;1;0;2;0;3;1;2;2;2;0;0;2;2;0;0;1;1
;;19;van Dam, R.;36;0;4;0;1;0;2;5;3;1;4;1;5;0;0;2;0;0;1;3;2;1;1
;;20;Groen, J.;24;2;3;2;2;1;1;3;0;1;1;0;0;1;1;0;0;0;3;0;3;0;0
