Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;OBS Nicolaas Beets;Amicitia;Wijkcentrum Het Oude Raadhuis;Wijkcentrum Oud Rijswijk;Sportcentrum De Schilp;Woonzorgcentrum Vredenburch;speeltuinvereniging Inter Amicos;Amateurspalet;Stadhuis;Belvédère Rijswijk;De Rijswijkse Schouwburg;Nieuwe Kerk;Informatiecentrum in de Bogaard;Sportcentrum De Schilp;Centrum voor Jeugd en gezin;Basisschool Steenvoorde (gymzaal);Basisschool Wethouder Brederode;Petrusschool;Basisschool Het Kristal;Stervoorde;Gemeenschappelijke ruimte  t Hoekje;CBS Melodie;Buurthuis De Drassige Driehoek;Kunstgebouw;Bibliotheek Rijswijk;Rijswijks Lyceum;Best Western;Groepswonen voor Ouderen;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Montessorischool Parkrijk;Informatiecentrum RijswijkBuiten
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;22;24;25;26;28;30;32;43;44;50;51;52;54;60;61;62;64;65
Postcode;;;;;2281 TH;2281 GA;2282 AL;2282 RZ;2285 SP;2282 SK;2282 KV;2282 HM;2284 DP;2283 XM;2283 GM;2284 EH;2284 DE;2285 SP;2285 XM;2285 VD;2286 MV;2286 RL;2286 GE;2286 BA;2286 GA;2287 BS;2288 CN;2289 BE;2288 AG;2284 GA;;2287 EE;2286 KC;2281 GA;2284 DP;2285 SP;2286 KC;2281 GA;2284 DP;2285 SP;2288 HR;2286 KC
;;28;Eckhardt, M.J.;4;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Voortman, W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;30;van Batenburg, J.D.;13;0;0;0;0;1;0;0;1;3;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0
;;31;van der Steen, N.;10;0;2;0;2;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;32;Brandhorst, H.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;33;de Zoete, W.M.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;34;Muller, P.A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Zonneveld, W.J.;7;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;36;van den Berg, D.;35;3;2;1;2;1;0;1;0;0;1;3;0;1;0;0;3;2;1;5;0;2;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1
2;GROENLINKS;;;3031;252;197;139;231;62;0;116;106;71;75;138;79;18;78;41;47;40;52;19;44;40;39;151;126;57;37;27;28;190;75;38;41;29;131;57;59;58;43
;;1;Wit, M.;942;52;64;33;74;27;0;34;26;26;21;38;35;8;20;13;11;15;19;10;22;19;17;49;33;20;16;4;10;50;24;10;23;8;38;22;16;17;18
;;2;van 't Eind, M.;68;10;1;4;4;0;0;2;2;2;4;5;2;1;0;0;2;0;1;0;0;1;3;3;1;3;2;2;1;3;2;0;0;0;2;1;1;2;1
;;3;Schwencke, C.Y.;746;58;53;38;44;16;0;21;29;22;15;36;20;6;23;13;10;9;9;3;7;5;3;32;42;16;9;6;7;56;12;12;14;8;33;11;21;16;11
;;4;van Maarseveen, S.;479;57;26;28;35;12;0;27;16;8;13;20;7;1;14;4;12;8;8;2;9;8;11;16;17;5;4;7;6;27;12;3;2;5;20;11;7;7;4
