Verkiezing;;Gemeenteraad Dordrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dordrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Stadskantoor;Dordrechts Museum;Energiehuis;Centraal Station  Portacabin op bordes;Wooncentrum Schouwstock;Gebouw De Driesprong;Zorgcentrum De Linde;Pinkstergemeente Het Keerpunt;Dordtse Vrije School;Gymzaal Dintelstraat;Wijkcentrum De Koloriet/Kleurrijk;Het Waterwiel;Speeltuin Zeehavenkwartier;Wijkcentrum De Admiraal;Wooncentrum Watersteijn;Postillion Hotel;Trefpunt de Nieuwe Stoof;Gymzaal Deetoshal bureau 1;Gymzaal Deetoshal bureau 2;Cultureel Centrum Sterrenburg;Albert Schweitzerziekenhuis  Dordtwijk;Verpleeghuis De Sterrenlanden;Portacabin Eulerlaan;Gymzaal Ockenburg;Ontmoetingskerk  bureau 1;Verzorgingshuis Dubbelmonde;Hotel De Watertoren;Lucina Verloskundigenpraktijk;Wielborgh  Het Polderwiel;Kandelaarkerk;Speeltuin Stadspolders;Gymzaal  bureau 1;Gymzaal  bureau 2;Het Sinterklaashuis;Gymzaal Van den Broek-Erf;Grote Kerk;Wilhelminakerk  bureau 1;Kerk De Bron;Portocabin;Zwembad/ijsbaan;Theater Inter Amicos;Wilhelminakerk  bureau 2;Jubal Muziek Centrum  bureau 1;Jubal Muziek Centrum  bureau 2;Basisschool Wantij  bureau 1;Basisschool Wantij  bureau 2;Julianakerk  bureau 1;Julianakerk  bureau 2;School Brouwersdijk;Apostolisch genootschap;Portocabin;De Zuidhovenkerk;Gymzaal Atmosfeerstraat;Gymzaal De Weegschaal;Gymzaal Sandenburg;Ontmoetingskerk  bureau 2;Gymzaal Heimerstein;Evangelische Gemeente Jozua;Gymzaal Van Schendelstraat  bureau 1;Deltahal  bureau 1;Deltahal  bureau 2;Gymzaal Van Schendelstraat  bureau 2;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren
;aangetroffen stembiljetten;;;45056;1256;893;772;1157;749;469;1611;25;566;946;399;658;47;92;699;468;299;570;230;223;1622;163;51;977;360;968;147;1406;852;47;723;701;306;347;534;893;693;354;848;765;414;354;409;260;244;365;307;525;603;784;480;491;628;720;384;486;801;773;199;635;681;643;662;679;659;244;357;269;264;206;805;938;927;341;455;409;395;323;1051
;meer stembiljetten dan toegelaten kiezers;;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Beter Voor Dordt;;;5038;93;86;69;81;78;46;172;4;55;88;21;67;0;10;56;40;47;64;32;30;183;17;9;134;43;144;15;216;130;4;84;87;39;57;54;133;49;34;120;107;45;39;32;27;25;67;42;44;28;67;51;44;47;70;50;56;132;116;27;83;107;106;71;44;74;39;26;19;27;17;119;69;120;47;32;43;36;39;113
;;1;Schalken-den Hartog, D.F.M.;2495;31;42;29;30;43;28;104;0;29;49;9;28;0;3;28;17;29;35;18;16;96;9;8;66;19;73;12;101;70;1;40;35;15;28;22;76;17;19;60;59;18;20;12;14;12;26;18;22;7;40;26;24;26;33;17;28;61;56;18;46;53;45;45;19;38;25;15;14;14;6;61;32;52;25;21;25;11;11;65
;;2;Stam, B.C.M.;402;6;11;7;7;1;2;7;0;1;5;3;8;0;2;6;5;1;11;1;2;14;1;1;8;2;10;2;18;6;2;9;11;3;8;2;9;1;2;8;6;4;3;4;1;2;8;5;4;3;4;6;5;5;4;7;5;7;7;2;4;9;8;3;3;12;1;5;0;2;5;4;6;19;4;0;1;7;8;6
;;3;Simon-van Waardhuizen, C.N.;883;33;15;12;17;16;5;23;3;12;13;1;13;0;1;7;8;6;6;7;3;24;1;0;21;13;25;1;42;23;0;16;17;7;7;11;19;15;5;24;15;12;8;4;5;4;20;12;4;6;8;8;5;8;13;11;9;32;23;3;13;17;19;13;10;11;7;2;2;2;1;19;14;18;6;7;9;9;4;18
;;4;Katif, J.B.;96;4;2;1;3;1;0;1;0;1;2;0;1;0;0;2;0;0;0;0;1;3;0;0;2;0;2;0;6;3;0;2;6;0;0;1;1;0;1;1;4;0;4;1;2;0;0;0;2;1;0;0;0;0;2;0;0;2;2;0;0;0;9;4;0;2;1;0;1;0;0;3;2;4;0;0;0;0;1;2
;;5;Wringer, J.;24;0;0;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0
;;6;Koole-Bruurmijn, A.C.;241;4;2;3;4;2;2;7;0;0;2;1;3;0;0;2;1;1;5;3;2;10;1;0;6;1;8;0;15;9;0;5;2;1;5;3;7;4;2;8;4;2;0;2;1;0;3;2;3;1;4;2;3;0;3;2;5;9;7;2;5;8;3;2;4;3;3;1;0;0;0;11;5;5;1;1;1;0;1;1
;;7;Boone, D.;27;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;2;0;1;1;0;1;2;0;1;0;1;0;0;0;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0
;;8;Meijer, P.;23;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;2;0;0;0;1;1;1;0;2;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;9;Jager, C.M.;88;2;2;1;3;1;1;2;0;2;1;0;6;0;1;0;1;0;0;0;0;0;1;0;3;0;1;0;4;2;0;0;3;0;1;1;3;1;0;1;2;2;0;1;0;0;0;0;1;1;1;1;1;0;2;1;1;3;1;0;1;1;3;0;3;1;0;0;0;0;1;3;1;3;3;0;2;1;1;2
;;10;de Bruijn, E.J.;89;0;1;0;0;1;0;1;0;0;4;0;3;0;0;2;0;1;1;0;2;8;0;0;1;1;12;0;1;3;0;0;0;0;1;2;3;1;1;0;1;0;0;0;0;0;0;0;0;2;0;1;1;2;2;0;1;1;4;0;1;1;0;0;0;1;0;1;0;1;0;3;0;2;3;0;0;7;2;2
;;11;Platje, P.L.;80;1;2;1;3;1;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;4;1;0;8;2;0;0;6;1;0;0;3;0;0;1;3;0;0;1;4;0;0;0;0;0;1;0;2;1;1;1;0;0;2;1;2;2;4;0;2;0;1;0;1;0;0;0;0;0;0;4;1;1;0;0;2;0;1;3
;;12;Bras, J.A.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;2;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;13;de Groot, M.J.;139;4;2;6;9;2;0;11;0;1;4;2;1;0;0;3;2;1;1;0;0;4;0;0;4;1;4;0;2;2;0;2;0;1;1;5;0;2;3;1;0;3;2;1;0;0;2;1;0;2;1;2;1;0;1;5;0;2;5;0;2;0;5;0;1;0;0;0;1;2;0;4;2;9;1;0;0;0;0;3
;;14;van Kaam, D.J.;19;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;van der Laan, F.H.;25;0;0;2;0;0;0;2;0;1;0;0;0;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;1;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;16;Groenendijk, A.G.;9;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;Wagemans, R.W.L.;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0
;;18;Duyndam, N.H.;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;19;Katif, H.;45;1;0;0;1;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;2;0;0;0;3;1;0;0;1;2;0;0;3;0;0;1;0;3;2;0;0;0;2;0;0;0;1;0;0;2;1;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
;;20;Kroon, R.;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;de Buck, F.C.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van der Leer, P.M.;20;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;23;Nederhof, E.A.M.;24;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;3;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0
;;24;Stam, C.;38;0;0;0;1;1;0;0;0;3;0;1;1;0;0;0;0;0;1;2;1;4;1;0;3;0;0;0;0;2;0;0;1;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;1;0;0;0
;;25;van Rijn, S.S.G.;15;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;26;Husen-in 't Veld, L.A.;40;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;4;0;0;1;0;0;0;2;0;0;0;1;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;3;4;3;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;4
;;27;Reynvaan-Jansen, R.E.C.;56;5;2;0;0;0;3;2;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;4;2;0;0;0;0;0;3;0;2;0;2;1;0;0;2;0;0;0;0;1;0;1;0;0;3;1;1;1;1;1;0;1;2;0;0;0;0;0;2;0;0;0;0;3;0;1;0;0;0;0;1
;;28;Sleeking, P.H. Sleeking;100;0;4;1;0;1;2;3;1;0;3;2;1;0;0;0;0;1;0;0;0;3;0;0;2;1;2;0;3;1;0;2;0;1;1;2;2;2;0;4;2;0;0;1;0;1;1;3;2;1;2;2;1;0;2;1;0;1;1;0;0;7;6;2;1;2;1;0;1;3;1;3;1;2;1;0;0;0;3;0
2;VVD;;;5952;172;127;79;146;94;50;188;1;107;65;23;35;2;4;45;110;57;32;20;21;174;29;7;182;40;139;20;368;87;5;106;127;32;33;79;150;116;47;90;151;52;24;44;37;45;25;23;33;31;61;41;55;76;89;54;72;125;121;21;122;143;137;113;81;92;27;31;26;30;11;138;126;111;48;36;20;38;24;209
;;1;Burggraaf, M.D.;3496;91;71;41;80;49;29;92;1;69;37;18;18;2;2;23;79;25;20;12;14;128;16;4;84;29;88;14;225;52;5;66;75;18;21;42;92;65;29;69;81;29;15;27;18;25;17;11;18;13;34;19;27;49;52;26;40;56;68;18;78;89;81;67;52;55;17;15;15;17;7;100;68;71;28;18;12;24;14;130
;;2;Merx, M.P.P.M.;185;7;2;4;2;1;4;6;0;5;1;0;1;0;0;1;5;2;0;0;0;2;1;0;5;0;1;1;8;9;0;1;5;3;0;4;10;0;1;4;6;2;1;2;0;0;0;2;0;1;4;0;0;2;2;3;6;8;3;1;4;4;5;2;2;4;1;0;0;3;1;2;8;2;1;0;0;3;1;3
;;3;van den Tol, L.A.;641;22;10;13;21;13;5;20;0;10;11;0;1;0;0;10;6;9;5;0;2;6;3;0;13;5;23;2;33;7;0;11;18;5;6;12;12;11;8;8;13;8;4;2;8;5;2;4;8;3;5;9;5;3;7;6;10;18;14;1;14;17;21;13;10;9;2;3;2;2;0;8;15;13;8;5;1;4;1;17
;;4;den Heijer, R.R.C.;215;16;20;5;3;10;5;8;0;3;2;1;2;0;0;2;1;2;0;0;0;2;1;0;9;0;1;0;8;0;0;4;3;0;1;0;5;4;5;1;5;1;2;4;3;2;1;1;1;4;0;0;2;3;4;3;0;1;7;0;0;1;2;2;0;3;0;5;3;1;1;1;13;1;1;3;1;0;4;5
;;5;Boom-Vos, M.C.M.;195;1;3;1;4;1;0;11;0;3;4;0;0;0;2;3;4;0;2;0;1;4;1;1;3;0;5;0;7;3;0;5;4;0;0;2;4;6;0;1;4;0;1;2;6;3;1;0;2;2;1;4;2;0;3;6;2;5;6;0;6;6;4;1;4;1;2;0;1;0;0;10;4;4;1;4;2;1;1;7
;;6;Noldus, R.;93;0;2;0;0;4;1;2;0;2;2;0;0;0;0;0;3;0;0;1;0;3;0;1;1;0;0;0;1;1;0;0;0;1;1;3;1;1;0;2;5;1;0;1;1;2;0;0;0;2;0;0;2;0;3;1;0;2;2;1;3;7;2;4;2;0;1;0;1;1;0;3;2;0;0;2;1;0;0;8
;;7;Kuhlmann, A.J.;108;1;0;3;14;1;0;12;0;2;0;0;1;0;0;0;0;3;0;1;0;6;0;0;13;2;1;0;2;1;0;1;2;0;0;4;0;1;0;0;1;1;0;1;0;0;0;0;0;0;3;0;1;4;1;1;0;4;4;0;1;3;1;0;4;0;0;0;0;0;0;2;0;1;0;0;1;0;0;3
;;8;van der Net, J.C.;135;1;1;5;0;1;2;6;0;1;2;0;0;0;0;0;2;1;0;0;1;3;1;0;2;0;3;0;17;0;0;1;6;1;1;0;1;3;0;0;8;0;0;1;0;5;0;1;2;0;1;2;3;1;1;4;3;2;3;0;1;3;5;0;0;5;1;6;2;0;0;1;1;4;2;1;0;0;0;4
;;9;Kwaak, P.C.;110;4;0;1;3;3;0;6;0;3;2;1;6;0;0;0;0;0;1;2;1;1;0;0;4;0;5;2;9;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;6;3;2;0;4;6;1;0;1;0;0;1;1;4;1;0;0;2;2;1;3;0;0;0;1;0;2;3
;;10;Lammens-Oostdijk, A.C.M.;185;9;3;2;6;4;0;8;0;0;0;3;1;0;0;0;0;1;0;2;1;1;1;0;7;1;1;0;25;1;0;4;0;1;1;1;2;5;0;4;13;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;2;2;3;0;6;4;3;9;0;3;0;1;2;2;0;5;1;3;1;0;0;5;0;17
;;11;van Ballegooijen, L.G.P.;39;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;3;0;0;0;2;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;2;3;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
