Verkiezing;;Gemeenteraad Bodegraven-Reeuwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bodegraven-Reeuwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Meent;bij Everts;De Doortocht;Dienstencentrum 'Rijngaarde';Voetbalvereniging ESTO;sporthal 'De Sporthoeve' Hal 1;sporthal 'De Sporthoeve' Hal 2;'Hollandse Boerderij';'t Wierickehuis;Dorpshuis Custwijc;Huiskamer van Waarder;Dorpshuis De Kaag;Zalencentrum De Brug Zaal 1;Zalencentrum De Brug Zaal 2;Consistorie NH-Kerk;Sporthal de Meerkoet Hal 1;Sporthal de Meerkoet Hal 2;Gemeentehuis maandag;sporthal 'De Sporthoeve' maandag;Dorpshuis Custwijc maandag;Zalencentrum De Brug maandag;Gemeentehuis dinsdag;sporthal 'De Sporthoeve' dinsdag;Huiskamer van Waarder dinsdag;Zalencentrum De Brug dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;201;207;211;214;301;307;312;314
Postcode;;;;;2411 BD;2411 VV;2411 CV;2411 DS;2411 EV;2411 LL;2411 LG;2411 LG;2411 PK;2415 AW;3465 KG;3466 LN;2811 LE;2811 CA;2811 CA;2811 GC;2811 BM;2811 BM;2411 BD;2411 LG;3465 KG;2811 CA;2411 BD;2411 LG;3466 LN;2811 CA
;;4;van Os, C.W.;116;19;1;7;9;7;3;1;3;0;1;0;2;7;9;16;5;4;3;0;0;0;8;2;1;0;8
;;5;Ankone, G.B.R.;123;2;1;2;2;0;0;0;0;0;2;0;2;3;20;18;9;9;14;4;0;0;16;4;0;0;15
;;6;Broen, B.;43;7;1;5;1;4;2;0;3;0;1;1;0;0;2;1;2;2;1;0;0;0;1;1;2;0;6
;;7;van der Wolf jr., R.W.;36;0;1;1;1;0;0;0;0;0;0;0;0;14;7;6;1;0;1;0;0;0;1;0;0;0;3
;;8;Knoope, T.J.;17;0;0;3;5;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0
;;9;Fabrie, W.D.;44;1;0;0;0;0;0;0;0;0;0;0;0;1;7;3;2;2;2;0;0;0;7;0;0;0;19
;;10;El Maqsoud, I.;12;3;1;1;0;0;0;0;0;0;0;0;0;0;2;3;0;1;0;0;0;0;1;0;0;0;0
;;11;de Jong, J.L.;57;0;0;0;0;2;0;0;0;0;0;0;0;5;14;10;5;4;1;0;2;0;3;1;0;0;10
;;12;Velsink, A.T.;15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;5;0;1;0;0;0;2;0;0;0;3
;;13;Kersbergen-van Gaalen, A.N.;39;5;4;1;2;0;5;1;3;0;1;0;4;1;1;3;0;0;0;1;2;0;0;4;1;0;0
;;14;Muis, E.;21;0;0;0;0;0;0;1;1;0;0;0;0;0;2;3;2;2;3;0;0;0;2;0;0;0;5
;;15;Wetsteijn, K.;26;0;0;4;6;1;1;0;2;0;4;1;0;0;2;0;0;0;2;0;0;0;0;2;0;0;1
