Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bibliotheek Nieuwstraat;Lokhorstkerk;Erfgoed Leiden en Omstreken;Academiegebouw;Herengrachtkerk;Marekerk;Waalse Kerk;COC Leiden;Museum De Lakenhal;MBO Rijnland Storm Buysingstraat;Huis van de Buurt Morschwijck;ROC Mondriaan;Het Waterland;Leidse Reddingsbrigade;Speeltuin Rondom de Maredijk;Studio Moio (De Rondedans);Theehuis Tuin van Noord;Huis van de Buurt Het Gebouw;Huis van de Buurt De Kooi;Speeltuin Ons Eiland;Huis van de Buurt Matilo;Stedelijk Gymnasium Athena;Basisschool Sint Joseph;Vredeskerk;Petruskerk;Llokaal;Speeltuin Zuiderkwartier;Basisschool Er-Risèlèh;Speeltuin Westerkwartier;Basisschool Leimundo;Rosenburch;Korfbalvereniging KZ Danaïden;Schoolgebouw Noachstraat;Basisschool de Astronaut;Speeltuin Prinses Beatrix;De Pelgrim;Huis van de Buurt Op Eigen Wieken;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Huis van de Buurt Stevenshof;Gymzaal Basisschool De Stevenshof;Sociëteit De Dobbegaarde;Basisschool De Arcade;Stadskantoor (Achterzijde Centraal Station);Centraal Station;Lokhorstkerk;Herengrachtkerk;Bibliotheek Nieuwstraat;Bibliotheek Nieuwstraat;Huis van de Buurt Morschwijck;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Gymzaal Basisschool De Stevenshof;Herengrachtkerk;Herengrachtkerk;MBO Rijnland Storm Buysingstraat;MBO Rijnland Storm Buysingstraat;Leidse Reddingsbrigade;Leidse Reddingsbrigade;Huis van de Buurt Het Gebouw;Huis van de Buurt Het Gebouw;Speeltuin Zuiderkwartier;Speeltuin Zuiderkwartier;Korfbalvereniging KZ Danaïden;Korfbalvereniging KZ Danaïden;Huis van de Buurt Op Eigen Wieken;Huis van de Buurt Op Eigen Wieken;Sociëteit De Dobbegaarde;Sociëteit De Dobbegaarde;Centraal Station;Centraal Station
Gebiednummer;;;;;1;2;3;5;8;10;11;12;13;15;16;17;18;19;20;22;23;24;28;29;30;32;33;34;35;37;38;40;42;44;45;46;48;49;50;51;52;54;56;58;60;62;64;66;99;100;102;108;114;115;116;154;156;158;162;814;815;1514;1515;1914;1915;2414;2415;3814;3815;4614;4615;5214;5215;6414;6415;10014;10015
Postcode;;;;;2312 KB;2311 SV;2311 PZ;2311 GJ;2312 LE;2312 GS;2311 CS;2312 NW;2312 RA;2332 VW;2332 JC;2332 AA;2334 EM;2334 CC;2316 VP;2316 NZ;2316 EP;2315 VA;2315 CD;2315 TL;2314 XH;2313 EP;2313 JE;2313 GG;2313 DM;2321 KS;2313 XA;2313 AB;2321 AW;2321 TA;2321 RB;2321 CC;2324 LT;2324 ER;2324 CX;2324 DR;2317 AN;2318 TJ;2317 VX;2317 ST;2331 GW;2331 DV;2331 ML;2314 BN;2333 CW;2312 AJ;2311 SV;2312 LE;2312 KB;2312 KB;2332 JC;2318 TJ;2317 VX;2317 ST;2331 DV;2312 LE;2312 LE;2332 VW;2332 VW;2334 CC;2334 CC;2315 VA;2315 VA;2313 XA;2313 XA;2321 CC;2321 CC;2317 AN;2317 AN;2331 ML;2331 ML;2312 AJ;2312 AJ
;;4;Mulder, M.C.;137;2;1;2;5;0;0;0;0;2;0;0;1;0;3;3;0;3;0;0;2;3;1;0;1;3;3;0;2;3;3;1;0;2;0;0;3;0;2;2;1;10;10;14;0;1;1;1;1;1;3;0;0;1;0;5;2;1;1;0;0;2;0;0;0;0;2;1;0;0;15;9;1;1
;;5;van Vliet, M.M.;585;20;3;15;21;9;12;7;9;10;7;10;9;3;4;4;3;8;7;3;8;23;29;15;20;7;16;4;6;10;2;7;2;11;8;9;8;3;5;2;7;22;12;11;12;8;18;4;10;3;11;4;7;9;7;2;4;12;3;3;0;3;2;3;6;5;6;5;1;5;4;5;5;7
;;6;Roest, A.W.;73;1;1;0;0;0;1;0;0;0;1;3;2;7;1;2;0;2;3;0;1;1;2;1;0;1;3;0;0;1;3;2;0;1;0;0;4;0;1;2;2;1;1;1;0;2;2;0;1;4;2;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;2
;;7;Versluijs, J.J.F.;99;1;0;1;4;0;2;1;1;2;2;2;2;3;12;0;0;0;0;0;0;10;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;3;0;0;0;0;1;4;2;0;2;0;0;0;0;1;1;0;1;0;0;1;11;16;0;0;1;0;0;0;0;5;0;0;1;0
;;8;Scheffer, B.;101;2;0;0;3;0;0;0;0;2;2;1;1;0;2;0;0;0;1;1;0;32;3;4;1;0;0;0;3;9;0;0;0;3;0;0;0;0;0;0;0;2;5;1;6;0;2;1;1;0;0;2;2;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;2
;;9;Janssen, Q.J.T.;93;4;0;1;7;4;2;4;1;1;0;0;0;0;0;4;0;0;4;0;2;0;1;0;1;2;2;0;1;1;1;0;1;1;2;2;0;2;0;2;0;1;1;2;0;3;13;2;2;1;4;0;0;0;0;0;1;0;1;0;0;0;0;1;2;0;0;0;2;0;0;0;2;2
;;10;Mentink, T.R.;131;7;1;1;3;1;2;3;1;2;1;3;4;0;1;0;0;2;0;0;0;5;9;0;7;17;3;0;4;4;0;0;2;3;0;1;0;0;1;1;2;4;1;1;4;3;5;0;0;0;6;0;1;0;1;0;0;1;2;0;0;2;0;1;0;1;0;1;0;0;1;0;1;4
;;11;Kerremans, S.J.M.;122;7;2;3;7;5;5;11;0;1;2;1;2;1;0;1;1;0;1;0;1;1;4;0;1;2;0;0;0;2;0;0;0;1;2;0;0;0;1;0;2;0;0;2;0;5;7;1;5;5;8;0;0;0;0;0;8;2;1;1;0;0;0;0;1;4;0;0;0;0;0;0;1;4
;;12;Venetiaan, J.;87;4;0;3;5;5;2;2;1;1;1;0;1;0;3;1;0;2;1;1;2;2;10;0;3;3;1;1;0;5;1;0;0;1;0;2;0;1;0;0;1;0;0;0;3;0;2;0;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;3;2;0;1;0;1;0;0;1;1
;;13;van Moorsel, N.;38;2;1;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3;2;1;2;2;3;0;0;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
;;14;Hamelink, M.E.B.;68;3;0;0;1;2;0;0;1;1;2;3;0;0;1;0;0;1;0;1;0;1;2;4;0;1;6;0;1;1;0;0;0;4;0;0;0;0;0;0;0;10;0;3;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;4;5;0;1
;;15;Dijkstra, T.J.;25;0;0;0;2;1;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;2;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0
;;16;Smit, R.J.M.;11;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;17;Mulder, J.;18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
;;18;Claessens, J.A.;21;2;0;0;1;1;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;2
;;19;Struijk, S.J.;165;5;3;8;29;8;10;8;0;3;0;0;0;1;1;1;1;0;0;0;0;1;2;0;0;0;3;0;1;15;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;3;4;5;7;16;0;0;0;0;2;6;2;0;3;1;2;0;1;1;2;0;1;0;0;0;0;0;5
;;20;van Wijk-Meijer, A.H.M.;22;1;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;2;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;2;0;1;1;1;0;0;0;1;0;0;0;0
;;21;Hemmes, T.;61;2;0;4;2;0;1;4;0;1;0;1;1;0;1;2;0;0;1;1;0;1;3;2;3;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;2;2;1;4;2;1;1;0;2;1;0;0;0;0;0;2;0;0;0;0;1;0;1;0;3;0;1;0;0;0;0;2;0
;;22;Gilissen-Verplancke, J.;60;3;1;2;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;5;0;1;2;4;0;1;0;2;4;0;0;3;0;1;0;2;0;0;2;0;4;3;0;0;0;0;1;2;1;0;1;1;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0
;;23;Wisse, J.L.L.;42;1;1;2;4;0;0;1;1;0;1;0;1;0;2;0;0;1;1;0;0;1;0;2;0;5;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1
;;24;Verbree, D.M.;42;3;0;0;1;0;0;1;4;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;4;0;2;0;0;1;0;0;1;2;1;1;1;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;0
;;25;Zevenbergen, E.F.A.;47;1;3;1;1;1;0;2;0;0;0;0;1;2;0;1;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;1;2;1;0;3;3;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;3
;;26;Maas Geesteranus, M.H.;96;3;1;2;3;0;1;4;2;2;1;1;0;1;2;1;1;0;5;0;1;2;3;0;3;2;0;0;3;0;1;3;1;0;1;0;2;0;1;1;0;3;0;2;3;1;4;0;0;2;3;3;2;1;1;1;1;3;1;0;0;0;1;0;0;1;1;0;3;0;1;1;1;2
4;Partij van de Arbeid (P.v.d.A.);;;5546;109;26;139;140;49;88;51;55;58;67;82;50;54;73;51;72;114;87;62;45;112;99;62;172;105;119;28;59;97;89;83;42;83;56;58;59;86;91;75;108;184;72;65;78;58;145;20;58;86;123;42;76;72;79;89;43;59;74;78;26;36;51;80;53;70;48;49;61;88;78;89;60;101
;;1;Jermoumi, A.;2179;31;12;50;48;11;27;8;12;17;26;38;9;21;27;20;37;66;55;41;15;48;29;21;51;39;38;13;21;37;49;41;15;34;30;27;22;64;30;36;72;63;13;21;37;21;45;6;18;33;44;22;29;33;51;22;13;13;23;28;11;11;31;51;15;24;22;25;24;46;15;28;19;34
;;2;Lemmens, B.;1002;24;7;32;18;8;16;17;14;7;10;8;18;10;15;12;11;13;12;4;11;25;10;14;45;19;21;6;13;16;15;12;12;16;9;7;18;7;26;16;19;37;7;10;15;8;25;6;7;14;24;11;14;13;17;7;7;15;13;11;7;8;3;4;9;18;8;8;16;19;13;11;13;11
;;3;Newsome, M.;248;5;1;11;10;3;6;3;2;1;1;0;2;1;1;0;0;6;1;1;3;4;9;4;16;9;6;2;3;2;2;3;2;6;2;0;0;0;5;1;3;3;1;2;1;4;5;0;1;10;10;1;7;2;1;2;4;5;0;3;1;1;1;2;6;12;1;3;6;1;3;5;5;2
;;4;Otten, M.J.;472;4;0;9;10;3;1;3;2;5;5;6;1;0;10;2;5;4;1;5;1;7;8;7;18;3;1;2;2;2;4;2;1;0;2;3;7;0;0;7;0;57;35;23;6;1;5;1;1;4;2;1;6;5;1;41;6;3;7;7;1;2;6;3;4;1;4;2;2;2;37;36;1;6
;;5;Klever, C.G.E.;273;7;2;12;7;5;10;1;3;1;2;4;1;4;3;1;3;6;1;1;2;4;12;3;11;6;9;1;7;10;4;6;1;3;0;4;2;1;5;8;2;2;0;0;4;5;11;0;3;4;4;1;2;1;0;5;2;4;3;2;3;2;0;1;6;8;5;4;5;2;3;1;4;1
;;6;van Meer, E.;385;14;1;7;14;5;6;6;7;4;8;7;11;9;10;6;1;4;6;4;1;9;7;3;11;7;16;1;2;6;0;2;1;3;3;3;2;3;5;5;3;2;2;1;0;5;11;0;7;8;14;3;6;6;2;2;2;8;16;11;1;7;2;5;3;2;0;2;3;5;3;3;8;12
;;7;Becker, R.G.;49;1;0;1;5;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;2;2;6;1;1;0;2;0;2;0;0;1;0;1;0;0;0;0;1;5;1;0;0;1;0;0;0;0;1;1
;;8;Prins, G.M.;114;2;0;2;5;3;5;4;5;4;2;0;1;2;0;2;1;0;1;0;2;1;5;1;2;3;2;0;2;1;0;4;0;0;1;3;0;0;0;0;2;1;3;0;0;0;6;3;5;2;5;0;3;0;0;0;1;5;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;6
;;9;van der Star, M.J.;62;1;0;0;2;1;2;2;3;1;1;0;0;1;0;0;3;1;0;0;1;2;2;1;4;2;2;1;0;1;1;0;0;1;0;1;0;0;2;1;2;0;2;0;0;1;2;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;0;1;2;0;0;1;0;0;1;2
;;10;Wolters, E.H.J.;28;0;0;2;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4
;;11;Al-Awwadi, A.;54;3;0;0;2;0;1;0;1;4;0;0;0;2;0;2;1;1;2;0;0;0;6;0;0;1;3;0;0;3;0;1;0;1;0;0;0;1;1;0;1;1;2;0;0;1;1;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
;;12;Paulussen, S.V.;65;3;1;1;3;1;4;1;1;0;4;0;3;0;1;0;0;2;3;0;3;2;1;0;1;0;1;0;0;3;1;0;1;2;0;0;0;0;2;0;0;4;0;1;0;0;1;1;2;0;1;0;0;0;0;0;0;0;3;3;0;1;0;2;0;0;0;0;0;1;0;0;0;0
;;13;Stokking, P.J.;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Rajaram, J.;20;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Lenferink, K.H.A.;38;0;0;1;1;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;1;3;0;0;0;2;0;1;1;0;0;0;0;1;3;0;0;0;2;0;0;0;1;0;0;0;1;0;2;0;0;2;1;1;0;1;0;0;0;1;0;0;0;0;2;1;0;0;0;1;1;0;0;1
;;16;Seh, J.J.;38;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;5;0;1;0;0;0;0;1;3;0;1;0;1;0;5;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1
;;17;Woltering, J.N.;31;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;7;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;2
;;18;van Geel, A.;11;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;19;Lahlafi, M.;101;0;0;1;0;0;1;0;0;0;0;3;0;0;0;1;0;2;1;3;0;0;1;0;0;0;0;1;0;6;9;4;6;5;3;2;0;5;4;0;0;4;2;0;3;0;2;0;1;0;0;0;0;0;3;1;0;0;2;6;0;0;3;1;4;0;3;2;0;0;1;0;0;5
;;20;Moors, J.C.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Boumans, F.H.;22;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;2;0;0;0;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
;;22;de Groot, M.A.S.;19;0;0;0;1;0;0;0;0;3;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Broeijer, C.A.A.;28;0;0;4;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;4;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1
;;24;Mangnus, D.M.;35;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;2;5;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;2;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;3;0;0;0;1
;;25;Monsanto, M.M.R.;40;1;1;2;0;3;1;1;1;0;0;0;1;0;0;1;2;0;0;1;0;0;2;0;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;2;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;4
;;26;van der Jagt, S.A.;20;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;2;1;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;27;Scheffer, T.G.;53;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;1;4;2;2;0;0;1;2;1;0;0;1;1;4;4;0;0;0;0;3;1;3;1;0;0;0;0;0;0;0;0;1;0;1;0;0;2;1;0;0;2;0;0;1;0;0;0;1;0;4;0;0
;;28;Groen, J.T.;78;5;1;1;5;1;2;1;0;3;2;10;1;1;2;1;2;1;0;0;0;0;2;0;3;0;0;0;0;1;0;0;0;1;0;2;1;1;0;0;0;1;0;0;0;2;3;1;3;0;1;0;0;0;0;1;2;0;5;3;0;0;0;2;0;0;1;1;0;2;0;0;0;0
;;29;Ooms, L.;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Damen, M.M.;53;0;0;2;3;0;1;1;0;1;1;1;0;0;2;0;0;1;0;0;1;2;1;0;0;2;1;0;0;2;1;3;0;2;0;0;1;1;1;0;0;4;1;0;1;0;3;0;0;1;0;0;0;2;1;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;1;2
5;CDA;;;3097;58;8;64;47;11;62;29;24;43;46;52;52;48;50;23;17;31;16;31;16;110;65;47;89;86;44;9;23;32;36;56;13;59;54;53;80;24;63;59;82;84;27;53;78;27;62;8;19;29;38;21;67;79;57;33;18;31;41;50;26;18;9;18;25;40;31;38;54;63;32;43;20;46
;;1;Terpstra, J.H.;1449;20;3;28;9;2;17;12;13;13;16;34;23;20;18;9;7;8;10;17;9;67;30;23;46;43;13;2;10;17;19;24;5;32;34;29;43;14;25;31;52;44;14;34;43;9;25;4;7;12;12;14;16;28;29;14;8;13;21;27;16;15;4;9;8;14;16;15;20;37;22;28;9;15
;;2;Brinkel, S.G.M.;572;13;2;12;9;3;13;5;1;5;6;11;8;11;13;3;4;10;3;5;4;18;16;11;17;15;12;2;6;6;5;3;3;9;6;9;12;3;17;4;9;18;10;10;13;7;14;1;2;6;6;4;14;16;9;10;5;7;6;11;5;0;2;4;7;10;3;5;10;5;7;4;5;12
;;3;Van der Veer, G.J.S.;93;2;0;2;0;2;2;0;1;3;1;0;0;2;4;1;1;0;1;2;2;2;4;1;6;7;0;0;0;1;0;1;0;0;2;0;2;1;0;1;3;3;0;2;1;0;1;0;1;1;4;1;4;2;1;0;1;1;1;3;2;0;0;0;1;2;0;1;1;1;0;0;0;1
;;4;Sandoval Garcia, T.E.;108;5;0;2;5;2;6;4;4;5;0;1;3;1;0;1;2;1;0;1;0;0;0;1;2;4;3;1;0;1;2;5;0;0;4;2;3;0;1;0;0;0;1;2;2;2;2;0;1;1;3;0;2;1;0;0;0;2;0;1;0;0;0;0;3;2;3;6;0;0;0;0;1;1
;;5;Van Vark, A.;158;2;1;4;3;0;3;0;0;3;6;0;2;3;2;2;0;4;0;3;0;18;1;2;2;1;2;0;3;3;0;7;4;6;1;5;2;0;5;2;2;5;1;0;14;0;3;0;1;1;1;0;1;3;1;1;0;1;3;0;0;0;0;1;1;1;1;3;2;0;2;1;1;5
;;6;Ruiter, S.H.;18;2;0;0;1;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
;;7;Oldenhof, R.H.F.;9;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Bouthoorn, M.W.A.;26;1;0;0;2;0;2;0;0;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;3;0;1;0;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Heijnen, E.J.;171;5;0;5;6;0;9;4;3;4;4;3;8;5;3;1;1;4;0;0;0;3;3;3;4;3;5;2;0;3;4;3;0;1;1;2;4;2;2;5;4;2;0;3;3;1;0;2;2;3;2;1;3;0;0;2;3;2;4;1;2;1;0;1;1;0;0;5;2;1;0;1;2;2
;;10;Bleijie, F.L.J.;223;3;0;5;2;0;3;0;1;4;3;0;2;1;1;4;1;3;1;0;0;1;3;1;7;0;2;0;2;0;3;2;0;2;2;1;0;1;12;12;10;4;1;1;1;0;1;1;1;0;5;0;21;23;13;4;0;0;2;0;1;1;0;0;3;3;2;1;14;16;1;5;2;1
;;11;Sloof, J.A.;38;1;0;4;2;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;3;0;1;0;0;0;0;0;2;0;1;0;0;0;0;4;0;1;0;0;0;0;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;1
;;12;Sijl, J.A.;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
;;13;Karstens, J.P.;13;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Taekema, M.R.;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;van der Post, W.H.L.;33;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;2;1;3;1;1;0;0;0;3;0;1;0;0;1;0;0;2;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;2
;;16;Koops, E.;23;1;0;1;3;1;1;0;0;1;0;0;1;1;2;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;17;van Dijk, F.W.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;18;van Vugt, D.;9;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Hettinga, W.M.;26;1;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;1;2;3;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;1;0;0
;;20;Bonestroo, A.R.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
