Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bibliotheek Nieuwstraat;Lokhorstkerk;Erfgoed Leiden en Omstreken;Academiegebouw;Herengrachtkerk;Marekerk;Waalse Kerk;COC Leiden;Museum De Lakenhal;MBO Rijnland Storm Buysingstraat;Huis van de Buurt Morschwijck;ROC Mondriaan;Het Waterland;Leidse Reddingsbrigade;Speeltuin Rondom de Maredijk;Studio Moio (De Rondedans);Theehuis Tuin van Noord;Huis van de Buurt Het Gebouw;Huis van de Buurt De Kooi;Speeltuin Ons Eiland;Huis van de Buurt Matilo;Stedelijk Gymnasium Athena;Basisschool Sint Joseph;Vredeskerk;Petruskerk;Llokaal;Speeltuin Zuiderkwartier;Basisschool Er-Risèlèh;Speeltuin Westerkwartier;Basisschool Leimundo;Rosenburch;Korfbalvereniging KZ Danaïden;Schoolgebouw Noachstraat;Basisschool de Astronaut;Speeltuin Prinses Beatrix;De Pelgrim;Huis van de Buurt Op Eigen Wieken;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Huis van de Buurt Stevenshof;Gymzaal Basisschool De Stevenshof;Sociëteit De Dobbegaarde;Basisschool De Arcade;Stadskantoor (Achterzijde Centraal Station);Centraal Station;Lokhorstkerk;Herengrachtkerk;Bibliotheek Nieuwstraat;Bibliotheek Nieuwstraat;Huis van de Buurt Morschwijck;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Gymzaal Basisschool De Stevenshof;Herengrachtkerk;Herengrachtkerk;MBO Rijnland Storm Buysingstraat;MBO Rijnland Storm Buysingstraat;Leidse Reddingsbrigade;Leidse Reddingsbrigade;Huis van de Buurt Het Gebouw;Huis van de Buurt Het Gebouw;Speeltuin Zuiderkwartier;Speeltuin Zuiderkwartier;Korfbalvereniging KZ Danaïden;Korfbalvereniging KZ Danaïden;Huis van de Buurt Op Eigen Wieken;Huis van de Buurt Op Eigen Wieken;Sociëteit De Dobbegaarde;Sociëteit De Dobbegaarde;Centraal Station;Centraal Station
Gebiednummer;;;;;1;2;3;5;8;10;11;12;13;15;16;17;18;19;20;22;23;24;28;29;30;32;33;34;35;37;38;40;42;44;45;46;48;49;50;51;52;54;56;58;60;62;64;66;99;100;102;108;114;115;116;154;156;158;162;814;815;1514;1515;1914;1915;2414;2415;3814;3815;4614;4615;5214;5215;6414;6415;10014;10015
Postcode;;;;;2312 KB;2311 SV;2311 PZ;2311 GJ;2312 LE;2312 GS;2311 CS;2312 NW;2312 RA;2332 VW;2332 JC;2332 AA;2334 EM;2334 CC;2316 VP;2316 NZ;2316 EP;2315 VA;2315 CD;2315 TL;2314 XH;2313 EP;2313 JE;2313 GG;2313 DM;2321 KS;2313 XA;2313 AB;2321 AW;2321 TA;2321 RB;2321 CC;2324 LT;2324 ER;2324 CX;2324 DR;2317 AN;2318 TJ;2317 VX;2317 ST;2331 GW;2331 DV;2331 ML;2314 BN;2333 CW;2312 AJ;2311 SV;2312 LE;2312 KB;2312 KB;2332 JC;2318 TJ;2317 VX;2317 ST;2331 DV;2312 LE;2312 LE;2332 VW;2332 VW;2334 CC;2334 CC;2315 VA;2315 VA;2313 XA;2313 XA;2321 CC;2321 CC;2317 AN;2317 AN;2331 ML;2331 ML;2312 AJ;2312 AJ
;;2;Olthof, I.J.G.;295;9;2;13;10;9;5;5;2;6;4;5;5;10;6;6;3;12;0;3;2;9;14;5;9;9;7;0;4;5;3;3;2;10;1;1;1;1;3;5;3;3;2;1;3;2;10;1;4;3;6;0;3;1;0;3;4;3;1;2;4;2;1;0;2;0;1;1;3;3;3;3;3;5
;;3;van Diepen, S.J.;249;12;2;9;12;5;8;5;6;5;0;1;3;3;3;1;0;3;4;2;6;7;4;3;3;7;8;0;2;3;9;4;2;2;0;0;2;1;2;3;1;3;1;2;5;9;9;4;4;6;3;2;3;1;2;1;6;3;2;3;1;1;0;2;3;0;1;2;1;2;0;0;3;11
;;4;Beimer, L.M.;394;8;3;12;14;7;6;4;6;6;4;5;6;2;11;6;2;5;6;2;2;12;12;3;11;11;7;2;3;8;3;5;2;5;6;3;3;1;10;3;8;5;5;4;7;7;16;3;4;5;12;3;10;6;5;2;5;10;3;5;4;1;0;0;4;7;3;2;2;4;1;4;2;8
;;5;de Groot, J.A.;556;15;5;17;21;8;17;16;3;16;8;3;3;6;10;10;4;7;8;5;3;14;12;7;14;16;14;1;8;7;7;13;4;11;7;9;1;3;7;2;4;1;2;9;9;13;29;4;14;7;11;2;2;3;4;4;5;9;4;10;5;3;3;6;6;8;4;6;4;3;3;3;4;10
;;6;Jordan, A.;242;2;2;6;7;3;2;2;5;9;14;6;12;2;8;2;4;1;3;2;3;7;4;8;1;0;4;0;9;1;0;2;1;3;2;0;1;3;3;1;5;5;2;1;3;1;7;0;3;7;3;2;2;1;2;0;4;2;12;7;3;3;0;2;3;3;1;1;1;2;0;1;3;5
;;7;Jansen, A.G.;275;16;0;8;4;8;9;6;8;2;4;1;5;2;1;6;4;9;7;2;2;4;12;0;9;8;4;3;5;3;1;4;3;1;2;1;1;3;0;1;2;2;1;1;4;2;7;3;2;5;6;2;4;1;1;2;4;6;1;2;1;0;4;6;2;1;3;6;2;9;0;0;6;8
;;8;Zeggelt, F.C.;124;5;1;4;4;2;2;0;1;3;1;0;1;5;12;3;0;0;1;1;1;2;3;1;1;1;2;1;0;1;2;1;3;0;0;0;0;0;0;1;0;1;2;0;1;6;3;0;0;1;0;0;1;1;1;1;0;1;0;2;12;4;0;0;1;5;0;1;6;1;0;0;0;7
;;9;Duijn, J.P.;211;16;3;4;19;7;7;4;1;12;0;2;1;3;3;1;1;0;4;1;1;0;5;3;1;3;5;0;2;3;4;7;1;5;1;0;1;0;0;1;2;0;0;0;8;7;16;2;2;1;11;0;1;0;0;1;1;4;4;0;0;1;1;0;2;2;1;2;0;0;1;4;3;2
;;10;Zukanović, A.;181;7;1;2;5;2;7;2;1;6;2;0;2;2;3;3;2;4;6;12;3;1;4;2;8;7;6;0;3;2;0;1;0;0;3;2;1;0;1;3;1;0;0;2;3;4;5;0;6;2;0;0;2;1;2;1;2;2;1;1;0;0;3;4;3;1;0;5;1;3;2;1;5;2
;;11;van der Hout, W.N.;167;5;0;4;6;2;5;5;1;4;2;3;3;0;4;2;2;0;0;5;4;3;5;3;9;5;3;0;2;7;3;1;0;1;2;0;0;0;2;0;0;2;0;0;3;4;6;2;3;3;8;0;2;2;1;0;6;7;0;1;1;1;1;1;0;2;0;0;0;0;0;2;0;6
