Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuwe Kerk;Nieuwe Kerk (2);Rietveld Theater;Open Delft;Stadskantoor gemeente Delft;Museum Prinsenhof Delft;Hoogheemraadschap Delfland;Locatie Crommelinplein 1;Wijkcentrum De Parel;Locatie Het Kristal (stemtent);Stanislaskapel Delft;Gymzaal Van Alkemadestraat;Gymzaal Van Tienhovestraat;Hofkerk;Virgiel;Locatie Schrobbelaarstraat (stemtent);Prins Mauritsschool;Wijkcentrum Delft Noord;Betlehemkerk;Gymzaal Maria Duystlaan;Buccaneer Delft;Buurthuis Onder de Schie;Lijm en Cultuur;TU Aula;The Student Hotel;Vrijetijdscentrum De Wipmolen;Locatie Werkse!;Wijkwerk Wippolder;Buurthuis De Wending;Buurthuis Het Voorhof;Jongerencentrum The Culture;Marcuskerk;Abtswoude bloeit;Wijkcentrum De Vleugel;Vierhovenkerk;Locatie Fuutlaan 166;Locatie Tanthof West (stemtent);Wijkcentrum Het Buitenhuis;Wijkcentrum De Hofstee;Gebouw Het Westlandhof;Locatie Tanthof Oost (stemtent);Verpleeghuis De Bieslandhof;Woonzorgcentrum Delfshove;Woonzorgcentrum Stefanna;Wooncentrum Die Buytenweye;GGZ Delfland gebouw De Draeck;Open Delft 14 maart;Stadskantoor gemeente Delft 14 maart;Wijkcentrum De Parel 14 maart;Locatie Het Kristal (stemtent)  14 maart;Wijkcentrum Delft Noord 14 maart;Buccaneer Delft 14 maart;Lijm en Cultuur 14 maart;Jongerencentrum The Culture 14 maart;Wijkcentrum De Hofstee 14 maart;PRO Grotius College 14 maart;Open Delft 15 maart;Stadskantoor gemeente Delft 15 maart;Wijkcentrum De Parel 15 maart;Locatie Het Kristal (stemtent) 15 maart;Wijkcentrum Delft Noord 15 maart;Buccaneer Delft 15 maart;Lijm en Cultuur 15 maart;Jongerencentrum The Culture 15 maart;Wijkcentrum De Hofstee 15 maart;PRO Grotius College 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
Postcode;;;;;2611 GW;2611 GW;2611 LH;2611 WG;2611 BV;2611 HR;2611 AL;2627 BM;2614 HE;2614 SH;2613 GK;2614 EP;2613 XC;2613 WP;2611 BC;2613 MH;2628 GJ;2612 CB;2612 GK;2612 SR;2611 PA;2628 AJ;2628 AT;2628 CC;2611 DW;2628 JR;2624 AV;2628 JN;2613 RW;2624 XL;2625 CZ;2624 TH;2624 LJ;2624 LD;2625 XN;2623 MS;;2625 RE;2622 DW;2614 HX;2623 NV;2612 VC;2624 DS;2624 LW;2625 TD;2612 GA;2611 WG;2611 BV;2614 HE;;2612 CB;2611 PA;2628 AT;2625 CZ;2622 DW;2624 AX;2611 WG;2611 BV;2614 HE;;2612 CB;2611 PA;2628 AT;2625 CZ;2622 DW;2624 AX
;;12;Poots, A.A.;96;6;4;4;8;4;3;0;2;0;4;2;1;0;1;1;0;2;2;1;1;3;2;2;7;1;0;1;0;2;0;2;4;0;1;0;7;0;0;1;5;0;0;0;0;0;0;1;4;0;0;0;1;0;0;2;0;1;2;0;0;0;0;0;0;0;1
;;13;Diepeveen, S.T.;21;0;1;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0
;;14;Vos, I.L.;39;2;1;1;1;1;3;0;1;1;2;1;0;0;4;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;4;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;3;0;0;0;0;1;0;0;1;0
;;15;Rijnders, J.E.;47;1;4;0;0;6;2;0;0;1;1;2;0;1;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;1;0;2;0;1;3;1;0;0;0;0;0;2;0;0;0;0;0;2;1;0;0;2;3;1;0;0;1;0;0;2;0
;;16;Huisman, J.A.R.;8;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;Vos, M.B.J.;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;18;Staal, M.A.;11;2;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;19;Klomp, B.;41;4;2;1;2;2;6;2;0;1;1;4;0;1;0;1;1;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;20;van Bentum, M.P.;20;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;2;2;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;21;Bruggeman, T.;11;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;22;Lever, E.P.;23;2;2;0;0;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0
;;23;Smit, L.A.G.;20;1;0;0;1;3;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;24;Blaauw, W.L.;19;2;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;1;1;0;0;0
;;25;Ham, N.G.;43;6;4;0;1;2;1;1;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;1;5;0;0;0;0;5;0;1;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;1;0
;;26;Witsenboer, R.C.A.;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;27;Eeftink, L.F.;13;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;28;Tetteroo, H.P.;26;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;1;1;0;1;4;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0
